Italian,English
Domanda e Istruttoria-Finanziamenti Agevolati a seguito di Calamita' Naturali,Application and Investigation-Subsidized Loans following Natural Disasters
Rendicontazione corrispettivi - Configurazione cataloghi a supporto,Fee reporting - Configuration of support catalogues
Finanza Strutturata ONE - Approvazione,Structured Finance ONE - Approval
Gestione ambito normativo Embarghi - Presidio su strumenti finanziari,Regulatory management of Embargoes - Oversight of financial instruments
Carte di credito - Emissione richiesta da Clientela Privati - Offerta In Sede e Offerta Fuori Sede,Credit Cards - Issuance requested by Private Customers - On-Site Offer and Off-Site Offer
Deposito Amministrato - Certificazione preventiva dati di rendicontazione alla clientela e flussi contabili,Administered deposit - Prior certification of customer reporting data and accounting flows
Gestione liquidita' euro e divisa - Operativita' interbancaria con Controparti Terze non del Gruppo,Euro and foreign currency liquidity management - Interbank operations with Third Party Counterparties not of the Group
Servizi di Clearing Custody e Settlement - Gestione e pubblicazione delle Newsflash,Clearing Custody and Settlement Services - Management and publication of Newsflash
ABaCo - Rilevazione periodica prestiti collateralizzati,ABaCo - Periodic survey of collateralized loans
Pianificazione dei controlli in ambito Sicurezza Informatica e Continuita' Operativa,Planning of IT Security and Business Continuity controls
Carte di debito e di servizio - Emissione richiesta da Clientela Aziende (Customer Journey Carte Commercial) - Offerta In Sede - Offerta Fuori Sede - Offerta a Distanza,Debit and service cards - Issuance requested by corporate customers (Customer Journey Commercial Cards) - On-premise offer - Off-premise offer - Remote offer
Rischio Paese - Assegnazione dei massimali per Rischio Paese,Country risk - Allocation of ceilings for country risk
Analisi Malware,Malware analysis
Garanzie Pignoratizie Modifica del pegno garante garantito,Encumbered Guarantees Modification of the guaranteed pledge
Gestione Promozioni Commerciali - Divisione BdT,Management of Commercial Promotions - BdT Division
Revisione annuale dei contratti di service - Aggiornamento dei sottosistemi di monitoraggio,Annual review of service contracts - Update of monitoring subsystems
Equity Capital Markets - Sottoscrizioni mercato US,Equity Capital Markets - US market underwriting
Calcolo e monitoraggio indicatori giornalieri Rischio di Liquidita',Calculation and monitoring of daily indicators Liquidity Risk
Segnalazioni Whistleblowing,Whistleblowing reports
Visite presso le sale conta,Visits to counting rooms
Privati - Mutui venduti tramite Reti Terze - Poste Italiane SpA - Istruttoria,Individuals - Mortgages sold through third-party networks - Poste Italiane SpA - Preliminary investigation
Successioni - Gestione Dipendenti,Succession - Employee Management
Negoziazione di Travellers Cheques,Negotiation of Travelers Checks
Derivati Regolamentati - Gestione incassi,Regulated derivatives - Collection management
Estero - Operativita' in cambi - Gestione modifiche,Abroad - Exchange operations - Change management
ABaCo - Gestione eventi di variazione - Atti aggiuntivi e opzioni contrattuali,ABaCo - Management of change events - Addendums and contractual options
Gestione Proattiva Banche e Financial Institutions - Richiedere override migliorativa del colore EWS,Proactive Management Banks and Financial Institutions - Request EWS color improvement override
Adjustment Commerciale - Divisione BdT,Commercial Adjustment - BdT Division
Anagrafica Strumenti Finanziari - Attività di censimento,Financial Instrument Master Data - Registration activity
Cessazione attività distribuzione assicurativa,Cessation of insurance distribution activity
Iscrizione dei legali all'albo,Registration of lawyers in the register
Servizi di Clearing Custody e Settlement - Gestione riversamento all'Erario tassazione titoli - Clientela Financial Institutions,Clearing Custody and Settlement services - Management of securities tax transfers to the Treasury - Financial Institutions customers
Successioni - Dichiarazione di sussistenza e Certificato delle passività,Successions - Declaration of subsistence and Certificate of liabilities
Anagrafica Strumenti Finanziari - Richiesta assegnazione Isin a Banca di Italia e gestione aggiornamenti,Financial Instrument Master Data - Request for Isin assignment to the Bank of Italy and management of updates
Finanziamenti in Loan IQ - Definizione contrattuale e stipula,Financing in Loan IQ - Contract definition and stipulation
Independent Price Verification - II livello - Titoli obbligazionari,Independent Price Verification - Level II - Bonds
Monitoraggio Fornitori e Terze Parti,Monitoring Suppliers and Third Parties
Gestione copia dati,Data copy management
Disegno e implementazione modelli di sviluppo e formazione,Design and implementation of development and training models
Libretti di Risparmio - Blocchi,Savings Accounts - Blocks
Grandi Esposizioni individuali (Base LEXI) _ Generazione flussi - verifica dati - invio segnalazione,Large individual exposures (LEXI base) _ Generation of flows - data verification - sending of reports
Segnalazioni all'Archivio Rapporti Finanziari,Notifications to the Financial Reports Archive
Gestione Deposito Cauzionale per Servizio Welfare Aziendale,Security Deposit Management for Company Welfare Service
Assegnazioni ed Esercizi Anticipati,Assignments and Early Exercises
Contabilizzazione stipendi,Payroll accounting
Rendicontazione corrispettivi - Accertamenti contabili e fatturazioni,Payment reporting - Accounting checks and invoicing
Finanza in Conto Terzi - Titoli - Gestione del Block Dealing,Third Party Finance - Securities - Management of Block Dealing
Segnalazioni individuali statistiche - Assetti Partecipativi Enti (APE),Statistical individual reports - Organizational Participatory Structures (APE)
Finanza in Conto Proprio - Titoli - Monitoraggio posizioni e prevenzione della procedura di Buy In,Own account finance - Securities - Monitoring of positions and prevention of the Buy In procedure
Prodotti e Servizi Finanziari - Derivati OTC - Definizione e conclusione operazione - BdT,Financial products and services - OTC derivatives - Transaction definition and conclusion - BdT
Valutazione derivati OTC alle scadenze contabili,Valuation of OTC derivatives at accounting deadlines
Consolidamento dati e invio Decadale,Data consolidation and Decadale sending
Gestione Cash Letter in entrata e in uscita,Management of incoming and outgoing Cash Letters
Monitoraggio dei livelli di servizio - Gestione dei flussi informativi per le Funzioni di controllo,Service level monitoring - Management of information flows for the control functions
Modelli di Pricing e calcolo delle Misure di Rischio - Risk Model Governance in ambito Rischi di Mercato e di Controparte,Pricing models and calculation of Risk Measurements - Risk Model Governance in the area of Market and Counterparty Risks
Gestione Apparecchiature Self - Esternalizzazione apparecchiature ubicate presso la filiale,Self Equipment Management - Outsourcing of equipment located at the branch
Attivita' sui Fondi Esteri e Sicav di Case Terze,Activities on Foreign Funds and Third Party Sicavs
Telepass Family - Viacard di conto corrente,Telepass Family - Current account Viacard
Funding - Finanziamenti - Operazioni regolate dalla Legge Tedesca,Funding - Loans - Transactions regulated by German law
Richiesta di extra budget - Spese amministrative,Extra budget request - Administrative expenses
Acquisizione Perfezionamento Garanzia Diretta Fdo PMI 662 - 96,Acquisition Improvement Direct Guarantee Fdo PMI 662 - 96
Finanza in Conto Proprio - Derivati OTC - Gestione dei blocchi operativi,Own account finance - OTC derivatives - Management of operational blocks
Censimento - Aggiornamento - Freezing Folder - Portafoglio,Census - Update - Freezing Folder - Portfolio
Gestione Drafts pagabili da ISP emessi da Banche Corrispondenti Estere,Management of Drafts payable by ISP issued by Foreign Correspondent Banks
Gestione POUNLight,POUNLight management
Estero - Operativita' in cambi - Validazione del Deal,Abroad - Foreign exchange operations - Validation of the Deal
Short Selling - Monitoraggio posizione corta e CDS ed invio segnalazione,Short Selling - Monitor short position and CDS and send alert
Definizione e attuazione del Sistema Incentivante - personale Non-Performing Loans (NPL),Definition and implementation of the Incentive System - Non-Performing Loans (NPL) personnel
Libretti di Risparmio - Variazione Titolarita' per Libretti al Portatore,Savings Books - Change of Ownership for Bearer Savings Books
Concessione - Financial Institutions ONE - Plafond di Affidabilità,Concession - Financial Institutions ONE - Plafond of Reliability
Personale con contratto di lavoro misto - Aggiornamento professionale obbligatorio,Staff with mixed employment contract - Mandatory professional updating
Gestione assegni in divisa mai addebitati e tratti su banche estere,Management of checks in foreign currency that have never been debited and drawn on foreign banks
Profilatura MIFID e sottoscrizione Contratto Unico Integrato - BdT,MIFID profiling and signing of the Single Integrated Contract - BdT
Definizione impatti Facoltà e Regole,Definition of Faculty impacts and Rules
Raccolta dati Centro di Governo,Government Center data collection
Gestione delle chiavi e delle combinazioni dei mezzi forti,Management of keys and stronghold combinations
Carte di pagamento - Richiesta recupero PIN per smarrimento o dimenticanza,Payment cards - PIN recovery request for loss or forgetfulness
Gestione Apparecchiature Self - Recupero banconote sospette di falsità da MTA,Self Equipment Management - Recovery of suspected counterfeit banknotes from MTA
Rischio IRR - Coordinamento Banche Estere per cambiamenti metodologici e adeguamento sistemi,IRR risk - International Bank Coordination for methodological changes and system adjustments
Verifiche in materia di interlocking ai sensi dell’art. 36 D.L. “Salva Italia” 6 dicembre 2011 n. 201 (c.d. “Divieto di interlocking”) nelle società controllate del Gruppo Intesa Sanpaolo,"Checks on interlocking pursuant to art. 36 Legislative Decree ""Save Italy"" December 6, 2011 n. 201 (so-called ""Prohibition of interlocking"") in the subsidiaries of the Intesa Sanpaolo Group"
Finanza in Conto Terzi - Titoli - Gestione Tobin Tax Italia e Francia - Divisione IMI CIB,Third Party Finance - Securities - Tobin Tax Management Italy and France - IMI CIB Division
Rimborso Giacenze finali non utilizzate - Finanziamenti Agevolati a seguito di Calamita' Naturali,Repayment of unused final balances - Subsidized loans following natural disasters
Carte prepagate - Emissione richiesta da Clientela Privati - Offerta In Sede,Prepaid Cards - Issuance requested by Private Customers - On-Site Offer
Attribuzione del rating - Metodologia Project Finance,Rating assignment - Project Finance methodology
Gestione Report di Controllo,Control Report Management
Determinazione tasso variabile per prestiti obbligazionari,Variable rate determination for bond loans
Revisione annuale dei contratti di service - Revisione dei contenuti contrattuali,Annual review of service contracts - Review of contractual contents
Analisi Applicativa e Architetturale,Application and Architectural Analysis
Finanziamenti-Gestione Prestiti-Operativita' su Prestiti non migrati su applicativi Target,Financing-Loan Management-Operations on Non-Migrated Loans on Target applications
Annullamento in giornata della profilatura MIFID e-o del Contratto Unico Integrato,Same-day cancellation of MIFID profiling and/or Single Integrated Contract
Acquisizione Perfezionamento garanzie SACE,Acquisition Completion of SACE guarantees
Gestione Accessi da Remoto a funzionalita' Applicative (WebVPN),Remote Access Management to Application Features (WebVPN)
Richiesta e rilascio Impegno di Firma Domestico,Request and release of Domestic Signature Commitment
Gestione dei certificati fisici Eurizon - Epsilon,Management of Eurizon - Epsilon physical certificates
Censimento e Gestione Controparte - Poteri di Firma ad operare su rapporti,Census and Counterparty Management - Powers of Signature to operate on relationships
Attivita' necessarie per l'inquadramento della controparte,Activities necessary for the classification of the counterparty
Gestione rimborsi anticipati prestiti obbligazionari e prestiti sotto legge tedesca (Schuldschein e Namenschuldverschreibung),Management of early repayments of bonds and loans under German law (Schuldschein and Namenschuldverschreibung)
Analisi delle caratteristiche della controparte,Analysis of counterparty characteristics
Cash Pooling Internazionale - Variazione disattivazione e recesso del servizio,International Cash Pooling - Variation of deactivation and withdrawal of the service
Approvvigionamento di quotidiani - periodici - volumi editoriali,Procurement of newspapers - periodicals - publishing volumes
Finanziamenti in Loan IQ - Erogazione - Disbursement,Loan IQ - Disbursement - Disbursement
ABaCo - Gestione eventi di variazione: Modifica rating deteriorato o in scadenza,ABaCo - Management of change events: Change of deteriorated or expiring rating
Gestione processi ICT,ICT process management
Registrazione in Albo e Qualifica dei Fornitori e delle Terze Parti,Registration in the Register and Qualification of Suppliers and Third Parties
Sindacazione ONE - Verifica andamento e raccolta dati su Sindacazioni,Syndication ONE - Check progress and data collection on Syndications
Istruttoria Affidamenti Plafond Confidi,Preliminary credit lines credit lines Confidi
Segnalazioni Fondo interbancario di Tutela dei Depositi - Single Customer view,Notifications Interbank Deposit Protection Fund - Single Customer view
Gestione degli atti notificati e dei pagamenti,Management of notified deeds and payments
EMIR - DFA - Comunicazioni periodiche ad Autorita' Competenti,EMIR - DFA - Periodic communications to Competent Authorities
Factoring - Perfezionamento e resa operante rapporto Cedente,Factoring - Finalization and implementation of the Assignor relationship
Finanza in Conto Proprio - Derivati OTC - Trioptima - Cicli su Derivati di Credito su Index e Derivati di Tasso,Own Account Finance - OTC Derivatives - Trioptima - Cycles on Credit Derivatives on Index and Rate Derivatives
Revoca della delega su deposito titoli,Revocation of the delegation of securities deposit
Dismissione e rottamazione Asset fisici,Decommissioning and Scrapping Physical Assets
Offerta a Distanza Deposito Amministrato e Profilo Finanziario - Gestione del diritto di ripensamento,Remote Offer Administered Deposit and Financial Profile - Management of the right to withdraw
Rilascio badge provvisorio Dipendenti Stabili Centrali,Provisional badge release for Central Established Employees
Raccolta nuova autocertificazione,Collection of new self-certification
Stress Test Multirischio,Multi-risk Stress Test
Vendita di Oro,Sale of Gold
Carte di credito - Emissione richiesta da Clientela Privati - Internet Banking e App Mobile,Credit Cards - Issuance requested by Private Customers - Internet Banking and Mobile App
Negoziazione nostri assegni circolari consegnati da Banca d'Italia a Filiali capofila,Negotiation of our cashier's checks delivered by the Bank of Italy to lead branches
Analisi dei dati,Data analysis
Gestione Sofferenze Leasing - Valutazione analitica statistica - Provis,Bad Leasing Management - Statistical Analytical Evaluation - Provis
Rilevazione e segnalazione evento potenzialmente critico,Potentially critical event detection and reporting
Gestione dei contratti POS fuori procedura - Nuovo censimento rapporto,Out-of-procedure POS contract management - New report census
Adempimenti imposta di registro Contratti di locazione,Registration tax fulfilments Lease contracts
Servizio transazionale di accantonamento XME Salvadanaio,Transactional provisioning service XME Salvadanaio
Gestione Tasso Interno di Trasferimento a Breve Termine - Operazioni di raccolta e impiego BT non gestibili in autonomia dalla Rete,Management of the Short-Term Internal Transfer Rate - LV funding and lending operations that cannot be managed independently by the Network
Rischio IRR - Aggiornamento modello delle Poste a Vista - perimetro Italia,IRR risk - Update of the demand post model - Italy perimeter
Gestione delle richieste esterne inerenti la compilazione del FMI Contingency Plan di altre Istituzioni Finanziarie,Management of external requests related to the compilation of the IMF Contingency Plan of other Financial Institutions
IVASS - Predisposizione e aggiornamento dell'informativa precontrattuale dell'intermediario,IVASS - Preparation and updating of the intermediary's pre-contractual information
Gestione Identity and Access Management per Utenti Interni,Identity and Access Management for Internal Users
Modifica delle Regole Contabili di Gruppo,Modification of the Group Accounting Rules
Approvvigionamento di assegni personalizzati,Procurement of personalized checks
Privati - Mutui - Offerta Commerciale,Individuals - Mortgages - Commercial Offer
Mitigazione,Mitigation
Derivati Regolamentati - Operativita' con Clientela Corporate,Regulated Derivatives - Transactions with Corporate Clients
Gestione del cambiamento e dei test nelle Segnalazioni di Vigilanza,Management of change and tests in Supervisory Reports
Gestione magazzino Oro - Attivita' di carico e scarico,Gold warehouse management - Loading and unloading activities
EMIR - Resoconto operazioni in derivati OTC ed ETD per i clienti con adempimento dell' obbligo di Reporting svolto dalla Banca per loro conto,EMIR - OTC and ETD derivative transactions report for customers with fulfillment of the reporting obligation carried out by the Bank on their behalf
Gestione delle personalizzazioni di prezzo - Divisione BdT,Price customization management - BdT Division
Analisi dei bisogni e individuazione del modello di delivery,Analysis of needs and identification of the delivery model
Bonifici estero in uscita - Gestione contabile spese relative a bonifici esteri,Outgoing foreign wire transfers - Accounting management of expenses relating to foreign wire transfers
Esecuzione di Analisi Forense,Performing Forensic Analysis
Gestione Remediation Plan a fronte di incidenti di sicurezza informatica,Management of Remediation Plan in the face of IT security incidents
Caricamento dei dati in DSH e messa a disposizione dei dati,Loading data into DSH and making data available
Strutturazione e perfezionamento della operazione,Structuring and completion of the transaction
Aggiornamento Modello di Organizzazione Gestione e Controllo ex D.lgs. 231 2001 Società Controllate,"Updating of the Organisation, Management and Control Model pursuant to Legislative Decree 231 2001 Subsidiaries"
Consolidamento dati e invio Base 7 (usura),Data consolidation and Base 7 sending (wear)
Concessione - Privati - Prestiti Personali Prestito Finalizzato e Linea di Credito Rateale - Istruttoria e Delibera,Concession - Individuals - Personal Loans Finalized Loan and Installment Credit Line - Preliminary Investigation and Resolution
Cassette di Sicurezza e Depositi Chiusi - Variazioni diverse sul rapporto,Safety Deposit Boxes and Closed Deposits - Different variations on the ratio
Corporate Finance - Mergers & Acquisitions - Strutturazione,Corporate Finance - Mergers & Acquisitions - Structuring
Gestione del Servizio Esposto su IP Pubblico,Management of the Service exposed on Public IP
Superbonus Ecobonus ed altri bonus edilizi - IMPRESE - Cessione condizionata del credito di imposta da maturare,Superbonus Ecobonus and other building bonuses - COMPANIES - Conditional transfer of the tax credit to be accrued
Verifica Covenant e attivazione proposta di Waiver_Amendment,Check Covenant and activate Waiver_Amendment proposal
Cartolarizzazioni di terzi - Strutturazione e Approvazione,Third Party Securitizations - Structuring and Approval
Gestione Posizioni Privati Retail - Monitoraggio posizioni intercettate,Management of Private Retail Positions - Monitoring of intercepted positions
Gestione delle Filiere - Stipula del Contratto-Definizione Perimetro di Filiera-Valutazione Fornitori-Dealer ed Attivazione Filiera,Management of the Supply Chains - Stipulation of the Contract - Definition of the Supply Chain Perimeter - Supplier Assessment - Dealer and Supply Chain Activation
Rientro normale operativita',Return to normal operations
Gestione comunicati stampa,Press release management
Analisi delle caratteristiche della controparte per la riconferma l'attribuzione del rating o la certificazione del rating benchmark,Analysis of the characteristics of the counterparty for the reconfirmation of the assignment of the rating or the certification of the rating benchmark
Gestione ambito normativo Embarghi - Processo Bypass controlli in ambito Embarghi,Management of the Embargo regulatory area - Process Bypass controls in the Embargo area
Costi immobiliari Unita' Operative,Real estate costs Operating Units
Digitalizzazione e archiviazione documenti Rilevanti Strutture IMI CIB,Digitization and archiving of relevant IMI CIB Structures documents
Contabilita' Generale - Libro giornale,General Accounting - Journal
Disposizione di Ordini Permanenti di Bonifico,Arrangement of Permanent Transfer Orders
Polizze di protezione - Motor - Offerta a Distanza,Protection policies - Motor - Distance Offer
Locazioni attive,Active locations
Gestione Proattiva Corporate e Small Business - Richiedere override migliorativa del colore EWS,Proactive Management Corporate and Small Business - Request EWS color enhancement override
Profit and Loss - calcolo e reportistica,Profit and Loss - calculation and reporting
Bilancio Consolidato - Analisi qualita' del credito e contribuzione alla Nota Integrativa,Consolidated Financial Statements - Credit quality analysis and contribution to the Explanatory Notes
Clearing - Backloading - Clientela,Clearing - Backloading - Customers
Gestione Attiva IFRS9,Active Management IFRS9
Consegna dei Certificati di Conformita',Delivery of Certificates of Conformity
Valutazione derivati OTC - definizione adjustment valutativi di fair value,Valuation of OTC derivatives - definition of fair value valuation adjustments
Contrattualizzazione servizi di incasso allo sportello,Contracting of collection services at the counter
Progettazione ed erogazione di interventi formativi,Design and delivery of training interventions
Interventi centralizzati su portafoglio Italia,Centralized interventions on the Italian portfolio
Certificati di Deposito - Annullamenti e storni,Certificates of Deposit - Cancellations and reversals
Servizi di Clearing Custody e Settlement - Servizio di Tax Refund,Clearing Custody and Settlement Services - Tax Refund Service
Carte di pagamento - Consegna e attivazione della Carta e del PIN,Payment cards - Delivery and activation of the Card and PIN
Equity Capital Markets - Assunzione e Gestione Altri Ruoli,Equity Capital Markets - Recruitment and Management of Other Roles
Anagrafe dei Rapporti - Trasferimento rapporti,Registry of Reports - Transfer of reports
Prodotti e Servizi Finanziari - Derivati OTC - Rendicontazione del MTM - IMI CIB e BdT,Financial Products and Services - OTC Derivatives - MTM Reporting - IMI CIB and BdT
Inadempienza Probabile - Delibere Gestionali,Probable Default - Management Resolutions
Stress Testing Book,Stress Testing Book
Rilascio carnet assegni bancari ed emissione assegni circolari,Issuance of bank check books and issuance of cashier's checks
Cartolarizzazioni Proprie - Emissione ed executions,Own Securitizations - Issuance and executions
