Italian,English
Digital Payments and Services,Digital Payments and Services
Divisione Banca dei Territori - Direzione Sales & Marketing Imprese,Banca dei Territori Division - Business Sales & Marketing Department
Divisione Banca dei Territori - Direzione Impact,Banca dei Territori Division - Impact Department
Divisione Banca dei Territori - Direzione Sales & Marketing Wealth Management & Protection,Banca dei Territori Division - Sales & Marketing Wealth Management & Protection Department
ESG & Reputational Risk,ESG & Reputational Risk
Crediti - Direzione Impact,Credits - Impact Management
Crediti - Direzione Regionale,Credits - Regional Directorate
Cybersecurity Operations Center,Cybersecurity Operations Center
Business Development Digital Retail,Business Development Digital Retail
Coordinamento Marketing e Business Development Imprese,Coordination of Marketing and Business Development Companies
Direzione Centrale Concessione CIB,CIB Concession Central Management
Group Rating Desk,Group Rating Desk
Concessione BdT,BdT concession
"Concessione Finanza Strutturata, Real Estate e Securitization BdT","Concession Structured Finance, Real Estate and Securitization BdT"
OtS Governance,OtS Governance
Corporate Banker - Direzione Global Corporate,Corporate Banker - Global Corporate Department
Agency & Securities Services,Agency & Securities Services
Credit Administration - Filiale Estera Hub,Credit Administration - Foreign Branch Hub
Specialized Lending Portfolio Management,Specialized Lending Portfolio Management
Corporate Loan Structuring,Corporate Loan Structuring
Client Management Support,Client Management Support
Global Relationship Manager - Direzione Global Banking & Sovereign Institutions,Global Relationship Manager - Global Banking & Sovereign Institutions Department
Global Relationship Manager - Direzione Internazionale,Global Relationship Manager - International Management
Relationship Manager - Direzione Internazionale,Relationship Manager - International Management
Senior Corporate Banker - Direzione Global Corporate,Senior Corporate Banker - Global Corporate Management
HY DCM Origination,HY DCM Origination
Project & Industry Specialised Lending,Project & Industry Specialized Lending
Real Estate,Real Estate
"Origination Corporate Finance BDT - Nord Est, Lombardia Sud, Emilia Marche","Origination Corporate Finance BDT - North East, South Lombardy, Emilia Marche"
Leveraged & Acquisitions Finance,Leveraged & Acquisitions Finance
Sovereign & Supranational Agencies DCM Origination,Sovereign & Supranational Agencies DCM Origination
Debt Structuring BDT,Debt Structuring BDT
FIG DCM Origination,FIG DCM Origination
Origination Corporate Finance BDT - Centro Sud e Toscana Umbria,Origination Corporate Finance BDT - Central South and Tuscany Umbria
Corporate DCM Origination,Corporate DCM Origination
Desk Structured Finance - Filiale Estera,Structured Finance Desk - Foreign Branch
"Origination Corporate Finance BDT - Nord Ovest, Lombardia Nord e Milano","Origination Corporate Finance BDT - North West, North Lombardy and Milan"
Global Relationship Manager - Direzione Global Corporate,Global Relationship Manager - Global Corporate Department
Structured Finance Portfolio Management,Structured finance portfolio management
Desk Syndication - Filiale Estera Hub,Desk Syndication - Foreign Branch Hub
Loan Syndication,Loan Syndication
ECM Syndication,ECM Syndication
Comitato di Gruppo Sign-Off Hold To Collect and Sell (HTCS),Sign-Off Hold To Collect and Sell (HTCS) Group Committee
Supporto Specialistico Credito,Specialist Credit Support
General Manager - Filiale Estera,General Manager - Foreign Branch
General Manager - Filiale Estera Hub,General Manager - Foreign Branch Hub
Conflict Check e Clearing Operazioni Sensibili,Conflict Check and Clearing Sensitive Operations
Comitato Crediti di Gruppo,Group Credit Committee
Consiglio di Amministrazione,Board of Directors
Concessione Industry Gruppo 1,Concession Industry Group 1
Concessione Finanza Strutturata e Real Estate,Concession Structured Finance and Real Estate
Concessione Finanza Strutturata,Structured Finance Concession
Concessione Securitization & ABS,Concession Securitization & ABS
Concessione Financial Institutions,Concession Financial Institutions
Concessione Financial Institutions & ABS,Concession Financial Institutions & ABS
Concessione Industry Gruppo 3 e Network Italia,Concession Industry Group 3 and Network Italy
Crediti International Network,Credits International Network
Concessione Industry Gruppo 2,Concession Industry Group 2
Concessione Corporate,Corporate concession
"Concessione Real Estate, Infrastructure & Logistics","Real Estate, Infrastructure & Logistics Concession"
Compliance/AML - Filiale Estera Hub,Compliance/AML - Foreign Branch Hub
Comitato Rischi Finanziari di Gruppo,Group Financial Risks Committee
Adempimenti Amministrativi MCI e CRF,MCI and CRF Administrative Fulfillments
Finanza e Filiali Estere,Finance and Foreign Branches
Management Support and Monitoring,Management Support and Monitoring
Corporate and Physical Security Design,Corporate and Physical Security Design
Project e Facility Management,Project and Facility Management
Business owner,Business owners
Risparmio Gestito,Managed savings
Solutions & Asset Disposals,Solutions & Asset Disposals
Credit Analytics & Data,Credit Analytics & Data
Gestione NPE ISB,ISB NPE management
Large-Mid Files,Large-Mid Files
Gestione Diretta UTP,UTP Direct Management
Presidio Valore del Credito DR - Direzione Regionale,Credit Value Monitoring DR - Regional Department
Gestione Proattiva del Credito BdT,Proactive Management of BdT Credit
Remediation,Remediation
Presidio Valore del Credito BdT,Oversight of BdT Credit Value
Presidio Valore del Credito CIB,Control of CIB credit value
Recovery Factoring,Recovery Factoring
ISPB - Crediti,ISPB - Credits
Presidio Valore del Credito ISB,ISB Credit Value Monitoring
Gestione Proattiva del Credito CIB,Proactive Management of CIB Credit
Crediti - Direzione Agribusiness,Credits - Agribusiness Department
Small Files,Small Files
Remediation SME Retail - Direzione Regionale,SME Retail Remediation - Regional Management
A.A. Delivery Factory,A.A. Delivery Factory
Due Diligence & KYC Controls,Due Diligence & KYC Controls
Structured Credit and Risk Transfer,Structured credit and risk transfer
Operations Leasing e Factoring,Operations Leasing and Factoring
Workout Management & Administration,Workout Management & Administration
Area di Governo Chief Risk Officer,Chief Risk Officer Governance Area
Area di Governo Chief Lending Officer,Chief Lending Officer Governance Area
Area di Governo Chief Financial Officer,Chief Financial Officer Governance Area
Divisione International Subsidiary Banks,International Subsidiary Banks Division
Area di Governo Chief Governance Officer,Governance Area Chief Governance Officer
Divisione IMI Corporate & Investment Banking,IMI Corporate & Investment Banking Division
Area di Governo Chief Operating Officer,Chief Operating Officer Governance Area
Rendicontazioni e Semplificazione Societaria,Reporting and Corporate Simplification
Direzione Centrale Crediti ISB,ISB Central Credit Department
Gestione Tecnica Beni Garanzie,Technical Management of Goods Guarantees
Privacy,Privacy
NPE Monitoring & Optimization,NPE Monitoring & Optimization
CRA e Facoltà Retail,CRA and Retail Faculty
Reporting Regolamentare e Controlli del Credito,Regulatory Reporting and Credit Controls
CIB CRA and Credit Risk Analytics,CIB CRA and Credit Risk Analytics
LGD and EAD Models,LGD and EAD Models
Credit Rating Models,Credit Rating Models
Direzione Centrale Active Credit Portfolio Steering,Central Management Active Credit Portfolio Steering
UTP & NPL Management,UTP & NPL Management
Nearbanking,Nearbanking
Corporate Lending,Corporate Lending
Sistemi Risk Management,Risk Management Systems
Credit Risk Infrastructure Management,Credit Risk Infrastructure Management
Area di Governo Chief Institutional Affairs and External Communication Officer,Governance Area Chief Institutional Affairs and External Communication Officer
Divisione Banca dei Territori,Banca dei Territori Division
Divisione Insurance,Insurance Division
Area di Governo Chief Cost Management Officer,Chief Cost Management Officer Governance Area
Divisione Private Banking,Private Banking Division
Area di Governo Chief Compliance Officer,Chief Compliance Officer Governance Area
"Area di Governo Chief IT, Digital and Innovation Officer","Governance Area Chief IT, Digital and Innovation Officer"
Divisione Asset Management,Asset Management Division
Pulse e Remediation,Pulse and Remediation
Gestione Diretta NPE,NPE Direct Management
Direzione Centrale Concessione BdT,BdT Concession Central Management
Concessione BdT Area 1,Concession BdT Area 1
Presidio Valore e Gestione Proattiva del Credito BdT,Value Control and Proactive Management of BdT Credit
Concessione BdT Area 3,Concession BdT Area 3
Concessione - Direzione Regionale,Concession - Regional Directorate
Responsabile Crediti - Direzione Regionale,Credit Manager - Regional Management
Concessione BdT Area 2,Concession BdT Area 2
Concessione Dipendenti,Concession Employees
Direttore Monte Pegni,Pawnshop Director
Corporate and Physical Security Governance and Development,Corporate and Physical Security Governance and Development
Coordinamento Territoriale Personale e Assistenza Rete - Direzione Regionale,Territorial Coordination of Personnel and Network Assistance - Regional Management
Assicurazioni,Insurance
Divisione Banca dei Territori - Direzione Pianificazione e Controllo di Gestione,Banca dei Territori Division - Planning and Management Control Department
Divisione Banca dei Territori - Direzione Agribusiness,Banca dei Territori Division - Agribusiness Department
Gestione Iniziative e Supporto Divisioni,Initiative Management and Division Support
Audit Credit Risk BdT,BdT Credit Risk Audit
Sintesi Controlli,Summary Controls
Tools & Analytics,Tools & Analytics
Controlli BdT,BdT controls
Audit Attività Corporate e Lending Transactions,Audit Corporate Activities and Lending Transactions
Credit Risk Reporting,Credit Risk Reporting
Partnership UTP,UTP partnerships
Presidio Valore e Gestione Proattiva del Credito CIB,Value Control and Proactive Management of CIB Credit
Retribuzioni e Processi Amministrativi HR,Remuneration and HR Administrative Processes
People Planning and Management,People Planning and Management
Gestione e Sviluppo Aree Governance e Controlli,Management and Development of Governance and Control Areas
Gestione e Sviluppo COO e altre Aree di Governance,COO Management and Development and other Governance Areas
Gestione Personale Rete ,Personal Network Management
Intesa Sanpaolo Vita - Personale e Organizzazione,Intesa Sanpaolo Vita - Personnel and Organization
Gestione Personale Strutture Centrali BdT,Personnel Management of Central BdT Structures
"HR Contracts, Data Analysis & Cost Management - Divisione International Subsidiary Banks","HR Contracts, Data Analysis & Cost Management - International Subsidiary Banks Division"
Domestic & International People Management - Divisione International Subsidiary Banks,Domestic & International People Management - International Subsidiary Banks Division
Società ,Society
Personale e Formazione,Personnel and Training
Società,Society
Dipendente,Employee
Operations Servizi Smart HR,Operations Smart HR services
Relazioni Industriali,Industrial Relations
Supporto Specialistico Credito Ordinario,Ordinary Credit Specialist Support
Gestione Recuperi e Outsourcing Credito Ordinario,Recovery Management and Ordinary Credit Outsourcing
Reporting e Patrimonio Informativo,Reporting and Information Assets
Trattamenti Contabili Amministrativi,Administrative Accounting Treatments
Intesa Sanpaolo Private Banking,Intesa Sanpaolo Private Banking
Consigliere Delegato e CEO,Managing Director and CEO
Prestitalia – Credito al Consumo (DC Operations),Prestitalia – Consumer Credit (DC Operations)
Liquidity & Euro Settlement,Liquidity & Euro Settlements
Pricing - Divisione IMI CIB,Pricing - IMI CIB Division
Coordinatore di Area - Direzione Global Corporate,Area Coordinator - Global Corporate Management
Investor Protection,Investor Protection
Global Relationship Manager - Direzione Financial Institutions,Global Relationship Manager - Financial Institutions Department
General Manager di Filiale Estera,General Manager of Foreign Branch
Qualità dei Dati Reporting Regolamentare,Data Quality Regulatory Reporting
Sistemi Vigilanza e Contabilita',Supervisory and Accounting Systems
Banca d'Italia,Bank of Italy
Corporate Trade Finance and Cross-border Operations,Corporate Trade Finance and Cross-border Operations
Banks,Banks
Emerging Markets,emerging markets
"Internal Financial Intelligence Unit, Advisory e Clearing","Internal Financial Intelligence Unit, Advisory and Clearing"
Advisory e Clearing Know Your Customer,Know Your Customer Advisory and Clearing
Market Data & IPV Controls,Market Data & IPV Controls
Collateral Management,Collateral Management
Controparte,Counterpart
IMA Counterparty Risk,IMA Counterparty Risk
Advanced Digital Solutions,Advanced Digital Solutions
Forex & Non-Euro Money Market,Forex & Non-Euro Money Markets
Concessione Factoring,Factoring Concession
Rating Desk Structured Finance,Rating Desk Structured Finance
Rating Desk Large Corporate,Large Corporate Rating Desk
Rating Desk Corporate,Corporate Rating Desk
Business Analyst - Direzione Global Corporate,Business Analyst - Global Corporate Management
Business Analyst - Direzione Global Banking & Sovereign Institutions,Business Analyst - Global Banking & Sovereign Institutions Department
Assistant Relationship Manager - Direzione Internazionale,Assistant Relationship Manager - International Management
Gestione Fatture e Contabilità Fornitori,Invoice Management and Accounts Payable
Intesa Sanpaolo Provis,Intesa Sanpaolo Provis
Vigilanza Consolidata – Segnalazioni,Consolidated Supervision - Reports
Struttura amministrativa Banca / Società controllata,Administrative structure Bank / Subsidiary company
Framework Management & Reporting,Framework Management & Reporting
Credit Risk Regulatory Measurement,Credit Risk Regulatory Measurement
Credit Risk Financial Measurement,Credit Risk Financial Measurement
IMA Market Risk,IMA Market Risk
Financial Engineering & Pricing Controls,Financial Engineering & Pricing Controls
Validazioni e Segnalazioni,Validations and Reports
Enterprise Risk Analytics,Enterprise Risk Analytics
Fiscalità d'Impresa,Corporate taxation
Funding & Counterbalancing Capacity,Funding & Counterbalancing Capacity
Finanziamenti Large Corporate,Large Corporate Loans
Trade & Receivable Finance Products,Trade & Receivable Finance Products
Struttura contabile e Struttura preposta al versamento ,Accounting structure and structure responsible for payment
Budget e Monitoraggio Costi IMI CIB,IMI CIB Budget and Cost Monitoring
Brokerage & Execution,Brokerage & Execution
E-Commerce Distribution,E-Commerce Distribution
Financial Institutions Solutions London - Divisione IMI CIB,Financial Institutions Solutions London - IMI CIB Division
Corporate Solutions,Corporate Solutions
Global Markets Sales London - Divisione IMI CIB,Global Markets Sales London - IMI CIB Division
Equity Derivatives Sales,Equity Derivatives Sales
Riconciliazioni Cash e Titoli,Cash and Securities Reconciliations
Investigations and AML Sanction Filtering,Investigations and AML Sanction Filtering
Specialista Estero - Direzione Regionale,Foreign Specialist - Regional Management
Specialista Sviluppo Estero,Foreign Development Specialist
Specialista GTB Trade,GTB Trade specialist
Servicing Bank,Servicing Bank
Consulenza Territoriale,Territorial Consulting
Supporto Legale Credito,Credit Legal Support
Incident Management e Monitoraggi,Incident Management and Monitoring
Alimentazioni Filiere e Gestione Applicativi,Supply Chains and Application Management
ORMD e Performance Management,ORMDs and Performance Management
Sistemi di Governo e Gestionali,Governance and Management Systems
Enti certificatori,Certification bodies
Riconciliazione Contabile Gestionale,Management Accounting Reconciliation
Reporting Divisioni,Division Reporting
Operations Crediti e Conti,Operations Credits and Accounts
Servizi Bancari,Bank services
Transazionale,Transactional
Anagrafe Clienti di Gruppo,Group Customer Database
Operations Transaction Banking e Financial Institutions,Operations Transaction Banking and Financial Institutions
Coordinamento Operations,Operations coordination
Data Technology Owner,Data Technology Owner
Data Technology,Data Technology
Presidio Dati e Metodologie,Data Control and Methodologies
Dati Centro di Governo e Data Quality,Data Center of Government and Data Quality
Presidio Data Quality,Data Quality supervision
Filiale Digitale,Digital Branch
Estero Transazionale,Foreign Transactional
"Conti Italia, Estero Banche","Italian Accounts, Foreign Banks"
Group Liquidity Risk,Group Liquidity Risk
Analisi Dati Economico Patrimoniali,Economic and Asset Data Analysis
Consulenza Societaria e Processi di Governance Capogruppo,Corporate Consulting and Parent Company Governance Processes
Welfare,Welfare
Governance Comitati Endoconsiliari e Organismo di Vigilanza 231/2001,Governance Internal Board Committees and Supervisory Body 231/2001
Struttura di ISP competente per materia,Competent ISP structure by subject
Società Controllata,Subsidiary Company
Integrated Risk Reporting,integrated risk reporting
Specialista MLT/Leasing,MLT/Leasing specialist
Anagrafe e Amministrazione Strumenti Finanziari,Registry and Financial Instruments Administration
Capital Management,Capital Management
RAF & Risk Policies,RAF & Risk Policies
ICAAP & ILAAP,ICAAP & ILAAP
"Pianificazione, Capital Management & Recovery Plan","Planning, Capital Management & Recovery Plan"
Funding Plan,Funding Plan
Struttura di Business,Business structure
Specialista Factoring,Factoring specialist
Responsabile di Direzione,Head of Management
Sintesi e Controlli NPE,NPE Summary and Controls
Governance Systems and Processes & Business Conduct Advisory,Governance Systems and Processes & Business Conduct Advisory
Cliente,Customer
Gestione Conferme Derivati OTC,Management of OTC Derivative Confirmations
BDT Corporate Solutions,BDT Corporate Solutions
Il Supervisore,The Supervisor
Reporting Regolamentare,Regulatory Reporting
Finance e Data Governance,Finance and Data Governance
Data Governance,Data Governance
Recovery & Resolution Plan,Recovery & Resolution Plan
Controller International Network,Controller International Network
Asset & Liability Management ISBD,ISBD Asset & Liability Management
Società del Gruppo,Group company
Onboarding & International Cash Management,Onboarding & International Cash Management
Adempimenti Amministrativi Società Non Bancarie,Administrative Fulfillments for Non-Banking Companies
Euro Money Market,Euro Money Market
Securities Services,Securities Services
Financial Institutions Products,Financial Institutions Products
Financial Institutions Cash Management Sales,Financial Institutions Cash Management Sales
Supporto Subsidiaries e Nuovi Business,Support Subsidiaries and New Business
Analisi Impatti Normativi IT,IT Regulatory Impact Analysis
Struttura di secondo livello,Second level structure
Organizzazione Altre Funzioni di Governance,Organization Other Governance Functions
"Organizzazione Finanza, Capital Markets e Sistemi di Sintesi","Finance Organization, Capital Markets and Synthesis Systems"
Organizzazione Funzioni di Controllo,Organization of Control Functions
Organizzazione International Network IMI CIB e altri Ambiti,International Network Organization IMI CIB and other Sectors
Organizzazione Crediti,Credit Organization
Organizzazione BdT e Private,BdT and Private organization
Organizzazione ISBD,ISBD Organization
Organizzazione Head Office & Domestic Network IMI CIB,Organization Head Office & Domestic Network IMI CIB
Direzione Centrale Group Supervisory Strategic Steering,Central Management Group Supervisory Strategic Steering
Collaboratore Intesa Sanpaolo Agents4You,Intesa Sanpaolo Agents4You collaborator
Direzione Centrale Institutional Affairs,Central Institutional Affairs Directorate
International Public Affairs,International Public Affairs
GAF-Agenda Regolamentare ISP Vita,GAF-ISP Life Regulatory Agenda
Struttura coinvolta ,structure involved
Group Regulatory Evolution Agenda,Group Regulatory Evolution Agenda
Organi Societari,Corporate bodies
