Italian,English
Carte di pagamento - Carte di credito,Payment cards - Credit cards
Prodotti e Servizi Finanziari - Derivati OTC,Financial Products and Services - OTC Derivatives
Strategie - Informativa per il Resolution Plan,Strategies - Disclosure for the Resolution Plan
Ramo Danni - Polizze di Protezione - Motor,Non-life business - Protection policies - Motor
Relazioni istituzionali e Comunicazione esterna - Rapporti con i Supervisori e le Autorita' di Regolamentazione,Institutional Relations and External Communication - Relations with Supervisors and Regulatory Authorities
Service Operation - Gestione operativa FM,Service Operation - FM operational management
Servizi di Sportello - Gestione Apparecchiature Self,Counter Services - Self Equipment Management
Processi Amministrativi - Archiviazione in formato cartaceo ed elettronico dei documenti,Administrative Processes - Archiving of documents in paper and electronic format
Altri prodotti e servizi accessori - Prestito d'uso e vendita di Oro,Other ancillary products and services - Loans for use and sale of gold
Finanza in Conto Proprio - Funding,Own account finance - Funding
Service Transition - Gestione fornitori,Service Transition - Supplier management
Cybersecurity and BC Services - Security Operation Center,Cybersecurity and BC Services - Security Operation Center
Finanza in Conto Proprio - Gestione Tasso Interno di Trasferimento a Medio Lungo Termine,Own Account Finance - Medium/long-term internal transfer rate management
Service Transition - Gestione Asset Fisici & Licenze SW,Service Transition - Management of Physical Assets & SW Licenses
Immobili e Patrimonio Artistico - Gestione del Patrimonio Artistico,Property and Artistic Heritage - Management of Artistic Heritage
Risorse Umane - Gestione Amministrativa del Personale,Human Resources - Personnel Administrative Management
Anagrafe - Censimento e Gestione Controparte,Registry - Census and Counterparty Management
Finanziamenti - Moratorie - Provvedimenti Legislativi e Accordi Collettivi,Financing - Moratoriums - Legislative Provisions and Collective Agreements
Estero - Crediti documentari import,Abroad - Import documentary credits
Segnalazioni - Altre Segnalazioni di Vigilanza,Reports - Other Supervisory Reports
Immobili e Patrimonio Artistico - Gestione amministrativa immobili,Property and Artistic Heritage - Administrative property management
Finanza in Conto Proprio - Rendicontazione Gestionale e Backtesting del Profit and Loss,Own Account Finance - Management Reporting and Profit and Loss Backtesting
Pianificazione e Controllo di Gestione - Contabilità Industriale e Contratti di Service,Planning and Management Control - Industrial Accounting and Service Contracts
Corporate Finance - Finanza Strutturata ONE,Corporate Finance - Structured Finance ONE
Finanza in Conto Proprio - Gestione liquidita' euro e divisa,Own account finance - Euro and currency liquidity management
"Prodotti e Servizi Finanziari - Servizi di Clearing, Custody e Settlement","Financial Products and Services - Clearing, Custody and Settlement Services"
Finanza in Conto Proprio - Gestione attivi bancari collateralizzati,Own account finance - Management of collateralized bank assets
Gestione della Conformita' - Gestione ambiti normativi Sicurezza ICT e Business Continuity,Compliance Management - Management of ICT Security and Business Continuity regulatory areas
Rischio di Credito - Rischio Paese,Credit risk - Country risk
"Sviluppo Prodotti, Servizi e Accordi Commerciali - Pricing","Product Development, Services and Commercial Agreements - Pricing"
Corporate Finance - Equity Capital Markets,Corporate Finance - Equity Capital Markets
Rischio di Liquidita' - Rischio di Liquidita' di Gruppo,Liquidity risk - Group liquidity risk
Sistema Integrato dei Controlli Interni - Sistema Interno di Segnalazione delle Violazioni,Integrated System of Internal Controls - Internal Violation Reporting System
Servizi di Sportello - Gestione rapporti con sale conta,Counter services - Management of relationships with counting rooms
Concessione - Privati - Mutui venduti tramite Reti Terze,Concession - Private individuals - Mortgages sold through third-party networks
Adempimenti Obbligatori - Successioni,Mandatory Fulfillments - Successions
Incassi e Pagamenti - Assegni Estero,Collections and Payments - Foreign Cheques
Estero - Operativita' in cambi,Abroad - Operations in foreign exchange
Gestione del Credito in Bonis in Monitoraggio - Gestione Proattiva Banche e Financial Institutions,Management of Performing Credit in Monitoring - Proactive Management of Banks and Financial Institutions
Anagrafica e Parametrizzazioni Finanza - Anagrafica Strumenti Finanziari,Finance Master Data and Settings - Financial Instrument Master Data
Risorse Umane - Gestione Intermediari Assicurativi Dipendenti,Human Resources - Management of Employee Insurance Intermediaries
Contenzioso e Consulenza Legale - Gestione del contenzioso legale,Litigation and Legal Advice - Management of legal disputes
Finanziamenti - Finanziamenti in Loan IQ,Financing - Loan IQ financing
Pricing e Modelli di Mercato - Independent Price Verification,Pricing and Market Models - Independent Price Verification
Acquisti e Cessione Beni - Albo e Qualifica Fornitori e Terze Parti,Purchases and Sale of Goods - Register and Qualification of Suppliers and Third Parties
Service Transition - Gestione dei test,Service Transition - Test Management
Risorse Umane - Sviluppo del Personale Dipendente,Human Resources - Employee Personnel Development
Conti e Depositi - Libretti di Risparmio,Accounts and Deposits - Savings Books
Fiscalita' - Comunicazioni obbligatorie all'Agenzia delle Entrate,Taxation - Compulsory communications to the Revenue Agency
"Sviluppo Prodotti, Servizi e Accordi Commerciali - Welfare Aziendale per i Dipendenti di Società clienti della Banca","Development of Products, Services and Commercial Agreements - Corporate Welfare for Employees of the Bank's client companies"
Prodotti e Servizi Finanziari - Derivati regolamentati,Financial Products and Services - Regulated derivatives
Contabilita' - Contabilita' del Personale,Accounting - Personnel Accounting
Finanza in Conto Terzi - Titoli,Third Party Finance - Securities
Valutazioni ai fini di Bilancio - Valutazione Titoli e Derivati,Valuations for Financial Statements purposes - Valuation of Securities and Derivatives
Segnalazioni - Segnalazioni di Matrice e altre Segnalazioni di Vigilanza Statistica,Reports - Matrix Reports and other Statistical Supervisory Reports
Pricing e Modelli di Mercato - Modelli di Pricing e calcolo delle Misure di Rischio,Pricing and Market Models - Pricing models and calculation of risk measures
Risparmio Gestito - Fondi Comuni di Investimento,Managed Savings - Mutual Investment Funds
Incassi e Pagamenti - SDD a rischio banca,Collections and Payments - SDD at bank risk
"Pianificazione e Controllo di Gestione - Budget, Forecast e Consolidamento Oneri Operativi","Planning and Management Control - Budget, Forecast and Consolidation of Operating Expenses"
Finanza in Conto Proprio - Derivati OTC,Own account finance - OTC derivatives
Gestione della Conformita' - Gestione ambito normativo Short Selling,Compliance Management - Short Selling Regulatory Management
Risorse Umane - Sistemi di Remunerazione e Incentivazione,Human Resources - Remuneration and Incentive Systems
Concessione - Financial Institutions ONE,Concession - Financial Institutions ONE
Risorse Umane - Gestione del Personale non Dipendente,Human Resources - Management of Non-Employee Personnel
Rischio di Credito - Sviluppo e Revisione Modelli Interni del Rischio di Credito,Credit Risk - Development and Review of Internal Models of Credit Risk
Carte di pagamento - Carte prepagate,Payment cards - Prepaid cards
Rischio Finanziario di Banking Book - Rischio IRR,Banking Book financial risk - IRR risk
Governo societario e adempimenti societari - Adempimenti in tema di partecipazioni detenibili,Corporate governance and corporate obligations - Fulfillments in terms of shareholdings that can be held
Rating - Attribuzione e Gestione Rating - Finanza Strutturata,Rating - Attribution and Rating Management - Structured Finance
Service Strategy - Governo ICT,Service Strategy - ICT Government
Finanza in Conto Proprio - Emissioni Obbligazionarie,Own Account Finance - Bond Issues
Service Transition - Progettazione e Sviluppo AM,Service Transition - AM Design and Development
Finanziamenti - Gestione prestiti,Loans - Loan management
Credit Risk Mitigation - Garanzia SACE-ISMEA,Credit Risk Mitigation - SACE-ISMEA guarantee
Cybersecurity and BC Projects - Gestione accessi e Sicurezza Infrastrutturale,Cybersecurity and BC Projects - Access Management and Infrastructural Security
Garanzie Domestiche Passive e Garanzie Internazionali - Impegni di firma,Passive Domestic Guarantees and International Guarantees - Signature commitments
Rating - Inquadramento di Controparte,Rating - Counterparty status
Conti e Depositi - Cash Pooling Domestico e Internazionale,Accounts and Deposits - Domestic and International Cash Pooling
Acquisti e Cessione Beni - Processi di approvvigionamento,Purchases and Sale of Goods - Procurement processes
Credit Risk Mitigation - Confidi,Credit Risk Mitigation - Confidi
Fiscalita' - Contenzioso Fiscale,Taxation - Tax litigation
Gestione della Conformita' - Regolamentazione Internazionale dei Derivati - Ambito EMIR e Swap Dealer,Compliance Management - International Derivatives Regulation - EMIR Scope and Swap Dealer
Concessione - Factoring,Concession - Factoring
Gestione della Conformita' - Gestione Adempimenti Fiscalita' Soggetti non Residenti - FATCA - IGA - CRS - QIA,Compliance Management - Non-Resident Tax Compliance Management - FATCA - IGA - CRS - QIA
Risk Strategy e Internal Capital & Liquidity Adequacy Assessment - Stress Testing Programme,Risk Strategy and Internal Capital & Liquidity Adequacy Assessment - Stress Testing Programme
Incassi e Pagamenti - Assegni Italia,Collections and Payments - Checks Italy
Risorse Umane - Formazione,Human Resources - Training
Cybersecurity and BC Governance - Gestione degli eventi critici,Cybersecurity and BC Governance - Critical Event Management
Altri prodotti e servizi accessori - POS,Other ancillary products and services - POS
Fiscalita' - Fiscalita' degli Immobili,Taxation - Property taxation
Finanza in Conto Proprio - Gestione Tasso Interno di Trasferimento a Breve Termine,Own Account Finance - Short Term Internal Transfer Rate Management
Gestione della Conformita' - Gestione ambito Normativo Intermediazione Assicurativa e Previdenziale - IVASS,Compliance Management - Management of the Regulatory Area of Insurance and Social Security Intermediation - IVASS
Cybersecurity and BC Projects - Gestione profili abilitativi,Cybersecurity and BC Projects - Management of qualification profiles
Contabilita' - Gestione Sistemi Contabili,Accounting - Accounting Systems Management
Concessione - Privati - Mutui,Concession - Private - Mortgages
Rischio Operativo - Altri Rischi Operativi,Operational Risk - Other Operational Risks
Incassi e Pagamenti - Bonifici estero in uscita,Collections and Payments - Outgoing foreign transfers
Cybersecurity and BC Governance - Security by Design,Cybersecurity and BC Governance - Security by Design
Data Governance - Data Management,Data Governance - Data Management
Finanza in Conto Proprio - Cartolarizzazioni sintetiche,Own account finance - Synthetic securitisations
Gestione della Conformita' - Gestione ambito normativo Responsabilita' amministrativa degli enti,Compliance Management - Management of the regulatory environment Administrative responsibility of entities
Servizi di Sportello - Cassette di Sicurezza e Depositi Chiusi,Counter Services - Safety Deposit Boxes and Locked Deposits
Corporate Finance - Mergers & Acquisitions,Corporate Finance - Mergers & Acquisitions
Service Transition - Gestione delle Configurazioni,Service Transition - Configuration Management
"Sviluppo Prodotti, Servizi e Accordi Commerciali - Gestione degli Incentivi Fiscali","Development of Products, Services and Commercial Agreements - Management of Tax Incentives"
Concessione - Corporate ONE,Concession - Corporate ONE
Concessione - Corporate,Concession - Corporate
Concessione - Enti e Imprese Pubbliche,Concession - Public Entities and Enterprises
Corporate Finance - Cartolarizzazioni di Terzi,Corporate Finance - Third Party Securitizations
Gestione del Credito in Bonis in Monitoraggio - Gestione Posizioni Privati Retail,Management of Performing Credit under Monitoring - Management of Private Retail Positions
"Sviluppo Prodotti, Servizi e Accordi Commerciali - Gestione delle Filiere","Product Development, Services and Commercial Agreements - Supply Chain Management"
Relazioni istituzionali e Comunicazione esterna - Comunicazione e Rapporti con i Media,Institutional Relations and External Communication - Communication and Relations with the Media
Rating - Attribuzione e Gestione Rating - Segmento Regolamentare Enti Pubblici,Rating - Attribution and Rating Management - Regulatory Segment of Public Bodies
Contabilita' - Contabilita' Generale,Accounting - General Accounting
Incassi e Pagamenti - Bonifici SEPA in uscita,Collections and Payments - Outgoing SEPA transfers
Gestione del Credito in Bonis in Monitoraggio - Gestione Proattiva Corporate e Small Business,Monitoring Performing Loan Management - Proactive Corporate and Small Business Management
Bilancio e Pillar III - Bilancio Consolidato,Financial Statements and Pillar III - Consolidated Financial Statements
Prodotti e Servizi Finanziari - Client Clearing OTC,Financial Products and Services - OTC Client Clearing
Incassi e Pagamenti - Certificati di Conformita',Collections and Payments - Certificates of Conformity
Incassi e Pagamenti - Servizi Vari di Incasso e Pagamenti,Collections and Payments - Various collection and payment services
Portafoglio - Presentazioni di portafoglio,Portfolio - Portfolio presentations
Conti e Depositi - Certificati di Deposito,Accounts and Deposits - Certificates of Deposit
Anagrafe - Anagrafe dei Rapporti,Registry - Registry of Relationships
Finanza in Conto Proprio - Cartolarizzazioni Proprie,Own Account Finance - Own Securitizations
Contabilita' - Contabilita' Clienti,Accounting - Customer Accounting
Cybersecurity and BC Governance - Soluzioni Continuità Operativa di contingency per i processi sistemici,Cybersecurity and BC Governance - Contingency Business Continuity solutions for systemic processes
Servizi di Sportello - Trasporto e contazione valori conto terzi,Counter services - Transport and counting of valuables on behalf of third parties
Finanza in Conto Proprio - Obbligazioni Bancarie Garantite,Own Account Finance - Guaranteed Bank Bonds
Concessione - Small Business,Concession - Small Business
Service Design - Definizione architettura del sistema informativo,Service Design - Architecture definition of the information system
Processi Amministrativi - Gestione Sospesi Contabili,Administrative Processes - Accounting Suspended Management
Altri prodotti e servizi accessori - Diamanti,Other ancillary products and services - Diamonds
Risorse Umane - Dimissioni e Risoluzione Consensuale,Human Resources - Resignation and Consensus Termination
Service Transition - Gestione del change tecnologico,Service Transition - Management of technological change
Concessione - Confirming,Concession - Confirming
Banche dati del Credito - Sistemi di Informazioni Creditizie,Credit databases - Credit Information Systems
Servizi di Accesso ai Canali Digitali - Servizi di Remote Banking destinati a Persone Giuridiche,Access Services to Digital Channels - Remote Banking Services for Legal Persons
Finanza in Conto Proprio - Emissioni certificates,Own account finance - Issues of certificates
Prodotti e Servizi Finanziari - Equity,Financial Products and Services - Equity
Concessione - Revisioni automatiche,Concession - Automatic Revisions
Fiscalita' - Regime di Adempimento Collaborativo con l'Agenzia delle Entrate,Taxation - Collaborative compliance regime with the Revenue Agency
Segnalazioni - Segnalazioni Sofferenze,Reports - Reports of bad debts
Finanziamenti - Finanziamenti in GIC,Loans - Loans in GIC
Finanza in Conto Proprio - Alternative Investments Funds,Own Account Finance - Alternative Investments Funds
Concessione - Privati - Prestiti a Dipendenti Gruppo Intesa Sanpaolo,Concession - Individuals - Loans to Intesa Sanpaolo Group Employees
Acquisti e Cessione Beni - Gestione acquisti,Purchases and Sale of Goods - Purchase management
Incassi e Pagamenti - Bonifici estero in entrata,Collections and Payments - Incoming foreign transfers
Corporate Finance - Loan Trading,Corporate Finance - Loan Trading
Risorse Umane - Dispositivi per il Personale,Human Resources - Personnel Devices
Contabilita' - Contabilita' Cespiti,Accounting - Asset Accounting
Cybersecurity and BC Services - Security Fraud Management,Cybersecurity and BC Services - Security Fraud Management
Finanziamenti - Gestione degli Interventi Agevolati,Financing - Management of Facilitated Interventions
Governo societario e adempimenti societari - Offerta Pubblica di Acquisto,Corporate governance and corporate obligations - Public Purchase Offer
Concessione - Leasing,Concession - Leasing
Pianificazione e Controllo di Gestione - Capital Budget,Planning and Management Control - Capital Budget
Anagrafe - Gestione e alimentazione Anagrafe Controparti di Gruppo,Registry - Management and feeding of the Group Counterparty Registry
Customer Relationship Management - Portafogliazione della clientela,Customer Relationship Management - Customer portfolio
Service Strategy - Gestione della Domanda ICT,Service Strategy - ICT Demand Management
Servizi di Sportello - Prelevamento,Counter Services - Withdrawal
Monitoraggio Crediti - Gestione Indicatori di Andamento Settoriale,Credit Monitoring - Management of Sector Performance Indicators
Factoring - Gestione Factoring,Factoring - Factoring management
Gestione della Conformita' - Gestione ambito normativo Trasparenza Bancaria,Compliance Management - Regulatory management of Banking Transparency
Organizzazione - Gestione della normativa e dei processi aziendali,Organization - Management of regulations and business processes
Conti e Depositi - Conti Correnti,Accounts and Deposits - Current Accounts
Cybersecurity and BC Services - Gestione Servizi Fiduciari,Cybersecurity and BC Services - Trust Services Management
Finanza in Conto Proprio - Clearing,Own Account Finance - Clearing
Rischio Mercato - Rischio Generico di Posizione,Market Risk - Generic Position Risk
Estero - Rimesse documentate incassi documenti export,"Abroad - Documented remittances, receipts, export documents"
Incassi e Pagamenti - Pensioni,Collections and Payments - Pensions
Risorse Umane - Gestione Consulenti Finanziari Dipendenti abilitati all'Offerta Fuori Sede,Human Resources - Management of Financial Advisors Employees qualified for Door-to-Door Offerings
Bilancio e Pillar III - Informativa Prudenziale,Balance sheet and Pillar III - Prudential Disclosure
Monitoraggio Crediti - Monitoraggio Costo del Credito,Credit Monitoring - Credit Cost Monitoring
Processi Amministrativi - Autorizzazioni e sconfinamenti,Administrative Processes - Authorizations and trespassing
Gestione del Credito Deteriorato - Gestione dei beni acquisiti in asta,Management of Impaired Credit - Management of assets acquired at auction
Gestione del Credito Deteriorato - Gestione Sofferenze,Non-Performing Loan Management - Bad Loan Management
Cybersecurity and BC Governance - Soluzioni Continuità Operativa,Cybersecurity and BC Governance - Business Continuity Solutions
Leasing - Amministrazione Finanziamenti Leasing,Leasing - Leasing Financing Administration
Incassi e Pagamenti - Tesoreria enti,Collections and Payments - Treasury institutions
Outsourcing - Valutazione e Monitoraggio delle Esternalizzazioni,Outsourcing - Evaluation and Monitoring of Outsourcing
Finanziamenti - Surroghe passive,Loans - Passive subrogations
Portafoglio - Anticipo fatture Italia,Portfolio - Advance on Italian invoices
Finanziamenti - Adempimenti ai fini agevolativi - Banca Finanziatrice,Loans - Fulfillments for facilitation purposes - Financing Bank
Data Governance - Data Quality,Data Governance - Data Quality
Strategie - Gestione studi e ricerche,Strategies - Study and research management
"Sviluppo Prodotti, Servizi e Accordi Commerciali - Nuovi prodotti, servizi e attività destinati a un determinato Target di Clientela","Development of Products, Services and Commercial Agreements - New products, services and activities intended for a specific Customer Target"
Contenzioso e Consulenza Legale - Gestione della consulenza legale - Contrattualistica finanziaria internazionale,Litigation and Legal Advice - Management of legal advice - International financial contracts
Processi Amministrativi - Corrispondenza interna ed esterna,Administrative Processes - Internal and external correspondence
Fiscalita' - Consolidato Fiscale,Taxation - Tax Consolidation
Ramo Danni - Polizze di Protezione - Beni e Persone,Non-life business - Protection policies - Assets and People
Concessione - Privati - Mutui agevolati a Dipendenti Gruppo Intesa Sanpaolo,Concession - Individuals - Subsidized loans to Intesa Sanpaolo Group Employees
Concessione - Privati - Fidi e Altri Finanziamenti,Concession - Private - Credit lines and other loans
Servizi di Accesso ai Canali Digitali - Altri Servizi Digitali destinati a Persone Giuridiche,Access Services to Digital Channels - Other Digital Services intended for Legal Persons
"Sviluppo Prodotti, Servizi e Accordi Commerciali - Accordi con Terze Parti per l'offerta di servizi alla clientela","Product Development, Services and Commercial Agreements - Agreements with third parties for the offer of services to customers"
"Adempimenti Obbligatori - Accertamenti Bancari, Fiscali e Concorsuali","Mandatory Fulfillments - Bank, Fiscal and Insolvency Assessments"
Leasing - Gestione Asset Leasing Mobiliari,Leasing - Asset Leasing Management
Finanza in Conto Proprio - Contribuzione Tassi di Mercato,Own Account Finance - Market Rate Contribution
Fiscalita' - Imposta di bollo,Taxation - Stamp duty
Gestione della Conformita' - Gestione ambito normativo Sicurezza sul lavoro,Compliance Management - Regulatory management Safety at work
Credit Risk Mitigation - Garanzie Ipotecarie,Credit Risk Mitigation - Mortgage Guarantees
Cybersecurity and BC Governance - Manutenzione dei Piani di Continuità Operativa e di Sicurezza Informatica,Cybersecurity and BC Governance - Maintenance of Business Continuity Plans and IT Security
Cybersecurity and BC Governance - Sicurezza delle Terze Parti,Cybersecurity and BC Governance - Third Party Security
Fiscalita' - IVA,Taxation - VAT
Strategie - Recovery Plan,Strategies - Recovery Plan
Rischio Mercato - Rischio di Controparte,Market Risk - Counterparty Risk
"Governo societario e adempimenti societari - Organi sociali, Governo Societario e Adempimenti Societari","Corporate governance and corporate obligations - Corporate bodies, corporate governance and corporate obligations"
Gestione della Conformita' - Gestione ambito normativo Normativa emittenti,Compliance Management - Management of the regulatory environment Issuers' legislation
Gestione della Conformita' - Gestione ambito normativo Antiriciclaggio e Contrasto al Finanziamento del terrorismo internazionale,Compliance Management - Management of the Anti-Money Laundering and Countering the Financing of International Terrorism
Adempimenti Obbligatori - Rapporti dormienti,Mandatory Fulfillments - Dormant relationships
Rischio Finanziario di Banking Book - Rischio Equity,Banking Book Financial Risk - Equity Risk
Servizi di Sportello - Gestione del Contante,Counter Services - Cash Management
Banche dati del Credito - Bilanci,Credit databases - Balance sheets
Fiscalita' - Fiscalita' d'Impresa,Taxation - Corporate Taxation
Prodotti e Servizi Finanziari - Trasferimento degli Strumenti Finanziari,Financial Products and Services - Transfer of Financial Instruments
Pricing e Modelli di Mercato - Gestione modelli e dati di mercato,Pricing and Market Models - Management of market models and data
Ramo Danni - Polizze di Protezione - Finanziamenti,Non-life business - Protection policies - Loans
Finanza in Conto Proprio - Emissioni Covered Warrant,Own Account Finance - Covered Warrant Issues
Sicurezza Fisica - Infofisica,Physical Security - Infophysics
Segnalazioni - Segnalazioni AnaCredit,Reports - AnaCredit Reports
Fiscalita' - Fiscalita' sostituto d'imposta,Taxation - Withholding agent taxation
Service Operation - Gestione problem,Service Operation - Problem Management
Anagrafica e Parametrizzazioni Finanza - Configurazioni Sistemi Finanza,Finance Master Data and Settings - Finance Systems Configurations
Gestione della Conformita' - Gestione ambito normativo Tutela della privacy,Compliance Management - Regulatory Management Privacy Protection
Finanza in Conto Proprio - Repo,Own Account Finance - Repo
Prodotti e Servizi Finanziari - Prestito Titoli Clientela,Financial Products and Services - Securities Lending to Customers
Finanza in Conto Proprio - Indirizzo e coordinamento attivita' di tesoreria - ALM,Own account finance - Direction and coordination of treasury activities - ALM
Finanza in Conto Proprio - Gestione Sistemi di Pagamento,Own Account Finance - Management of Payment Systems
Credit Risk Mitigation - Garanzie Fideiussorie e Lettere di Patronage,Credit Risk Mitigation - Guarantees and Letters of Patronage
Contabilita' - Contabilita' Finanza,Accounting - Accounting Finance
Relazioni Istituzionali e Comunicazione Esterna - Valorizzazione del Sociale e Relazioni con le Università,Institutional Relations and External Communication - Social Enhancement and Relations with Universities
Service Operation - Gestione Incident,Service Operation - Incident Management
Risparmio Gestito - Mandati di Gestione Patrimoni Mobiliari,Managed Savings - Asset Management Mandates
Banche dati del Credito - Gruppi di Clienti Connessi,Credit databases - Groups of Connected Customers
Concessione - Privati - Cessione del Quinto e Anticipo TFS,Concession - Private individuals - Assignment of the fifth and TFS advance
Data Governance - Gestione del Reporting,Data Governance - Reporting Management
Customer Relationship Management - Valore Insieme - Gestione del Servizio,Customer Relationship Management - Value Together - Service Management
Risorse Umane - Gestione del Personale che presta Servizi di Investimento,Human Resources - Management of Personnel who provide Investment Services
Finanza in Conto Proprio - Gestione Tasso Asset and Liability Management,Own Account Finance - Asset and Liability Management Rate Management
Corporate Finance - Debt Capital Markets,Corporate Finance - Debt Capital Markets
Gestione del Credito in Bonis in Monitoraggio - Gestione Posizioni SME Retail,Management of Performing Credit under Monitoring - Management of SME Retail Positions
Cessione Crediti - Loan Stock Disposal - Cessione Single Name di Crediti in Bonis,Credit Assignment - Loan Stock Disposal - Single Name Assignment of Performing Loans
Adempimenti Obbligatori - Fondo Unico di Giustizia,Compulsory Fulfillments - Single Justice Fund
Strategie - Internal Capital and Liquidity Adequacy Assessment Process (ICAAP e ILAAP),Strategies - Internal Capital and Liquidity Adequacy Assessment Process (ICAAP and ILAAP)
Contabilita' - Perdite operative e sopravvenienze,Accounting - Operating losses and contingencies
Gestione della Conformita' - Gestione ambito normativo Money Market Statistical Reporting (MMSR),Compliance Management - Regulatory Management Money Market Statistical Reporting (MMSR)
Finanza in Conto Proprio - Gestione provvista TLTRO (Targeted Long Term Refinancing Operation),Own account finance - TLTRO funding management (Targeted Long Term Refinancing Operation)
Finanza in Conto Proprio - Derivati ETD,Own account finance - ETD derivatives
