Italian,English
Gestione della Conformita' - Gestione ambito normativo Operazioni con parti correlate - Soggetti collegati e Obbligazioni degli esponenti bancari,Compliance Management - Regulatory management Transactions with related parties - Associated parties and Obligations of bank representatives
Credit Risk Mitigation - Garanzie di fondi,Credit Risk Mitigation - Guarantees of funds
Gestione della Conformita' - Gestione ambito normativo Embarghi,Compliance Management - Management of the Embargo regulatory framework
Prodotti e Servizi Finanziari - Derivati OTC,Financial Products and Services - OTC Derivatives
Strategie - Informativa per il Resolution Plan,Strategies - Disclosure for the Resolution Plan
Intesa Sanpaolo Agents4You,Intesa Sanpaolo Agents4You
Relazioni istituzionali e Comunicazione esterna - Rapporti con i Supervisori e le Autorita' di Regolamentazione,Institutional Relations and External Communication - Relations with Supervisors and Regulatory Authorities
Servizi di Sportello - Gestione Apparecchiature Self,Counter Services - Self Equipment Management
Altri prodotti e servizi accessori - Prestito d'uso e vendita di Oro,Other ancillary products and services - Loans for use and sale of Gold
Service Transition - Gestione fornitori,Service Transition - Supplier management
Cybersecurity and BC Services - Security Operation Center,Cybersecurity and BC Services - Security Operation Center
Strutture e Figure Professionali obsolete,Outdated Structures and Professional Figures
Service Transition - Gestione Asset Fisici & Licenze SW,Service Transition - Management of Physical Assets & SW Licenses
Immobili e Patrimonio Artistico - Gestione del Patrimonio Artistico,Property and Artistic Heritage - Management of Artistic Heritage
Risorse Umane - Gestione Amministrativa del Personale,Human Resources - Personnel Administrative Management
Anagrafe - Censimento e Gestione Controparte,Registry - Census and Counterparty Management
Segnalazioni - Altre Segnalazioni di Vigilanza,Reports - Other Supervisory Reports
Immobili e Patrimonio Artistico - Gestione amministrativa immobili,Property and Artistic Heritage - Administrative property management
Finanza in Conto Proprio - Gestione liquidita' euro e divisa,Own account finance - Euro and currency liquidity management
Finanza in Conto Proprio - Gestione attivi bancari collateralizzati,Own account finance - Management of collateralized bank assets
Carte di pagamento - Carte di debito e di servizio,Payment Cards - Debit and Service Cards
Pianificazione e Controllo di Gestione - Contabilità Industriale e Contratti di Service,Planning and Management Control - Industrial Accounting and Service Contracts
Corporate Finance - Equity Capital Markets,Corporate Finance - Equity Capital Markets
Rischio di Liquidita' - Rischio di Liquidita' di Gruppo,Liquidity risk - Group liquidity risk
Sistema Integrato dei Controlli Interni - Sistema Interno di Segnalazione delle Violazioni,Integrated System of Internal Controls - Internal Violation Reporting System
Servizi di Sportello - Gestione rapporti con sale conta,Counter services - Management of relationships with counting rooms
Concessione - Privati - Mutui venduti tramite Reti Terze,Concession - Private individuals - Mortgages sold through third-party networks
Adempimenti Obbligatori - Successioni,Mandatory Fulfillments - Successions
Risorse Umane - Gestione Intermediari Assicurativi Dipendenti,Human Resources - Management of Employee Insurance Intermediaries
Contenzioso e Consulenza Legale - Gestione del contenzioso legale,Litigation and Legal Advice - Management of legal disputes
Finanziamenti - Finanziamenti in Loan IQ,Financing - Loan IQ financing
Pricing e Modelli di Mercato - Independent Price Verification,Pricing and Market Models - Independent Price Verification
Service Transition - Gestione dei test,Service Transition - Test Management
Fideuram Intesa Sanpaolo Private Banking,Fideuram Intesa Sanpaolo Private Banking
Valutazioni ai fini di Bilancio - Valutazione Titoli e Derivati,Valuations for Financial Statements purposes - Valuation of Securities and Derivatives
Incassi e Pagamenti - Assegni Estero,Collections and Payments - Foreign Cheques
Finanza in Conto Proprio - Funding,Own account finance - Funding
"Pianificazione e Controllo di Gestione - Budget, Forecast e Consolidamento Oneri Operativi","Planning and Management Control - Budget, Forecast and Consolidation of Operating Expenses"
Estero - Operativita' in cambi,Abroad - Operations in foreign exchange
Gestione della Conformita' - Gestione ambito normativo Short Selling,Compliance Management - Short Selling Regulatory Management
Risorse Umane - Gestione del Personale non Dipendente,Human Resources - Management of Non-Employee Personnel
Rischio di Credito - Sviluppo e Revisione Modelli Interni del Rischio di Credito,Credit Risk - Development and Review of Internal Models of Credit Risk
Governo societario e adempimenti societari - Adempimenti in tema di partecipazioni detenibili,Corporate governance and corporate obligations - Fulfillments in terms of shareholdings that can be held
Banca IMI,IMI Bank
Finanza in Conto Proprio - Emissioni Obbligazionarie,Own Account Finance - Bond Issues
Service Transition - Progettazione e Sviluppo AM,Service Transition - AM Design and Development
Cybersecurity and BC Projects - Gestione accessi e Sicurezza Infrastrutturale,Cybersecurity and BC Projects - Access Management and Infrastructural Security
Acquisti e Cessione Beni - Processi di approvvigionamento,Purchases and Sale of Goods - Procurement processes
Mediocredito Italiano,Italian Mediocredito
Acquisti e Cessione Beni - Albo e Qualifica Fornitori e Terze Parti,Purchases and Sale of Goods - Register and Qualification of Suppliers and Third Parties
Gestione della Conformita' - Regolamentazione Internazionale dei Derivati - Ambito EMIR e Swap Dealer,Compliance Management - International Derivatives Regulation - EMIR Scope and Swap Dealer
Risk Strategy e Internal Capital & Liquidity Adequacy Assessment - Stress Testing Programme,Risk Strategy and Internal Capital & Liquidity Adequacy Assessment - Stress Testing Programme
Carte di pagamento - Carte di credito,Payment cards - Credit cards
Risorse Umane - Formazione,Human Resources - Training
Cybersecurity and BC Governance - Gestione degli eventi critici,Cybersecurity and BC Governance - Critical Event Management
Altri prodotti e servizi accessori - POS,Other ancillary products and services - POS
Fiscalita' - Fiscalita' degli Immobili,Taxation - Property taxation
Finanza in Conto Proprio - Gestione Tasso Interno di Trasferimento a Breve Termine,Own Account Finance - Short Term Internal Transfer Rate Management
Cybersecurity and BC Projects - Gestione profili abilitativi,Cybersecurity and BC Projects - Management of qualification profiles
Contabilita' - Gestione Sistemi Contabili,Accounting - Accounting Systems Management
Rischio Operativo - Altri Rischi Operativi,Operational Risk - Other Operational Risks
Finanza in Conto Terzi - Derivati Regolamentati,Third Party Finance - Regulated Derivatives
Segnalazioni - Segnalazioni di Matrice e altre Segnalazioni di Vigilanza Statistica,Reports - Matrix Reports and other Statistical Supervisory Reports
Data Governance - Data Management,Data Governance - Data Management
Gestione della Conformita' - Gestione ambito normativo Responsabilita' amministrativa degli enti,Compliance Management - Management of the regulatory environment Administrative responsibility of entities
Corporate Finance - Mergers & Acquisitions,Corporate Finance - Mergers & Acquisitions
Service Transition - Gestione delle Configurazioni,Service Transition - Configuration Management
"Sviluppo Prodotti, Servizi e Accordi Commerciali - Gestione degli Incentivi Fiscali","Development of Products, Services and Commercial Agreements - Management of Tax Incentives"
Relazioni istituzionali e Comunicazione esterna - Comunicazione e Rapporti con i Media,Institutional Relations and External Communication - Communication and Relations with the Media
Processi Amministrativi - Archiviazione in formato cartaceo ed elettronico dei documenti,Administrative Processes - Archiving of documents in paper and electronic format
Contabilita' - Contabilita' Generale,Accounting - General Accounting
Finanza in Conto Proprio - Rendicontazione Gestionale e Backtesting del Profit and Loss,Own Account Finance - Management Reporting and Profit and Loss Backtesting
Bilancio e Pillar III - Bilancio Consolidato,Financial Statements and Pillar III - Consolidated Financial Statements
Prodotti e Servizi Finanziari - Client Clearing OTC,Financial Products and Services - OTC Client Clearing
Incassi e Pagamenti - Servizi Vari di Incasso e Pagamenti,Collections and Payments - Various collection and payment services
Carte di pagamento - Consegna e attivazione della Carta e del PIN,Payment cards - Delivery and activation of the Card and PIN
Anagrafe - Anagrafe dei Rapporti,Registry - Registry of Relationships
Finanza in Conto Proprio - Cartolarizzazioni Proprie,Own Account Finance - Own Securitizations
Cybersecurity and BC Governance - Soluzioni Continuità Operativa di contingency per i processi sistemici,Cybersecurity and BC Governance - Contingency Business Continuity solutions for systemic processes
Finanza in Conto Proprio - Obbligazioni Bancarie Garantite,Own Account Finance - Guaranteed Bank Bonds
Risorse Umane - Dimissioni e Risoluzione Consensuale,Human Resources - Resignation and Consensus Termination
Service Transition - Gestione del change tecnologico,Service Transition - Management of technological change
Compravendita titoli - Mercato secondario,Securities trading - Secondary market
Strategie - Capital Management,Strategies - Capital Management
Rischio Finanziario di Banking Book - Rischio IRR,Banking Book financial risk - IRR risk
Fiscalita' - Regime di Adempimento Collaborativo con l'Agenzia delle Entrate,Taxation - Collaborative compliance regime with the Revenue Agency
Segnalazioni - Segnalazioni Sofferenze,Reports - Reports of bad debts
Finanziamenti - Finanziamenti in GIC,Loans - Loans in GIC
Finanza in Conto Proprio - Alternative Investments Funds,Own Account Finance - Alternative Investments Funds
Acquisti e Cessione Beni - Gestione acquisti,Purchases and Sale of Goods - Purchase management
Risorse Umane - Sviluppo del Personale Dipendente,Human Resources - Employee Personnel Development
"Sviluppo Prodotti, Servizi e Accordi Commerciali - Pricing","Product Development, Services and Commercial Agreements - Pricing"
Risorse Umane - Dispositivi per il Personale,Human Resources - Personnel Devices
Contabilita' - Contabilita' Cespiti,Accounting - Asset Accounting
Cybersecurity and BC Services - Security Fraud Management,Cybersecurity and BC Services - Security Fraud Management
Governo societario e adempimenti societari - Offerta Pubblica di Acquisto,Corporate governance and corporate obligations - Public Purchase Offer
Pianificazione e Controllo di Gestione - Capital Budget,Planning and Management Control - Capital Budget
Banca 5,Bank 5
Portafoglio - Presentazioni di portafoglio,Portfolio - Portfolio presentations
Service Design - Definizione architettura del sistema informativo,Service Design - Architecture definition of the information system
Cybersecurity and BC Services - Gestione Servizi Fiduciari,Cybersecurity and BC Services - Trust Services Management
Finanza in Conto Proprio - Clearing,Own Account Finance - Clearing
Corporate Finance - Cartolarizzazioni di Terzi,Corporate Finance - Third Party Securitizations
Bilancio e Pillar III - Informativa Prudenziale,Balance sheet and Pillar III - Prudential Disclosure
Processi Amministrativi - Autorizzazioni e sconfinamenti,Administrative Processes - Authorizations and trespassing
Gestione del Credito Deteriorato - Gestione dei beni acquisiti in asta,Management of Impaired Credit - Management of assets acquired at auction
Gestione del Credito Deteriorato - Gestione Sofferenze,Non-Performing Loan Management - Bad Loan Management
Anagrafe - Gestione e alimentazione Anagrafe Controparti di Gruppo,Registry - Management and feeding of the Group Counterparty Registry
Cybersecurity and BC Governance - Soluzioni Continuità Operativa,Cybersecurity and BC Governance - Business Continuity Solutions
Gestione della Conformita' - Gestione ambito normativo Markets in Financial Instruments Directive (MiFID II) - Negoziazione Algoritmica,Compliance Management - Regulatory Management Markets in Financial Instruments Directive (MiFID II) - Algorithmic Trading
Rischio Mercato - Rischio Generico di Posizione,Market Risk - Generic Position Risk
Concessione - Corporate,Concession - Corporate
Outsourcing - Valutazione e Monitoraggio delle Esternalizzazioni,Outsourcing - Evaluation and Monitoring of Outsourcing
Risorse Umane - Sistemi di Remunerazione e Incentivazione,Human Resources - Remuneration and Incentive Systems
Data Governance - Data Quality,Data Governance - Data Quality
Processi Amministrativi - Corrispondenza interna ed esterna,Administrative Processes - Internal and external correspondence
Gestione della Conformita' - Gestione ambito normativo Trasparenza Bancaria,Compliance Management - Regulatory management of Banking Transparency
Fiscalita' - Consolidato Fiscale,Taxation - Tax Consolidation
Service Strategy - Governo ICT,Service Strategy - ICT Government
"Adempimenti Obbligatori - Accertamenti Bancari, Fiscali e Concorsuali","Mandatory Fulfillments - Bank, Fiscal and Insolvency Assessments"
Leasing - Gestione Asset Leasing Mobiliari,Leasing - Asset Leasing Management
Finanza in Conto Proprio - Contribuzione Tassi di Mercato,Own Account Finance - Market Rate Contribution
Gestione della Conformita' - Gestione ambito normativo Sicurezza sul lavoro,Compliance Management - Regulatory management Safety at work
Finanza in Conto Proprio - Derivati OTC,Own account finance - OTC derivatives
Cybersecurity and BC Governance - Manutenzione dei Piani di Continuità Operativa e di Sicurezza Informatica,Cybersecurity and BC Governance - Maintenance of Business Continuity Plans and IT Security
Credit Risk Mitigation - Garanzie Ipotecarie,Credit Risk Mitigation - Mortgage Guarantees
Cybersecurity and BC Governance - Sicurezza delle Terze Parti,Cybersecurity and BC Governance - Third Party Security
Fiscalita' - IVA,Taxation - VAT
Strategie - Recovery Plan,Strategies - Recovery Plan
Rischio Mercato - Rischio di Controparte,Market Risk - Counterparty Risk
"Governo societario e adempimenti societari - Organi sociali, Governo Societario e Adempimenti Societari","Corporate governance and corporate obligations - Corporate bodies, corporate governance and corporate obligations"
Gestione della Conformita' - Gestione ambito normativo Normativa emittenti,Compliance Management - Management of the regulatory environment Issuers' legislation
Calcolo VaR Rischi Finanziari di Banking Book,VaR Calculation of Banking Book Financial Risks
Servizi di Sportello - Gestione del Contante,Counter Services - Cash Management
Gestione della Conformita' - Gestione ambito normativo Markets in Financial Instruments Directive (MiFID II),Compliance Management - Regulatory Management Markets in Financial Instruments Directive (MiFID II)
Fiscalita' - Fiscalita' d'Impresa,Taxation - Corporate Taxation
Concessione - Privati - Fidi e Altri Finanziamenti,Concession - Private - Credit lines and other loans
Cybersecurity and BC Governance - Security by Design,Cybersecurity and BC Governance - Security by Design
Pricing e Modelli di Mercato - Gestione modelli e dati di mercato,Pricing and Market Models - Management of market models and data
Gestione della Conformita' - Gestione ambiti normativi Sicurezza ICT e Business Continuity,Compliance Management - Management of ICT Security and Business Continuity regulatory areas
Service Strategy - Gestione della Domanda ICT,Service Strategy - ICT Demand Management
Segnalazioni - Segnalazioni AnaCredit,Reports - AnaCredit Reports
Fiscalita' - Fiscalita' sostituto d'imposta,Taxation - Withholding agent taxation
Eurizon Capital,Eurizon Capital
Prodotti e Servizi Finanziari - Bond e Certificates,Financial Products and Services - Bonds and Certificates
Gestione della Conformita' - Gestione ambito normativo Tutela della privacy,Compliance Management - Regulatory Management Privacy Protection
Gestione del Credito Deteriorato - Gestione Inadempienza Probabile,Non-Performing Loan Management - Probable Default Management
Finanza in Conto Proprio - Indirizzo e coordinamento attivita' di tesoreria - ALM,Own account finance - Direction and coordination of treasury activities - ALM
Servizi di Sportello - Cassette di Sicurezza e Depositi Chiusi,Counter Services - Safety Deposit Boxes and Locked Deposits
Ramo Danni - Polizze di Protezione - Beni e Persone,Non-life business - Protection policies - Assets and People
Service Operation - Gestione Incident,Service Operation - Incident Management
Risparmio Gestito - Mandati di Gestione Patrimoni Mobiliari,Managed Savings - Asset Management Mandates
"Sviluppo Prodotti, Servizi e Accordi Commerciali - Accordi con Terze Parti per l'offerta di servizi alla clientela","Product Development, Services and Commercial Agreements - Agreements with third parties for the offer of services to customers"
Neva SGR,Neva SGR
Private Equity International,Private Equity International
Organizzazione - Gestione della normativa e dei processi aziendali,Organization - Management of regulations and business processes
Gestione della Conformita' - Gestione ambito normativo Money Market Statistical Reporting (MMSR),Compliance Management - Regulatory Management Money Market Statistical Reporting (MMSR)
Corporate Finance - Debt Capital Markets,Corporate Finance - Debt Capital Markets
Carte di pagamento - Carte prepagate,Payment cards - Prepaid cards
"Ramo Vita - Prodotti di Investimento Assicurativi - Polizze Vita Ramo I, Ramo III, Ramo V e Multiramo","Life Class - Insurance Investment Products - Class I, Class III, Class V and Multi-class Life policies"
Finanza in Conto Proprio - Repo,Own Account Finance - Repo
Cybersecurity and BC Governance - Sistema dei controlli in ambito Cybersecurity e Business Continuity,Cybersecurity and BC Governance - Control system in the field of Cybersecurity and Business Continuity
Gestione della Conformita' - Gestione ambito normativo Market Abuse,Compliance Management - Management of the Market Abuse regulatory environment
Gestione della Conformita' - Gestione ambito normativo Antiriciclaggio e Contrasto al Finanziamento del terrorismo internazionale,Compliance Management - Management of the Anti-Money Laundering and Countering the Financing of International Terrorism
Data Governance - Gestione del Reporting,Data Governance - Reporting Management
Incassi e Pagamenti - Tesoreria enti,Collections and Payments - Treasury institutions
Finanza in Conto Proprio - Gestione provvista TLTRO (Targeted Long Term Refinancing Operation),Own account finance - TLTRO funding management (Targeted Long Term Refinancing Operation)
Relazioni istituzionali e Comunicazione esterna - Fondo di beneficenza,Institutional Relations and External Communication - Charity Fund
Organizzazione - Creazione e manutenzione Strutture,Organization - Creation and maintenance of Structures
Service Transition - Progettazione e Sviluppo FM,Service Transition - FM Design and Development
Sistema Integrato dei Controlli Interni - Sistema dei controlli interni e reportistica integrata,Integrated System of Internal Controls - System of internal controls and integrated reporting
Bilancio e Pillar III - Bilancio d'Impresa,Financial Statements and Pillar III - Corporate Financial Statements
Bilancio e Pillar III - Reporting Contabile Finanziario al Mercato,Budget and Pillar III - Financial Accounting Reporting to the Market
Ramo Danni - Polizze di Protezione - Finanziamenti,Non-life business - Protection policies - Loans
Conti e Depositi - Conti Correnti,Accounts and Deposits - Current Accounts
Service Operation - Gestione operativa FM,Service Operation - FM operational management
Concessione - Small Business,Concession - Small Business
Customer Relationship Management - Servizi di consulenza finanziaria automatizzata e semi-automatizzata,Customer Relationship Management - Automated and semi-automated financial advisory services
Contabilita' - Contabilita' del Personale,Accounting - Personnel Accounting
Contenzioso e Consulenza Legale - Gestione della consulenza legale - Contrattualistica finanziaria internazionale,Litigation and Legal Advice - Management of legal advice - International financial contracts
Valutazioni ai fini di Bilancio - Valutazione Fondi Rischi e Oneri,Valuations for Financial Statements purposes - Valuation of Provisions for Risks and Charges
Credit Risk Mitigation - Garanzia SACE-ISMEA,Credit Risk Mitigation - SACE-ISMEA Guarantee
Risk Strategy e Internal Capital & Liquidity Adequacy Assessment - Risk Appetite Framework,Risk Strategy and Internal Capital & Liquidity Adequacy Assessment - Risk Appetite Framework
Relazioni istituzionali e Comunicazione esterna - Gestione Eventi e Sponsorizzazioni,Institutional Relations and External Communication - Event Management and Sponsorships
Risorse Umane - Gestione Consulenti Finanziari Dipendenti abilitati all'Offerta Fuori Sede,Human Resources - Management of Financial Advisors Employees qualified for Door-to-Door Offerings
Contabilita' - Contabilita' Clienti,Accounting - Customer Accounting
Service Operation - Gestione operativa AM,Service Operation - AM operational management
Sicurezza Fisica - Prevenzione,Physical Security - Prevention
Finanziamenti - Gestione Contributi,Funding - Contribution Management
Incassi e Pagamenti - Assegni Italia,Collections and Payments - Checks Italy
Valutazioni ai fini di Bilancio - Valutazione Partecipazioni,Valuations for Financial Statements purposes - Valuation of Equity Investments
Fiscalita' - Comunicazioni obbligatorie all'Agenzia delle Entrate,Taxation - Compulsory communications to the Revenue Agency
Service Design - Availability e Capacity Management,Service Design - Availability and Capacity Management
Offerta a Distanza strumenti finanziari e prodotti di investimento assicurativi,Remote offer of financial instruments and insurance investment products
Risparmio Gestito - Fondi Comuni di Investimento,Managed Savings - Mutual Investment Funds
Prodotti e Servizi Finanziari - Servizi offerti da Società Fiduciarie,Financial products and services - Services offered by trust companies
Gestione Sofferenze - Gestione albo legali esterni,Non-performing loans management - Management of external legal registers
Credit Risk Mitigation - Garanzie Fideiussorie e Lettere di Patronage,Credit Risk Mitigation - Guarantees and Letters of Patronage
Valutazioni ai fini di Bilancio - Valutazione del TFR e altri Fondi del Personale,Valuations for Financial Statements - Valuation of employee severance indemnities and other staff funds
"Immobili e Patrimonio Artistico - Progettazione, manutenzione ed esecuzione lavori","Property and Artistic Heritage - Design, maintenance and execution of works"
Modifica censimento anagrafe clienti e fornitori,Modification of the census of customers and suppliers
Incassi e Pagamenti - Pensioni,Collections and Payments - Pensions
Gestione del Credito in Bonis in Monitoraggio - Gestione Posizioni Privati Retail,Management of Performing Credit under Monitoring - Management of Private Retail Positions
Credit Risk Mitigation - Risk Participation Agreement,Credit Risk Mitigation - Risk Participation Agreement
Adempimenti Obbligatori - Sequestri Penali e Confische,Mandatory Fulfillments - Penal Seizures and Confiscation
Finanza in Conto Proprio - Gestione Tasso Asset and Liability Management,Own Account Finance - Asset and Liability Management Rate Management
Prodotti e Servizi Finanziari - Equity,Financial Products and Services - Equity
Offerta Fuori Sede strumenti finanziari - Modalita' offline,Out-of-office offering of financial instruments - Offline mode
Service Operation - Gestione problem,Service Operation - Problem management
Intesa Sanpaolo Casa,Intesa Sanpaolo House
Prodotti e Servizi Finanziari - Derivati regolamentati,Financial Products and Services - Regulated derivatives
Censimento anagrafe clienti e fornitori,Customer and supplier registry census
Contabilita' - Contabilita' Finanza,Accounting - Accounting Finance
Gestione carico titoli fisici,Load management of physical titles
Segnalazioni - Segnalazioni di Informazioni Finanziarie Armonizzate (FinRep) e non Armonizzate,Reports - Reports of Harmonized (FinRep) and non-Harmonized Financial Information
Valutazioni ai fini di Bilancio - Valutazione Crediti al Fair Value,Valuations for Financial Statements purposes - Loan valuation at fair value
"Sviluppo Prodotti, Servizi e Accordi Commerciali - Nuovi prodotti, servizi e attività destinati a un determinato Target di Clientela","Development of Products, Services and Commercial Agreements - New products, services and activities intended for a specific Customer Target"
Pricing e Modelli di Mercato - Modelli di Pricing e calcolo delle Misure di Rischio,Pricing and Market Models - Pricing models and calculation of risk measures
Service Transition - Gestione del change,Service Transition - Change management
Risorse Umane - Selezione Esterna ed Assunzione del Personale Dipendente,Human Resources - External Selection and Hiring of Employees
Governo societario e adempimenti societari - Dichiarazione Consolidata non Finanziaria,Corporate governance and corporate obligations - Consolidated non-financial statement
OPS - OPV - OPVS - Offerta Pubblica di Sottoscrizione e Vendita,OPS - OPV - OPVS - Public Offering for Subscription and Sale
Leasing - Gestione dei beni relativi a contratti non classificati a sofferenza,Leasing - Management of assets relating to contracts not classified as non-performing
Prodotti e Servizi Finanziari - Indici Proprietari e di Terzi,Financial Products and Services - Proprietary and Third Party Indices
Strategie - Gestione studi e ricerche,Strategies - Study and research management
Servizi di Accesso ai Canali Digitali - Servizi di Accesso e di Identificazione a Distanza destinati a Persone Fisiche,Access Services to Digital Channels - Remote Access and Identification Services intended for Natural Persons
Finanziamenti - Finanziamenti Agevolati a seguito di Calamita' Naturali,Loans - Subsidized loans following natural disasters
Conti e Depositi - Conti Financial Institutions,Accounts and Deposits - Financial Institutions Accounts
Gestione della Conformita' - Gestione ambito normativo Armamenti,Compliance Management - Armaments regulatory management
Contabilita' - Contabilita' Fornitori,Accounting - Accounts Payable
Prodotti e Servizi Finanziari - Prestito Titoli Clientela,Financial Products and Services - Securities Lending to Customers
Incassi e Pagamenti - Bonifici SEPA in entrata,Collections and Payments - Incoming SEPA transfers
"Prodotti e Servizi Finanziari - Servizi di Clearing, Custody e Settlement","Financial Products and Services - Clearing, Custody and Settlement Services"
Intesa Sanpaolo Holding International,Intesa Sanpaolo Holding International
Credit Risk Mitigation - Garanzie Pignoratizie,Credit Risk Mitigation - Attached Guarantees
Relazioni istituzionali e Comunicazione esterna - Brand Management,Institutional Relations and External Communication - Brand Management
Customer Relationship Management - Portafogliazione della clientela,Customer Relationship Management - Customer portfolio
Valutazioni ai fini di Bilancio - Valutazione immobilizzazioni Tangibili e Intangibili,Valuations for Financial Statements - Valuation of tangible and intangible fixed assets
Gestione della Conformita' - Gestione ambito normativo Volcker Rule,Compliance Management - Regulatory Management Volcker Rule
Risorse Umane - Gestione del Personale che presta Servizi di Investimento,Human Resources - Management of Personnel who provide Investment Services
Finanza in Conto Proprio - Prestito Titoli con Controparti di Mercato,Own Account Finance - Securities Lending with Market Counterparties
Segnalazioni - Segnalazioni Delibera Consob 17297-2010,Reports - Reports Consob Resolution 17297-2010
Fiscalita' - Imposta di bollo,Taxation - Stamp duty
Persone e Società Esterne al Gruppo,Persons and Companies Outside the Group
Prodotti e Servizi Finanziari - Trasferimento degli Strumenti Finanziari,Financial Products and Services - Transfer of Financial Instruments
Gestione scarico titoli fisici,Physical title unloading management
Finanza in Conto Proprio - Derivati ETD,Own account finance - ETD derivatives
Immobili e Patrimonio Artistico - Gestione patrimonio immobiliare,Property and Artistic Heritage - Management of real estate assets
OPA - Offerta Pubblica di Acquisto,OPA - Public Purchase Offer
Finanziamenti - Surroghe passive,Loans - Passive subrogations
Servizi di Sportello - Trasporto e contazione valori conto terzi,Counter services - Transport and counting of valuables on behalf of third parties
Incassi e Pagamenti - Riscossione Deleghe F23 e F24,Collections and Payments - Collection of F23 and F24 Proxies
Contenzioso e Consulenza Legale - Gestione della consulenza legale,Litigation and Legal Advice - Management of legal advice
