model,modelID
Debit and service cards - Issuance requested by Private Customers - On-Site Offer and Off-Site Offer,10001188
Foreign Portfolio - Request for advances and loans,10001033
Consolidated Net Stable Funding Ratio (NSFR) _ Flow generation - data verification - consolidation - reporting,10001167
Contribution Management - Contribution Management In Installment Account,10000590
Release of approval for operations of subsidiaries with related parties Intesa Sanpaolo S.p.A. and Associated Persons of the Group,10000575
Subsequent Events Direct Guarantee 662 - 96,10000945
Management of transfers to the Tax Authorities of taxation of foreign securities and UCIs - Retail and corporate customers,10000373
Capital Management - Preparation of the Capital Plan - Processing and calculation,10000864
Credit Cards - Revocation of the Bank,10001895
Contribution Management - Administrative Event Management,10001495
Management of the regulatory framework for Embargoes - Acquisition of the prior opinion of the Anti-Financial Crime Head Office Department for significant transactions relating to Embargoes,10001382
Internal Dealing - Proprietary Insider List - Identification of specific relevant and privileged information and feeding of the Lists,10002130
Financial Products and Services - OTC Derivatives - Default Management and related service account - BdT,10001327
Resolution Templates,10002165
Protection Policies - Motor - Issuance of Policies - Distance Offering - Intesa Sanpaolo Agents4You,10000026
Group Regulatory Agenda,10002299
Alarm management,10000501
Valuation of financial instruments for Administered Deposit securities statement,10001432
Recovery and management of L3 banknotes not identified with certainty as authentic,10000265
Request for copy of documentation and communications produced by the Bank,10002158
Provision of loan for use and sale of gold with deferred payment,10001365
Funding - Reporting of medium/long-term transactions,10001741
Standard supplier management,10001591
Ordinary Management of Security Incidents,10001482
Attribution of TIT MLT based on the authorized Step Up ceiling,10000007
User License Request - Fulfillment,10001129
Loan of artistic assets,10001673
Change of working hours Professional Areas full time,10002271
Census and Counterparty Management - Negative news,10001289
Syndication ONE - Originate to Share - Origination and structuring,10001977
ABI Agreement for Credit - Finalization,10000439
Import documentary credits - Use and payment,10000862
Global Systemically Important Banks (G-SIBs) Assessment Exercise,10000031
Passive leases,10000658
Hypothetical portfolios - definition and initial loading,10000915
Online System Control,10000060
Application and Investigation-Subsidized Loans following Natural Disasters,10000065
Fee reporting - Configuration of support catalogues,10002159
Structured Finance ONE - Approval,10001680
Regulatory management of Embargoes - Oversight of financial instruments,10002265
Credit Cards - Issuance requested by Private Customers - On-Site Offer and Off-Site Offer,10002093
Administered deposit - Prior certification of customer reporting data and accounting flows,10001132
Euro and foreign currency liquidity management - Interbank operations with Third Party Counterparties not of the Group,10000617
Clearing Custody and Settlement Services - Management and publication of Newsflash,10000273
ABaCo - Periodic survey of collateralized loans,10001190
Planning of IT Security and Business Continuity controls,10001023
Debit and service cards - Issuance requested by corporate customers (Customer Journey Commercial Cards) - On-premise offer - Off-premise offer - Remote offer,10001809
Country risk - Allocation of ceilings for country risk,10000683
Malware analysis,10000473
Encumbered Guarantees Modification of the guaranteed pledge,10000494
Management of Commercial Promotions - BdT Division,10002060
Annual review of service contracts - Update of monitoring subsystems,10001120
Equity Capital Markets - US market underwriting,10001271
Calculation and monitoring of daily indicators Liquidity Risk,10000818
Whistleblowing reports,10000739
Visits to counting rooms,10001506
Individuals - Mortgages sold through third-party networks - Poste Italiane SpA - Preliminary investigation,10001469
Succession - Employee Management,10001094
Negotiation of Travelers Checks,10000640
Regulated derivatives - Collection management,10001181
Abroad - Exchange operations - Change management,10001098
ABaCo - Management of change events - Addendums and contractual options,10001205
Proactive Management Banks and Financial Institutions - Request EWS color improvement override,10000017
Commercial Adjustment - BdT Division,10002057
Financial Instrument Master Data - Registration activity,10001568
Cessation of insurance distribution activity,10001603
Registration of lawyers in the register,10000823
Clearing Custody and Settlement services - Management of securities tax transfers to the Treasury - Financial Institutions customers,10002119
Successions - Declaration of subsistence and Certificate of liabilities,10001440
Financial Instrument Master Data - Request for Isin assignment to the Bank of Italy and management of updates,10000558
Financing in Loan IQ - Contract definition and stipulation,10000479
Independent Price Verification - Level II - Bonds,10002195
Monitoring Suppliers and Third Parties,10000232
Data copy management,10000619
Design and implementation of development and training models,10002272
Savings Accounts - Blocks,10001803
Confirmations Production and Management - OTC Derivatives - ISP HK Clients,10001881
Large individual exposures (LEXI base) _ Generation of flows - data verification - sending of reports,10000036
Notifications to the Financial Reports Archive,10000348
Security Deposit Management for Company Welfare Service,10000222
Assignments and Early Exercises,10002245
Payroll accounting,10002260
Payment reporting - Accounting checks and invoicing,10000712
Third Party Finance - Securities - Management of Block Dealing,10001063
Statistical individual reports - Organizational Participatory Structures (APE),10001115
Own account finance - Securities - Monitoring of positions and prevention of the Buy In procedure,10001844
Financial products and services - OTC derivatives - Transaction definition and conclusion - BdT,10000913
Valuation of OTC derivatives at accounting deadlines,10002049
Data consolidation and Decadale sending,10001534
Management of incoming and outgoing Cash Letters,10000520
Service level monitoring - Management of information flows for the control functions,10000261
Pricing models and calculation of Risk Measurements - Risk Model Governance in the area of Market and Counterparty Risks,10001864
Self Equipment Management - Outsourcing of equipment located at the branch,10000961
Activities on Foreign Funds and Third Party Sicavs,10000529
Telepass Family - Current account Viacard,10001739
Funding - Loans - Transactions regulated by German law,10001476
Extra budget request - Administrative expenses,10001130
Acquisition Improvement Direct Guarantee Fdo PMI 662 - 96,10001468
Own account finance - OTC derivatives - Management of operational blocks,10001085
Census - Update - Freezing Folder - Portfolio,10001762
Management of Drafts payable by ISP issued by Foreign Correspondent Banks,10000908
POUNLight management,10001339
Abroad - Foreign exchange operations - Validation of the Deal,10000058
Short Selling - Monitor short position and CDS and send alert,10000773
Definition and implementation of the Incentive System - Non-Performing Loans (NPL) personnel,10001602
Savings Books - Change of Ownership for Bearer Savings Books,10001446
Concession - Financial Institutions ONE - Plafond of Reliability,10000842
Staff with mixed employment contract - Mandatory professional updating,10000738
Management of checks in foreign currency that have never been debited and drawn on foreign banks,10000477
MIFID profiling and signing of the Single Integrated Contract - BdT,10000354
Definition of Faculty impacts and Rules,10000072
Government Center data collection,10000548
Management of keys and stronghold combinations,10000218
Payment cards - PIN recovery request for loss or forgetfulness,10000803
Payment cards - PIN recovery request for loss or forgetfulness,10000804
Payment cards - PIN recovery request for loss or forgetfulness,10000805
Self Equipment Management - Recovery of suspected counterfeit banknotes from MTA,10000282
IRR risk - International Bank Coordination for methodological changes and system adjustments,10001180
"Checks on interlocking pursuant to art. 36 Legislative Decree Save Italy December 6, 2011 n. 201 (so-called Prohibition of interlocking) in the subsidiaries of the Intesa Sanpaolo Group",10001751
Third Party Finance - Securities - Tobin Tax Management Italy and France - IMI CIB Division,10000252
Repayment of unused final balances - Subsidized loans following natural disasters,10001717
Prepaid Cards - Issuance requested by Private Customers - On-Site Offer,10000907
Rating assignment - Project Finance methodology,10000053
Control Report Management,10002238
Variable rate determination for bond loans,10000402
Annual review of service contracts - Review of contractual contents,10001393
Application and Architectural Analysis,10001519
Financing-Loan Management-Operations on Non-Migrated Loans on Target applications,10001767
Same-day cancellation of MIFID profiling and/or Single Integrated Contract,10001988
Acquisition Completion of SACE guarantees,10000268
Remote Access Management to Application Features (WebVPN),10000698
Request and release of Domestic Signature Commitment,10001176
Management of Eurizon - Epsilon physical certificates,10001870
Census and Counterparty Management - Powers of Signature to operate on relationships,10002246
Activities necessary for the classification of the counterparty,10000870
Management of early repayments of bonds and loans under German law (Schuldschein and Namenschuldverschreibung),10000281
Analysis of counterparty characteristics,10001956
International Cash Pooling - Variation of deactivation and withdrawal of the service,10001666
Procurement of newspapers - periodicals - publishing volumes,10001174
Loan IQ - Disbursement - Disbursement,10001670
ABaCo - Management of change events: Change of deteriorated or expiring rating,10000313
ICT process management,10000212
Registration in the Register and Qualification of Suppliers and Third Parties,10001062
Syndication ONE - Check progress and data collection on Syndications,10001015
Preliminary credit lines credit lines Confidi,10000175
Notifications Interbank Deposit Protection Fund - Single Customer view,10000427
Management of notified deeds and payments,10000317
EMIR - DFA - Periodic communications to Competent Authorities,10000791
Factoring - Finalization and implementation of the Assignor relationship,10001778
Own Account Finance - OTC Derivatives - Trioptima - Cycles on Credit Derivatives on Index and Rate Derivatives,10000506
Revocation of the delegation of securities deposit,10000812
Decommissioning and Scrapping Physical Assets,10001334
Remote Offer Administered Deposit and Financial Profile - Management of the right to withdraw,10001457
Provisional badge release for Central Established Employees,10000345
Collection of new self-certification,10001175
Multi-risk Stress Test,10002003
Sale of Gold,10001611
Credit Cards - Issuance requested by Private Customers - Internet Banking and Mobile App,10000772
Negotiation of our cashiers checks delivered by the Bank of Italy to lead branches,10002220
Data analysis,10002113
Bad Leasing Management - Statistical Analytical Evaluation - Provis,10001579
Potentially critical event detection and reporting,10002048
Out-of-procedure POS contract management - New report census,10002294
Registration tax fulfilments Lease contracts,10000884
Transactional provisioning service XME Salvadanaio,10001195
Management of the Short-Term Internal Transfer Rate - LV funding and lending operations that cannot be managed independently by the Network,10001159
IRR risk - Update of the demand post model - Italy perimeter,10000341
Management of external requests related to the compilation of the IMF Contingency Plan of other Financial Institutions,10002172
IVASS - Preparation and updating of the intermediarys pre-contractual information,10001010
Identity and Access Management for Internal Users,10001618
Modification of the Group Accounting Rules,10001651
Procurement of personalized checks,10002284
Individuals - Mortgages - Commercial Offer,10001451
Mitigation,10000836
Regulated Derivatives - Transactions with Corporate Clients,10001630
Management of change and tests in Supervisory Reports,10000314
Gold warehouse management - Loading and unloading activities,10002182
EMIR - OTC and ETD derivative transactions report for customers with fulfillment of the reporting obligation carried out by the Bank on their behalf,10001411
Price customization management - BdT Division,10000438
Analysis of needs and identification of the delivery model,10000090
Outgoing foreign wire transfers - Accounting management of expenses relating to foreign wire transfers,10001642
Performing Forensic Analysis,10001247
Management of Remediation Plan in the face of IT security incidents,10000464
Loading data into DSH and making data available,10001526
Structuring and completion of the transaction,10001405
"Updating of the Organisation, Management and Control Model pursuant to Legislative Decree 231 2001 Subsidiaries",10000372
Data consolidation and Base 7 sending (wear),10001055
Concession - Individuals - Personal Loans Finalized Loan and Installment Credit Line - Preliminary Investigation and Resolution,10000164
Safety Deposit Boxes and Closed Deposits - Different variations on the ratio,10001291
Corporate Finance - Mergers & Acquisitions - Structuring,10001156
Management of the Service exposed on Public IP,10000867
Superbonus Ecobonus and other building bonuses - COMPANIES - Conditional transfer of the tax credit to be accrued,10000259
Check Covenant and activate Waiver_Amendment proposal,10000324
Check Covenant and activate Waiver_Amendment proposal,10000325
Check Covenant and activate Waiver_Amendment proposal,10000326
Check Covenant and activate Waiver_Amendment proposal,10000327
Third Party Securitizations - Structuring and Approval,10000030
Management of Private Retail Positions - Monitoring of intercepted positions,10001716
Management of the Supply Chains - Stipulation of the Contract - Definition of the Supply Chain Perimeter - Supplier Assessment - Dealer and Supply Chain Activation,10001313
Return to normal operations,10000442
Press release management,10002254
Analysis of the characteristics of the counterparty for the reconfirmation of the assignment of the rating or the certification of the rating benchmark,10000000
Management of the Embargo regulatory area - Process Bypass controls in the Embargo area,10000349
Real estate costs Operating Units,10001510
Digitization and archiving of relevant IMI CIB Structures documents,10000588
General Accounting - Journal,10000681
Arrangement of Permanent Transfer Orders,10000050
Protection policies - Motor - Distance Offer,10002248
Active locations,10000287
Proactive Management Corporate and Small Business - Request EWS color enhancement override,10001831
Profit and Loss - calculation and reporting,10000724
Consolidated Financial Statements - Credit quality analysis and contribution to the Explanatory Notes,10001924
Clearing - Backloading - Customers,10000275
Active Management IFRS9,10000188
Active Management IFRS9,10000189
Delivery of Certificates of Conformity,10000107
Valuation of OTC derivatives - definition of fair value valuation adjustments,10001375
Contracting of collection services at the counter,10000759
Design and delivery of training interventions,10001076
Centralized interventions on the Italian portfolio,10001979
Certificates of Deposit - Cancellations and reversals,10001929
Clearing Custody and Settlement Services - Tax Refund Service,10000850
Payment cards - Delivery and activation of the Card and PIN,10001486
Payment cards - Delivery and activation of the Card and PIN,10001487
Payment cards - Delivery and activation of the Card and PIN,10001488
Equity Capital Markets - Recruitment and Management of Other Roles,10000960
Registry of Reports - Transfer of reports,10001216
Financial Products and Services - OTC Derivatives - MTM Reporting - IMI CIB and BdT,10000637
Probable Default - Management Resolutions,10000356
Stress Testing Book,10000732
Issuance of bank check books and issuance of cashiers checks,10001935
Own Securitizations - Issuance and executions,10002237
Central Risks - method of reporting disputed relationships and counterparties benefiting from suspensions,10002150
Abroad - Foreign exchange transactions - Daily revaluation of foreign exchange positions on Kondor,10000784
Issuance of credentials to customers of affiliated external Bank-Company,10001381
Management of customer service invoices,10001203
Execution of the technical safety checks,10002303
Independent Price Verification - FO Systems Alignment,10001377
Fulfillment towards customers for Client Clearing service,10002263
Communication of equity investment transactions and input of the system for calculating investment limits,10001282
Profiling management of organizational structures and professional figures,10001771
Contingency process - Messaging unavailability from CLS Bank,10001606
Customer supplies,10000951
Pool audits,10000542
Loans with EIB Provisions,10001254
Loans with EIB Provisions,10001255
Loans with EIB Provisions,10001256
Design of ICT Architectures and Standards,10001322
Credit Cards - Issuance requested by Corporate Customers - On-Site Offer,10001173
Processing of miscellaneous items removed - recovery of sums,10001626
Repurchase from customers of diamonds purchased by DPI at the Banks branches,10000210
Resignation and consensual termination,10001429
Management of minor changes,10000538
Proactive Management Banks and Financial Institutions - Managing positions in Proactive Management (PM),10000245
Infrastructure products life cycle in Server Farm,10001285
Confirming - Buyer Management,10000399
Credit Information Systems - Intervention Management,10000696
Inbiz service activation for Financial Institutions or Foreign Branch or Foreign Bank Customers,10000299
Abroad - Foreign exchange operations - Negotiation of spot exchange rates - BdT,10000983
Emission certificates - Admission to the secondary market,10001773
Ordinary management - I level monitoring and investor reporting,10000411
Securities trading - Secondary market,10002178
Securities trading - Secondary market,10002179
Capital Management - Preparation of the Capital Plan - Startup,10000846
IRR risk - Management reporting,10000130
guesthouses,10001849
Issuing permanent badge for non-employee personnel,10000126
Automatic revisions,10000219
Collaborative Fulfillment with AdE - Interlocution with the Revenue Agency,10000051
Non-performing reports - Bank of Italy diagnostics and final submission,10000817
DFA - Large Trader Reporting - Listed and OTC derivatives,10002176
Loans in GIC - Contract definition and Stipulation,10001396
Alternative Investments Funds - Expiry or divestment,10001973
MiFID classification and contracting for Financial Institutions customers,10000811
Opening new relationships,10000555
Resolution - Loans to Intesa Sanpaolo Group employees,10002173
Purchasing Management - Purchase Request Management,10001372
Incoming foreign transfers - Management of funds transferred from Iran by a black listed subject,10000383
Performance Management - aHead - Middle Management performance evaluation,10000289
Loan Trading - Borrower Census,10002232
SEF pricing definition - IMI CIB Division - Global Banking & Sovereign Institutions Dir,10000566
Management of Leasing Bad Loans - Add-On Application and Definition of Monthly Risk Fund - Provis,10000445
Employee Devices - Monitoring and Reporting,10001383
Financial products and services - OTC derivatives - Contract document regularization - BdT,10000541
Extinction of the Corporate Welfare Service,10000103
Suspension of payment of mortgage installments and medium-long term loans,10000068
Eurofidi - Activation of the Counter-guarantee upon first request by the lender,10000364
Large Consolidated Exposures (LEXC Base) _ Generation of flows - data verification - consolidation - sending of reports,10001837
Asset Accounting - Management,10000869
Sepa Direct Debit - Fraud monitoring and management,10001276
Affixing a certain date on financial instruments as collateral,10001707
Management of Subsidized Interventions - Appraisals,10000237
Abroad - Foreign exchange operations - Netting of positions,10000257
Takeover bid - Management of risk of activation Mandatory takeover bid and price integration,10000037
Management of Subsidized Interventions - Final balance,10002247
Interventions on portfolio presentations,10000267
Other materials and services from the Electronic Catalogue,10000641
Domestic Cash Pooling - Sale and activation,10001123
Concession - Proposed investigation and leasing resolution,10002006
Handling support requests,10001504
Group Counterparty Database - Harmonization of databases,10000362
Counterparty Census and Management - Acquisition and scanning of customer signatures,10001309
Mortgage renegotiations - Corporate and Retail Company Financing,10000116
Customer Portfolio - Transfer of the positions of customers already portfolio,10000703
Banking group definition,10001016
Estimate of an initiative with PSS methodology,10001965
Protection Policies - Motor - Issue,10000609
Simple credit withdrawal management,10002073
Update of the sectoral taxonomy,10001237
Presentation management,10000199
Factoring - Factoring Management - SDD Collections,10000847
Issue or update of transparency documentation - Consumer credit products,10001298
Management of the documentation accompanying the process regulations,10000859
Identification and Evaluation - Scenario Analysis,10000572
Historicization of information sheets and pre-contracts,10001288
Corporate Remote Banking and Open Banking Service - Monitoring and fraud management,10001695
Implementation and support of ICT Architectures and Standards,10001171
Concession - Small Business investigation,10000809
Creation and management of Mazzetta Civetta in the Branch,10000211
EMIR - DFA - Preliminary Contractual Fulfillments IMI CIB,10001185
Debit and service cards - Distance Bidding - Intesa Sanpaolo Agents4You,10000093
Current Accounts - Definitive closure or transfer of a current account to a branch of the same bank,10000642
Model definition and estimation,10001949
Bancaidentity - Certificate reactivation,10001996
Management of active criminal proceedings,10000734
Purchasing Management - Stipulation of contracts with Suppliers,10000815
Clearing - Mandatory obligations towards central counterparties,10000358
Concession - Individuals - Personal Loans - Right of withdrawal,10001230
Municipalities and Provinces below the threshold - Automatic rating assignment,10000926
Cashiers checks - report of theft-loss-destruction,10001096
Funding - Management of Medium-Long Term Transactions from Financing Institutions,10002098
Generic Position Risk - Application architecture supply,10001735
Critical event classification,10000318
Documented remittances receipts export documents - Loading and Modification,10000886
Bank checks - report of theft-loss-destruction presented by the customer,10000386
Digital communication - Websites - Mobile - Social networks,10002209
Pensions - Post activation management of the service,10001801
"Third party securitizations - Execution, placement and underwriting of ABS and ABCP",10001703
Enrollment in the Single Register of Financial Advisors,10000985
Change Service or Company Welfare Plan,10002302
Management of application enabling codes,10001113
Individuals - Mortgages sold through Third Party Networks - Poste Italiane SpA - Waiver,10001810
Title staging calculation,10000192
«Bring Your Own Device (BYOD) management on Windows To Go» (WTG),10001797
Prudential disclosure - Disclosure to the public Pillar III: preparation of contributions,10002285
Administrative management activities,10001737
Cost of Credit Monitoring - Data collection and forecast processing,10001807
Regulated Derivatives - Management of daily liquidity on behalf of third parties,10000172
Collateral Management - Management of relevant disputes on OTC derivatives - Variation Margin,10001238
Authorizations and encroachments - Operations to be managed - Our Employees,10001249
Management of assets acquired at auction - Monitoring RAF limits and Business Plan,10000688
Closing period of disbursements to state of work progress - land credit - construction for income generation purposes and industrial credit - agricultural,10002177
Bad Loan Management - Decision Management,10001005
Group Counterparty Registry - Monitoring of supply flows from External Legal Entities,10001265
Management of Exceptions to IT Security Rules,10000517
Own account finance - Securities - Verification of listing activities - IMI CIB Division,10000999
Clearing Custody and Settlement Services - Accounts Payable Billing Management,10000545
Abroad - Foreign exchange operations - Check pending deal in FO systems,10001782
Remote Identification and Recognition Services - Multi-channel Contract - Extinguishment,10001648
Collateral Management - Variation Margin Regulation,10000654
Management and finalization of the Framework Agreement for the issue of Signature Commitments,10000995
Management of requests for certification of passive and active interests,10001939
Disaster Recovery test management (online and batch),10000953
Financial products and services - OTC derivatives - Transaction definition and conclusion - IMI CIB TOP customers,10002166
Self-assessment process relating to the area of algorithmic trading,10001061
General Accounting - Management of functional activities for accounting closures and assessments,10000608
Leasing Financing Administration - Remodulations,10001116
Shift change entry,10001351
Generic Position Risk - Review of the stressed VaR scenario,10002040
Institutions Treasury - Operational Management - Management of the pool treasury service,10000630
Concession - Corporate - Credit lines for Italian-Related customers - Business customers - to be allocated to foreign branches,10001191
Outsourcing monitoring and control,10001442
Passive Surrogates - Request Management,10001806
Definition and disbursement of annual Incentive System bonuses,10000776
POS sale and activation - First customer request for BdT Division - On-site offer - Off-site offer - Remote offer,10001730
Advance invoices Italy - Management of advance payment,10000110
Outgoing foreign transfers - Message management,10000312
OTC market and Gray Market bond operations,10002088
Fulfillments for facilitation purposes - Financing Bank - Rest in the South,10000613
Management of forced or coercive sales of securities held in managed deposits,10002024
Management of forced or coercive sales of securities held in managed deposits,10002025
Successions - Report block,10001165
Data Quality Improvement Plans,10000370
Emissions certificates - census and Isin request and regulation management,10001962
Country risk - Definition of country risk parameters and management of overdrafts,10001359
Collateral management - Threshold monitoring pursuant to Article 31 and AANA ISP Singapore,10001696
Foreclosures - Management for employees,10000052
Assignment TIT MLT in derogation - specific to be valid on the authorized limit,10001600
Export Documentary Credits - Notification,10000351
Solidarity Fund - Request for suspension,10001013
Study and research management - Suspension or interruption of coverage of the Issuer,10001380
Operations related to Global Markets and Investment Banking of the IMI CIB Division,10001430
Likely Default - Compensation,10001854
Monitoring of offsetting agreements - Parent Company and Banca IMI,10000076
Communication,10000660
Management of subsidized interventions - Product specificity - Sustainable Growth Fund,10000599
Regulated Derivatives - Allocation of Third Party Account deals,10001407
Procurement of economic material from the Electronic Catalogue,10000931
Correspondence sent to customers and not delivered,10000028
Concession - Financial Institutions ONE - Proposal,10002198
Enforcement of Young Couples Loan guarantee DPCM 256 - 2010,10000454
Management of guarantees with Cassa di Compensazione e Garanzia,10001561
Leasing Financing Administration - Management of the VAT regime applied to nautical leasing contracts,10000375
Management of unilateral changes to economic and regulatory conditions,10000266
Tax Consolidation - Definition and disclosure of the scope of consolidation,10001919
Issue Internal Notes,10001639
Protection Policies - Assets and People - After-sales,10000534
Subsidized loans to Intesa Sanpaolo Group employees - Improvement,10000616
Concession - Private individuals - Credit lines and other loans - Application,10002107
Easy Invoice Service - Activation,10000329
Abroad - Operations in foreign exchange - Verification of currencies - operations in spot exchange rates,10000088
Quarterly reporting resulting from the acquisition of FHC status,10001032
Featured - Promotion and sale of non-financial products and services by external partners within the Banks premises,10001395
Group Counterparty Registry - Management of Domain Tables,10001475
Change or Termination of Service,10001223
Clearing - Own Account Backloading,10000223
Generic Position Risk - Data Quality - Proxy and Risk Not In Model,10001826
Management of Infrastructural Systemic Change,10001006
Own Account Finance - Securities - Bond Trading - Proprietary Trading - IMI CIB Division,10000296
Catalog and master data management - Catalog consolidation,10001635
Bank checks concerning the Suppliers,10001776
Management of dividends regulated by Italy,10000176
Extra budget request,10001658
Reporting Bad Loans - Internal diagnostics and user checks on reported data,10000610
Issuance of Covered Bank Bonds,10002141
Withdrawal Management,10001926
Foreign corporate operations,10001726
Foreign corporate operations,10001727
Securities Asset Leasing Management - Amicable recovery and transactions,10001048
Database of Reports - Management of particular headers of the report,10001998
Determination and contribution of the Euribor rate,10000729
Classification of customers for the purpose of applying stamp duty,10000480
Request for a leave of absence,10000166
Assessment of health and safety levels,10001933
Management of assets acquired at auction - Analysis and promotion and investment in real estate auctions,10000662
Financial Products and Services - OTC Derivatives - Marketing Material - IMI CIB,10001941
POS sale and activation - Out-of-office offer - Intesa Sanpaolo Agents4You,10001663
Unlikely to pay - Calculation of joint management fees,10001099
Management and publication of mandatory and optional pre-placement documentation,10002051
Management and publication of mandatory and optional pre-placement documentation,10002052
Individuals - Mortgages - Investigation,10000634
Management of events following the release of a Domestic Signature Commitment,10001248
Proposal - Loans to Intesa Sanpaolo Group Employees,10000615
Mortgage guarantees - Mortgage restriction,10002290
Management of Subsidized Interventions - Delivery,10001371
Own Account Finance - OTC Derivatives - Confirmations - Transactions in Equity Derivatives,10001620
Proactive Corporate and Small Business Management - Review positions,10001712
Approval of operational continuity information flows for corporate bodies,10000782
Calculation of subsidized employee salaries,10001155
Calculation of expected loss on bonds for accounting purposes,10000766
Mortgage guarantees - Acquisition and technical investigation,10001715
feasibility analysis,10001590
Third Party Security - Critical event monitoring activities involving a vendor,10000535
Determination of hedge fund fair value for accounting purposes,10001038
VAT settlement by the participating companies,10000155
Management of duplicate keys and back up of main safe or vault combinations,10002216
Debit and service cards - Issuance requested by Private Customers - Distance Offer,10000639
Criticality Assessment,10001286
Counterparty Risk - SIMM Monitoring,10001384
Concession - Corporate - Improvement,10001888
Travel management,10002007
Concession - Corporate - Application,10001896
Publication and dissemination of Report on Corporate Governance and Ownership Structures,10001955
Issuers Regulations - Restricted List Management - Operating Restrictions,10001474
Staff with mixed employment contract - Management of billing and social security obligations,10002116
Loans in GIC - Exercise of the interest rate option and revolving repayment renewal (ORR),10001403
Transactions on omnibus relationships held in the name of trust companies,10002077
Confirming - Variation of economic conditions Suppliers,10001948
ICT asset list production,10000691
Individual financial reporting - VE basis,10001498
Management of arrears Allowance for the family nucleus,10000843
Issue and management of hardening rules,10000380
Management of the release of the certificate of devolution to the fund and reimbursement of dormant debts extinguished by mistake already transferred to the fund,10000968
XME Salute - Sales Activation and After-Sales Management,10000837
Inbiz Start service activation,10000793
Termination of the ordinary deposit or as a guarantee for BdT and CIB_Global Corporate customers,10002234
Accounting and Payment F24 in the field of human resources fees,10000198
Correspondence delivery,10001517
Pledge Guarantees - Particularities for pledges on Policies,10002111
Disposal of Impaired Loans and Portfolios of Non-Performing and Mixed Loans - Disposal of Portfolio and Single Name above and below the threshold - Finalization,10000667
Current Accounts - Opening of an account for specific operations,10002259
VaR Calculation of Banking Book Financial Risks,10000889
VaR Calculation of Banking Book Financial Risks,10000890
"Management of cash in the event of claims, robberies, shortages and thefts on outsourced management systems",10001444
Institutions Treasury - Operational Management - Controls and reports,10000909
MiFID-Transaction Reporting-reports to Consob,10001415
Merit Campaign,10000476
Investigations on Property Taxation,10001406
Financial Statements - Distribution plans Central Financial Statements,10000139
Corporate taxation - UNICO SC declaration and IRAP declaration - Declaration fulfillment and tax settlement,10000604
Successions - Starting practice,10000532
Withdrawal at the counter on report,10001398
Concession - Private individuals - Credit lines and other loans - Preliminary investigation and proposal,10001964
Direct transfer of securities between the parties,10000396
Institutions Treasury - Operational Management - Closure of the financial year or termination of service,10001640
Accounting Suspended Management - Accounting adjustments on Corporate customer relationships,10001714
Preparation and Startup,10000728
