risk,riskID,riskType,financialDisclosureRisk
Incorrect accounting data,104629,Financial Information Risk (ex 262/2005),True
Incorrect valuation of the first note,103157,Financial Information Risk (ex 262/2005),True
Incorrect valorisation of accounting masters,102974,Financial Information Risk (ex 262/2005),True
Incorrect data processing,101950,Other risks (operational),False
Incorrect data processing,104194,Other risks (operational),False
Incorrect calculation of credit risk metrics,101951,Other risks (operational),False
Incorrect calculation of credit risk metrics,104195,Other risks (operational),False
Incomplete and/or incorrect input data,103636,Other risks (operational),False
Incomplete and/or incorrect input data,104193,Other risks (operational),False
Wrong adoption of the resolution,102785,Financial Information Risk (ex 262/2005),True
Installment amount exceeding the set limit,100683,Other risks (operational),False
Error in the variation of the spread,103237,Financial Information Risk (ex 262/2005),True
Incorrect data entry in the procedure,104407,Financial Information Risk (ex 262/2005),True
Incorrect or incomplete documentation,103235,Financial Information Risk (ex 262/2005),True
Incorrect calculation of the TEG,103429,Financial Information Risk (ex 262/2005),True
Incorrect calculation of the TEG,103236,Financial Information Risk (ex 262/2005),True
Wrong/incomplete documentation,102718,Financial Information Risk (ex 262/2005),True
Incorrect loading of positions,101208,Other risks (operational),False
Incorrect compilation of the file,104952,Other risks (operational),False
Incorrect accounting of provisions,100196,Financial Information Risk (ex 262/2005),True
ROs not transmitted for accounting,103245,Financial Information Risk (ex 262/2005),True
Incorrect evaluation,101734,Financial Information Risk (ex 262/2005),True
Wrong provision,102436,Financial Information Risk (ex 262/2005),True
Incomplete/outdated documentation and verifications,101536,Financial Information Risk (ex 262/2005),True
Incorrect registration of the resolution,103872,Financial Information Risk (ex 262/2005),True
Incorrect entry of the return plan,104300,Financial Information Risk (ex 262/2005),True
Resolution carried out without management faculties,103871,Financial Information Risk (ex 262/2005),True
Incorrect provision proposal,100922,Financial Information Risk (ex 262/2005),True
Incorrect evaluation,101735,Financial Information Risk (ex 262/2005),True
Incorrect allocation of provision,102435,Financial Information Risk (ex 262/2005),True
Inconsistent data,100423,Financial Information Risk (ex 262/2005),True
Incorrect waste management,103143,Financial Information Risk (ex 262/2005),True
Incorrect data,100422,Financial Information Risk (ex 262/2005),True
Activity performed incorrectly,103516,Other risks (operational),False
Incorrect or incomplete accounting,104465,Financial Information Risk (ex 262/2005),True
Presence of names in the Black List,105357,Other risks (operational),False
Activity performed incorrectly,103515,Other risks (operational),False
EMIR/DFA default due to incorrect margin calculation,102009,Financial Information Risk (ex 262/2005),True
EMIR/DFA default due to incorrect margin calculation,103903,Financial Information Risk (ex 262/2005),True
Incorrect faculty application,104107,Financial Information Risk (ex 262/2005),True
Incorrect entry into the system of the resolution,104154,Financial Information Risk (ex 262/2005),True
Incorrect proposed resolution,102771,Financial Information Risk (ex 262/2005),True
Incorrect proposed resolution,104153,Financial Information Risk (ex 262/2005),True
Incomplete/outdated documentation and verifications,102843,Financial Information Risk (ex 262/2005),True
TEG over threshold,100730,Financial Information Risk (ex 262/2005),True
Incorrect Covenant data,101869,Financial Information Risk (ex 262/2005),True
Inconsistency between the economic conditions indicated in the Contract and what is present in the System,100786,Financial Information Risk (ex 262/2005),True
Incorrect identification of Subjects empowered to sign,100731,Financial Information Risk (ex 262/2005),True
Documentation acquired incomplete or inadequate,102651,Other risks (operational),False
Contract drafts incorrectly completed,100729,Financial Information Risk (ex 262/2005),True
Wrong inclusion of covenants in the contract,104734,Financial Information Risk (ex 262/2005),True
Incorrect determination of cost items,102772,Financial Information Risk (ex 262/2005),True
Incorrect system power supply,100531,Financial Information Risk (ex 262/2005),True
Incorrect decision-making authority,102008,Financial Information Risk (ex 262/2005),True
Incorrect entry into the system,100530,Financial Information Risk (ex 262/2005),True
Incorrect system power supply,103224,Financial Information Risk (ex 262/2005),True
Incorrect expense accrual,100532,Financial Information Risk (ex 262/2005),True
Incorrect flow capture and/or incorrect data,101060,Other risks (operational),False
Incomplete and/or incorrect acquisition of flows,105264,Other risks (operational),False
Incomplete and/or incorrect data entry,102964,Financial Information Risk (ex 262/2005),True
Incorrect data,102071,Financial Information Risk (ex 262/2005),True
Inconsistent data,104560,Financial Information Risk (ex 262/2005),True
Incorrect data entry,105260,Financial Information Risk (ex 262/2005),True
Sending incorrect data,105261,Financial Information Risk (ex 262/2005),True
Incorrect data entry,105008,Other risks (operational),False
Incorrect compilation,100161,Financial Information Risk (ex 262/2005),True
Incorrect data entered,105021,Financial Information Risk (ex 262/2005),True
Incorrect data entry,105262,Financial Information Risk (ex 262/2005),True
Incorrect integrated data,100162,Financial Information Risk (ex 262/2005),True
Incorrect preparation of the signage base,105265,Financial Information Risk (ex 262/2005),True
Incorrect preparation of the signage base,105263,Financial Information Risk (ex 262/2005),True
Wrong / failure to send the report,105259,Other risks (operational),False
Incomplete and/or incorrect data entry,102963,Financial Information Risk (ex 262/2005),True
Incorrect compilation,102781,Financial Information Risk (ex 262/2005),True
Incorrect compilation,102414,Financial Information Risk (ex 262/2005),True
Incorrect data,100050,Financial Information Risk (ex 262/2005),True
Incorrect data entry,103129,Financial Information Risk (ex 262/2005),True
Incomplete and/or incorrect COREP-Tagetik Package data,105022,Financial Information Risk (ex 262/2005),True
Incorrect data,103826,Financial Information Risk (ex 262/2005),True
Incomplete and/or incorrect acquisition,103825,Other risks (operational),False
Incorrect data entry,101061,Financial Information Risk (ex 262/2005),True
Incorrect compilation,102415,Financial Information Risk (ex 262/2005),True
Incorrect data,100977,Other risks (operational),False
Inconsistent received data,100976,Other risks (operational),False
Incorrect data received,104757,Other risks (operational),False
Incorrect payment,102483,Other risks (operational),False
Incorrect accounting/imputation of data in the financial statements,100256,Financial Information Risk (ex 262/2005),True
Reports sent incomplete,100975,Other risks (operational),False
Wrong Invoice,102845,Financial Information Risk (ex 262/2005),True
Possible regulatory violation in terms of AML/CTF or countering the financing of terrorism,102045,Other risks (operational),False
Operation performed incorrectly,104977,Other risks (operational),False
Payment entered with errors,100520,Other risks (operational),False
Wrong data entered,102311,Financial Information Risk (ex 262/2005),True
Wrong data entered,102312,Financial Information Risk (ex 262/2005),True
Possible regulatory violation in terms of AML/CTF or countering the financing of terrorism,103990,Other risks (operational),False
Operation performed incorrectly,102252,Other risks (operational),False
Failure to upload documentation,101514,Other risks (operational),False
Operation performed incorrectly,103433,Other risks (operational),False
Wrong data entered,102587,Other risks (operational),False
Incorrect data entry,100438,Other risks (operational),False
Unauthorized signatures,100439,Other risks (operational),False
Incorrect and/or incomplete rectified data,100014,Financial Information Risk (ex 262/2005),True
Data errors or anomalies,105269,Financial Information Risk (ex 262/2005),True
Data errors and/or anomalies,101126,Financial Information Risk (ex 262/2005),True
Incorrect data entered into the system,101104,Other risks (operational),False
Incomplete and/or inconsistent data,100656,Financial Information Risk (ex 262/2005),True
Incomplete and/or inconsistent data,104862,Financial Information Risk (ex 262/2005),True
Failure to send the reporting flow,101063,Other risks (operational),False
Presence of outstanding reliefs,102942,Financial Information Risk (ex 262/2005),True
Incorrect automatic processing of the printout,104554,Financial Information Risk (ex 262/2005),True
Wrong manual and/or automatic processing of contributions,104555,Financial Information Risk (ex 262/2005),True
Incorrect manual processing of the contribution statement,104556,Financial Information Risk (ex 262/2005),True
Incorrect manual entry of credit for contributions.,104104,Financial Information Risk (ex 262/2005),True
 Incorrect registrations on accounting ledgers or missing contributions to be received,104266,Financial Information Risk (ex 262/2005),True
Incorrect entries in the accounting ledgers or failure to collect contributions due by the Entity,104267,Financial Information Risk (ex 262/2005),True
Amount of contributions paid by the institution different from the amount requested,104265,Financial Information Risk (ex 262/2005),True
Wrong identification,101581,Financial Information Risk (ex 262/2005),True
Incorrect decision-making process,104573,Financial Information Risk (ex 262/2005),True
Incorrect and/or incomplete communication/documentation,104488,Financial Information Risk (ex 262/2005),True
Incorrect and/or incomplete documentation,105277,Financial Information Risk (ex 262/2005),True
Incorrect and/or incomplete documentation,103416,Financial Information Risk (ex 262/2005),True
Incorrect and/or incomplete documentation,104340,Financial Information Risk (ex 262/2005),True
Incorrect and/or incomplete documentation,101683,Financial Information Risk (ex 262/2005),True
Incorrect and/or incomplete documentation,101534,Financial Information Risk (ex 262/2005),True
Incorrect and/or incomplete documentation,100834,Financial Information Risk (ex 262/2005),True
Wrong reconciliation of payments,102620,Financial Information Risk (ex 262/2005),True
Mastrini not correctly reset,100842,Financial Information Risk (ex 262/2005),True
Mastrini not correctly reset,100841,Financial Information Risk (ex 262/2005),True
Incorrect payments,100839,Financial Information Risk (ex 262/2005),True
Incorrect accounting,100840,Financial Information Risk (ex 262/2005),True
Incorrect balance of payments,103764,Financial Information Risk (ex 262/2005),True
Lack of consistency with multi-year forecasts,105333,Other risks (operational),False
Inaccuracy of processed data,102630,Other risks (operational),False
Lack of consistency of the estimate of capital indicators with the RAF limits,105334,Other risks (operational),False
Incorrect compilation of the summary report,104762,Financial Information Risk (ex 262/2005),True
Incorrect calculation or accounting of the recovered or returned contribution,101145,Financial Information Risk (ex 262/2005),True
Incorrect accounting of collected contributions,103473,Financial Information Risk (ex 262/2005),True
Accounting squaring,101421,Financial Information Risk (ex 262/2005),True
Squaring in account balances,104366,Financial Information Risk (ex 262/2005),True
Wrong entry in accounting,104764,Financial Information Risk (ex 262/2005),True
Possible squaring in sales,104367,Financial Information Risk (ex 262/2005),True
Wrong accounting suspended,104763,Financial Information Risk (ex 262/2005),True
Opinion not respected,100887,Legal and non-compliance,False
Validation of a List containing incorrect data,100605,Other risks (operational),False
Failure to identify the correct type of List,104997,Other risks (operational),False
Failure to identify the correct type of List,104659,Other risks (operational),False
Failure to identify the correct type of List,102299,Other risks (operational),False
Incomplete names,101749,Other risks (operational),False
Validation of a List containing incorrect data,100603,Other risks (operational),False
Validation of a List containing incorrect data,104738,Other risks (operational),False
Incomplete names,101751,Other risks (operational),False
Failure to identify the correct type of List,102833,Other risks (operational),False
Validation of a List containing incorrect data,100602,Other risks (operational),False
Validation of a List containing incorrect data,102832,Other risks (operational),False
Incomplete names,101750,Other risks (operational),False
Failure to identify the correct type of List,100604,Other risks (operational),False
Validation of a List containing incorrect data,102834,Other risks (operational),False
Incorrect closing of PVs against the Service Account,104448,Financial Information Risk (ex 262/2005),True
Wrong closing PV,101761,Financial Information Risk (ex 262/2005),True
Wrong currency/Euro conversion,100278,Financial Information Risk (ex 262/2005),True
"Maintain the correct management of the Service Account,",101317,Financial Information Risk (ex 262/2005),True
"Maintain the correct management of the Service Account,",105038,Financial Information Risk (ex 262/2005),True
Operation not permitted,102710,Other risks (operational),False
Unavailable data and/or failure to transfer knowledge and/or delay in preparing data,103499,Financial Information Risk (ex 262/2005),True
Incorrect or incomplete data,101677,Financial Information Risk (ex 262/2005),True
Incorrect or inconsistent data,101507,Financial Information Risk (ex 262/2005),True
Formal errors in reporting,101996,Financial Information Risk (ex 262/2005),True
Incorrect / incomplete data,101506,Financial Information Risk (ex 262/2005),True
Unavailable data and/or failure to transfer knowledge and/or delay in preparing data,102450,Financial Information Risk (ex 262/2005),True
Incomplete or incorrect documentation,101312,Other risks (operational),False
Incorrect accounting,100342,Financial Information Risk (ex 262/2005),True
Failure to comply with the maximum processing times,100483,Other risks (operational),False
Incorrect entry of data,105142,Other risks (operational),False
Incorrect delivery order,101547,Other risks (operational),False
Wrong metal delivery,102277,Other risks (operational),False
Models to be sent to the EIB incomplete,100158,Financial Information Risk (ex 262/2005),True
Wrong amounts,100332,Financial Information Risk (ex 262/2005),True
Organization still exposed to the type of threat detected,101793,Other risks (operational),False
Incorrect classification (and consequent management) of the event,101792,Other risks (operational),False
Incorrect / incomplete data entry,102228,Other risks (operational),False
Existence or occurrence of unauthorized operations,102932,Other risks (operational),False
Incompatible loan request,105044,Other risks (operational),False
Incorrect / incomplete data entry,101112,Other risks (operational),False
Existence or occurrence of unauthorized operations,102933,Other risks (operational),False
Missed or incorrect update,102375,Other risks (operational),False
Incorrect or incomplete completion of the Form,103883,Other risks (operational),False
Incorrect or incomplete completion of the Form,103920,Other risks (operational),False
Check the contents of the confidentiality agreement,103921,Other risks (operational),False
Failure to collect installments,102284,Financial Information Risk (ex 262/2005),True
Wrong operation,100941,Financial Information Risk (ex 262/2005),True
Possible regulatory violation in terms of Embargoes/AML/CTF or fight against the financing of terrorism,100331,Other risks (operational),False
Check the correctness of the entered data,101396,Financial Information Risk (ex 262/2005),True
Check the correctness and consistency of the data entered,101986,Financial Information Risk (ex 262/2005),True
Missed or incorrectly charged fees or expenses,104310,Financial Information Risk (ex 262/2005),True
Possible regulatory violation in terms of Embargoes/AML/CTF or fight against the financing of terrorism,100773,Other risks (operational),False
Check the correctness of the entered data,100774,Other risks (operational),False
Possible violation of restrictions on petroleum and petrochemical products,101395,Other risks (operational),False
Possible regulatory violation in terms of Embargoes/AML/CTF or fight against the financing of terrorism,100890,Other risks (operational),False
Possible regulatory violation in terms of AML/CTF or countering the financing of terrorism,105195,Other risks (operational),False
Verify correctness of entered data to authorize,100361,Financial Information Risk (ex 262/2005),True
Sending incomplete/correct data,102790,NA,False
Sending incorrect and incomplete data,104239,NA,False
Incorrect loading of accounting data,100598,NA,False
Incomplete/inconsistent upload of accounting data,100599,NA,False
Sending incomplete and/or incorrect template,102147,NA,False
Invalid powers of representation of the Public Body,104581,Other risks (operational),False
Incorrect billing count,100722,Financial Information Risk (ex 262/2005),True
Incorrect/incomplete compilation and signing of the contract,103403,Other risks (operational),False
Incorrect/incomplete entry of data into the system,103364,Financial Information Risk (ex 262/2005),True
Incorrect/incomplete data for IFRS16 purposes,104254,Financial Information Risk (ex 262/2005),True
Wrong payment made,103639,Financial Information Risk (ex 262/2005),True
Risk of incorrect and/or incomplete updating of contracts,103131,Financial Information Risk (ex 262/2005),True
Rent not congruent with the market,101927,Other risks (operational),False
Deal representation on Front Office system incorrect,100702,Other risks (operational),False
Incorrect census/counterparty identification,103186,Financial Information Risk (ex 262/2005),True
Incorrect entry of data into the system,103187,Financial Information Risk (ex 262/2005),True
Incorrect and/or incomplete catalogue,103776,Other risks (operational),False
Price list inconsistent with Catalogue,103153,Other risks (operational),False
Qualitative and/or quantitative mismatches,103777,Other risks (operational),False
Wrong execution of SPPI Test,104735,Financial Information Risk (ex 262/2005),True
Wrong order cancellation,102629,Other risks (operational),False
Wrong census,103700,Other risks (operational),False
Presence of errors in the documentation object of reporting on a monthly basis,103215,Other risks (operational),False
Incorrect accounting of the amounts relating to Banca Fideuram,104534,Financial Information Risk (ex 262/2005),True
Incorrect preparation of the accounting phase,101099,Financial Information Risk (ex 262/2005),True
Incorrect processing of accounting flows,101748,Financial Information Risk (ex 262/2005),True
Incorrect accounting on accounting ledgers,100432,Financial Information Risk (ex 262/2005),True
Presence of errors in the deadline communication letters,102272,Other risks (operational),False
Presence of errors in the documentation relating to the daily securities reporting,101319,Other risks (operational),False
Presence of errors in consistency letters and MiFID questionnaires,103439,Other risks (operational),False
Incorrect data,102152,,False
Mismatch,102260,Financial Information Risk (ex 262/2005),True
Incorrect amounts entered,102363,Financial Information Risk (ex 262/2005),True
Spread of malware infections at the perimeter of managed systems,104220,Other risks (operational),False
Permanence of compromised machines within the perimeter of the managed systems,104221,Other risks (operational),False
Wrong preparation of the text,102171,Financial Information Risk (ex 262/2005),True
Incorrect completion of forms,102156,Financial Information Risk (ex 262/2005),True
Incorrect registration of guarantees,102138,Financial Information Risk (ex 262/2005),True
Warranty certification signatures are missing,102110,Financial Information Risk (ex 262/2005),True
Wrong data upload,100041,Other risks (operational),False
Confidentiality commitment not compliant with company policies,104127,Other risks (operational),False
Wrong commission accounting,104542,Financial Information Risk (ex 262/2005),True
Wrong commission accounting,104543,Financial Information Risk (ex 262/2005),True
Confidentiality commitment not compliant with company policies,101233,Other risks (operational),False
Incomplete or incorrect Financial Engine power supply,102247,Other risks (operational),False
Failure to meet cut-off,100146,Financial Information Risk (ex 262/2005),True
You have encountered anomalies on the flows received,104302,Other risks (operational),False
Rejects found in data acquisition,104301,Financial Information Risk (ex 262/2005),True
Detected error reports at the end of processing,103171,Financial Information Risk (ex 262/2005),True
Differences between input data and product reporting,102838,Other risks (operational),False
Asset stock mismatch,102839,Other risks (operational),False
Incorrect appraisal and/or warranty data not reported correctly in the system,104736,Financial Information Risk (ex 262/2005),True
Incorrect calculation of the competent Deliberating Body,101956,Financial Information Risk (ex 262/2005),True
Incorrect appraisal and/or preliminary notary report,101955,Financial Information Risk (ex 262/2005),True
Files processed by the Service that are incomplete or incorrect,100490,Financial Information Risk (ex 262/2005),True
Failure to arrive,102946,Financial Information Risk (ex 262/2005),True
Incorrect power supply,102923,Financial Information Risk (ex 262/2005),True
Incorrect power supply,102924,Financial Information Risk (ex 262/2005),True
Failure to communicate,102947,Financial Information Risk (ex 262/2005),True
Failure to cancel the operation,101044,Financial Information Risk (ex 262/2005),True
Message not received by Banca dItalia,101181,Other risks (operational),False
Incorrect census of perpetual bonds,104303,Financial Information Risk (ex 262/2005),True
Wrong census,104845,Financial Information Risk (ex 262/2005),True
Wrong census,101877,Financial Information Risk (ex 262/2005),True
Wrong census,102488,Financial Information Risk (ex 262/2005),True
Wrong census/lack of information,102487,Financial Information Risk (ex 262/2005),True
Wrong census,104844,Financial Information Risk (ex 262/2005),True
Anomalies in the data acquisition procedure,103015,Financial Information Risk (ex 262/2005),True
Situations involving the termination of the insurance distribution activities not correctly identified,105219,Other risks (operational),False
Presence of prejudicial news,103308,Other risks (operational),False
Incorrect filing of documents,100189,Financial Information Risk (ex 262/2005),True
Presence of squares,101525,Financial Information Risk (ex 262/2005),True
Incorrect data entry,101524,Financial Information Risk (ex 262/2005),True
Incorrect accounting,100997,Financial Information Risk (ex 262/2005),True
Incorrect payments,100996,Financial Information Risk (ex 262/2005),True
Possible error in the calculation of the TEG,100705,Financial Information Risk (ex 262/2005),True
Prices perimeter not complete,101282,Financial Information Risk (ex 262/2005),True
Inconsistent prices,100695,Financial Information Risk (ex 262/2005),True
Database of test environments not aligned with the production environment and data breach.,101222,Information and Communication Technology risk,False
Incorrect or not compliant data,104992,NA,False
Incorrect date,100131,NA,False
Signature or powers not correct,100132,NA,False
Inconsistent data,100085,Financial Information Risk (ex 262/2005),True
Incomplete and incorrect data,100082,Financial Information Risk (ex 262/2005),True
Incorrect data,104087,Financial Information Risk (ex 262/2005),True
Wrong / failure to send the report,102464,Other risks (operational),False
Incomplete and inconsistent data,100084,Financial Information Risk (ex 262/2005),True
Incorrect table feeding,100083,Financial Information Risk (ex 262/2005),True
Incorrect data,101272,Financial Information Risk (ex 262/2005),True
Incorrect data,100386,Other risks (operational),False
Incorrect data,103085,Other risks (operational),False
Incorrect data,105225,Other risks (operational),False
Processing anomalies,102625,Other risks (operational),False
Failure to establish security deposit,101194,Other risks (operational),False
Non-execution of orders and misalignment of positions with the market,101475,Other risks (operational),False
Position misalignment,103755,Other risks (operational),False
Reporting errors,101613,Other risks (operational),False
No authorization,100721,Financial Information Risk (ex 262/2005),True
Inconsistent monthly data,104839,Financial Information Risk (ex 262/2005),True
Inconsistent balances,105370,Financial Information Risk (ex 262/2005),True
Incorrect / incomplete accounting (provisional),102094,Financial Information Risk (ex 262/2005),True
Incorrect / incomplete accounting (provisional),100312,Financial Information Risk (ex 262/2005),True
"Incorrect integration registration, arrangement and provision of non-autom. credits.",100924,Financial Information Risk (ex 262/2005),True
Wrong loading of investigations,104696,Financial Information Risk (ex 262/2005),True
Incorrect completion of the form,103386,Financial Information Risk (ex 262/2005),True
Errors in calculation,103779,Financial Information Risk (ex 262/2005),True
Incorrect order entry,103046,Other risks (operational),False
Incorrect data,105187,Financial Information Risk (ex 262/2005),True
Incomplete and/or incorrect submission of the report,101763,Other risks (operational),False
Inconsistent information on reports,100150,Other risks (operational),False
Incorrect data,101193,Financial Information Risk (ex 262/2005),True
Deal entered incorrectly,102149,Financial Information Risk (ex 262/2005),True
Operation not permitted,105318,Other risks (operational),False
Wrong indication of data,102108,Financial Information Risk (ex 262/2005),True
Incorrect signature powers for Confirmation signed by Customer,101166,Other risks (operational),False
Incorrect attribution of data with respect to the contractual documentation,103781,Financial Information Risk (ex 262/2005),True
Amount of the transaction higher than the one that can be proposed,104173,Other risks (operational),False
Incorrect signatory powers on the Commodity proposal,102557,Other risks (operational),False
Incorrect attribution of the data entered with respect to the contractual ones,104589,Financial Information Risk (ex 262/2005),True
Incorrect signing powers on Commodity,102558,Other risks (operational),False
Check for consistency,100077,Other risks (operational),False
Incorrect data entry with respect to the contractual conditions,101358,Financial Information Risk (ex 262/2005),True
Powers of signature on the contractual kit referring to the transaction concluded in Incorrect exchange rates,104175,Other risks (operational),False
Incorrect powers of signature on the Exchange Proposal to the Client,104174,Other risks (operational),False
Incorrect powers of signature formulated on the proposal in Changes directly to the Customer,104176,Other risks (operational),False
Incorrect data entry with respect to what is set out in the contractual documentation,101559,Financial Information Risk (ex 262/2005),True
Incorrect attribution of the economic conditions agreed with the customer,101190,Financial Information Risk (ex 262/2005),True
Powers of signature on the pre-contractual kit of incorrect rates,101165,Other risks (operational),False
Incorrect signing powers in the foreign exchange transaction,101893,Other risks (operational),False
Wrong imputation on uploaded data,104937,Financial Information Risk (ex 262/2005),True
Verify the consistency between the operation and the sales rules and/or that all the preliminary activities have been completed,100654,Other risks (operational),False
Powers of signature on the confirmation operation in Incorrect changes,102556,Other risks (operational),False
Wrong calculation of Fair Value (first validation),101490,Financial Information Risk (ex 262/2005),True
Wrong calculation of Fair Value (already validated),101491,Financial Information Risk (ex 262/2005),True
Reporting flow with incorrect and/or inconsistent data,100362,Financial Information Risk (ex 262/2005),True
Reporting flow with incorrect and/or inconsistent data,103933,Financial Information Risk (ex 262/2005),True
Stream not updated,104571,Other risks (operational),False
Outdated or non-performing models,100029,Financial Information Risk (ex 262/2005),True
Incorrect location loading,103682,Financial Information Risk (ex 262/2005),True
 Risk of missing or incorrect entry of the transaction and/or deposit.,103486,Financial Information Risk (ex 262/2005),True
Wrong calculation of the rate by agent,100263,Financial Information Risk (ex 262/2005),True
Wrong/incomplete acquisition of documentation,104019,Financial Information Risk (ex 262/2005),True
Risk that the resolution is not consistent with the Fund Regulations,100335,Financial Information Risk (ex 262/2005),True
Incorrect payment of the commission to the Guarantee Fund,103570,Financial Information Risk (ex 262/2005),True
Incorrect and incomplete filing of documentation,103711,Financial Information Risk (ex 262/2005),True
Wrong charge to the customer of the commission due to the Fdg,103597,Financial Information Risk (ex 262/2005),True
Resolution inconsistent with the Regulation of the Guarantee Fund,100334,Other risks (operational),False
Incomplete documentation,100506,Financial Information Risk (ex 262/2005),True
Incorrect accounting of the transfer,100336,Financial Information Risk (ex 262/2005),True
Request format not completed correctly,101149,Other risks (operational),False
Disclosure format not completed correctly,103363,Other risks (operational),False
Sending failed,101411,Other risks (operational),False
Sending failed,104637,Other risks (operational),False
Verify correct feeding of the Sectional Accounting system,104674,Financial Information Risk (ex 262/2005),True
Wrong Accounting,101444,Financial Information Risk (ex 262/2005),True
Operational and Registry Anomalies,100825,Other risks (operational),False
Operational and Registry Anomalies,100824,Other risks (operational),False
 Failure to fulfill regulatory obligations / request for necessary opinions or unauthorized operation,100591,Financial Information Risk (ex 262/2005),True
Incorrect definition of the perimeter of the companies,101419,Financial Information Risk (ex 262/2005),True
Incorrect entry of data in the consolidation file,105371,Financial Information Risk (ex 262/2005),True
Incorrect entry of data in the consolidation application,101420,Financial Information Risk (ex 262/2005),True
Incorrect data entry in the consolidation application,103270,Financial Information Risk (ex 262/2005),True
Operation blocks,104774,Other risks (operational),False
Loss/duplication with consequent incremental risk of carrying out fraudulent and/or criminal actions,104773,Other risks (operational),False
Errors in testing activities,101002,Other risks (operational),False
No update request received,101001,Other risks (operational),False
"Verification not carried out, incorrect or incomplete reports",101102,Other risks (operational),False
Reports not sent to the AGCM,102555,Other risks (operational),False
Final reports not complete and/or not sent to the competent authorities,100238,Other risks (operational),False
Forms that are incomplete and/or contain incorrect declarations,101103,Other risks (operational),False
Incorrect/incomplete data,104620,Financial Information Risk (ex 262/2005),True
Incorrect data,100946,Financial Information Risk (ex 262/2005),True
Wrong data,104791,Financial Information Risk (ex 262/2005),True
Wrong formalization of the transaction,104792,Financial Information Risk (ex 262/2005),True
Wrong data,104793,Financial Information Risk (ex 262/2005),True
Incorrectness/inconsistency of the data reported in the system and/or of the opinion of the Product Desk,103246,Financial Information Risk (ex 262/2005),True
Incorrect calculation of values,102860,Financial Information Risk (ex 262/2005),True
Incorrect entry of data into the system,104048,Financial Information Risk (ex 262/2005),True
Errors/Anomalies in Catalogues,102477,Other risks (operational),False
Presence of errors/anomalies of a formal nature,102476,Other risks (operational),False
Data Errors/Anomalies,102481,Other risks (operational),False
Absence of eligibility requirements and incomplete or outdated documentation to support the control performed.,101528,Financial Information Risk (ex 262/2005),True
SACE Green - Failure to comply with the terms for the disbursement of the loan and relative communication to SACE.,100114,Other risks (operational),False
SACE Green - Failure to comply with the deadlines for assuming the credit resolution and notifying SACE of the disbursement of the loan.,101602,Other risks (operational),False
Non-compliant loan request and/or absence of eligibility requirements.,104242,Financial Information Risk (ex 262/2005),True
Rating downgrading and failure to comply with repayment obligations.,101530,Financial Information Risk (ex 262/2005),True
Incorrect completion of the pledge confirmation form,104030,Financial Information Risk (ex 262/2005),True
Wrong Contract Proposal,104183,Financial Information Risk (ex 262/2005),True
