controlCategory,controlType,controlPeriodocity,control,controlID
NA,Manual,365.0,Check the success of sending the template to the Bank of Italy,2711
NA,Manual,0.1,Verify ownership of the property,4297
NA,Manual,0.1,Verify accounting data,3342
NA,Manual,0.1,Check formal requirements of the contract,3474
NA,Manual,0.1,Verify correct insertion,3473
NA,Manual,0.1,Carry out checks for IFRS16 purposes,4460
NA,Manual,0.1,Verify payment,3448
NA,Manual,0.1,Verify the complete and correct updating of the contract data in the system,3235
NA,Manual,0.1,Verify the adequacy of the rent compared to market values,1940
NA,NA,,Verify the correct representation of the wallets,718
NA,Manual,0.1,Verify exact census/identification of the counterparty,3287
NA,Manual,0.1,Check the data entered in the system,1025
NA,Semi-automatic,30.0,Verify the correctness and completeness of the Catalogue,3944
Professional,Semi-automatic,30.0,Check price list deviations,3257
NA,Semi-automatic,30.0,Check for misalignments,3945
Professional,Manual,0.1,Check the correct power supply of the tool for carrying out the SPPI Test,4152
Operational,NA,,Verify the correctness of the canceled order,1663
NA,NA,,Check for anomalies in the sending procedure - acquisition of the information flow concerned,5027
NA,Manual,30.0,Verify the quality of the data relating to the samples referred to the Funds and Securities Lending sections,5081
NA,Manual,30.0,Verify the quality of the data relating to the samples examined,5080
NA,Manual,182.0,Verify the correctness of the amounts related to the charges,4773
NA,Manual,182.0,Verify the correct preparation of the accounting phase,1094
NA,Manual,182.0,Verify the correct processing of accounting flows,1758
NA,Manual,0.1,Verify correct accounting on accounting ledgers,435
NA,Manual,30.0,Verify the quality of the data relating to the documentation relating to securities and coupon maturities,2327
NA,Manual,1.0,Verify the data relating to the transactions subject to daily reporting,1302
NA,Automatic,92.0,Verify the data relating to the quarterly reporting of consistency letters and MiFID questionnaire,3563
NA,Manual,0.1,Validate the operations entered manually,3031
NA,Manual,0.1,Check match,895
NA,Automatic,0.1,Check the consistency of the amounts,2970
Operational,NA,,Check if you are in a false positive case,4440
Operational,NA,,Check managed systems for indicators of compromise,1658
NA,Manual,0.1,Verify the correct preparation of the text,438
NA,Manual,0.1,Check that the form is filled in correctly,439
NA,Manual,0.1,Verify the correct registration of the guarantees,441
NA,Manual,0.1,Verify the data and signatures required in the guarantee certification form,440
Professional,Semi-automatic,365.0,Perform consistency checks,34
NA,Manual,,Verify Contents of the Confidentiality Agreement in the case of a non-U.S. Issuer or not American,4335
NA,Manual,0.1,Verify correct accounting of commissions,2807
NA,Manual,0.1,Verify correct accounting of commissions,2578
NA,Manual,,Verify Contents of the Confidentiality Agreement in the case of a U.S. Issuer or American,1222
NA,Semi-automatic,1.0,Check the outcome of the processing phases of the Financial Engine,2300
NA,Semi-automatic,1.0,Check respect of the cut-off on receiving flows,144
NA,Semi-automatic,1.0,Check data acquisition deviations,4523
NA,Semi-automatic,1.0,Verify correct receipt of flows,4524
NA,Semi-automatic,1.0,Verify the correct outcome of the processing term,2301
NA,Manual,0.1,Carry out checks for comparison between sessions,2912
NA,NA,,Compare correspondence on asset stocks,2913
NA,Manual,0.1,Verify the reservation of decision-making powers,1885
NA,Manual,0.1,Check the appraisal and the preliminary notary report for the practices reported in the Monitoring Dashboard,1975
NA,Manual,0.1,"Check correspondence, expert report and warranty data",1974
NA,Manual,0.1,Check the practices reported in the Monitoring Dashboard,516
Operational,Manual,0.1,Verify receipt of acknowledgment,79
NA,Semi-automatic,1.0,Check that the system is powered correctly,2856
NA,Semi-automatic,1.0,Check correct system power supply,2857
Operational,Manual,0.1,Check the communications received at t+1,2859
NA,Semi-automatic,0.1,Verify correct undo operation,2858
NA,NA,,Check acquisition of messages by the Bank of Italy,587
NA,Semi-automatic,0.1,Check lines of credit,4925
NA,Semi-automatic,0.1,Verify correct entry of data into the system,3890
NA,Manual,0.1,Verify the correctness and completeness of the documentation prepared,2725
NA,Manual,0.1,Verify the correctness and completeness of the documentation prepared,2724
NA,Manual,0.1,Verify the correctness of the calculation of the level of funding for the pricing of the issue,2705
NA,Manual,0.1,Verify the correct manual census of perpetual bonds,5499
NA,Manual,0.1,Verify correct entry in Kondor,5079
NA,Manual,0.1,Verify correct data acquisition,2573
NA,Manual,0.1,Check the correct data acquisition in Market hub,2572
NA,Manual,0.1,Verify the correct census in Murex,2571
NA,Manual,0.1,Verify the correct census,4129
NA,Semi-automatic,1.0,Check for anomalies in the acquisition procedure from info providers,3106
NA,NA,,Verify the correct identification of the subjects for which the cessation of the insurance distribution activity is envisaged,1421
Operational,Manual,0.1,Verify the absence of prejudicial information,4274
NA,Manual,365.0,Verify the correctness of the electronic filing of the new entries in the register,2703
NA,Manual,1.0,Verify the correct quadrature,4994
NA,Manual,1.0,Check the correctness of the data,5191
NA,Manual,0.1,Check the correctness of the payments,131
NA,Manual,0.1,Verify correct accounting,130
NA,Manual,0.1,Check that the TEG respects the Wear Thresholds,57
NA,Semi-automatic,0.1,Check for missing prices,1271
Operational,Semi-automatic,30.0,Run price checks,5678
NA,NA,,Oversee the populating activities,736
NA,Manual,92.0,Verify data quality,82
NA,Semi-automatic,92.0,Develop and verify the final list,80
NA,Manual,92.0,Check the BankIt diagnostic,4292
NA,Manual,92.0,Check that the data has been sent,2543
NA,Manual,92.0,Verify stock data,83
NA,Manual,92.0,Verify the correct feeding of the Own Funds table for LE,81
NA,Manual,92.0,Verify the complete fulfillment of the reliefs,1263
NA,NA,,Check the data prepared for sending,382
NA,NA,,Carry out massive checks on the annual SALDI flow,5513
NA,NA,,Check the correctness of the data,3176
NA,NA,,Check for and report any supply rejects/anomalies,1303
NA,NA,,Manage the Security Deposit,3491
NA,NA,,Check that the underlying has been settled on the value date,1495
NA,Semi-automatic,0.1,Check that the underlying has been settled on the value date,1629
NA,Manual,0.1,Check the warnings reported on the report,1628
NA,Manual,0.1,Check receipt of authorization emails,4112
NA,Manual,0.1,Verify that there are no anomalous balances,935
NA,Semi-automatic,30.0,Carry out trend analyses,5072
NA,Manual,30.0, Reconcile payroll and accounting events and between them and the MCT Dashboard,2128
NA,Manual,0.1,Verify the effective zeroing of the PV received,1370
NA,Manual,0.1,Verify the correspondence of what was done with what was received,5071
NA,Manual,30.0,Check the accounting of the assessments,3985
NA,Semi-automatic,30.0,Check the correct preparation of the form,3509
NA,Semi-automatic,30.0,Check the correct preparation of the form,3947
NA,Manual,0.1,Verify correctness of manual entry into the system,2894
NA,Manual,0.1,Make adjustments to the sent flow,5472
NA,Manual,92.0,Check the receipt of the information base,4111
NA,Manual,92.0,Check the information on the Group reports and map,5177
NA,Manual,92.0,Verify the correctness of the signal flow,1173
NA,Manual,0.1,Verify the correct receipt of the deal,3521
NA,NA,,Monitor the operations carried out by the supervisee in financial instruments of OTC Derivatives,5606
NA,Manual,0.1,Check the data contained in the documentation received,2152
NA,NA,,Check signing powers,1149
NA,Manual,0.1,Check data upload consistency with contractual documentation,3950
NA,NA,,Check the proposed amount of the foreign exchange transaction,4392
NA,Manual,0.1,Verify consistency of data entered in the procedure with the contractual ones,4823
NA,Manual,0.1,Check signing powers in Commodity,2641
NA,NA,,Check the signing powers on the Commodity Product Sheet,2642
NA,Manual,0.1,Verify that the data entered in the procedure are consistent with what is indicated in the contractual documentation,1348
NA,Manual,0.1,Carry out a Blocking type check of consistency with the sales rules and the guides relating to the preliminary obligations for operations in Cambi,677
NA,NA,,Check the signing powers on the Change Confirmation,4394
NA,NA,,Check signing powers,4393
NA,Manual,0.1,Check signing powers,4395
NA,Manual,0.1,Verify consistency between the data entered in the procedure and those of the contractual documentation,1572
NA,Manual,0.1,Check the data entered in the Rates contract proposal,1166
NA,NA,,Verify signing powers,1148
NA,Manual,0.1,Verify signing powers for the transaction in Changes,1910
NA,Manual,0.1,Check that the data entered in the procedure are consistent with what is indicated in the documentation,824
NA,NA,,Carry out a consistency check with the sales rules and the guides relating to the preliminary obligations for operations in Cambi,676
NA,NA,,Check the signing powers on the Change Confirmation,2640
NA,Semi-automatic,0.1,Check the calculation of Fair Value,501
NA,Semi-automatic,0.1,Check the revaluation values,502
NA,Semi-automatic,0.1,Compare pricing with independent feedback/contributions,504
NA,Semi-automatic,92.0,Analyze variances with previous evaluations,503
NA,Manual,0.1,Make adjustments to the sent flow,367
NA,Semi-automatic,3650.0,Verify the correctness of the signal flow,3172
NA,Semi-automatic,3650.0,Check the causes of the unusual deviations and take corrective actions,4558
NA,Semi-automatic,30.0,Monitor the output of the methodologies for sensitivity and initial margins,2934
NA,Semi-automatic,0.1,Check the deal entered,3341
NA,Semi-automatic,0.1,Check entry of the transaction and/or deposit.,1322
Operational,Semi-automatic,0.1,Verify the correctness of the rate calculation made by the agent.,3093
NA,Manual,0.1,Check documentation,426
NA,Manual,0.1,Verify the consistency of the Banks resolution with that of the Guarantee Fund and communicate the date of the resolution to the latter,2163
NA,Manual,0.1,Verify the correct payment of the commission to the Guarantee Fund,3694
NA,Manual,0.1,Check the correct and complete filing of the documentation,3879
NA,Manual,0.1,Verify the charge to the customer and the payment of the commission to the Central Guarantee Fund,2361
NA,Manual,0.1,Verify the consistency of the Banks resolution with that of the Guarantee Fund and communicate the date of the resolution to the Guarantee Fund,3860
NA,Manual,0.1,Check documentation completeness,541
NA,Manual,0.1,Verify correct accounting,5708
NA,Manual,0.1,Validate the request,1813
NA,Manual,0.1,Comprehensively verify the information collected through the Tool,719
Operational,Semi-automatic,1.0,Check the reasons for the failure to send,2896
NA,Semi-automatic,1.0,Check the reasons for the failure to send,1596
Operational,Manual,0.1,Verify proper feeding of the sectional accounting system,1597
Operational,Manual,0.1,Check correct supply of sectional accounting system,2897
NA,Semi-automatic,0.1,Verify complete and correct registration of incoming flows,5369
NA,Semi-automatic,1.0,Carry out the checks foreseen in the field of product master data,5370
NA,Semi-automatic,0.1,Manage audit reports,1593
Professional,Manual,0.1,Verify that you have correctly fulfilled the necessary Regulatory Obligations and requested the required opinions,614
NA,Manual,30.0,Verify the perimeter of the Companies to be analysed,1377
NA,Semi-automatic,30.0,Verify the correctness of the uploaded data,5668
NA,Semi-automatic,30.0,Verify the correctness of the uploaded data,1430
Professional,Semi-automatic,30.0,Verify the correctness of the uploaded data,4644
NA,NA,,Approve changes to the Branch Key Register,1276
NA,Manual,0.1, Check the update rollout activities,3892
NA,Manual,0.1,Verify the correct sending of the information,2289
NA,NA,,Carry out checks on the completeness of the minutes,1100
NA,NA,,Carry out checks on the regular transmission of the reports to the AGCM,2639
NA,NA,,Verify the completeness of the minutes,267
NA,NA,,Carry out checks on the accuracy and completeness of documents,1099
NA,Manual,0.1,Check for bug fixes,4360
NA,Manual,1.0,Checking the netting rates and sending the file to the Front Offices,951
NA,Manual,1.0,Check for HFT,967
NA,Manual,1.0,Verify the correct exemption of some operations,966
NA,Manual,0.1,Check the correctness of the accounting,3402
NA,Manual,0.1,Verify the correct formalization of the operation,3403
NA,Manual,0.1,Check the coincidence of the processed data,376
NA,Manual,0.1,Check the correctness and consistency of the data entered,2209
NA,Semi-automatic,0.1,Verify and certify calculation of coupons and interest,4248
NA,Semi-automatic,0.1,Check the correct entry of data into the system,4247
NA,Automatic,365.0,Check the correctness/completeness of the data,4483
NA,Semi-automatic,365.0,Carry out formal control of the generated documents,5333
NA,Automatic,365.0,Check the correctness/completeness of the data,1336
NA,Manual,0.1,Carry out final checks,406
NA,NA,,Monitor the SACE Green practices being perfected,834
NA,Manual,0.1,Carry out preliminary checks and check the documentation collected,881
NA,NA,,Monitor SACE Green practices in the process of being approved and perfected,4210
NA,Manual,0.1,Carry out final checks prior to signing and disbursement,1690
Operational,Manual,0.1,Check the completion of the pledge confirmation form,3086
Professional,Manual,0.1,Check the Contract Proposal and the guarantee text to be attached,4403
Professional,Manual,0.1,Check the contract or the commitment issue request,547
Operational,Manual,0.1,Check the supplementary data of the guarantee,194
NA,Manual,0.1,Check that the conditions entered are those contractualised,4419
Operational,Manual,0.1,Validate the dispensing detection,1428
NA,Manual,0.1,Carry out investigations and processing of misdirected and/or non-received collections,1955
NA,Manual,0.1,Verify correctness of the dispensing set and carry out the Release Cash Flow.,3956
NA,Manual,0.1,Check that the application is powered correctly,3350
NA,Semi-automatic,0.1,Verify and complete the Disbursement Arrangement,4904
NA,Manual,0.1,Verify delivery release,3318
Operational,Semi-automatic,1.0,Carry out the reconciliation of the technical and currency accounts,5170
NA,Manual,0.1,Verify disbursement event on dedicated systems.,2348
NA,Manual,0.1,Check outcome on payment systems,2347
NA,Manual,0.1,Check the conditions precedent,2546
NA,Manual,0.1,Check the consistency of the request with the contract,4529
