activityType,activityCategory,activity,activityID
control activity,Other,Check the diagnostic results,12867
process activity,Operational,Fill in and validate the checklist,25460
control activity,Other,Check the correctness and completeness of the compilation,29493
process activity,Professional,Analyze the responses and prepare a Summary Note,7175
control activity,Other,    Check the completeness of the answers received,33807
process activity,Professional,Process the balance sheet,3572
control activity,Other,Verify correspondence of accounting balances with balance sheet results,26508
process activity,Operational,Release the tables/contributions of the Explanatory Notes,8138
process activity,Operational,Process the Income Statement,20621
control activity,Other,Verify correspondence of the accounting balances with the Budget application,26812
process activity,Operational,Prepare and send the checklist,25459
process activity,Professional,Enter any additions (including movements where required) in the Financial Statements application,20198
control activity,Other,Check that the data has been loaded correctly,4056
control activity,Other,Check aggregated data in summary files,12865
process activity,Operational,Prepare detailed note,27732
process activity,Operational,Populate the Budget application,20620
control activity,Other,Verify the correct application of the Group Accounting Rules,22192
control activity,Other,Check for rejects,26811
process activity,Operational,Certify phases,475
control activity,Other,Attest the certification of the phases,16662
process activity,Operational,Arrange the supply flow of intercompany balance sheets,17477
process activity,Professional,"Prepare comments (part A,B,C,D,F,G,I,L,M attachments and accounting schedules)",22527
control activity,Other, Check the completeness and accuracy of the NI Financial Statement tables / disclosures,33578
process activity,Professional,Close the position,21101
process activity,Professional,Acknowledge the sale resolution,20147
process activity,Operational,Manage administrative obligations related to binding purchase offers,14039
process activity,Operational,Manage administrative tasks for the sale,4768
control activity,Operational,Verify correct implementation on the management system,34688
control activity,Other,Check the accounting of capital gains or losses,353
process activity,Operational,Support pre-sale activities,16522
process activity,Professional,Manage proposal for sale resolution,16361
control activity,Professional,Check documentation completeness,16362
process activity,Operational,Carry out a personal census,14040
process activity,Operational,Provide support for subject inquiries,10891
process activity,Operational,Support marketing activities,16523
process activity,Operational,Support the delivery of the property,4769
process activity,Professional,Check for residual credit and implement recovery actions,21100
process activity,Professional,Carry out preliminary evaluation,20746
control activity,Professional,Check proposal data for large amounts,1088
process activity,Operational,Manage security deposit,4767
process activity,Operational, Communicate closure of business,11581
process activity,Operational,Prepare/update the Document supporting the report,20919
process activity,Operational, Submit the Document and the Attestation Letter to the signature of the Asset Safeguarding Obligations Manager,11582
process activity,Operational,Send the documentation to the Auditors,10094
process activity,Operational,File the documents sent and received,10097
process activity,Operational,Take action to start preparing/updating the Document supporting the Report,24785
process activity,Operational,Share the Document with auditors,20920
process activity,Operational,Monitor the progress and conclusion of the planned interventions to mitigate the identified risks,10098
process activity,Operational,Receive the document containing the actions to be implemented to mitigate the risks identified by the Auditors,10096
process activity,Operational,"Prepare, if necessary, the definitive version of the Document",20921
control activity,Other,Check the completeness of the Document,28954
process activity,Operational,Receive the report prepared by the Auditors and confirmation of forwarding to the Bank of Italy,10095
process activity,Professional,Deploy software packages on the Golden Image,7927
process activity,Professional,Request creation/opening in Golden Image update,12241
process activity,Professional,Perform the retirement of a POUN/Golden Image Pool,8997
process activity,Professional,Provide software to install,24969
process activity,Professional,Solve the anomaly with the possible support of second-level structures,21329
process activity,Professional,Validate any new products,3790
process activity,Professional,Evaluate the disposal of a POUN/Golden image pool,8996
process activity,Professional,Prepare scripts for use in the installation,12930
process activity,Professional,Request definition/update of a POUN,27074
process activity,Professional,Coordinate product version/new product upgrade impact analysis,12240
process activity,Professional,Close Golden Image and set the POOL(s) of POUN,12059
process activity,Professional,Report anomaly on the POUN,21328
process activity,Professional,Evaluate and approve the request,27075
process activity,Professional,Create/open in update Golden Image,7925
process activity,Professional,Request Software Product Installation,7926
process activity,Operational,Request new specific POOL enabling code,3791
process activity,Professional,Request the deletion of the enabling code Dedicated POUN pool,15484
process activity,Professional,Create laboratory POUNs,7928
process activity,Professional,Notify completion of new POUN/POUN update,12060
process activity,Professional,Notify the user of the POUN decommissioning,15485
process activity,Professional,Request the divestment of a POUN/Golden Image Pool,13107
process activity,Operational,Update the definitive amortization plan and check its consistency.,17402
process activity,Operational,Communicate the stipulation made to the reference Structure,18436
process activity,Operational,Acquire the Beneficiary Use Request for the RECONSTRUCTION CEILING FINANCING / DISASTER EVENTS,953
process activity,Operational,Prepare the summary of Beneficiary Use Requests,955
process activity,Professional,Request and verify the provision for the RECONSTRUCTION CEILING FINANCING / DISASTER EVENTS,954
control activity,Other,Verify Beneficiary Use Request,14660
process activity,Operational,Prepare the accounts for the delivery and deliver the DDS to the customer,25966
control activity,Other,Check the correctness of the documentation,7574
process activity,Professional,Verify the sum made available to the customer and disburse or give instructions for disbursement,7575
process activity,Operational,Execute or arrange for the execution of the customer's payment instructions,17403
process activity,Professional,Notify the competent structure of requests for beneficiary use for the RECONSTRUCTION CEILING LOANS / DISASTER EVENTS,956
process activity,Operational,Enter data into the system,7577
control activity,Other,Verify the correctness of the data entered in the system,2211
process activity,Operational,Account for payment advice received,15268
process activity,Professional,Verify consistency of supply,7576
process activity,Operational,Proceed to process the usage requests received,957
process activity,Operational,Notify the competent structure of the successful disbursement of Reconstruction and Calamitous Events Beneficiary Loans,32957
process activity,Professional,Formalize the resolution in the CMLT procedure,18434
process activity,Operational,Archive documentation,17400
process activity,Operational,Send the summary of the requests for beneficiary use to the competent structure,2661
control activity,Other,Check the correctness of the documentation,2210
process activity,Operational,Communicate the rate of individual disbursements to the branches,25965
process activity,Commercial,Deliver the amortization schedule to the customer,17404
process activity,Operational,Prepare and send the Supplementary Loan Contract Proposal,958
process activity,Commercial,Stipulate the Beneficiary Loan agreement,18435
control activity,Other,Check the correctness of the documentation,8765
process activity,Operational,Communicate any non-acceptance by CDP,5267
process activity,Professional,Gather and input information to determine Global Effective Rate,25967
control activity,Other,Check that the TEG has been checked,30157
process activity,Operational,Acquire interest rate information for each disbursement and communicate it to the reference structures,5268
process activity,Professional,Check the correspondence of the beneficiary loans with the loan disbursed by CDP for the Reconstruction Plafond and Calamitous Events Beneficiary Loans,17401
process activity,Operational,Enter the data in the procedure,27106
process activity,Commercial,Confirm the order in the system,27143
control activity,Commercial,Check the data proposed by the procedure,7484
process activity,Commercial,"If necessary, negotiate the conditions of the operation",27107
process activity,Commercial,Identify the customer,27085
control activity,Commercial,Verify contractual fulfillment,9831
process activity,Commercial,Have the device kit signed and delivered to the customer,27145
process activity,Commercial,Archive the documentation relating to the operations performed,27108
process activity,Commercial,Enter the operation in the system,27086
process activity,Commercial,Request authorization for non-autonomous operations,27084
process activity,Commercial,Collect prior authorization,27146
process activity,Commercial,Verify the existence of the Position (deposit) Repurchase Agreement,27142
process activity,Commercial,Transmit the request for a particular operation to the Central Structure,27141
process activity,Operational,Enter the data in the procedure,27109
process activity,Commercial,Describe the characteristics of the financial instrument,27144
process activity,Commercial,Evaluate the conditions in derogation from the limits of autonomy of the branch,27083
process activity,Commercial,Check the type of offer,27110
process activity,Commercial,Communicate authorization result,27147
process activity,Professional,Check the list of strategies,18294
process activity,Professional,Communicate the activation of the strategy,27300
process activity,Professional,Communicate the census of the new trading algorithm,32017
process activity,Professional,Survey the trading algorithm,32013
process activity,Professional,Analyze the report received and evaluate any changes,13990
process activity,Professional,Approve the changes made to the Repository and communicate the update,22770
process activity,Professional,Report the need to implement a new strategy or to make a change to an existing strategy,27067
process activity,Professional,Complete the “Algorithmic Trading Strategy Change Nature Assessment Checklist”,27289
process activity,Professional,Periodically review the list of strategies in the Repository,31999
process activity,Professional,Report the need to implement a new strategy or make a change to it,31604
process activity,Professional,Approve the upload of the Algo Trading Repository,15255
process activity,Professional,Submit relevant information,32028
process activity,Professional,Validate the new strategy,32023
process activity,Professional,Communicate the approval of material changes to an existing strategy,20628
process activity,Professional,Approve the information update,32000
process activity,Professional,Approve the information update,32026
process activity,Professional,Feed repository Algorithmic negotiation,20629
process activity,Professional,Approve the upload of the Algo Trading Repository,27301
process activity,Professional,Validate the changes made,32003
process activity,Professional,Activate the CNP,32024
process activity,Operational,Analyze and resolve the reported anomaly,32016
process activity,Professional,Verify on-site the consistency between what was agreed in the CNP and what is present on the systems,32002
process activity,Professional,Request the activation of a New Products Committee,27294
process activity,Operational,Communicate the update of the Algorithmic Trading Repository,27290
process activity,Professional,Make the changes to the Repository,9792
process activity,Professional,Update the algorithm information in the Repository,32020
process activity,Professional,Communicate changes to control functions,32014
process activity,Professional,Communicate the registered changes,32025
process activity,Professional,Start the CNP for strategies to reactivate or deactivate obsolete strategies,32029
process activity,Professional,Activate the CNP,32030
process activity,Professional,Approve the upload of the Algo Trading Repository,27293
process activity,Professional,Submit information about the changes you made,32015
process activity,Professional,Archive supporting documentation,32031
process activity,Professional,Analyze the characteristics of the change,32019
process activity,Professional,"Fill in the ""Check List"" to evaluate the nature of the change to the trading algorithm",32018
process activity,Professional,Identify the changes to be made or the strategies to be discarded,26672
process activity,Professional,Approve the census,32027
process activity,Professional,Update the algorithm information in the Repository,32021
process activity,Professional,Assess whether the change is relevant or irrelevant,32012
process activity,Professional,Request the activation of a New Products Committee,15256
process activity,Professional,Initiate review and evaluation activities,28337
process activity,Professional, Communicate the new loaded strategy,27299
process activity,Operational,Load the shortcode,27292
process activity,Professional,Feed the Algorithmic Negotiation Repository,27068
process activity,Operational,Submit relevant information,32004
process activity,Professional,Survey the short-code on the trading markets envisaged for the Algorithm,32022
process activity,Professional,Organize a joint table with the impacted structures to identify a change as relevant or not relevant,27069
process activity,Professional,Communicate the identification of a significant or non-material change,27291
process activity,Professional,"Modify the Algorithmic Trading Repository and, if necessary, provide information on further changes",27298
process activity,Professional,Monitor the functioning of algorithmic trading strategies,32001
process activity,Professional,Verify on-site the consistency between what was agreed in the CNP and what is present on the systems,13853
process activity,Professional,Carry out the Price sensitivity assessment,28277
control activity,Other,Verify correct identification of the type of List,2224
process activity,Professional,Validate the registration in the List and send notice of successful registration,2228
control activity,Other,Check List,31077
process activity,Professional,Ask the Department responsible for the transaction to send or complete the Price Sensitivity Verification Form,28275
process activity,Professional,Submit the list of price sensitive practices together with the Price Sensitivity Verification Forms and update the Lists with any new parties accessing the information,2227
process activity,Professional,Submit the Price Sensitivity verification form of the file,2226
process activity,Professional,Analyze the content of the Price Sensitivity Verification Form,28274
process activity,Professional,Acquire from the proposing structures the information relating to the practices to be submitted to the bodies,3704
control activity,Other,Verify the presence and correctness of the Price Sensitivity Form,3705
process activity,Professional,Activate the Price sensitivity evaluation,28276
process activity,Professional,Transmit the evaluation on Price sensitivity,2225
process activity,Professional,Analyze the content of the Price Sensitivity Verification Form,34609
process activity,Commercial,Monitor the status of the submitted proposal,1034
process activity,Professional,Identify the Customer / Legal representative of the Company / Subject with parental responsibility,15651
process activity,Commercial,Illustrate the characteristics of the products and carry out the social security check-up,15887
process activity,Commercial,Evaluate the Company's interest in signing an agreement for the collective participation in the supplementary pension scheme of its employees,29178
process activity,Commercial,Manage the documentation in dematerialized format and submit it to the customer's signature,2000
process activity,Commercial,"Fill in the Covip questionnaire (excluding minors), Privacy and additional information",1998
process activity,Commercial,"Fill in the COVIP questionnaire (excluding minors), Privacy and additional information",5648
process activity,Commercial,"Fill in the Covip questionnaire (excluding minors), Privacy, Beneficiaries and other information",14397
process activity,Commercial,"Illustrate the characteristics of the products, carry out the social security check-up and select the offer method",3349
process activity,Commercial,Confirm or modify the Life Cycle choice,3350
process activity,Commercial,Inform the customer of the methods for forwarding the pertinent documentation,2001
process activity,Commercial,Fulfill FATCA-IGA-CRS-QIA compliance,21697
process activity,Commercial,Identify the reference Retail Branch,29183
process activity,Commercial,Save the proposal and send it to the customer together with the pre-contractual documentation,15618
process activity,Operational,Confirm or modify the Life Cycle choice,5647
process activity,Commercial,Inform the customer of the methods for forwarding the documentation pertaining to him,4166
process activity,Operational,Save the proposal and send it to the customer together with the pre-contractual documentation,12271
process activity,Commercial,Fulfill FATCA-IGA-CRS-QIA compliance,21698
process activity,Commercial,"Deliver, have the COVIP Cost Form signed and attached",1999
process activity,Operational,Carry out any cancellation of the operation during the day,19948
process activity,Commercial,Complete the relevant parts of the documentation signed by the Company,29181
process activity,Commercial,Comply with the behavioral obligations established by law,7050
process activity,Commercial,Consult the summary of the offer and proceed with sending it to the Customer for acceptance or refusal,1033
process activity,Operational,Carry out any cancellation of the operation during the day,8151
process activity,Commercial,Support the Company in compiling and signing the Company Agreement and the Operating Agreement,29180
process activity,Commercial,"Fill in the Covip questionnaire (excluding minors), Privacy, Beneficiaries and other information",1032
process activity,Operational,Check the customer's consent to receive remote offers,15242
process activity,Commercial,Consult the summary of the offer and proceed with sending it to the Customer for acceptance or refusal,14398
process activity,Operational,Monitor the status of the submitted proposal,20456
process activity,Commercial,Carry out the preliminary activities in order to recontact the customer who wants to join the branch pension fund,3347
process activity,Commercial,Present the characteristics of the product to the employees of the Company,29179
process activity,Commercial,Fulfill FATCA-IGA-CRS-QIA compliance,19949
process activity,Operational,Verify the customer's consent to the receipt of Remote Offers and the consequent delivery of the documentation exclusively in dematerialized format,1031
process activity,Operational,Send the form to the Company and file a copy in the branch,29182
process activity,Operational,Carry out the preliminary activities in the General Registry,3348
process activity,Commercial,Present the methods of signing the company agreement,29184
process activity,Commercial,Manage the documentation in dematerialized format and submit it to the customer's signature,15619
process activity,Commercial,Deliver the mandatory pre-contractual and contractual documentation,26630
process activity,Commercial,Fulfill FATCA-IGA-CRS-QIA compliance,31091
process activity,Operational,"Deliver, have it signed and attached COVIP Cost Sheet",5649
process activity,Professional,Proceed - when the ONP does not hold a current account - to open it and fill in the Evaluation Form,18697
process activity,Professional,Retrieve information on the ONP and check if you meet the admission requirements,18955
process activity,Professional,Retrieve reputational risk information and carry out the analyzes within its competence,18954
process activity,Professional,"For Third Value, analyze the project file and start the social, project and credit investigations",10603
process activity,Professional,Draw up the relevant Overall Financial Judgment,9485
process activity,Professional,Issue the appropriate resolutions,10605
process activity,Professional,Carry out the actions resulting from the different types of projects,16524
process activity,Operational,Manage the loading of the relevant personal profile on the platform with the NPO,18957
process activity,Commercial,Communicate the continuation of the procedure to the ONP,9484
process activity,Operational,Generate and return the numeric key to be entered on the platform,10604
process activity,Professional,Conclude the credit investigation,10606
process activity,Professional,"Evaluate the information retrieved, manage the proposal process and sign the contractual documentation",18698
process activity,Professional,Retrieve information related to AML and financial data and make an overall financial opinion,18958
process activity,Professional,"Receive the Evaluation Form and check the completeness of the completed sections, then send it to the competent Structure for subsequent evaluation",18699
process activity,Professional,Finalize the analyzes related to the calculation of the operation rating,34873
process activity,Operational,Send the documentation for compliance and data quality safeguards,34872
process activity,Operational,Notify Sign-Off,34856
process activity,Operational,Enter the operation in the system,34871
process activity,Operational,"Submit the market due diligence on the quota ""to share"" (HTCS)",34857
process activity,Commercial,Include the clauses relating to the transferability / salability of the credit in the contractual documentation,34849
control activity,Other,Verify the updating of the data in the system in case of uncompleted operations,29601
process activity,Operational,Validate the operation in the system,34851
process activity,Operational,Upload and certify the HTC and HTCS quotas into the system and check related obligations,34853
process activity,Professional,Proceed with the Sign-Off of the HTCS shares,34875
process activity,Professional,Deliberate HTC share,11828
process activity,Professional,Carry out the relevant due diligence,34870
process activity,Professional,Start the deliberation process for the HTC share,34869
process activity,Professional,Approve the exceeding of the limits and/or sub-limits of the HTCS ceiling,34868
process activity,Professional,Check contractual clauses,34854
process activity,Professional,Proceed with sending and recording the Sign-Off approval,34855
control activity,Other,Check the data entered in the system,9980
process activity,Professional,Proceed with checks relating to compliance and data quality safeguards,34852
process activity,Professional,Mutual exchange of views,34874
process activity,Professional,Consider any changes to the proposed HTCS quota,34858
process activity,Operational,Send the OtS Technical Note,34850
control activity,Other,Verify the correct and complete compilation of the form,1553
process activity,Operational,Prepare reclassification of items to be disposed of,25753
process activity,Operational,Record accounting journal entries,8472
control activity,Other,Verify correct accounting entry of journal entries,30428
process activity,Operational,"Determine illiquid items on bank accounts, adjustments by settlement date and reconciliation of advances on installments due to the related credit report",25752
process activity,Operational,Configure new first or second level gate in the access control system,29902
process activity,Operational,Design and build a gate for access to a first or second level area,29901
process activity,Operational,Evaluate and authorize the request,29900
process activity,Operational,Request activation/deactivation of access gates to first or second level areas,29899
process activity,Operational,Contact the Client and check if the insured is alive,21688
process activity,Operational,Inform the person entitled of the need to request settlement for the claim,14488
process activity,Operational,Inform the Client of the need to request settlement by maturity,14489
process activity,Operational,Receive the list of expired policies,21689
process activity,Operational,Receive a list of prescription policies from the Companies,17357
process activity,Operational,Acquire from the Customer a written request for payment due to expiry,14487
process activity,Professional,Prepare material for investors,33353
process activity,Professional,Analyze the impact of the transaction on the cost of credit,14929
process activity,Professional,Create any Data Room,5359
process activity,Professional,Initiate the credit transfer resolution process according to the current faculties,28667
process activity,Professional,Evaluate the need to classify performing positions as non-performing,31288
process activity,Professional,Define the investor to be proposed to the Deliberating Body,4208
process activity,Professional,Receive the final offers (Binding Offer) from Investors and manage any Negotiation Rounds,25127
process activity,Professional,Support the participants,18869
process activity,Professional,Provide contributions,24297
process activity,Professional,Acquire the evaluations and start the Binding Offer phase,30234
process activity,Professional,Appoint Advisor,15114
process activity,Professional, Convene the Interfunctional Credit Transfer Table,9071
process activity,Professional,Start the competitive auction process by contacting potential buyers,25370
process activity,Professional,Start the Binding Offer phase,25126
process activity,Professional,Gather contributions and direct them,11006
process activity,Professional,Request an appraisal of the buildings and/or movable assets,12254
process activity,Professional,Pre-alert the External Servicers who manage the positions,25369
process activity,Professional,Request the signing of the Non Disclosure Agreement (NDA),28691
process activity,Professional,Analyze the impact of the transaction on the cost of credit,33565
process activity,Professional,Define the type of transfer,12784
process activity,Operational,Request operational support from the External Servicer for Non-Performing or Unlikely to Pay positions,30968
process activity,Professional,Define the final perimeter of the loan portfolio or Single Name above the threshold subject to transfer,13093
process activity,Professional,Review and evaluate the non-binding offers received and define shortlists for Binding Offers,28692
process activity,Professional,Evaluate the economic impacts of the sale of the loan portfolio and Single Name above the threshold in the light of the offers received,25198
process activity,Professional,Gather contributions and direct them,24298
process activity,Professional,Receive non-binding offers from Investors,12477
process activity,Professional,Structure the sale transaction in detail by identifying the positions subject to possible sale and the related transaction costs,12976
process activity,Professional,Analyze the impact of the transaction on the cost of credit,14930
process activity,Professional,Define the list of investors to be invited to the auction,33494
process activity,Professional,Provide contributions,11005
process activity,Professional,Examine and evaluate the final offers (Binding Offer) received from investors,28668
process activity,Professional,Formulate opinion,28388
process activity,Professional,Consolidate the portfolio or the Single Name above the threshold on which to start the detailed analysis of the impact of the sale,24772
process activity,Professional,Request opening in the Insider List,10194
process activity,Professional,Prepare material for investors,23551
process activity,Professional,"Evaluate the transferability of the individual positions that make up the portfolio, or Single Name above the threshold, identified for the transfer",19063
process activity,Professional,Carry out an evaluation of the properties and furniture as collateral and send the evidence,13232
process activity,Professional,Identify potential investors,33495
process activity,Professional,"Draw up, according to the cases, the MOU",26930
process activity,Professional,Send the list of performing positions to verify the need for classification as non-performing,19801
process activity,Professional,Convene the Interfunctional Credit Transfer Table,33566
process activity,Professional,Create data rooms and functional information sets for the auction,19629
process activity,Professional,Prepare a datatape,25371
process activity,Professional,Provide support to auction participants,4207
process activity,Operational,Pay the deductions charged to the customer,25540
control activity,Other,Check the first note entered,33866
process activity,Operational,Complete the ISMEA reporting file,9943
control activity,Other,Check accounting ledgers,2544
process activity,Operational,Report to the ISMEA body,30076
control activity,Other,Verify the correct execution of the pre-processing,13110
control activity,Other,Verify the correct execution of the pre-processing,19932
process activity,Professional,Certify the calculated values,17386
control activity,Other,Check the correctness of the calculated values for the metrics,13111
control activity,Other,Check the correctness of the calculated values for the metrics,2015
control activity,Other,Verify the correctness/completeness of the input data,11550
control activity,Other,Verify the correctness/completeness of the input data,34785
process activity,Professional,Certify the calculated values,12131
process activity,Professional,Deliberate the practice,17615
control activity,Other,Verify the correct assumption of the resolution,28512
process activity,Professional,"For Mortgages to employees, request the authorisation/nulla osta in the foreseen cases",17622
control activity,Other,Verify the installment/income ratio and the absence of negative/prejudicial news,17811
process activity,Professional,Formalize the Proposal,17660
process activity,Professional,Explain the characteristics of the operation,17361
process activity,Professional,Finalize the renegotiation act and modify the spread in the procedure,6478
control activity,Other,Check the data entered in the procedure,17360
process activity,Professional,Finalize the renegotiation deed and have the declaration relating to the expenses incurred for the purpose of calculating the TEG signed,17623
control activity,Other,Verify the correctness of the data entered in the procedure,33548
process activity,Professional,Configure any insurance policies and combine them with financing,4514
process activity,Professional,Collect the signature of the renegotiation request and acquire the documentation,6481
control activity,Other,Verify completeness/correctness of documentation,20643
process activity,Professional,Request the spread waiver,6476
process activity,Professional,Prepare private writing,6477
process activity,Operational,Archive the documentation in the original and in electronic format,17625
process activity,Professional,Define the expenses for the purposes of calculating the TEG,17626
control activity,Other,Verify the correctness of the expenses for calculating the TEG set out in the procedure,22015
process activity,Professional,Define the expenses to determine TEG and collect the customer's signature on the Declaration,6480
control activity,Other,Verify the correctness of the Declaration of expenses incurred,20644
process activity,Professional,Settle expenses and interest in the case of mortgages with payment arrears,17658
process activity,Professional,Check if the customer is intercepted in a Retail Position Management process,17659
process activity,Professional,Acquire a copy of the Resolution,17614
process activity,Professional,Carry out the investigation,17624
process activity,Professional,Configure any insurance policies and combine them with financing,31745
process activity,Professional,Print the Renegotiation Request and collect signatures,17613
control activity,Other,Verify completeness and correctness of the documentation,28511
process activity,Operational,Archive the documentation in the original and in electronic format,6479
process activity,Professional,Access the dedicated application and illustrate the characteristics of the operation,17362
process activity,Professional,Start the renegotiation simulation,17661
common process activity,Operational,Identify and consequently register or update the personal data of the subject requesting the operation,27777
process activity,Operational,Facilitate the investigative activity of the FF.OO.,16821
process activity,Operational,Submit a formal complaint to the FF.OO.,16823
process activity,Operational,Send the documentation to the internal structures,16824
process activity,Operational,Promptly inform the internal structures,16820
process activity,Operational,Determine the extent of the damage suffered,16822
process activity,Professional,Send the initiative launch communication,32113
process activity,Professional,Make data available to control functions,28125
process activity,Professional,Evaluate positions flagged for inconsistent hesitation,24435
process activity,Professional,Structuring the initiative,32112
process activity,Professional,Reporting positions with inconsistent hesitation,28123
process activity,Professional,Work positions in assigned leads,33402
process activity,Professional,Report the processing to the territorial structures,28124
process activity,Professional,Trace the workings,18054
process activity,Professional,Update the processing statuses of the items,28121
process activity,Professional,Reporting,28122
process activity,Professional,Communicate the corrections to be made to the results of the positions in the initiative,12753
process activity,Professional,Make the list of lead positions visible,32114
control activity,Operational,Check loading locations,7698
process activity,Professional,Make the mandatory communication to the Bodies,30982
process activity,Professional,Fix errors,30848
process activity,Professional,Prepare and send the file for system update,30847
control activity,Other,Check the received file,31860
process activity,Professional,Accept the appointment as person in charge of data processing,14104
process activity,Professional,Send the letters of communication of successful transfer of the company branch,14103
process activity,Professional,Integrate and send the file containing the serial numbers,30845
process activity,Professional,Carry out a load in simulation mode,30983
process activity,Operational,Submit the list of employees,30981
process activity,Operational,Upload file to system,30980
process activity,Professional,Request the correction of any errors,30849
process activity,Operational,Extract and send employee file,30844
process activity,Professional,Ask the managers for the monthly balancing,30846
process activity,Operational,Acknowledge the evidence regarding provisions for litigation,15433
control activity,Other,Verify the correctness of the amounts,26974
process activity,Professional,Transmit value adjustments on non-performing loans with technical form 416,20681
control activity,Other,Verify the complete communication of the ROs on FT 416,20682
process activity,Professional,Evaluate the proposal exceeding the faculty of the Servicer,25041
process activity,Professional,Manage the haircut where present,14778
process activity,Professional,Make a proposal for the disbursement of the provision for risks and other charges,24905
process activity,Professional,Carry out the preliminary filter on the proposed resolution out of autonomy,17187
control activity,Professional,Verify the proposed resolution out of autonomy,10818
process activity,Professional,Report the allocation to the Provision for Risks and Miscellaneous Charges,26390
control activity,Other,Verify the consistency of the provisions,26973
process activity,Professional,Review documentation to determine position valuation,10893
control activity,Other,Check the completeness/update of the supporting documentation,9660
process activity,Professional,Approve/formulate a value adjustment opinion,30219
control activity,Other,Verify the correct registration of resolutions in the system,26887
process activity,Professional,Identify the analytical evaluations to be carried out,25040
process activity,Professional,Propose any provision/variation to the provision for risks and other charges,26945
process activity,Professional,"Carry out the analytical evaluation of the position, insert the return forecast and prepare the proposed resolution",11035
control activity,Other,Verify congruence of the repayment plan,14777
control activity,Other,Verify the correct identification of the Deliberating Body,32514
process activity,Professional,Carry out the preliminary filter and approve the proposal for allocation or disbursement to the Provision for Risks and Miscellaneous Charges,26944
control activity,Other,Check the proposed provision or disbursement to the Provision for Risks and Miscellaneous Charges,5897
process activity,Professional,Carry out the preliminary filter on the proposed resolution out of autonomy for positions in external management beyond the limits of the Servicer,10817
control activity,Professional,Verify the proposed resolution out of autonomy,17702
process activity,Professional,Start the approval process,17186
