applicationGUID,application,applicationID
bed73901-83c3-11ec-6da1-001dd8b72a57,Web workflows,1857
7eccb4c0-1d7b-11dc-1322-000d609809a6,word,1927
6cbf6d00-61be-11e0-23ac-00505682243b,Microsoft SQL Server,1185
bb3470f0-4edd-11e0-23ac-00505682243b,GP - Expert Report Management Portal,830
32f8e592-0487-11ea-1911-001dd8b72a55,Asset Dialogue,188
bba436b1-5929-11e4-2688-00101818ed80,Bad debt management,260
704ba7e0-974b-11dc-1322-000d609809a6,Access,157
d03923c0-5775-11df-23ab-00505682243b,ALFA Application Processing Subsidized Loans,127
fed275d2-ead7-11e2-714a-002655d352c9,Problem Credit Management Application main functions,1422
b0d41352-e98e-11de-23a9-00505682243b,LGD-EAD Departmental diagnostician,1054
2ad339bb-6724-464c-b993-c5291228ee65,Integrated Accounting System,985
f4817ff8-d3f8-11dc-1322-000d609809a6,MR00 MI14 Function 1 Management of concession resolution,1153
59b33ee2-474b-11ea-1911-001dd8b72a55,CRMS HF Preprocessors Daily system integration Credit Risk,376
e0316121-e9ac-11e9-6ab0-001dd8b72a56,Data Governance Portal Outcome Monitoring,550
a8c2dc22-156f-11df-23a9-00505682243b,RRM Report Risk Management,1476
4fdd5b30-ea9e-11e9-1911-001dd8b72a55,Help4U - Incident Management,889
2c702ed0-9562-11e3-2688-00101818ed80,GARC Active Credit Risk Management,758
18f7dd11-8968-4a7a-b250-cb522b5cc0b9,Registry - Group registry,1492
15df76d5-d151-4352-9916-c2571fd205ee,CRED0-Country Risk Monitoring,370
5372cad0-9d87-11dc-1322-000d609809a6,Hermione - SISBA Statistical Banking Information System,892
3ccae9d0-0cfa-11db-20c9-000c29c08cb4,Risk Watch,1523
f5d38c51-dd6a-11e2-714a-002655d352c9,Problem Credit Management,1421
51a05c45-4dda-11e3-714a-002655d352c9,Credit portal Loans to private individuals,466
79aa2c11-71ab-11e5-2688-00101818ed80,CMLT Renegotiation of WEB Mortgages,342
ce2c83c1-445c-11e2-714a-002655d352c9,External Database Portal Inquiry BDE,683
f35c6f08-d22d-11e4-2688-00101818ed80,PGA Active Guarantee Procedure,1352
f47f3606-d3f8-11dc-1322-000d609809a6,151412 CMLT MINF.,37
75a08120-53fc-11dd-23a9-00505682243b,DTCER Certain Date WEB,531
e5f6c2f0-feee-11df-23ab-00505682243b,GK00 Guarantees received Introduction,821
51dcf440-6480-11de-23a9-00505682243b,155115 e-Catalogue Mortgages,58
497ddda0-4c7e-11df-23ab-00505682243b,CMLT - Anti-wear adjustments to data collection instructions for TEG calculation,337
aaf75e49-180b-11e0-23ac-00505682243b,BJIS Collections at the counter Introduction,219
1caabea1-12a3-11e6-2688-00101818ed80,Credit Management Proactive Manager,444
bad09f6c-fd36-11df-23ab-00505682243b,PRICE Authorization of opinion and proposed derogation resolution,1377
a4c91b53-c5bf-11ea-4b37-001dd8b72a50,External Management Credit Management Portal,687
b29fac63-c67a-11ea-4b37-001dd8b72a50,Internal Management Credit Management Portal,990
3d09f652-3511-11e9-2249-001dd8b721ea,#People portal,0
97419a4e-0836-11e0-23ac-00505682243b,Program for uploading contracts assignment,1423
d37d1fe1-baf7-11e6-2688-00101818ed80,EPC Management - Legal Portal,627
42d05ba1-f7e9-11e5-2688-00101818ed80,ABS Assets Systems Archive,122
5f3236b0-bee8-11de-23a9-00505682243b,MOPLE Suffering,1140
01719900-3ad0-11e7-2688-00101818ed80,OCS After Sales,1299
a015ec83-5403-11de-23a9-00505682243b,GIANOS 3D Due Diligence Questionnaire,799
494f48c0-c409-11e4-2688-00101818ed80,TDACC BRGES Constrained Time Deposit Management,1712
2040f371-bbd2-11e2-714a-002655d352c9,GESPO Management of Signature Powers,788
55cebcd1-4f0e-11ea-6ab0-001dd8b72a56,Management of Limits and Delegates,1165
555e8881-f077-11e3-2688-00101818ed80,Front Web Fatca Crs - Network Functions,755
bad09f61-fd36-11df-23ab-00505682243b,PRICE Management of waiver proposal on report,1381
7b4ea6ef-1138-4867-9ed9-b66afa0c546a,Bank of Italy Central Credit Register,265
02ebd266-e599-4ba0-9042-92d1b3188b81,153132 - 3270 emulator,42
1c954862-af75-11e8-2249-001dd8b721ea,Eximbills,682
3bfec821-7f16-11e6-2688-00101818ed80,BOX Back Office central operations,234
14f9d36f-b35a-4458-baad-5c3633f3300f,150887 - CORRESPONDENT BANKING CoBa application,35
9a3df4e0-0186-11dd-1322-000d609809a6,Foreign WEB,752
2248fc10-865a-11dd-23a9-00505682243b,Remember Reconciliation,1498
3a7739b4-34b0-11e7-2688-00101818ed80,ALGO Collateral v 5.2,130
5e524c9c-921d-11ea-4b37-001dd8b72a50,SSL,1645
5e2c26ba-921d-11ea-4b37-001dd8b72a50,resource,1925
5daad721-13ba-46c4-915c-7f952db01947,TOP - SECURITIES DEPOSITOR HANDLING,1726
a22de691-1f87-11e3-714a-002655d352c9,Calypso,384
2209c1d0-fd40-11da-20c9-000c29c08cb4,ANAGE,134
7a987761-4b77-11e2-714a-002655d352c9,Nemo,1284
d14f8b32-ac90-11e9-1911-001dd8b72a55,AcadiaSoft - Initial Margin Exposure Manager,156
1a265650-edae-11e4-2688-00101818ed80,Single Document Archive,1669
c912a697-95b0-498c-bc8d-4374e6121330,CMLT Credits to MLT,339
96af4c35-a623-4a31-8290-f15ff7da4f21,151430 - CMLT Procedure - Information,38
606c5302-0c7e-11e1-714a-002655d352c9,Documentum - Document Storage Rating,582
b514f512-de7c-11e7-2249-001dd8b721ea,PGF Loan Management Procedure,1354
ece760e0-7f12-4013-868a-4e76a5162819,GK00-Guarantees,825
23b160a0-8860-11e0-23ac-00505682243b,Credit Portal - Micro Business,446
2b428330-fe21-11e0-23ac-00505682243b,Credit Portal - Small Business CORE,448
6d632fd1-556a-11e6-2688-00101818ed80,Covenant management and monitoring,438
475bb9b1-23e7-11e6-2688-00101818ed80,PEF5 credit portal Covenant management,1350
58e85c9b-8762-4be0-baf7-4ad0850fee8a,GIC Credit loan management Company branch products,807
57d2f68b-fd62-11df-23ab-00505682243b,E-CAM Premise,587
2d2f7e23-ea3f-11de-23a9-00505682243b,SAP R3 Assets,1560
53bd7251-fd6b-11e4-2688-00101818ed80,B3PRO Basel 3,199
c5904a20-bd4e-11de-23a9-00505682243b,Space,1686
98cffe41-e3e5-11e2-714a-002655d352c9,SAS Enterprise Guide,1587
c5904a1b-bd4e-11de-23a9-00505682243b,SMARTREG Diagnostics of supervisory messages,1630
4b15ad10-5e84-11df-23ab-00505682243b,INFOSTAT,945
ac34fe20-da94-11da-20c9-000c29c08cb4,Iron DQ,996
0f5947df-1f45-11e2-714a-002655d352c9,FENICS-Front End New Securitisations for Reporting,697
8282d900-5c73-11dc-1322-000d609809a6,Eclipse,666
97441481-3e3a-11ed-2a4f-001dd8b72a55,Pelican,1400
97441487-3e3a-11ed-2a4f-001dd8b72a55,Message Brokers,1179
be1a2e00-4e28-11e0-23ac-00505682243b,Safewatches,1653
c715d080-8fae-11dd-23a9-00505682243b,Counter Authorization functions,436
cb408b72-b0ee-11e8-2249-001dd8b721ea,Inbiz Trade Work Station,977
e9b89903-a82d-11e2-714a-002655d352c9,Available for traffic – Tracing of internal correspondence between Structures,198
557266b0-de46-11dc-1322-000d609809a6,150809 EENT Foreign Cargo New interface for foreign transactions,30
3cd76b10-0e09-11e0-23ac-00505682243b,N650 Management of single positions download values,1220
b657f684-ffd1-11df-23ab-00505682243b,Document Storage Introduction,572
b0d46507-3e9d-11dd-23a9-00505682243b,150809 EM20 Foreign Freight Disbursement message,31
a3cea8f1-03a2-11e0-23ab-00505682243b,Esteroweb Introduction,673
88cacb20-8a3e-11dd-23a9-00505682243b,REGCO Accounting management p.o. regulation,1452
774a0571-f8d0-11df-23ab-00505682243b,CREVE Dashboard Authorization Events,374
3cd76b07-0e09-11e0-23ac-00505682243b,N650 Management of single positions loaded with values,1222
4cea8e42-7285-11dd-23a9-00505682243b,BUY Scan of the documentation,253
b1510df5-3af3-11e3-714a-002655d352c9,DDGEM Mandate management,496
fe3320d1-cceb-11e1-714a-002655d352c9,RPC – Customer Product Profitability,1474
e050bb61-3300-11e2-714a-002655d352c9,INDIGO Corrections,940
bcd877b2-061e-11ea-6ab0-001dd8b72a56,MPP Monitor Production Processes,1148
eb6c8320-395a-11dd-23a9-00505682243b,MPPX0 – Production Process Monitor,1149
440f2591-9d2b-11eb-6da1-001dd8b72a57,RDB - New Group Profitability,1447
198ae622-278f-11e8-2249-001dd8b721ea,Data Quality Dashboard ISBs,552
8f331a76-bd2a-11dd-23a9-00505682243b,Plus BdT Commercial and Management Information Portal,1406
0bab9c5c-618b-40ad-a2a7-3cf3f6c30ee0,KWSC Product customer profitability,1037
d97e3e11-2126-11e3-714a-002655d352c9,CDM – Customer Data Management – Number machine.,313
7b9641d1-2160-11e5-2688-00101818ed80,CLIP Customer card,333
8f331a7a-bd2a-11dd-23a9-00505682243b,BdT Group CdG Dashboard,270
8f331a78-bd2a-11dd-23a9-00505682243b,CIB dashboard,327
a77c0711-9d2b-11eb-6da1-001dd8b72a57,BFD - Data Lake/SSC Anonymization,207
96347c21-a73a-11e2-714a-002655d352c9,ISPAD - Graphometric Signature,964
2ee7bdf5-37d4-11e2-714a-002655d352c9,WEBCARDS Reprints,1832
f3a1b9c0-37ca-11e2-714a-002655d352c9,WEBCARDS,1830
02b025f2-0935-11e0-23ac-00505682243b,ZAFI Debit Cards anonymous card delivery,1891
66805cf1-f2f3-11e3-2688-00101818ed80,ZAFI Products SETEFI Booklet Paper Delivery to Warehouse,1909
107e8522-1fdf-11e0-23ac-00505682243b,J6TP CAI operational functions,1001
04b3fc21-5a1b-11e6-2688-00101818ed80,WFM console for FOL and BO,1834
919ba60b-03ac-11e0-23ab-00505682243b,ESTEROWEB Financing,638
5de360e0-bdcf-11e4-2688-00101818ed80,PL PriceLab PriceRange,1366
914b84e1-5b59-11e4-2688-00101818ed80,ESTEROWEB EANFI,636
bad09f73-fd36-11df-23ab-00505682243b,PRICE Conditions,1378
84f28746-e51c-11e5-2688-00101818ed80,InBiz Dashboard divestment and assignment of credit,974
333683f0-7238-11df-23ab-00505682243b,EV20 Exposure Rates and other conditions,658
97b93bd2-0943-11eb-275f-001dd8b72a50,CANT Dashboard Advances,293
333683f8-7238-11df-23ab-00505682243b,EXAC Accounting abroad,661
33045360-440d-11e0-23ac-00505682243b,ETRE - Inquiry and Variation of Back Office contracts,655
6ad3fde1-5b65-11e4-2688-00101818ed80,EANFI Document Management,600
6ca67570-f22e-11df-23ab-00505682243b,Price Home Page,1417
fb9cb9df-89c3-48bc-a2ba-8161beae65e4,ETRE - Inquiry and Variation of Network contracts,656
67897120-8f3a-11df-23ab-00505682243b,EEMO Exhibition of Foreign Movements,618
107e8519-1fdf-11e0-23ac-00505682243b,BUY Processing of GELAV transaction provisions,252
809269da-a777-4230-95a7-c33c7102334e,NJ00 Customer Information System – SICLI,1237
a85917b0-1dda-11dd-1322-000d609809a6,COCOM Copies of Communications sent to the Client,354
dbda5e31-a81f-11e2-714a-002655d352c9,Traceability module Embargo control/AML CFT,1766
38719221-596c-4849-90ef-c7d8ecf947c5,SEC0 Price information system,1606
c9b516f9-d8bf-4aca-8383-670bbed1d48a,Current Accounts and Savings Deposits,477
77e47d73-4e0a-11e4-2688-00101818ed80,GarWatch,850
081dcdf0-602c-49b7-873e-b8ebac815581,PEF Small Business and Private Loans Electronic Practice,1348
9c0cef20-d608-11df-23ab-00505682243b,SCI New general accounting,1604
0f0cb2f1-a1b1-11e2-714a-002655d352c9,Report Manager,1503
508ef500-fa62-11e0-23ac-00505682243b,CMOD Printout Management,348
1d1ac7b6-836f-45da-9fae-bbaa1d7fcbea,Business Objects,280
bc8adfd1-8c5c-11dc-1322-000d609809a6,150640 - A000-Finance Area,21
8a9029e9-fc93-11df-23ab-00505682243b,ZAFI Credit Cards Company card extinction,1887
2ee7bdf9-37d4-11e2-714a-002655d352c9,WEBCARD Extinction,1824
8a9029f2-fc93-11df-23ab-00505682243b,ZAFI Credit Cards Company Unblocking,1886
2ee7bdf1-37d4-11e2-714a-002655d352c9,WEBCARD Block and unblock card,1823
8a9029e3-fc93-11df-23ab-00505682243b,ZAFI Credit Cards Blocking Company,1881
c5495272-f784-11e7-2249-001dd8b721ea,DECORATE,501
8a567b37-869c-4562-852c-12b1042e9ec2,151430 - CMLT-Informative procedure,39
4de396ff-abfe-11e2-714a-002655d352c9,WORLD CHECK,1843
55d26beb-77ec-42d6-acf4-405b6ae3a356,"Watch, List",1846
9dfe8814-e7f2-11df-23ab-00505682243b,LAPE Reservation of account extinction,1044
370bd170-8ed2-11dc-1322-000d609809a6,SISCO Accounting management p.o. accommodations,1621
919ba609-03ac-11e0-23ab-00505682243b,ESTEROWEB Provisions pending,646
b7a91512-e747-11df-23ab-00505682243b,FLAG Specific procedure for accounts with specific operations,718
721b2770-b703-11dd-23a9-00505682243b,ABC/IDEA OTC derivatives,118
a9c7e260-fead-11de-23a9-00505682243b,FLAG Activation Variation Integration and Query Contracts,713
919ba60d-03ac-11e0-23ab-00505682243b,ESTEROWEB Automatic operations,633
42ab57e4-3421-4fcd-a18a-0519a245d5c7,SIRE - Central Management/Foreign Network,1616
e8b8bd46-4039-43bf-91ce-ac249aebc267,MO99 Non-performing loans,1120
acf62c8e-e8e5-11e9-6ab0-001dd8b72a56,Policies - Intesa Sanpaolo Agents4You,1409
6c7e31d2-1ebf-11de-23a9-00505682243b,Monitoring Tools,1191
6d989232-4c0e-11ea-4b37-001dd8b72a50,Cyphon,485
914d126e-f585-4a4a-9d08-ce1a3cf5ee41,Finance Area,746
ba3d7058-f976-11df-23ab-00505682243b,N600 Reservation of banknotes and coins remittance,1211
4e628243-b08e-4d9c-82f6-48a095097537,Target Counter Guide for operators,1749
13706562-5d0a-11e9-2249-001dd8b721ea,Banknote dashboard L2 - L3,267
666d2790-5979-11e1-714a-002655d352c9,NU00 Introduction,1274
24dcdf96-0783-11e0-23ab-00505682243b,SOSCO Accounting management p.o. suspended,1636
b7b0ee10-0c6c-11dd-1322-000d609809a6,Cash dispensers,392
b657f68a-ffd1-11df-23ab-00505682243b,Document archiving Archiving criteria Daily area,575
82f5c587-0a19-11e0-23ac-00505682243b,Wincor pouring equipment,1860
82f5c586-0a19-11e0-23ac-00505682243b,Payment equipment nr,1398
acd1a6c8-8962-11e6-2688-00101818ed80,Sigma pouring equipment,1667
ad1ed372-3f6a-11e5-2688-00101818ed80,BVGT0 ATM Terminal Manager,257
82f5c585-0a19-11e0-23ac-00505682243b,Diebold pouring equipment,564
90aa2a91-7c70-11e4-2688-00101818ed80,CREDE Generation of credentials for payments to affiliated customers,371
c12e0d81-274e-11e3-714a-002655d352c9,RDOC0 Tracking and monitoring service Documentation Copy art 119 TUB.,1448
cc358e0e-e614-4f19-8d8e-79e0038209b9,DEBCO Customer debit accounting transactions,500
07512795-519c-11dd-23a9-00505682243b,GETAB Printout Management,789
5069d435-60e5-47a8-8749-2c4810aa2995,KQ00 Document Filing - Querying movements (13 CM Report),1034
a78ccd86-0384-41a1-9560-94756aad3a71,KQ00 Document Filing - Settlements Query (25 CM Printout),1035
a69e2571-e41c-4556-8d53-5e1185a26cd3,GEMP Management of Precious Metals,779
14956b20-1803-11e0-23ac-00505682243b,ARES External resources master data,141
21fdfab0-1865-11de-23a9-00505682243b,Team,1755
3f590212-5778-11e8-2249-001dd8b721ea,Security incident management infrastructure,1659
93afcc61-8c6b-11e6-2688-00101818ed80,LYRIC,1074
d7f9a301-2860-4012-b39b-c0e26d0d71a2,150145 - GIC-Credit Lending Management - Anti-Money Laundering Management,4
c985ac40-316d-11dd-23a9-00505682243b,RdA DSI,1482
d14c9442-ca51-11ea-4b37-001dd8b72a50,ISP Art,962
637e6810-880a-11da-20c9-000c29c08cb4,SAP Attendance and Absence Detection,1534
5c9fa650-6e3b-11e4-2688-00101818ed80,RU administrative dashboard,1479
ce2c83c9-445c-11e2-714a-002655d352c9,External Database Portal Prejudicial News,685
107e852d-1fdf-11e0-23ac-00505682243b,Assign blocks and IJBL alerts,189
5f3236b2-bee8-11de-23a9-00505682243b,MOPLE Problem Loans,1136
552bbec0-ee66-11e0-23ac-00505682243b,SalesForce,1655
17068211-50fc-11e3-714a-002655d352c9,MIIR Collection installments,1116
e8faabd1-d997-11e6-2688-00101818ed80,GIC WEB TEG APR simulator,809
4ae54dc9-f2ee-11e8-2249-001dd8b721ea,CMLT-Suspension of Web Loans,347
c21873c0-46de-11de-23a9-00505682243b,155104 GIC Application access,57
c0910512-72a6-11dd-23a9-00505682243b,Web leasing,1855
bd9e0cd0-5cfc-11df-23ab-00505682243b,MR00 Funct L Postponement of share capital Notice of ABI Municipality and lengthening of duration,1152
4790c6c7-22a4-4e02-a17e-b213d00987ec,GF00 Trust,792
066d3616-8fa2-11e1-714a-002655d352c9,NPAF Advance Invoices - Management of advance invoices for outstanding portfolios - New PMI agreement 2015,1261
e4e09130-00c6-11dd-1322-000d609809a6,PEF Electronic Practice of Regulatory Corporate Credit,1347
d8a1c7e0-d3fd-11dc-1322-000d609809a6,PDFCreator,1343
63483ff4-ef13-11de-23a9-00505682243b,SAP R3 REFX Real estate processes,1578
a43b3500-06c1-11db-20c9-000c29c08cb4,SAP R/3 Vendor invoices,1556
d6318f5a-fb93-11de-23a9-00505682243b,SAP R3 Contab Gen and Customers Customer master data,1564
56955600-bd35-11e2-714a-002655d352c9,Delphi,560
16695940-5644-11dc-1322-000d609809a6,IDOC,911
0a8ff204-d8b2-4d38-901d-e6132bba2823,Group Registry - Map of Groups,873
bc7a1047-195a-4d1b-9b0e-4e53b3b65cf3,IJBL Current Accounts Blocks and Evidence,925
1b963af3-0b86-4902-bf0e-b74c759630cc,PUSP Segments and Portfolio Unified Procedure,1389
c9de7898-08c2-11eb-60ce-001dd8b72a56,Register of Industrial Accounting and Service Contracts-OTI 2.0-Volumes Catalog,1491
c9de78a2-08c2-11eb-60ce-001dd8b72a56,Unique Registry of Industrial Accounting and Service Contracts-OTI 2.0-List,1785
c9de789d-08c2-11eb-60ce-001dd8b72a56,Single Registry of Industrial Accounting and Service Contracts-OTI 2.0-Fees Catalog,1672
0d2db842-5101-11ec-60ce-001dd8b72a56,ONE Concession of Structured Finance Credit,1306
70da01b2-9a0c-11e7-2249-001dd8b721ea,SPPI Test Tool - Credits,1639
5e2c2738-921d-11ea-4b37-001dd8b72a50,OXERO,1313
778e0215-2a50-407c-89a0-d6c25caa65d7,A000 Order Management,99
a013a290-5403-11de-23a9-00505682243b,Market HUB,1170
0ce70e12-9628-11ec-275f-001dd8b72a50,Restricted Instrument List Bonds,1510
346b2e30-09e7-4ee6-b3cc-cd1da7e31db1,ANTOT,136
b48cd291-f9b9-11e2-714a-002655d352c9,Golden Source,865
5e1dce70-921d-11ea-4b37-001dd8b72a50,Tbricks,1753
b4c74090-fbe2-11dc-1322-000d609809a6,Current Accounts IY11 Exposure of movements,473
dcec1400-9dfe-11e3-2688-00101818ed80,IRIS WEB Customer Risk Management,957
d2dee040-1b8c-11e3-714a-002655d352c9,CrifGate Web Portal Crif EURISC Database,471
6d356a63-4e6a-11dd-23a9-00505682243b,155043 TV0D - DTE data management,51
d5832999-23b1-45e2-9129-76d2abfd9513,Ce - Report,394
07512793-519c-11dd-23a9-00505682243b,Current Accounts IYA0/IYD0 Mass transactions,475
f99203a1-71ed-11e2-714a-002655d352c9,TaCo Stamp Duty Management,1738
e7437860-4473-11de-23a9-00505682243b,DSO - Cont Ord PRMM,525
a75b6282-f56c-40fb-96df-ea4f70951554,R4 Suitability,1441
5e524c21-921d-11ea-4b37-001dd8b72a50,CSD-RTCE,380
89574400-0774-11db-20c9-000c29c08cb4,Swift Alliance,1698
224f4b01-f3ee-11eb-6da1-001dd8b72a57,ABACO POOL - Asset Collateralization Management,111
90f4f7b0-d854-11df-23ab-00505682243b,SCI New General Accounting for Traveling Items,1602
2ee7bdfd-37d4-11e2-714a-002655d352c9,WEBCARD Questions,1826
de43d0c3-2a76-11e2-714a-002655d352c9,PRICE Potential Relationships and MLT Potential Relationships,1383
d0570c62-279b-11e8-2249-001dd8b721ea,CoRe Contract Remote Banking Contract Management,415
b368bad1-c470-11de-23a9-00505682243b,PowerPoint,1414
493ad0c5-0896-11eb-275f-001dd8b72a50,Single Registry of Industrial Accounting and Service Contracts-AU Catalogue,1671
cdc6b605-01c3-11e4-2688-00101818ed80,SLM Parent Company,1628
4cd43970-c0f3-4af4-b0eb-367f31b6c865,Office and Post,1318
5e524c5d-921d-11ea-4b37-001dd8b72a50,RISK - NET INF,1464
d6c57321-fb3c-11e2-714a-002655d352c9,Staging Area IML - Liquidity Risk System,1689
d6c57325-fb3c-11e2-714a-002655d352c9,Financial Engine (ERMAS),747
d6c57311-fb3c-11e2-714a-002655d352c9,INSPIRE Intesa Sanpaolo Integrated Risk Analysis,948
dd25af84-4b8d-11de-23a9-00505682243b,EDWH,616
6f05f020-61a1-11da-73b9-000c29952879,Orc Trader,1323
7acec4d6-0b56-4b66-974d-7b9a09de2de6,Credit lending management,464
c1a0eab2-ff17-11e9-4b37-001dd8b72a50,Factoring,732
d1e60680-d5ba-11de-23a9-00505682243b,Trade and Export Finance,1768
c4a0bca1-16ab-4d76-96ed-7a1ee9efc4c7,Price,1416
be91f28c-7b0e-4423-be85-66506f772ae3,UNITES,1776
ff19c180-7e25-11dc-1322-000d609809a6,Web tickets,1856
d6c5731b-fb3c-11e2-714a-002655d352c9,IML Area Reporting,934
9bfa0d72-9f77-11e7-2249-001dd8b721ea,Concession of mortgage loans to individuals,422
7fefd7d0-d3a0-4774-a0d0-ec3f6dfcbd76,E-CAM Chamber of Commerce Multibank Information,585
b45d90c1-e83f-11e1-714a-002655d352c9,DOCUM - Scanning of identity and corporate documents,510
e0dfa3f1-ed47-11e2-714a-002655d352c9,JURWEB Engine of Decision Making RWA,1014
eae87970-ef8d-11e6-2688-00101818ed80,MOPR0 Mortgage Monitoring Dashboard,1146
6c224451-d8ed-11e2-714a-002655d352c9,GepeWeb,862
24dcdf9d-0783-11e0-23ab-00505682243b,ASSPE Foreign currencies shipment of negotiated checks,151
fbc71540-eff1-11e0-23ac-00505682243b,VEPAD Signature management on PAD,1809
a85904d2-b4da-11de-23a9-00505682243b,VALUC Foreign currencies buying and selling foreign currency,1798
ad82ff11-9d2b-11eb-6da1-001dd8b72a57,REFERENCE STANDARD SETTLEMENT INSTRUCTION,1451
aab78e70-de27-11dd-23a9-00505682243b,QS Interface Partitari,1432
39a90dca-c47e-11e2-714a-002655d352c9,Remember INVESTIGATION function,1496
a96de8a0-fbe4-11dc-1322-000d609809a6,Foreign Application System,751
a1fa7760-fa22-11db-1322-000d609809a6,Mark-It,1169
a9008738-b7e9-11dd-23a9-00505682243b,Telekurs,1756
b9b71341-c3b9-11da-20c9-000c29c08cb4,Interactive Data,989
a900873d-b7e9-11dd-23a9-00505682243b,Euro TLX,675
