riskGUID,risk,riskID,riskType
f54fd5f6-ac72-11e9-6ab0-001dd8b72a56,Lack of completeness/accuracy,2147,Financial Disclosure Risk (ex 262/2005)
fc614288-7baa-11e9-2249-001dd8b721ea,Incorrect management system update,1706,Financial Disclosure Risk (ex 262/2005)
97a5f630-4ddd-11ec-275f-001dd8b72a50,Unrecognized capital gains or losses,2875,Financial Disclosure Risk (ex 262/2005)
78feecf7-b1c0-11e8-2249-001dd8b721ea,Incomplete compilation of the proposal,837,Financial Disclosure Risk (ex 262/2005)
073c2079-ee77-11e8-2249-001dd8b721ea,Incorrect proposal,1871,Financial Disclosure Risk (ex 262/2005)
5475cce9-284a-11ec-60ce-001dd8b72a56,Incomplete preparation of the Document supporting the report,911,Other (operational) risks
06711581-12be-11e7-2688-00101818ed80,Incomplete or mismatched documentation,901,Financial Disclosure Risk (ex 262/2005)
bdcfa3ce-12e2-11e7-2688-00101818ed80,Incorrect counts,1401,Financial Disclosure Risk (ex 262/2005)
0f942993-aa60-11e7-2249-001dd8b721ea,Completeness/correctness of documentation,199,Financial Disclosure Risk (ex 262/2005)
0f942986-aa60-11e7-2249-001dd8b721ea,Completeness of documentation,197,Financial Disclosure Risk (ex 262/2005)
3f51c415-4521-11e7-2688-00101818ed80,Completeness/correctness of documentation,199,Financial Disclosure Risk (ex 262/2005)
dbe5b4d1-4121-11e7-2688-00101818ed80,TEG over threshold,2815,Financial Disclosure Risk (ex 262/2005)
c5cea963-1ea2-11e7-2688-00101818ed80,Incorrect data,1413,Other (operational) risks
c5cea959-1ea2-11e7-2688-00101818ed80,Missing data,2301,Other (operational) risks
0fb8a1f0-1005-11e9-2249-001dd8b721ea,Failure to identify the correct type of List,578,Other (operational) risks
e2dbc577-1007-11e9-2249-001dd8b721ea,Incorrect validation of the List containing incorrect data,2028,Other (operational) risks
1a7d8bd7-0f4b-11e9-2249-001dd8b721ea,Missing/incorrect Price Sensitivity Verification Form,2319,Other (operational) risks
6cde6b2f-f613-11ec-275f-001dd8b72a50, Failure to update system data in the event of uncompleted transactions,8,Financial Disclosure Risk (ex 262/2005)
fda3c086-4963-11ec-275f-001dd8b72a50,Incorrect data entry into the system,1434,Financial Disclosure Risk (ex 262/2005)
fdb83317-4963-11ec-275f-001dd8b72a50,Incorrect or incomplete completion of the Form,1745,Other (operational) risks
d97e50d4-c85c-11e7-2249-001dd8b721ea,Incorrect accounting data,1086,Financial Disclosure Risk (ex 262/2005)
9431c470-8713-11eb-43a8-001dd8b72a55,Incorrect valuation of the first note,2036,Financial Disclosure Risk (ex 262/2005)
8a984c50-8712-11eb-43a8-001dd8b72a55,Incorrect valorisation of accounting masters,2030,Financial Disclosure Risk (ex 262/2005)
58d78e87-ea91-11e9-4b37-001dd8b72a50,Incorrect data processing,1457,Other (operational) risks
c5107c10-0788-11ea-1911-001dd8b72a55,Incorrect data processing,1457,Other (operational) risks
58d78e94-ea91-11e9-4b37-001dd8b72a50,Incorrect calculation of credit risk metrics,1289,Other (operational) risks
c5107c18-0788-11ea-1911-001dd8b72a55,Incorrect calculation of credit risk metrics,1289,Other (operational) risks
ab6baaf4-ea64-11e9-4b37-001dd8b72a50,Incomplete and/or incorrect input data,815,Other (operational) risks
c5107c08-0788-11ea-1911-001dd8b72a55,Incomplete and/or incorrect input data,815,Other (operational) risks
827d61ae-946d-11e6-2688-00101818ed80,Wrong adoption of the resolution,2944,Financial Disclosure Risk (ex 262/2005)
1d8b2cc2-16fc-11e8-2249-001dd8b721ea,Installment amount exceeding the set limit,2121,Other (operational) risks
983997ce-47a4-11e8-2249-001dd8b721ea,Error in the variation of the spread,366,Financial Disclosure Risk (ex 262/2005)
ce8fcfbe-a7fb-11e6-2688-00101818ed80,Incorrect data entry in the procedure,1431,Financial Disclosure Risk (ex 262/2005)
983997c4-47a4-11e8-2249-001dd8b721ea,Incorrect or incomplete documentation,1762,Financial Disclosure Risk (ex 262/2005)
a15073f8-25db-11e8-2249-001dd8b721ea,Incorrect calculation of the TEG,1305,Financial Disclosure Risk (ex 262/2005)
983997c9-47a4-11e8-2249-001dd8b721ea,Incorrect calculation of the TEG,1305,Financial Disclosure Risk (ex 262/2005)
7feb452b-946d-11e6-2688-00101818ed80,Wrong/incomplete documentation,3227,Financial Disclosure Risk (ex 262/2005)
36baa8d0-0754-11e8-2249-001dd8b721ea,Incorrect loading of positions,1681,Other (operational) risks
e95c23e2-475a-11ea-6ab0-001dd8b72a56,Incorrect compilation of the file,1376,Other (operational) risks
08ce3267-0b7d-11ea-6ab0-001dd8b72a56,Incorrect accounting of provisions,1110,Financial Disclosure Risk (ex 262/2005)
98624948-bcfc-11ea-4b37-001dd8b72a50,ROs not transmitted for accounting,2629,Financial Disclosure Risk (ex 262/2005)
4f5be00b-3032-11e9-2249-001dd8b721ea,Incorrect evaluation,1571,Financial Disclosure Risk (ex 262/2005)
721d164e-0b66-11ea-6ab0-001dd8b72a56,Wrong provision,3161,Financial Disclosure Risk (ex 262/2005)
4649c8fc-1b38-11e9-2249-001dd8b721ea,Incomplete/outdated documentation and verifications,941,Financial Disclosure Risk (ex 262/2005)
b719ac86-0419-11ed-43a8-001dd8b72a55,Incorrect registration of the resolution,1906,Financial Disclosure Risk (ex 262/2005)
c9b22efc-f89a-11e8-2249-001dd8b721ea,Incorrect entry of the return plan,1564,Financial Disclosure Risk (ex 262/2005)
b719ac83-0419-11ed-43a8-001dd8b72a55,Resolution carried out without management faculties,2677,Financial Disclosure Risk (ex 262/2005)
29a119b7-2edb-11e9-2249-001dd8b721ea,Incorrect provision proposal,1878,Financial Disclosure Risk (ex 262/2005)
4f5be020-3032-11e9-2249-001dd8b721ea,Incorrect evaluation,1571,Financial Disclosure Risk (ex 262/2005)
721d1644-0b66-11ea-6ab0-001dd8b72a56,Incorrect allocation of provision,1170,Financial Disclosure Risk (ex 262/2005)
12237641-3284-11df-23a9-00505682243b,Inconsistent data,993,Financial Disclosure Risk (ex 262/2005)
937cea3c-0e03-11eb-43a8-001dd8b72a55,Incorrect waste management,2044,Financial Disclosure Risk (ex 262/2005)
1223763e-3284-11df-23a9-00505682243b,Incorrect data,1413,Financial Disclosure Risk (ex 262/2005)
a4e41da3-6559-11eb-43a8-001dd8b72a55,Activity performed incorrectly,87,Other (operational) risks
d226b2e1-97ad-11eb-43a8-001dd8b72a55,Incorrect or incomplete accounting,1735,Financial Disclosure Risk (ex 262/2005)
fbe6cb63-823b-11eb-60ce-001dd8b72a56,Presence of names in the Black List,2566,Other (operational) risks
a4e41d89-6559-11eb-43a8-001dd8b72a55,Activity performed incorrectly,87,Other (operational) risks
5bfbad18-4007-11e9-2249-001dd8b721ea,EMIR/DFA default due to incorrect margin calculation,346,Financial Disclosure Risk (ex 262/2005)
b826bd02-38ea-11e9-2249-001dd8b721ea,EMIR/DFA default due to incorrect margin calculation,346,Financial Disclosure Risk (ex 262/2005)
c1e8c1ad-4987-11e9-2249-001dd8b721ea,Incorrect faculty application,1595,Financial Disclosure Risk (ex 262/2005)
c32db8c9-9bcb-11e8-2249-001dd8b721ea,Incorrect entry into the system of the resolution,1531,Financial Disclosure Risk (ex 262/2005)
82172acf-4992-11e9-2249-001dd8b721ea,Incorrect proposed resolution,1876,Financial Disclosure Risk (ex 262/2005)
c32db8a0-9bcb-11e8-2249-001dd8b721ea,Incorrect proposed resolution,1876,Financial Disclosure Risk (ex 262/2005)
8415740e-8e7f-11e9-2249-001dd8b721ea,Incomplete/outdated documentation and verifications,941,Financial Disclosure Risk (ex 262/2005)
2037653d-8bcc-11e7-2249-001dd8b721ea,TEG over threshold,2815,Financial Disclosure Risk (ex 262/2005)
5513ce60-32cc-11ea-6ab0-001dd8b72a56,Incorrect Covenant data,1053,Financial Disclosure Risk (ex 262/2005)
222091b2-df35-11e7-2249-001dd8b721ea,Inconsistency between the economic conditions indicated in the Contract and what is present in the System,964,Financial Disclosure Risk (ex 262/2005)
2037654e-8bcc-11e7-2249-001dd8b721ea,Incorrect identification of Subjects empowered to sign,1625,Financial Disclosure Risk (ex 262/2005)
7d0e6660-cb99-11e7-2249-001dd8b721ea,Documentation acquired incomplete or inadequate,335,Other (operational) risks
20376529-8bcc-11e7-2249-001dd8b721ea,Contract drafts incorrectly completed,212,Financial Disclosure Risk (ex 262/2005)
ddcd71f0-0551-11ea-4b37-001dd8b72a50,Wrong inclusion of covenants in the contract,3094,Financial Disclosure Risk (ex 262/2005)
82172af0-4992-11e9-2249-001dd8b721ea,Incorrect determination of cost items,1488,Financial Disclosure Risk (ex 262/2005)
1757067e-4a27-11e9-2249-001dd8b721ea,Incorrect system power supply,1980,Financial Disclosure Risk (ex 262/2005)
5bccfafc-a161-11e8-2249-001dd8b721ea,Incorrect decision-making authority,1474,Financial Disclosure Risk (ex 262/2005)
17570670-4a27-11e9-2249-001dd8b721ea,Incorrect entry into the system,1530,Financial Disclosure Risk (ex 262/2005)
977347e1-4a29-11e9-2249-001dd8b721ea,Incorrect system power supply,1980,Financial Disclosure Risk (ex 262/2005)
17570692-4a27-11e9-2249-001dd8b721ea,Incorrect expense accrual,1588,Financial Disclosure Risk (ex 262/2005)
2fdc9edb-6f61-11ea-1911-001dd8b72a55,Incorrect flow capture and/or incorrect data,1614,Other (operational) risks
f779ed05-b78f-11e9-4b37-001dd8b72a50,Incomplete and/or incorrect acquisition of flows,797,Other (operational) risks
8a117a79-6f66-11ea-1911-001dd8b72a55,Incomplete and/or incorrect data entry,806,Financial Disclosure Risk (ex 262/2005)
5f25c3ae-6f62-11ea-1911-001dd8b72a55,Incorrect data,1413,Financial Disclosure Risk (ex 262/2005)
d5c46774-6f65-11ea-1911-001dd8b72a55,Inconsistent data,993,Financial Disclosure Risk (ex 262/2005)
f7750b05-b78f-11e9-4b37-001dd8b72a50,Incorrect data entry,1428,Financial Disclosure Risk (ex 262/2005)
f7750b29-b78f-11e9-4b37-001dd8b72a50,Sending incorrect data,2768,Financial Disclosure Risk (ex 262/2005)
ed0f6651-683b-11ea-1911-001dd8b72a55,Incorrect data entry,1428,Other (operational) risks
071d15d6-6f68-11ea-1911-001dd8b72a55,Incorrect compilation,1363,Financial Disclosure Risk (ex 262/2005)
ed6a4992-6f64-11ea-1911-001dd8b72a55,Incorrect data entered,1423,Financial Disclosure Risk (ex 262/2005)
f7750b2c-b78f-11e9-4b37-001dd8b72a50,Incorrect data entry,1428,Financial Disclosure Risk (ex 262/2005)
071d15f7-6f68-11ea-1911-001dd8b72a55,Incorrect integrated data,1654,Financial Disclosure Risk (ex 262/2005)
f779ed11-b78f-11e9-4b37-001dd8b72a50,Incorrect preparation of the signage base,1854,Financial Disclosure Risk (ex 262/2005)
f7777c2c-b78f-11e9-4b37-001dd8b72a50,Incorrect preparation of the signage base,1854,Financial Disclosure Risk (ex 262/2005)
f7750b02-b78f-11e9-4b37-001dd8b72a50,Wrong / failure to send the report,2915,Other (operational) risks
8a117a5b-6f66-11ea-1911-001dd8b72a55,Incomplete and/or incorrect data entry,806,Financial Disclosure Risk (ex 262/2005)
825d0eaa-6f68-11ea-1911-001dd8b72a55,Incorrect compilation,1363,Financial Disclosure Risk (ex 262/2005)
7144f284-6f67-11ea-1911-001dd8b72a55,Incorrect compilation,1363,Financial Disclosure Risk (ex 262/2005)
01db7751-022f-11ea-4b37-001dd8b72a50,Incorrect data,1413,Financial Disclosure Risk (ex 262/2005)
92e664e2-e11b-11e9-6ab0-001dd8b72a56,Incorrect data entry,1428,Financial Disclosure Risk (ex 262/2005)
ed6a49aa-6f64-11ea-1911-001dd8b72a55,Incomplete and/or incorrect COREP-Tagetik Package data,795,Financial Disclosure Risk (ex 262/2005)
b570db85-6f5f-11ea-1911-001dd8b72a55,Incorrect data,1413,Financial Disclosure Risk (ex 262/2005)
b570db80-6f5f-11ea-1911-001dd8b72a55,Incomplete and/or incorrect acquisition,796,Other (operational) risks
2fdc9ef6-6f61-11ea-1911-001dd8b72a55,Incorrect data entry,1428,Financial Disclosure Risk (ex 262/2005)
7144f296-6f67-11ea-1911-001dd8b72a55,Incorrect compilation,1363,Financial Disclosure Risk (ex 262/2005)
2c24e6ee-7084-11e8-2249-001dd8b721ea,Incorrect data,1413,Other (operational) risks
2c24e6e0-7084-11e8-2249-001dd8b721ea,Inconsistent received data,1018,Other (operational) risks
de798cf4-3e26-11ec-60ce-001dd8b72a56,Incorrect data received,1459,Other (operational) risks
73c2c8e8-5cfc-11e9-2249-001dd8b721ea,Incorrect payment,1815,Other (operational) risks
0bbaa5c1-17e2-11e9-2249-001dd8b721ea,Incorrect accounting/imputation of data in the financial statements,1144,Financial Disclosure Risk (ex 262/2005)
2c24e6d0-7084-11e8-2249-001dd8b721ea,Reports sent incomplete,2669,Other (operational) risks
841d1190-c2b8-11ea-1911-001dd8b72a55,Wrong Invoice,2926,Financial Disclosure Risk (ex 262/2005)
5dae6dec-9138-11ea-1911-001dd8b72a55,Possible regulatory violation in terms of AML/CTF or countering the financing of terrorism,2513,Other (operational) risks
ea86f764-a752-11e7-2249-001dd8b721ea,Operation performed incorrectly,2428,Other (operational) risks
16f83fcf-eb03-11ec-275f-001dd8b72a50,Payment entered with errors,2460,Other (operational) risks
6c16dcc4-70d6-11e8-2249-001dd8b721ea,Wrong data entered,3032,Financial Disclosure Risk (ex 262/2005)
6c16dcd3-70d6-11e8-2249-001dd8b721ea,Wrong data entered,3032,Financial Disclosure Risk (ex 262/2005)
bc05cafb-9132-11ea-1911-001dd8b72a55,Possible regulatory violation in terms of AML/CTF or countering the financing of terrorism,2513,Other (operational) risks
6906dae0-acaf-11e6-2688-00101818ed80,Operation performed incorrectly,2428,Other (operational) risks
4520f400-5bf7-11ec-60ce-001dd8b72a56,Failure to upload documentation,691,Other (operational) risks
a1756600-a74f-11e7-2249-001dd8b721ea,Operation performed incorrectly,2428,Other (operational) risks
793014fa-784a-11ec-275f-001dd8b72a50,Wrong data entered,3032,Other (operational) risks
12a08252-7560-11e9-2249-001dd8b721ea,Incorrect data entry,1428,Other (operational) risks
12a08261-7560-11e9-2249-001dd8b721ea,Unauthorized signatures,2850,Other (operational) risks
0068e339-fbbf-11e9-4b37-001dd8b72a50,Incorrect and/or incomplete rectified data,1218,Financial Disclosure Risk (ex 262/2005)
f7e8f131-deb7-11e8-2249-001dd8b721ea,Data errors or anomalies,268,Financial Disclosure Risk (ex 262/2005)
323bba00-3663-11ec-275f-001dd8b72a50,Data errors and/or anomalies,267,Financial Disclosure Risk (ex 262/2005)
318c449c-caaa-11ec-275f-001dd8b72a50,Incorrect data entered into the system,1425,Other (operational) risks
1cb9d4f7-e517-11e9-6ab0-001dd8b72a56,Incomplete and/or inconsistent data,790,Financial Disclosure Risk (ex 262/2005)
e452f7bd-e514-11e9-6ab0-001dd8b72a56,Incomplete and/or inconsistent data,790,Financial Disclosure Risk (ex 262/2005)
2ff93db8-e518-11e9-6ab0-001dd8b72a56,Failure to send the reporting flow,668,Other (operational) risks
888e92c9-e520-11e9-6ab0-001dd8b72a56,Presence of outstanding reliefs,2571,Financial Disclosure Risk (ex 262/2005)
d5ac19e9-0c68-11eb-60ce-001dd8b72a56,Incorrect automatic processing of the printout,1274,Financial Disclosure Risk (ex 262/2005)
d5ac19ec-0c68-11eb-60ce-001dd8b72a56,Wrong manual and/or automatic processing of contributions,3116,Financial Disclosure Risk (ex 262/2005)
d5ac19ee-0c68-11eb-60ce-001dd8b72a56,Incorrect manual processing of the contribution statement,1708,Financial Disclosure Risk (ex 262/2005)
c1bbc2a0-0c8a-11eb-60ce-001dd8b72a56,Incorrect manual entry of credit for contributions.,1707,Financial Disclosure Risk (ex 262/2005)
c8089c42-0c95-11eb-60ce-001dd8b72a56, Incorrect registrations on accounting ledgers or missing contributions to be received,33,Financial Disclosure Risk (ex 262/2005)
c8089c45-0c95-11eb-60ce-001dd8b72a56,Incorrect entries in the accounting ledgers or failure to collect contributions due by the Entity,1525,Financial Disclosure Risk (ex 262/2005)
c8065250-0c95-11eb-60ce-001dd8b72a56,Amount of contributions paid by the institution different from the amount requested,97,Financial Disclosure Risk (ex 262/2005)
48634387-602b-11e0-23ac-00505682243b,Wrong identification,3091,Financial Disclosure Risk (ex 262/2005)
d6a524ad-5ed9-11e6-2688-00101818ed80,Incorrect decision-making process,1475,Financial Disclosure Risk (ex 262/2005)
d35d4873-89a3-11e7-2249-001dd8b721ea,Incorrect and/or incomplete communication/documentation,1197,Financial Disclosure Risk (ex 262/2005)
f830f480-89a0-11e7-2249-001dd8b721ea,Incorrect and/or incomplete documentation,1203,Financial Disclosure Risk (ex 262/2005)
a0b766ce-bd99-11e8-2249-001dd8b721ea,Incorrect and/or incomplete documentation,1203,Financial Disclosure Risk (ex 262/2005)
cbbc5a69-897f-11e7-2249-001dd8b721ea,Incorrect and/or incomplete documentation,1203,Financial Disclosure Risk (ex 262/2005)
4ceeff7a-89a5-11e7-2249-001dd8b721ea,Incorrect and/or incomplete documentation,1203,Financial Disclosure Risk (ex 262/2005)
4645311c-56c0-11e9-2249-001dd8b721ea,Incorrect and/or incomplete documentation,1203,Financial Disclosure Risk (ex 262/2005)
24130394-56c6-11e9-2249-001dd8b721ea,Incorrect and/or incomplete documentation,1203,Financial Disclosure Risk (ex 262/2005)
7b36c5b5-de27-11eb-275f-001dd8b72a50,Wrong reconciliation of payments,3169,Financial Disclosure Risk (ex 262/2005)
2487f2d3-de3e-11eb-275f-001dd8b72a50,Mastrini not correctly reset,2224,Financial Disclosure Risk (ex 262/2005)
2487f2d0-de3e-11eb-275f-001dd8b72a50,Mastrini not correctly reset,2224,Financial Disclosure Risk (ex 262/2005)
2487f2c6-de3e-11eb-275f-001dd8b72a50,Incorrect payments,1828,Financial Disclosure Risk (ex 262/2005)
2487f2c8-de3e-11eb-275f-001dd8b72a50,Incorrect accounting,1078,Financial Disclosure Risk (ex 262/2005)
b23b4b5e-de37-11eb-275f-001dd8b72a50,Incorrect balance of payments,1275,Financial Disclosure Risk (ex 262/2005)
fa8a018a-d920-11e9-4b37-001dd8b72a50,Lack of consistency with multi-year forecasts,2157,Other (operational) risks
7bdb9d75-d91d-11e9-4b37-001dd8b72a50,Inaccuracy of processed data,754,Other (operational) risks
fa8a019f-d920-11e9-4b37-001dd8b72a50,Lack of consistency of the estimate of capital indicators with the RAF limits,2156,Other (operational) risks
dee85fc0-5cf0-11ec-275f-001dd8b72a50,Incorrect compilation of the summary report,1380,Financial Disclosure Risk (ex 262/2005)
337a23ab-2a43-11eb-275f-001dd8b72a50,Incorrect calculation or accounting of the recovered or returned contribution,1320,Financial Disclosure Risk (ex 262/2005)
a34480b0-5d82-11ec-275f-001dd8b72a50,Incorrect accounting of collected contributions,1093,Financial Disclosure Risk (ex 262/2005)
404e1305-7e98-11ec-60ce-001dd8b72a56,Accounting squaring,75,Financial Disclosure Risk (ex 262/2005)
cd287a7a-29ba-11eb-275f-001dd8b72a50,Squaring in account balances,2793,Financial Disclosure Risk (ex 262/2005)
dee85fcc-5cf0-11ec-275f-001dd8b72a50,Wrong entry in accounting,3062,Financial Disclosure Risk (ex 262/2005)
cd287a80-29ba-11eb-275f-001dd8b72a50,Possible squaring in sales,2519,Financial Disclosure Risk (ex 262/2005)
dee85fc3-5cf0-11ec-275f-001dd8b72a50,Wrong accounting suspended,2938,Financial Disclosure Risk (ex 262/2005)
27d12a4b-c233-11e8-2249-001dd8b721ea,Opinion not respected,2439,Legal and non-compliance
1a76cc07-ebd3-11e8-2249-001dd8b721ea,Validation of a List containing incorrect data,2893,Other (operational) risks
ec314a99-ed75-11e8-2249-001dd8b721ea,Failure to identify the correct type of List,578,Other (operational) risks
daa8d753-ba48-11e8-2249-001dd8b721ea,Failure to identify the correct type of List,578,Other (operational) risks
6bb29373-baab-11e9-4b37-001dd8b72a50,Failure to identify the correct type of List,578,Other (operational) risks
5039fc15-ba78-11e9-1911-001dd8b72a55,Incomplete names,880,Other (operational) risks
1a76cbee-ebd3-11e8-2249-001dd8b721ea,Validation of a List containing incorrect data,2893,Other (operational) risks
de063434-ba62-11e8-2249-001dd8b721ea,Validation of a List containing incorrect data,2893,Other (operational) risks
5039fc2b-ba78-11e9-1911-001dd8b72a55,Incomplete names,880,Other (operational) risks
83cffb46-ec04-11e8-2249-001dd8b721ea,Failure to identify the correct type of List,578,Other (operational) risks
1a76cbe1-ebd3-11e8-2249-001dd8b721ea,Validation of a List containing incorrect data,2893,Other (operational) risks
83cffb32-ec04-11e8-2249-001dd8b721ea,Validation of a List containing incorrect data,2893,Other (operational) risks
5039fc20-ba78-11e9-1911-001dd8b72a55,Incomplete names,880,Other (operational) risks
1a76cbf9-ebd3-11e8-2249-001dd8b721ea,Failure to identify the correct type of List,578,Other (operational) risks
83cffb57-ec04-11e8-2249-001dd8b721ea,Validation of a List containing incorrect data,2893,Other (operational) risks
d139a53b-87d2-11eb-275f-001dd8b72a50,Incorrect closing of PVs against the Service Account,1356,Financial Disclosure Risk (ex 262/2005)
50ba200b-87ce-11eb-275f-001dd8b72a50,Wrong closing PV,3007,Financial Disclosure Risk (ex 262/2005)
0cfa58a5-87d1-11eb-275f-001dd8b72a50,Wrong currency/Euro conversion,3027,Financial Disclosure Risk (ex 262/2005)
3b2b16ea-1540-11e8-2249-001dd8b721ea,"Maintain the correct management of the Service Account,",2209,Financial Disclosure Risk (ex 262/2005)
ee4a0a15-1540-11e8-2249-001dd8b721ea,"Maintain the correct management of the Service Account,",2209,Financial Disclosure Risk (ex 262/2005)
7f79ae30-c23b-11e8-2249-001dd8b721ea,Operation not permitted,2426,Other (operational) risks
a4330f1e-86ab-11e9-2249-001dd8b721ea,Unavailable data and/or failure to transfer knowledge and/or delay in preparing data,2855,Financial Disclosure Risk (ex 262/2005)
4c7bd382-efa3-11e6-2688-00101818ed80,Incorrect or incomplete data,1750,Financial Disclosure Risk (ex 262/2005)
44c5f623-edfa-11e6-2688-00101818ed80,Incorrect or inconsistent data,1787,Financial Disclosure Risk (ex 262/2005)
5b3ab047-d675-11e7-2249-001dd8b721ea,Formal errors in reporting,725,Financial Disclosure Risk (ex 262/2005)
44c5f615-edfa-11e6-2688-00101818ed80,Incorrect / incomplete data,1043,Financial Disclosure Risk (ex 262/2005)
728ba8c3-ef7b-11e6-2688-00101818ed80,Unavailable data and/or failure to transfer knowledge and/or delay in preparing data,2855,Financial Disclosure Risk (ex 262/2005)
3b1eed85-deaa-11e9-4b37-001dd8b72a50,Incomplete or incorrect documentation,887,Other (operational) risks
0ee02e54-d341-11eb-275f-001dd8b72a50,Incorrect accounting,1078,Financial Disclosure Risk (ex 262/2005)
150577ec-5cc6-11e8-2249-001dd8b721ea,Failure to comply with the maximum processing times,525,Other (operational) risks
f26ec2fb-16f0-11ec-43a8-001dd8b72a55,Incorrect entry of data,1535,Other (operational) risks
46ae80df-16f6-11ec-43a8-001dd8b72a55,Incorrect delivery order,1485,Other (operational) risks
6aca8970-a475-11ec-275f-001dd8b72a50,Wrong metal delivery,3120,Other (operational) risks
06eaf21b-5ab2-11e9-2249-001dd8b721ea,Models to be sent to the EIB incomplete,2321,Financial Disclosure Risk (ex 262/2005)
0eb3fa7a-9519-11dd-23a9-00505682243b,Wrong amounts,2953,Financial Disclosure Risk (ex 262/2005)
516fcd1b-feb4-11e8-2249-001dd8b721ea,Organization still exposed to the type of threat detected,2440,Other (operational) risks
516fcd10-feb4-11e8-2249-001dd8b721ea,Incorrect classification (and consequent management) of the event,1348,Other (operational) risks
66ebbff9-2821-11eb-275f-001dd8b72a50,Incorrect / incomplete data entry,1044,Other (operational) risks
88451500-2da3-11eb-43a8-001dd8b72a55,Existence or occurrence of unauthorized operations,406,Other (operational) risks
ee603cf8-2819-11eb-275f-001dd8b72a50,Incompatible loan request,773,Other (operational) risks
31b11f7e-2823-11eb-275f-001dd8b72a50,Incorrect / incomplete data entry,1044,Other (operational) risks
8845151b-2da3-11eb-43a8-001dd8b72a55,Existence or occurrence of unauthorized operations,406,Other (operational) risks
6f71cf53-3350-11e8-2249-001dd8b721ea,Missed or incorrect update,2292,Other (operational) risks
b78a1628-4964-11ec-275f-001dd8b72a50,Incorrect or incomplete completion of the Form,1745,Other (operational) risks
b8609f82-4964-11ec-275f-001dd8b72a50,Incorrect or incomplete completion of the Form,1745,Other (operational) risks
b867cb75-4964-11ec-275f-001dd8b72a50,Check the contents of the confidentiality agreement,185,Other (operational) risks
6b0a3d12-02b5-11e9-2249-001dd8b721ea,Failure to collect installments,492,Financial Disclosure Risk (ex 262/2005)
2ae2e677-1416-11e9-2249-001dd8b721ea,Wrong operation,3123,Financial Disclosure Risk (ex 262/2005)
0e9cb7b3-e76b-11ea-6ab0-001dd8b72a56,Possible regulatory violation in terms of Embargoes/AML/CTF or fight against the financing of terrorism,2514,Other (operational) risks
3f0b7b94-e6ce-11ea-6ab0-001dd8b72a56,Check the correctness of the entered data,188,Financial Disclosure Risk (ex 262/2005)
5a7c4210-af75-11ec-60ce-001dd8b72a56,Check the correctness and consistency of the data entered,186,Financial Disclosure Risk (ex 262/2005)
c9eb1e91-0176-11eb-43a8-001dd8b72a55,Missed or incorrectly charged fees or expenses,2294,Financial Disclosure Risk (ex 262/2005)
21f1e775-90b3-11ec-60ce-001dd8b72a56,Possible regulatory violation in terms of Embargoes/AML/CTF or fight against the financing of terrorism,2514,Other (operational) risks
21f1e778-90b3-11ec-60ce-001dd8b72a56,Check the correctness of the entered data,188,Other (operational) risks
3f0b7b86-e6ce-11ea-6ab0-001dd8b72a56,Possible violation of restrictions on petroleum and petrochemical products,2523,Other (operational) risks
