level3GUID,level3,level3ID
c25d53c1-619f-11e7-2249-001dd8b721ea,Own Account Finance - Collateral Management,242
377073f3-adb2-11e7-2249-001dd8b721ea,Concession - Individuals - Personal Loans and Installment Credit Line - Retail Lending Open,74
5e04c998-a80e-11e7-2249-001dd8b721ea,Management of non-performing credit - management of bad debts leasing,212
6d8dc536-572a-11e7-2688-00101818ed80,Rating - Attribution and Rating Management - Corporate Regulatory Segment,295
73353291-619f-11e7-2249-001dd8b721ea,Concession - Loans to companies in the progress of the works,77
a59bd791-5a9d-11e9-2249-001dd8b721ea,Reports - Prudential Reports (COREP),308
3cbe1001-61a0-11e7-2249-001dd8b721ea,Taxation - Credit taxation,340
3158fd63-80ab-11ea-4b37-001dd8b72a50,Third Party Finance - Regulated Derivatives,347
597215c1-61a0-11e7-2249-001dd8b721ea,Compliance Management - Management of the Embargo regulatory framework,50
2f75ab91-619d-11e7-2249-001dd8b721ea,Passive Domestic Guarantees and International Guarantees - International guarantees issued,264
475d8341-619d-11e7-2249-001dd8b721ea,Collections and Payments - ADUE SDD,32
0b8a5941-619f-11e7-2249-001dd8b721ea,Planning and Management Control - Management Control,275
e2ce1ac1-619c-11e7-2249-001dd8b721ea,Payment Cards - Debit and Service Cards,266
80c29fd3-4b68-11e7-2688-00101818ed80,Portfolio - Advance on Foreign Invoices - Financial Financing - Easy Export,276
37304a31-61a1-11e7-2249-001dd8b721ea,Funding - Contribution Management,169
fe456793-1eff-11e0-23ac-00505682243b,Compliance Management - Regulatory management Transactions with related parties - Associated parties and Obligations of bank representatives,63
3197a131-619d-11e7-2249-001dd8b721ea,Credit Risk Mitigation - Guarantees of funds,118
3a48fb74-0a37-11e7-2688-00101818ed80,Financial Products and Services - Administered Deposit,152
b9e8753a-acef-11e7-2249-001dd8b721ea,Strategies - Capital Management,331
e4b81071-619c-11e7-2249-001dd8b721ea,Payment cards - Credit cards,267
d10e93d1-619e-11e7-2249-001dd8b721ea,Financial Products and Services - OTC Derivatives,157
a0ef72a1-61a3-11e7-2249-001dd8b721ea,Strategies - Disclosure for the Resolution Plan,332
3387a2a1-61a3-11e7-2249-001dd8b721ea,Non-life business - Protection policies - Motor,228
e2809f13-3616-11e7-2688-00101818ed80,Institutional Relations and External Communication - Relations with Supervisors and Regulatory Authorities,186
6f96d621-619f-11e7-2249-001dd8b721ea,Service Operation - FM operational management,317
eedd6a51-619c-11e7-2249-001dd8b721ea,Counter Services - Self Equipment Management,102
fe22e931-619d-11e7-2249-001dd8b721ea,Administrative Processes - Archiving of documents in paper and electronic format,23
74aac2f1-619c-11e7-2249-001dd8b721ea,Other ancillary products and services - Loans for use and sale of Gold,234
73364e91-61a0-11e7-2249-001dd8b721ea,Own account finance - Funding,258
cc321ca1-619f-11e7-2249-001dd8b721ea,Service Transition - Supplier management,328
0d0108d1-61a1-11e7-2249-001dd8b721ea,Cybersecurity and BC Services - Security Operation Center,140
c349f321-619e-11e7-2249-001dd8b721ea,Own Account Finance - Medium/long-term internal transfer rate management,249
be878911-619e-11e7-2249-001dd8b721ea,Service Transition - Management of Physical Assets & SW Licenses,326
1e74f5e1-61a1-11e7-2249-001dd8b721ea,Property and Artistic Heritage - Management of Artistic Heritage,289
ce9110b1-619e-11e7-2249-001dd8b721ea,Human Resources - Personnel Administrative Management,177
d8f680d1-619e-11e7-2249-001dd8b721ea,Registry - Census and Counterparty Management,302
95731111-619f-11e7-2249-001dd8b721ea,Financing - Moratoriums - Legislative Provisions and Collective Agreements,168
2e141fc1-619d-11e7-2249-001dd8b721ea,Abroad - Import documentary credits,2
581569c1-c874-11e8-2249-001dd8b721ea,Reports - Other Supervisory Reports,307
c075f621-619f-11e7-2249-001dd8b721ea,Property and Artistic Heritage - Administrative property management,287
3782f1a0-ae4e-11e7-2249-001dd8b721ea,Own Account Finance - Management Reporting and Profit and Loss Backtesting,246
09f62d60-aa77-11ea-4b37-001dd8b72a50,Planning and Management Control - Industrial Accounting and Service Contracts,274
3265dbc1-619f-11e7-2249-001dd8b721ea,Corporate Finance - Structured Finance ONE,91
67b0bde1-619f-11e7-2249-001dd8b721ea,Own account finance - Euro and currency liquidity management,257
bd291511-619f-11e7-2249-001dd8b721ea,"Financial Products and Services - Clearing, Custody and Settlement Services",154
e703c6a0-13a7-11e7-2688-00101818ed80,Own account finance - Management of collateralized bank assets,260
d6537080-0152-11ea-4b37-001dd8b72a50,Compliance Management - Management of ICT Security and Business Continuity regulatory areas,48
0021bf11-61a1-11e7-2249-001dd8b721ea,Credit risk - Country risk,125
0a289141-619d-11e7-2249-001dd8b721ea,"Product Development, Services and Commercial Agreements - Pricing",285
89aac077-6dfa-11e7-7823-00155d86fd3a,Corporate Finance - Equity Capital Markets,87
fc9575f1-619e-11e7-2249-001dd8b721ea,Liquidity risk - Group liquidity risk,195
31ace4a1-61a2-11e7-2249-001dd8b721ea,Integrated System of Internal Controls - Internal Violation Reporting System,188
20a809e1-619e-11e7-2249-001dd8b721ea,Counter services - Management of relationships with counting rooms,105
6a799391-1b10-11e9-2249-001dd8b721ea,Concession - Private individuals - Mortgages sold through third-party networks,82
730920e1-619c-11e7-2249-001dd8b721ea,Mandatory Fulfillments - Successions,218
98cc5591-619c-11e7-2249-001dd8b721ea,Collections and Payments - Foreign Cheques,36
b79b6131-619e-11e7-2249-001dd8b721ea,Abroad - Operations in foreign exchange,3
f41531d1-61a4-11e7-2249-001dd8b721ea,Management of Performing Credit in Monitoring - Proactive Management of Banks and Financial Institutions,209
e886e0d1-619e-11e7-2249-001dd8b721ea,Finance Master Data and Settings - Financial Instrument Master Data,151
d4dc2121-619f-11e7-2249-001dd8b721ea,Human Resources - Management of Employee Insurance Intermediaries,173
658db6d1-619f-11e7-2249-001dd8b721ea,Litigation and Legal Advice - Management of legal disputes,197
66aa8090-5e0c-11ea-6ab0-001dd8b72a56,Financing - Loan IQ financing,166
4bd516c1-619f-11e7-2249-001dd8b721ea,Pricing and Market Models - Independent Price Verification,280
2d98c351-619f-11e7-2249-001dd8b721ea,Purchases and Sale of Goods - Register and Qualification of Suppliers and Third Parties,293
0bd42191-61a1-11e7-2249-001dd8b721ea,Service Transition - Test Management,329
062da900-fd9c-11e6-2688-00101818ed80,Human Resources - Employee Personnel Development,170
1702f901-619d-11e7-2249-001dd8b721ea,Accounts and Deposits - Savings Books,21
32e9f881-61a2-11e7-2249-001dd8b721ea,Taxation - Compulsory communications to the Revenue Agency,338
5054fe74-7dcb-11e7-2249-001dd8b721ea,"Development of Products, Services and Commercial Agreements - Corporate Welfare for Employees of the Bank's client companies",145
cb6bb4d1-619e-11e7-2249-001dd8b721ea,Financial Products and Services - Regulated derivatives,159
2b1900d1-61a0-11e7-2249-001dd8b721ea,Accounting - Personnel Accounting,15
3158fd60-80ab-11ea-4b37-001dd8b72a50,Third Party Finance - Securities,349
002e6df8-accf-11e7-2249-001dd8b721ea,Valuations for Financial Statements purposes - Valuation of Securities and Derivatives,355
ddbaddc1-5a9c-11e9-2249-001dd8b721ea,Reports - Matrix Reports and other Statistical Supervisory Reports,306
c7cb1c31-61a3-11e7-2249-001dd8b721ea,Pricing and Market Models - Pricing models and calculation of risk measures,282
093998be-1f4a-11e7-2688-00101818ed80,Managed Savings - Mutual Investment Funds,207
cf250860-0e51-11e7-2688-00101818ed80,Collections and Payments - SDD at bank risk,42
8635d3d7-0595-11e7-2688-00101818ed80,"Planning and Management Control - Budget, Forecast and Consolidation of Operating Expenses",272
ffc30f31-619e-11e7-2249-001dd8b721ea,Own account finance - OTC derivatives,261
0259ff01-61a5-11e7-2249-001dd8b721ea,Compliance Management - Short Selling Regulatory Management,65
ddad6949-bf5b-11ea-6ab0-001dd8b72a56,Human Resources - Remuneration and Incentive Systems,179
96db2c91-619f-11e7-2249-001dd8b721ea,Concession - Financial Institutions ONE,72
505d0121-61a5-11e7-2249-001dd8b721ea,Human Resources - Management of Non-Employee Personnel,175
b48e350c-fd36-11e8-2249-001dd8b721ea,Credit Risk - Development and Review of Internal Models of Credit Risk,113
f74312d1-619c-11e7-2249-001dd8b721ea,Payment cards - Prepaid cards,268
bca22741-619e-11e7-2249-001dd8b721ea,Banking Book financial risk - IRR risk,30
195e6dd1-61a0-11e7-2249-001dd8b721ea,Corporate governance and corporate obligations - Fulfillments in terms of shareholdings that can be held,95
04ba5a01-61a1-11e7-2249-001dd8b721ea,Rating - Attribution and Rating Management - Structured Finance,299
dc836631-61a0-11e7-2249-001dd8b721ea,Service Strategy - ICT Government,321
b36933c1-619f-11e7-2249-001dd8b721ea,Own Account Finance - Bond Issues,240
c3d465c1-78db-11dc-1322-000d609809a6,Service Transition - AM Design and Development,322
8edc0e11-619f-11e7-2249-001dd8b721ea,Loans - Loan management,200
95027359-3184-11e8-2249-001dd8b721ea,Credit Risk Mitigation - SACE-ISMEA Guarantee,121
ddab1d51-61a0-11e7-2249-001dd8b721ea,Cybersecurity and BC Projects - Access Management and Infrastructural Security,137
ec419781-61a1-11e7-2249-001dd8b721ea,Passive Domestic Guarantees and International Guarantees - Signature commitments,265
84b70280-5a71-11e7-2688-00101818ed80,Rating - Counterparty status,300
04107bd0-ef9a-11e6-2688-00101818ed80,Accounts and Deposits - Domestic and International Cash Pooling,18
520c6d91-619f-11e7-2249-001dd8b721ea,Purchases and Sale of Goods - Procurement processes,291
f3bfbba1-61a0-11e7-2249-001dd8b721ea,Credit Risk Mitigation - Confidi,116
e6d9e561-61a4-11e7-2249-001dd8b721ea,Taxation - Tax litigation,344
cebf16d1-61a4-11e7-2249-001dd8b721ea,Compliance Management - International Derivatives Regulation - EMIR Scope and Swap Dealer,47
8908c181-61a5-11e7-2249-001dd8b721ea,Concession - Factoring,71
5f1cd211-61a2-11e7-2249-001dd8b721ea,Compliance Management - Non-Resident Tax Compliance Management - FATCA - IGA - CRS - QIA,55
7e3c0070-31a0-11e8-2249-001dd8b721ea,Risk Strategy and Internal Capital & Liquidity Adequacy Assessment - Stress Testing Programme,313
79fdd441-619c-11e7-2249-001dd8b721ea,Collections and Payments - Checks Italy,34
210e0231-619f-11e7-2249-001dd8b721ea,Human Resources - Training,181
c6b5d95b-4a22-11e8-2249-001dd8b721ea,Cybersecurity and BC Governance - Critical Event Management,133
006fa1bc-a9ec-4b07-99e7-36b200dd9d17,Other ancillary products and services - POS,235
469b2b61-61a2-11e7-2249-001dd8b721ea,Taxation - Property taxation,341
6a900664-34b8-11e7-2688-00101818ed80,Own Account Finance - Short Term Internal Transfer Rate Management,254
b92f85d0-5bf4-11ec-43a8-001dd8b72a55,Compliance Management - Management of the Regulatory Area of Insurance and Social Security Intermediation - IVASS,52
69710b81-619f-11e7-2249-001dd8b721ea,Cybersecurity and BC Projects - Management of qualification profiles,138
7f4ec2b1-619c-11e7-2249-001dd8b721ea,Accounting - Accounting Systems Management,9
4a9de6eb-3a01-11e7-2688-00101818ed80,Concession - Private - Mortgages,80
f4ed02f1-619e-11e7-2249-001dd8b721ea,Operational Risk - Other Operational Risks,230
a43a3501-619c-11e7-2249-001dd8b721ea,Collections and Payments - Outgoing foreign transfers,40
a318a461-0775-11e9-2249-001dd8b721ea,Cybersecurity and BC Governance - Security by Design,135
d1692f91-61a1-11e7-2249-001dd8b721ea,Data Governance - Data Management,142
54533e61-61a1-11e7-2249-001dd8b721ea,Own account finance - Synthetic securitisations,262
fd863e91-619e-11e7-2249-001dd8b721ea,Compliance Management - Management of the regulatory environment Administrative responsibility of entities,53
2f08c381-619e-11e7-2249-001dd8b721ea,Counter Services - Safety Deposit Boxes and Locked Deposits,101
bae55811-6dff-11e7-7823-00155d86fd3a,Corporate Finance - Mergers & Acquisitions,89
a8e9d301-619f-11e7-2249-001dd8b721ea,Service Transition - Configuration Management,324
e8eeebf8-c68a-11ea-6ab0-001dd8b72a56,"Development of Products, Services and Commercial Agreements - Management of Tax Incentives",146
3028a388-40c7-11e9-2249-001dd8b721ea,Concession - Corporate ONE,70
9feec851-619f-11e7-2249-001dd8b721ea,Concession - Corporate,69
36d1f301-61a0-11e7-2249-001dd8b721ea,Concession - Public Entities and Enterprises,84
dbff5e91-619f-11e7-2249-001dd8b721ea,Corporate Finance - Third Party Securitizations,92
5cee2740-7ade-11e8-2249-001dd8b721ea,Management of Performing Credit under Monitoring - Management of Private Retail Positions,210
d08961e0-02a3-11e9-2249-001dd8b721ea,"Product Development, Services and Commercial Agreements - Supply Chain Management",286
dd7dd321-619d-11e7-2249-001dd8b721ea,Institutional Relations and External Communication - Communication and Relations with the Media,184
38752641-61a1-11e7-2249-001dd8b721ea,Rating - Attribution and Rating Management - Regulatory Segment of Public Bodies,296
b34b8f11-619e-11e7-2249-001dd8b721ea,Accounting - General Accounting,13
bbc7b7b1-619c-11e7-2249-001dd8b721ea,Collections and Payments - Outgoing SEPA transfers,39
9ec93411-619f-11e7-2249-001dd8b721ea,Monitoring Performing Loan Management - Proactive Corporate and Small Business Management,222
b96d13f1-619e-11e7-2249-001dd8b721ea,Financial Statements and Pillar III - Consolidated Financial Statements,163
27c7e950-6ac0-11eb-275f-001dd8b72a50,Financial Products and Services - OTC Client Clearing,156
7c0631f1-619d-11e7-2249-001dd8b721ea,Collections and Payments - Certificates of Conformity,33
5d1f46a1-619d-11e7-2249-001dd8b721ea,Collections and Payments - Various collection and payment services,44
302dc277-f438-11e6-2688-00101818ed80,Portfolio - Portfolio presentations,279
fad90ad1-619c-11e7-2249-001dd8b721ea,Accounts and Deposits - Certificates of Deposit,16
1962a901-619f-11e7-2249-001dd8b721ea,Registry - Registry of Relationships,304
37e98710-38dd-11e9-2249-001dd8b721ea,Own Account Finance - Own Securitizations,250
bdf13521-61a1-11e7-2249-001dd8b721ea,Accounting - Customer Accounting,12
5ac08761-61a3-11e7-2249-001dd8b721ea,Cybersecurity and BC Governance - Contingency Business Continuity solutions for systemic processes,131
1feb4991-619e-11e7-2249-001dd8b721ea,Counter services - Transport and counting of valuables on behalf of third parties,106
e6783a31-61a0-11e7-2249-001dd8b721ea,Own Account Finance - Guaranteed Bank Bonds,245
8d5096a1-61a0-11e7-2249-001dd8b721ea,Concession - Small Business,85
c987eec1-61a0-11e7-2249-001dd8b721ea,Service Design - Architecture definition of the information system,314
72059e21-619d-11e7-2249-001dd8b721ea,Administrative Processes - Accounting Suspended Management,22
a0f23792-6b00-11e7-7823-00155d86fd3a,Other ancillary products and services - Diamonds,233
00066451-61a0-11e7-2249-001dd8b721ea,Human Resources - Resignation and Consensus Termination,180
05ef4271-619f-11e7-2249-001dd8b721ea,Service Transition - Management of technological change,327
1e307601-61a5-11e7-2249-001dd8b721ea,Concession - Confirming,68
30946531-61a1-11e7-2249-001dd8b721ea,Credit databases - Credit Information Systems,123
40ace686-3fab-11e7-2688-00101818ed80,Access Services to Digital Channels - Remote Banking Services for Legal Persons,7
f50167e2-6df3-11e7-7823-00155d86fd3a,Own account finance - Issues of certificates,259
11e84ae1-619f-11e7-2249-001dd8b721ea,Financial Products and Services - Equity,155
265298c9-41db-11e7-2688-00101818ed80,Concession - Automatic Revisions,67
da527f66-fc6b-11e8-2249-001dd8b721ea,Taxation - Collaborative compliance regime with the Revenue Agency,337
002e6def-accf-11e7-2249-001dd8b721ea,Reports - Reports of bad debts,311
af1187b0-03f3-11eb-43a8-001dd8b72a55,Loans - Loans in GIC,202
c5605001-619e-11e7-2249-001dd8b721ea,Own Account Finance - Alternative Investments Funds,238
66bcd910-30ac-11e7-2688-00101818ed80,Concession - Individuals - Loans to Intesa Sanpaolo Group Employees,73
2a098211-619f-11e7-2249-001dd8b721ea,Purchases and Sale of Goods - Purchase management,292
a2f2e7f1-619c-11e7-2249-001dd8b721ea,Collections and Payments - Incoming foreign transfers,38
7c7feb11-86c8-11e9-2249-001dd8b721ea,Corporate Finance - Loan Trading,88
e3023831-619e-11e7-2249-001dd8b721ea,Human Resources - Personnel Devices,178
bb6fe30c-accb-11e7-2249-001dd8b721ea,Accounting - Asset Accounting,11
f28f00a1-619c-11e7-2249-001dd8b721ea,Cybersecurity and BC Services - Security Fraud Management,139
5e04c99f-a80e-11e7-2249-001dd8b721ea,Financing - Management of Facilitated Interventions,167
91d7b300-19ca-11e7-2688-00101818ed80,Corporate governance and corporate obligations - Public Purchase Offer,97
5be54661-61a5-11e7-2249-001dd8b721ea,Concession - Leasing,76
81e23890-e86b-11e6-2688-00101818ed80,Planning and Management Control - Capital Budget,273
173b3521-619f-11e7-2249-001dd8b721ea,Registry - Management and feeding of the Group Counterparty Registry,303
281edb01-619d-11e7-2249-001dd8b721ea,Customer Relationship Management - Customer portfolio,128
2ba33290-7c91-11dc-1322-000d609809a6,Service Strategy - ICT Demand Management,320
1f2afc41-619d-11e7-2249-001dd8b721ea,Counter Services - Withdrawal,103
a6fbe885-01c7-11ed-60ce-001dd8b72a56,Credit Monitoring - Management of Sector Performance Indicators,111
6216f4b1-61a1-11e7-2249-001dd8b721ea,Factoring - Factoring management,149
efdc03b1-619e-11e7-2249-001dd8b721ea,Compliance Management - Regulatory management of Banking Transparency,64
ea50cb61-619e-11e7-2249-001dd8b721ea,Organization - Management of regulations and business processes,232
08226101-619d-11e7-2249-001dd8b721ea,Accounts and Deposits - Current Accounts,17
4699a191-619e-11e7-2249-001dd8b721ea,Cybersecurity and BC Services - Trust Services Management,141
af605752-6dee-11e7-7823-00155d86fd3a,Own Account Finance - Clearing,241
311e1580-866a-11e7-2249-001dd8b721ea,Market Risk - Generic Position Risk,221
33c333c1-619d-11e7-2249-001dd8b721ea,"Abroad - Documented remittances, receipts, export documents",0
c0961331-619d-11e7-2249-001dd8b721ea,Collections and Payments - Pensions,41
0104de01-619f-11e7-2249-001dd8b721ea,Human Resources - Management of Financial Advisors Employees qualified for Door-to-Door Offerings,174
cda79f60-dad3-11e9-4b37-001dd8b72a50,Balance sheet and Pillar III - Prudential Disclosure,28
e3308c41-2528-11e9-2249-001dd8b721ea,Credit Monitoring - Credit Cost Monitoring,108
ecef3971-619d-11e7-2249-001dd8b721ea,Administrative Processes - Authorizations and trespassing,24
9b9cb340-a125-11e8-2249-001dd8b721ea,Management of Impaired Credit - Management of assets acquired at auction,208
48a31b41-61a0-11e7-2249-001dd8b721ea,Non-Performing Loan Management - Bad Loan Management,224
df6c5fe1-61a1-11e7-2249-001dd8b721ea,Cybersecurity and BC Governance - Business Continuity Solutions,130
14ea5248-a388-11e7-2249-001dd8b721ea,Leasing - Leasing Financing Administration,191
5def2451-619e-11e7-2249-001dd8b721ea,Collections and Payments - Treasury institutions,43
19e8de11-61a1-11e7-2249-001dd8b721ea,Outsourcing - Evaluation and Monitoring of Outsourcing,237
22965311-61a3-11e7-2249-001dd8b721ea,Loans - Passive subrogations,204
3861c221-619d-11e7-2249-001dd8b721ea,Portfolio - Advance on Italian invoices,277
3ac1e370-9d4c-11e7-2249-001dd8b721ea,Loans - Fulfillments for facilitation purposes - Financing Bank,199
093cadd1-61a1-11e7-2249-001dd8b721ea,Data Governance - Data Quality,143
9fd3aae7-4050-11e7-2688-00101818ed80,Strategies - Study and research management,336
55d13331-619e-11e7-2249-001dd8b721ea,"Development of Products, Services and Commercial Agreements - New products, services and activities intended for a specific Customer Target",147
048e2bd1-619f-11e7-2249-001dd8b721ea,Litigation and Legal Advice - Management of legal advice - International financial contracts,196
fb339171-619d-11e7-2249-001dd8b721ea,Administrative Processes - Internal and external correspondence,26
6103efa2-4087-11e7-2688-00101818ed80,Taxation - Tax Consolidation,343
a9101521-619e-11e7-2249-001dd8b721ea,Non-life business - Protection policies - Assets and People,226
0f1a6460-3f9e-11e7-2688-00101818ed80,Concession - Individuals - Subsidized loans to Intesa Sanpaolo Group Employees,75
4d1aaec1-61a2-11e7-2249-001dd8b721ea,Concession - Private - Credit lines and other loans,79
35d1abf1-619e-11e7-2249-001dd8b721ea,Access Services to Digital Channels - Other Digital Services intended for Legal Persons,5
dec2af31-619d-11e7-2249-001dd8b721ea,"Product Development, Services and Commercial Agreements - Agreements with third parties for the offer of services to customers",283
64b5adb1-619c-11e7-2249-001dd8b721ea,"Mandatory Fulfillments - Bank, Fiscal and Insolvency Assessments",213
002e6e04-accf-11e7-2249-001dd8b721ea,Leasing - Asset Leasing Management,190
c30e85e1-61a0-11e7-2249-001dd8b721ea,Own Account Finance - Market Rate Contribution,248
0f4fa931-61a0-11e7-2249-001dd8b721ea,Taxation - Stamp duty,342
dd4c4661-619e-11e7-2249-001dd8b721ea,Compliance Management - Regulatory management Safety at work,62
a29d1bcf-3ae0-11e7-2688-00101818ed80,Credit Risk Mitigation - Mortgage Guarantees,119
2835d381-619f-11e7-2249-001dd8b721ea,Cybersecurity and BC Governance - Maintenance of Business Continuity Plans and IT Security,134
21a50412-660e-11eb-60ce-001dd8b72a56,Cybersecurity and BC Governance - Third Party Security,136
16718711-61a0-11e7-2249-001dd8b721ea,Taxation - VAT,345
8ef521e1-2528-11e9-2249-001dd8b721ea,Strategies - Recovery Plan,335
f89fd1c1-619e-11e7-2249-001dd8b721ea,Market Risk - Counterparty Risk,220
d5400bb1-61a2-11e7-2249-001dd8b721ea,"Corporate governance and corporate obligations - Corporate bodies, corporate governance and corporate obligations",94
e3fba8d1-619d-11e7-2249-001dd8b721ea,Compliance Management - Management of the regulatory environment Issuers' legislation,54
cd025a61-619e-11e7-2249-001dd8b721ea,Compliance Management - Management of the Anti-Money Laundering and Countering the Financing of International Terrorism,49
6f6f3141-619c-11e7-2249-001dd8b721ea,Mandatory Fulfillments - Dormant relationships,215
8ab5cab1-61a4-11e7-2249-001dd8b721ea,Banking Book Financial Risk - Equity Risk,29
dc01c204-fe6a-11e6-2688-00101818ed80,Counter Services - Cash Management,98
b5baba51-619e-11e7-2249-001dd8b721ea,Credit databases - Balance sheets,122
f2e88fe0-f44f-11e6-2688-00101818ed80,Taxation - Corporate Taxation,339
15333021-619f-11e7-2249-001dd8b721ea,Financial Products and Services - Transfer of Financial Instruments,162
f2b33f91-619e-11e7-2249-001dd8b721ea,Pricing and Market Models - Management of market models and data,281
3b7e19c6-2446-11e7-2688-00101818ed80,Non-life business - Protection policies - Loans,227
f50167ed-6df3-11e7-7823-00155d86fd3a,Own Account Finance - Covered Warrant Issues,243
da527f7c-fc6b-11e8-2249-001dd8b721ea,Physical Security - Infophysics,270
b2b900d2-d351-11e7-2249-001dd8b721ea,Reports - AnaCredit Reports,305
9b4b4d61-619e-11e7-2249-001dd8b721ea,Taxation - Withholding agent taxation,346
399c2c01-619f-11e7-2249-001dd8b721ea,Service Operation - Problem Management,319
71c3c8ac-8cce-11eb-43a8-001dd8b72a55,Finance Master Data and Settings - Finance Systems Configurations,150
14a29e01-61a1-11e7-2249-001dd8b721ea,Compliance Management - Regulatory Management Privacy Protection,59
a01c2471-61a0-11e7-2249-001dd8b721ea,Own Account Finance - Repo,251
81105872-f2c5-11e6-2688-00101818ed80,Financial Products and Services - Securities Lending to Customers,161
78ae4006-31b4-11e8-2249-001dd8b721ea,Own account finance - Direction and coordination of treasury activities - ALM,255
98f76af1-61a1-11e7-2249-001dd8b721ea,Own Account Finance - Management of Payment Systems,247
c6b9ec91-619e-11e7-2249-001dd8b721ea,Credit Risk Mitigation - Guarantees and Letters of Patronage,117
8b291831-619f-11e7-2249-001dd8b721ea,Accounting - Accounting Finance,8
95cd4b31-5a9f-11e9-2249-001dd8b721ea,Institutional Relations and External Communication - Social Enhancement and Relations with Universities,187
4b757fb1-61a1-11e7-2249-001dd8b721ea,Service Operation - Incident Management,318
f9c1e121-3a35-11e7-2688-00101818ed80,Managed Savings - Asset Management Mandates,206
3c32aad1-619e-11e7-2249-001dd8b721ea,Credit databases - Groups of Connected Customers,124
6c876be1-61a2-11e7-2249-001dd8b721ea,Concession - Private individuals - Assignment of the fifth and TFS advance,81
82e3ac71-61a0-11e7-2249-001dd8b721ea,Data Governance - Reporting Management,144
3e54b7c0-5a5c-11e7-2688-00101818ed80,Customer Relationship Management - Value Together - Service Management,129
581569c6-c874-11e8-2249-001dd8b721ea,Human Resources - Management of Personnel who provide Investment Services,176
dee42f01-619f-11e7-2249-001dd8b721ea,Own Account Finance - Asset and Liability Management Rate Management,239
f50167c2-6df3-11e7-7823-00155d86fd3a,Corporate Finance - Debt Capital Markets,86
802a54d0-1781-11eb-43a8-001dd8b72a55,Management of Performing Credit under Monitoring - Management of SME Retail Positions,211
262c4e26-1e8a-11eb-60ce-001dd8b72a56,Credit Assignment - Loan Stock Disposal - Single Name Assignment of Performing Loans,107
3c630241-61a1-11e7-2249-001dd8b721ea,Compulsory Fulfillments - Single Justice Fund,66
1bb798a0-b93e-11eb-43a8-001dd8b72a55,Strategies - Internal Capital and Liquidity Adequacy Assessment Process (ICAAP and ILAAP),334
f2d49fb1-619d-11e7-2249-001dd8b721ea,Accounting - Operating losses and contingencies,14
