controlGUID,controlCategory,control,controlID,controlType
c4b10d3d-0b9d-11ea-6ab0-001dd8b72a56,Other,Verify the correctness of the amounts,3609,Manual
9862494b-bcfc-11ea-4b37-001dd8b72a50,Other,Verify the complete communication of the ROs on FT 416,3004,Manual
4f5be012-3032-11e9-2249-001dd8b721ea,Professional,Verify the proposed resolution out of autonomy,3984,Manual
c4b10d1b-0b9d-11ea-6ab0-001dd8b72a56,Other,Verify the consistency of the provisions,3127,Manual
4649c8f0-1b38-11e9-2249-001dd8b721ea,Other,Check the completeness/update of the supporting documentation,1063,Manual
c441c9a0-041a-11ed-43a8-001dd8b72a55,Other,Verify the correct registration of resolutions in the system,3461,Manual
6df68cb4-02a3-11e9-2249-001dd8b721ea,Other,Verify congruence of the repayment plan,2356,Manual
edc6ddc0-0419-11ed-43a8-001dd8b72a55,Other,Verify the correct identification of the Deliberating Body,3392,Manual
29a119af-2edb-11e9-2249-001dd8b721ea,Other,Check the proposed provision or disbursement to the Provision for Risks and Miscellaneous Charges,1553,Manual
831df7d5-3035-11e9-2249-001dd8b721ea,Professional,Verify the proposed resolution out of autonomy,3984,Manual
08ce327c-0b7d-11ea-6ab0-001dd8b72a56,Other,Verify the correct attribution,3251,Manual
022b3200-30ea-11df-23a9-00505682243b,Other,Evaluate the adequacy of the amounts,1812,Manual
ea4aa302-33b1-11eb-60ce-001dd8b72a56,Other,Check for tape waste,605,Manual
1223763b-3284-11df-23a9-00505682243b,Other,Check the reported anomalies,1597,Semi-automatic
23f3b474-655d-11eb-43a8-001dd8b72a55,Operational,Check,273,Manual
588b25f2-97ae-11eb-43a8-001dd8b72a55,Operational,Oversee the risk of incorrect and/or incomplete accounting of commissions,1990,Manual
4cc35de2-823d-11eb-60ce-001dd8b72a56,Operational,Check highlighted Black Listed callsign,646,Manual
7b707916-655b-11eb-43a8-001dd8b72a55,Operational,Check,273,Manual
5bfbad1f-4007-11e9-2249-001dd8b721ea,Other,Monitor market parameters,1914,Semi-automatic
b826bd0c-38ea-11e9-2249-001dd8b721ea,Other,Carry out quality controls,206,Semi-automatic
b826bd00-38ea-11e9-2249-001dd8b721ea,Other,Carry out technical checks,218,Semi-automatic
c1e8c1a4-4987-11e9-2249-001dd8b721ea,Operational,Verify decision-making powers,2575,Manual
02e0c4fd-9bde-11e8-2249-001dd8b721ea,Operational,Verify system evaluation correctness,2746,Manual
c1e8c1bd-4987-11e9-2249-001dd8b721ea,Operational,Check proposal out of autonomy,725,Manual
841573ee-8e7f-11e9-2249-001dd8b721ea,Operational,Validate the correction proposal,2159,Manual
84157406-8e7f-11e9-2249-001dd8b721ea,Operational,Check the completeness/update of the supporting documentation,1063,Manual
b0334b6b-df0d-11e7-2249-001dd8b721ea,Other,Check that the TEG has been checked,775,Manual
5513ce72-32cc-11ea-6ab0-001dd8b72a56,Operational,Verify the correctness and adequacy of the covenant in the contract,3526,Semi-automatic
20376550-8bcc-11e7-2249-001dd8b721ea,Other,Verify the correct acquisition of the contractual scheme and related signatures,3179,Manual
232c7329-8bd5-11e7-2249-001dd8b721ea,Other,Verify and certify the consistency of the economic conditions indicated in the Contract with what is present in the System,2248,Manual
222091bc-df35-11e7-2249-001dd8b721ea,Other,Check the acquired documentation,899,Manual
bc7ef3f1-055f-11ea-4b37-001dd8b72a50,Other,Verify the correct inclusion of the covenants in the contract,3404,Manual
20376522-8bcc-11e7-2249-001dd8b721ea,Other,Check draft contracts,468,Manual
b401ffb8-4997-11e9-2249-001dd8b721ea,Operational,Verify reports with cost items,2722,Manual
17570687-4a27-11e9-2249-001dd8b721ea,Operational,Check passage to loss,707,Manual
e2211e7f-a15a-11e8-2249-001dd8b721ea,Professional,Verify the correctness of the authorization competence,3617,Manual
17570679-4a27-11e9-2249-001dd8b721ea,Operational,Check chargeback of costs,366,Manual
977347e8-4a29-11e9-2249-001dd8b721ea,Operational,Verify correct transposition into the system,2500,Manual
1757069b-4a27-11e9-2249-001dd8b721ea,Operational,Check list of positions for accrual of expenses,677,Manual
2fdc9ee2-6f61-11ea-1911-001dd8b72a55,Other,Verify the correct import of data in the COREP-Tagetik Package,3399,Semi-automatic
f7777c38-b78f-11e9-4b37-001dd8b72a50,Other,Verify the correct processing of flows,3442,Manual
8a117a80-6f66-11ea-1911-001dd8b72a55,Other,Verify the correctness and completeness of the Group Solvency data entered in the system,3532,Manual
5f25c3b5-6f62-11ea-1911-001dd8b72a55,Other,Check that the data has been loaded correctly,804,Manual
d5c4677b-6f65-11ea-1911-001dd8b72a55,Other,Verify the consistency of the GB/OV1 package with what is present in the COREP-Tagetik phase,3095,Manual
f779ed20-b78f-11e9-4b37-001dd8b72a50,Other,Check that the data has been entered correctly,803,Manual
f7777c0e-b78f-11e9-4b37-001dd8b72a50,Other,Check the correctness of the data,1259,Semi-automatic
e3327fa8-683e-11ea-1911-001dd8b72a55,Other,Check that the data has been entered correctly,803,Manual
071d15dd-6f68-11ea-1911-001dd8b72a55,Other,Verify the correct compilation of Form 5B,3282,Manual
ed6a4999-6f64-11ea-1911-001dd8b72a55,Other,Check the correctness of the entered data,1275,Manual
f7777c17-b78f-11e9-4b37-001dd8b72a50,Other,Check that the data has been entered correctly,803,Manual
071d15fe-6f68-11ea-1911-001dd8b72a55,Other,Verify correct data integration,2442,Manual
f779ed1d-b78f-11e9-4b37-001dd8b72a50,Other,Check for evidence of processing,571,Semi-automatic
f7777c3b-b78f-11e9-4b37-001dd8b72a50,Other,Check for evidence of processing,571,Semi-automatic
f7750b17-b78f-11e9-4b37-001dd8b72a50,Other,Check that the data has been sent,805,Manual
8a117a62-6f66-11ea-1911-001dd8b72a55,Other,Verify the correctness and completeness of the Full Standard data entered in the system,3531,Manual
825d0eb1-6f68-11ea-1911-001dd8b72a55,Other,Check the correct compilation of Form 8,1169,Semi-automatic
7144f28b-6f67-11ea-1911-001dd8b72a55,Other,Verify the correct compilation of Form 5A,3281,Manual
14d00963-0232-11ea-4b37-001dd8b72a50,Other,Verify the complete fulfillment of the reliefs,3005,Manual
92e664ed-e11b-11e9-6ab0-001dd8b72a56,Other,Check that the data has been entered correctly,803,Manual
ed6a49b1-6f64-11ea-1911-001dd8b72a55,Other,Check the data of the COREP-Tagetik Package,1361,Semi-automatic
b570db95-6f5f-11ea-1911-001dd8b72a55,Other,Verify the correctness of the Excess or shortfall data,3580,Semi-automatic
b570db9b-6f5f-11ea-1911-001dd8b72a55,Other,Verify the correct import of data in the COREP-Tagetik Package,3399,Semi-automatic
b570db98-6f5f-11ea-1911-001dd8b72a55,Other,Check the correctness of the IP Losses data,1239,Semi-automatic
b570db9e-6f5f-11ea-1911-001dd8b72a55,Other,Verify the correctness of the Geographical Breakdown data,3582,Semi-automatic
b570db92-6f5f-11ea-1911-001dd8b72a55,Other,Check the data relating to Credit Value Adjustment for Companies with internal models,1368,Manual
cc2b58e0-54ec-11eb-275f-001dd8b72a50,Other,Verify that the Calendar Provisioning data is correct,2775,Semi-automatic
5f25c394-6f62-11ea-1911-001dd8b72a55,Other,Verify the correctness of the Own Funds data entered in the system,3586,Manual
7144f29d-6f67-11ea-1911-001dd8b72a55,Other,Check the correct compilation of the file required for Template C14,1174,Manual
2c24e6f3-7084-11e8-2249-001dd8b721ea,Operational,Check the correctness of the data,1259,Manual
9190fefe-bd8c-11e8-2249-001dd8b721ea,Operational,Cross reference aggregated data with accounting data,1785,Manual
2c24e6e3-7084-11e8-2249-001dd8b721ea,Operational,Check the adequacy of the received data,914,Manual
e04bd352-1158-11e8-2249-001dd8b721ea,Operational,Check the correctness of the payments,1290,Manual
0bbaa5be-17e2-11e9-2249-001dd8b721ea,Operational,Verify the correspondence of the amount,3825,Manual
2c24e6d3-7084-11e8-2249-001dd8b721ea,Operational,Check the completeness of the prospectuses received,1053,Manual
841d1197-c2b8-11ea-1911-001dd8b72a55,Operational,Verify correctness of invoices,2534,Manual
f6cbbde1-486f-11ec-60ce-001dd8b72a56,Operational,Carry out the fulfilments foreseen in terms of AML/CTF or Countering the Financing of Terrorism,231,Manual
f6cbbdc6-486f-11ec-60ce-001dd8b72a56,Operational,Carry out checks on AML/CTF or Countering Terrorism Financing,145,Manual
ea86f76b-a752-11e7-2249-001dd8b721ea,Other,Check,273,Manual
60ca3b09-eb06-11ec-275f-001dd8b72a50,Operational,Tick the entered data,2136,Manual
6c16dccd-70d6-11e8-2249-001dd8b721ea,Other,Verify correct input of data,2470,Manual
6c16dcdc-70d6-11e8-2249-001dd8b721ea,Other,Verify correct input of data,2470,Manual
bc05cb01-9132-11ea-1911-001dd8b72a55,Operational,Carry out the fulfilments foreseen in terms of AML/CTF or Countering the Financing of Terrorism,231,Manual
bc05caff-9132-11ea-1911-001dd8b72a55,Operational,Carry out checks on AML/CTF or Countering Terrorism Financing,145,Manual
efeaabae-acb9-11e6-2688-00101818ed80,Operational,Check,273,Manual
91cc0746-5bf7-11ec-60ce-001dd8b72a56,Operational,Check the load of documentation,1482,Manual
18183a45-a751-11e7-2249-001dd8b721ea,Other,Check,273,empty
b9629a15-784b-11ec-275f-001dd8b72a50,Operational,Tick the entered data,2136,Manual
75646990-1455-11e7-2688-00101818ed80,Other,Verify the correspondence of the data,3827,Manual
ffa4f9ae-145f-11e7-2688-00101818ed80,Other,Check the conformity of the signature affixed,1078,Semi-automatic
0068e346-fbbf-11e9-4b37-001dd8b72a50,Other,Check anomaly resolution,342,Semi-automatic
d9e12413-365a-11ec-275f-001dd8b72a50,Other,Verify the results of the merit checks,4009,Semi-automatic
c2eb6329-814a-11e9-2249-001dd8b721ea,Other,Verify the results of the merit checks,4009,Semi-automatic
16fa27e4-cabf-11ec-275f-001dd8b72a50,Operational,Check the data of the operation,1363,Manual
1cb9d4fc-e517-11e9-6ab0-001dd8b72a56,Other,Check the completeness and consistency of the uploaded data,1000,Automatic
e452f7c2-e514-11e9-6ab0-001dd8b72a56,Other,Verify the consistency of the reporting flow in ITS EBA format and carry out performance checks,3131,Semi-automatic
2ff93dbf-e518-11e9-6ab0-001dd8b72a56,Other,Please check the submission for completeness and correctness,2026,Semi-automatic
888e92d0-e520-11e9-6ab0-001dd8b72a56,Other,Verify the complete fulfillment of the reliefs,3005,Semi-automatic
d5ac19f8-0c68-11eb-60ce-001dd8b72a56,Operational,Check data and automatic counts,430,Manual
2e3c7490-0c6b-11eb-60ce-001dd8b72a56,Other,Verify the completeness and correctness of the manual printout,3028,Manual
2e3c7482-0c6b-11eb-60ce-001dd8b72a56,Operational,Verify the completeness and correctness of the semi-automatic report,3031,Manual
c1be33a1-0c8a-11eb-60ce-001dd8b72a56,Operational,Carry out accounting ledger reconciliation,131,Manual
c8089c56-0c95-11eb-60ce-001dd8b72a56,Operational,Verify the reconciliation between the procedure archive and the accounting ledger,3996,Semi-automatic
c8089c48-0c95-11eb-60ce-001dd8b72a56,Operational,Check the amount of contributions collected,929,Semi-automatic
c8089c65-0c95-11eb-60ce-001dd8b72a56,Operational,Verify that the data in the procedure correspond to those present in the masters,2815,Semi-automatic
25f6b1c0-5ed8-11e6-2688-00101818ed80,Other,Verify counterparty and if the transaction is of greater significance,2552,Manual
6153408e-5ee0-11e6-2688-00101818ed80,Other,Verify decision-making competence,2574,Manual
d35d487a-89a3-11e7-2249-001dd8b721ea,Other,Check the communication and the attached documentation,981,Manual
f830f48d-89a0-11e7-2249-001dd8b721ea,Other,Check the documentary evidence,1394,Manual
a0b766d1-bd99-11e8-2249-001dd8b721ea,Other,Check the completeness and correctness of the documentation received,1008,Manual
4e76e1f0-d4e6-11e7-2249-001dd8b721ea,Other,Check the correctness of the documentation,1271,Manual
4e76e1fe-d4e6-11e7-2249-001dd8b721ea,Other,Check the documentation Doc. in support,1395,Manual
4645311f-56c0-11e9-2249-001dd8b721ea,Other,Check the completeness and correctness of the documentation,1007,Manual
24130397-56c6-11e9-2249-001dd8b721ea,Other,Check the completeness and correctness of the documentation,1007,Manual
cbec3622-de2a-11eb-275f-001dd8b72a50,Other,Reconcile the payments of tax codes 1239 and 1241,2071,Manual
1b9ba002-de3c-11eb-275f-001dd8b72a50,Other,Verify correct zeroing of masters,2513,Manual
713255a6-de31-11eb-275f-001dd8b72a50,Other,Verify correct zeroing of masters,2513,Manual
8b63bc43-de3e-11eb-275f-001dd8b72a50,Other,Verify correct accounting,2390,Manual
8b63bc46-de3e-11eb-275f-001dd8b72a50,Other,Check the correctness of the payments,1290,Manual
152a06b0-de39-11eb-275f-001dd8b72a50,Other,Balance the payments,100,Manual
2ddf86e5-d922-11e9-4b37-001dd8b72a50,Other,Verify the consistency of the Capital Plan projections with respect to the economic and financial projections,3093,empty
fa8a01a7-d920-11e9-4b37-001dd8b72a50,Other,Verify the alignment of the capital indicators with the reporting data,2947,empty
2ddf86f6-d922-11e9-4b37-001dd8b72a50,Other,Verify the consistency of the capital adequacy indicators with the RAF limits,3103,empty
23b28ae4-5cf1-11ec-275f-001dd8b72a50,Professional,Check the compilation of the summary report,986,Semi-automatic
395a80a2-2a43-11eb-275f-001dd8b72a50,Operational,Verify and archive the documentation produced,2242,Manual
ec1ba898-5d82-11ec-275f-001dd8b72a50,Professional,Verify the accounting of the collected contributions,2929,Semi-automatic
404e1321-7e98-11ec-60ce-001dd8b72a56,Other,Verify accounting balances,2216,Manual
d1bb21ef-29ba-11eb-275f-001dd8b72a50,Operational,Reconcile account balances,2059,Semi-automatic
e431d759-5cf4-11ec-275f-001dd8b72a50,Professional,Verify entry in accounting,2592,Semi-automatic
cd287aa6-29ba-11eb-275f-001dd8b72a50,Operational,Check balance of balances,347,Manual
ee382264-5cf2-11ec-275f-001dd8b72a50,Professional,Verify the correct accounting of the pending,3171,Semi-automatic
27d12a30-c233-11e8-2249-001dd8b721ea,Other,Verify the concrete implementation of the precautions to which the favorable opinion is subject,3064,empty
1a76cc0a-ebd3-11e8-2249-001dd8b721ea,Other,Check registration in Limited Information List,733,empty
ec314a9f-ed75-11e8-2249-001dd8b721ea,Other,Verify Insider List subscription,2195,empty
5fe51f36-bcd4-11e8-2249-001dd8b721ea,Other,Check Specify relevant information,295,empty
5fe51f3c-bcd4-11e8-2249-001dd8b721ea,Other,Check that the correct type of List has been identified,796,empty
5039fc10-ba78-11e9-1911-001dd8b72a55,Other,Check the completeness of the names,1048,empty
1a76cbf1-ebd3-11e8-2249-001dd8b721ea,Other,Verify enrollment in Watch List,2591,empty
5fe51f22-bcd4-11e8-2249-001dd8b721ea,Other,Verify subscription to the Insider List,2739,empty
5039fc26-ba78-11e9-1911-001dd8b72a55,Other,Check the completeness of the names,1048,empty
83cffb49-ec04-11e8-2249-001dd8b721ea,Other,Check identification of the correct type of List,647,empty
1a76cbe8-ebd3-11e8-2249-001dd8b721ea,Other,Check List,285,empty
83cffb35-ec04-11e8-2249-001dd8b721ea,Other,Verify Limited Information List entry,2196,empty
5039fc1b-ba78-11e9-1911-001dd8b72a55,Other,Check the completeness of the names,1048,empty
1a76cbfc-ebd3-11e8-2249-001dd8b721ea,Other,Verify identification of the correct type of List,2618,empty
e03b9dd1-ec12-11e8-2249-001dd8b721ea,Other,Verify correct identification of the List,2462,empty
d139a530-87d2-11eb-275f-001dd8b72a50,Other,Verify the correct closure of PVs in contra entry to the Service Account,3276,Manual
50ba2000-87ce-11eb-275f-001dd8b72a50,Other,Check the correct closure of the PVs,1168,Manual
0cfa58a0-87d1-11eb-275f-001dd8b72a50,Other,Verify correct conversion into Euros,2435,Manual
3b2b16e3-1540-11e8-2249-001dd8b721ea,Other,Verify the correct closing of the Service Account and of the Miscellaneous Items in exchange for the settlement current account,3275,Manual
ee4a0a0d-1540-11e8-2249-001dd8b721ea,Other,Verify the correct transfer of the Service Account and Miscellaneous Non-Performing Items,3488,Manual
7f79ae2b-c23b-11e8-2249-001dd8b721ea,Other,Monitor the operations carried out by the supervisee in financial instruments of OTC Derivatives,1951,empty
583d9ab2-f1d1-11e6-2688-00101818ed80,Other,Check data availability,431,Manual
4c7bd380-efa3-11e6-2688-00101818ed80,Other,Verify the report in the final format,4007,Manual
44c5f61e-edfa-11e6-2688-00101818ed80,Other,Check the contributions prepared,1147,Manual
5b3ab04e-d675-11e7-2249-001dd8b721ea,Other,Verify the formal correctness of the report,3904,Manual
44c5f610-edfa-11e6-2688-00101818ed80,Other,Verify the correctness of the contribution,3652,Manual
cfafce47-4b58-11e7-2688-00101818ed80,Other,Check data availability,431,Manual
3b1eed80-deaa-11e9-4b37-001dd8b72a50,Other,Check the correctness and completeness of the documentation,1225,empty
b2b6d182-d342-11eb-275f-001dd8b72a50,Operational,Verify correct accounting,2390,Manual
1788eb50-5ce7-11e8-2249-001dd8b721ea,Other,Monitor and check for unprocessed requests,1895,Manual
8a884ac6-16f1-11ec-43a8-001dd8b72a55,Operational,Check that the entered data is correct,816,Manual
ff53add4-16f7-11ec-43a8-001dd8b72a55,Operational,Send emails to your structure mailbox for subsequent forwarding to the custodian,2098,Manual
9dcab842-a475-11ec-275f-001dd8b72a50,Operational,Verify the congruence of the metal to be delivered,3071,Manual
06eaf212-5ab2-11e9-2249-001dd8b721ea,Other,Check the completeness of the models to be sent to the EIB,1047,Manual
64582204-ec01-11e8-2249-001dd8b721ea,Professional,Check the amounts,934,Manual
516fcd22-feb4-11e8-2249-001dd8b721ea,Operational,Verify the implementation of the actions ordered and subsequently their effectiveness,3911,empty
516fcd17-feb4-11e8-2249-001dd8b721ea,Operational,Check criteria for requesting assessment to GRe.CIM/Local CSIRT,418,empty
66ebbffc-2821-11eb-275f-001dd8b72a50,Other,Verify correct management system alignment,2479,empty
88451508-2da3-11eb-43a8-001dd8b72a55,Other,Verify authorization based on the Management Autonomy Faculties,2281,Manual
ee603cf0-2819-11eb-275f-001dd8b72a50,Other,Carry out checks on the consistency of the assignment and on the applicant,152,empty
31b11f84-2823-11eb-275f-001dd8b72a50,Other,Verify correct management system alignment,2479,empty
88451520-2da3-11eb-43a8-001dd8b72a55,Other,Verify authorization based on the Management Autonomy Faculties,2281,Manual
383ee056-3338-11e8-2249-001dd8b721ea,Operational,Verify that the update has taken place,2878,Manual
9256857b-495e-11ec-60ce-001dd8b72a56,Other,Verify the correct and complete compilation of the form,3210,Manual
7cf6b840-495e-11ec-60ce-001dd8b72a56,Other,Verify the correct and complete compilation of the form,3210,Manual
7cf6b84e-495e-11ec-60ce-001dd8b72a56,Other,Check the contents of the confidentiality agreement,1136,Manual
6b0a3d1d-02b5-11e9-2249-001dd8b721ea,Other,Verify that the installments have been collected,2834,Manual
2ae2e680-1416-11e9-2249-001dd8b721ea,Other,Verify the correct execution of the activities,3363,Manual
0e9cb7bf-e76b-11ea-6ab0-001dd8b72a56,Operational,Carry out the fulfilments foreseen in terms of AML/CTF or Countering the Financing of Terrorism,231,Manual
0e9cb7b9-e76b-11ea-6ab0-001dd8b72a56,Operational,Carry out checks on AML/CTF or Countering Terrorism Financing,145,Manual
39ce7b8a-e798-11ea-1911-001dd8b72a55,Operational,Check the correctness and consistency of the data entered,1236,Manual
9a5ea0d4-af75-11ec-60ce-001dd8b72a56,Operational,Check the correctness and consistency of the data entered,1236,Manual
c9eb1e98-0176-11eb-43a8-001dd8b72a55,Other,Check the actual income from commissions and expenses,905,Manual
397cea5a-90b9-11ec-60ce-001dd8b72a56,Operational,Check the correctness and consistency of the data entered,1236,Manual
397cea44-90b9-11ec-60ce-001dd8b72a56,Operational,Carry out checks on AML/CTF or Countering Terrorism Financing,145,Manual
397cea48-90b9-11ec-60ce-001dd8b72a56,Operational,Carry out the fulfilments foreseen in terms of AML/CTF or Countering the Financing of Terrorism,231,Manual
27d8a350-e6cb-11ea-6ab0-001dd8b72a56,Operational,Carry out checks on AML/CTF or Countering Terrorism Financing,145,Manual
3f0b7b8c-e6ce-11ea-6ab0-001dd8b72a56,Other,Verify the operation in the case of petroleum products and petrochemicals,3938,Manual
27d8a354-e6cb-11ea-6ab0-001dd8b72a56,Operational,Carry out the fulfilments foreseen in terms of AML/CTF or Countering the Financing of Terrorism,231,Manual
f4cb0c2a-e77c-11ea-6ab0-001dd8b72a56,Operational,Carry out the fulfilments foreseen in terms of AML/CTF or Countering the Financing of Terrorism,231,Manual
f4cb0c26-e77c-11ea-6ab0-001dd8b72a56,Operational,Carry out checks on AML/CTF or Countering Terrorism Financing,145,Manual
b2faa3d4-8042-11ec-60ce-001dd8b72a56,Operational,Check the correctness and consistency of the data entered,1236,Manual
0ead5ac6-229b-11ec-43a8-001dd8b72a55,Other,Check the completeness and correctness of the data provided,1004,
01ad5e18-22a5-11ec-43a8-001dd8b72a55,Other,Check the completeness/correctness of the data provided,1060,
5f087f08-21f1-11ec-275f-001dd8b72a50,Operational,Verify the correct compilation of the template for the part of your competence,3294,
5f087efb-21f1-11ec-275f-001dd8b72a50,Operational,Check the completeness and consistency of the template compilation,999,
7b12249e-2299-11ec-43a8-001dd8b72a55,Other,Check the success of sending the template to the Bank of Italy,1661,
c06ef89a-d03d-11e7-2249-001dd8b721ea,Other,Verify ownership of the property,2654,Manual
984ed29e-8816-11e7-2249-001dd8b721ea,Other,Verify accounting data,2219,Manual
9e3bb2cd-8816-11e7-2249-001dd8b721ea,Other,Check formal requirements of the contract,641,Manual
9e3bb2c7-8816-11e7-2249-001dd8b721ea,Other,Verify correct insertion,2471,Manual
c754f160-303a-11e9-2249-001dd8b721ea,Other,Carry out checks for IFRS16 purposes,141,Manual
9d605747-1e91-11eb-43a8-001dd8b72a55,Other,Verify payment,2656,Manual
