application,applicationID
FENICS-Front End New Securitisations for Reporting,697
Eclipse,666
Pelican,1400
Message Brokers,1179
Safewatches,1653
Counter Authorization functions,436
Inbiz Trade Work Station,977
Available for traffic – Tracing of internal correspondence between Structures,198
150809 EENT Foreign Cargo New interface for foreign transactions,30
N650 Management of single positions download values,1220
Document Storage Introduction,572
150809 EM20 Foreign Freight Disbursement message,31
Esteroweb Introduction,673
REGCO Accounting management p.o. regulation,1452
CREVE Dashboard Authorization Events,374
N650 Management of single positions loaded with values,1222
BUY Scan of the documentation,253
DDGEM Mandate management,496
RPC – Customer Product Profitability,1474
INDIGO Corrections,940
MPP Monitor Production Processes,1148
MPPX0 – Production Process Monitor,1149
RDB - New Group Profitability,1447
Data Quality Dashboard ISBs,552
Plus BdT Commercial and Management Information Portal,1406
KWSC Product customer profitability,1037
CDM – Customer Data Management – Number machine.,313
CLIP Customer card,333
BdT Group CdG Dashboard,270
CIB dashboard,327
BFD - Data Lake/SSC Anonymization,207
ISPAD - Graphometric Signature,964
WEBCARDS Reprints,1832
WEBCARDS,1830
ZAFI Debit Cards anonymous card delivery,1891
ZAFI Products SETEFI Booklet Paper Delivery to Warehouse,1909
J6TP CAI operational functions,1001
WFM console for FOL and BO,1834
ESTEROWEB Financing,638
PL PriceLab PriceRange,1366
ESTEROWEB EANFI,636
PRICE Conditions,1378
InBiz Dashboard divestment and assignment of credit,974
EV20 Exposure Rates and other conditions,658
CANT Dashboard Advances,293
EXAC Accounting abroad,661
ETRE - Inquiry and Variation of Back Office contracts,655
EANFI Document Management,600
Price Home Page,1417
ETRE - Inquiry and Variation of Network contracts,656
EEMO Exhibition of Foreign Movements,618
BUY Processing of GELAV transaction provisions,252
NJ00 Customer Information System – SICLI,1237
COCOM Copies of Communications sent to the Client,354
Traceability module Embargo control/AML CFT,1766
SEC0 Price information system,1606
Current Accounts and Savings Deposits,477
GarWatch,850
PEF Small Business and Private Loans Electronic Practice,1348
SCI New general accounting,1604
Report Manager,1503
CMOD Printout Management,348
Business Objects,280
150640 - A000-Finance Area,21
ZAFI Credit Cards Company card extinction,1887
WEBCARD Extinction,1824
ZAFI Credit Cards Company Unblocking,1886
WEBCARD Block and unblock card,1823
ZAFI Credit Cards Blocking Company,1881
DECORATE,501
151430 - CMLT-Informative procedure,39
WORLD CHECK,1843
"Watch, List",1846
LAPE Reservation of account extinction,1044
SISCO Accounting management p.o. accommodations,1621
ESTEROWEB Provisions pending,646
FLAG Specific procedure for accounts with specific operations,718
ABC/IDEA OTC derivatives,118
FLAG Activation Variation Integration and Query Contracts,713
ESTEROWEB Automatic operations,633
SIRE - Central Management/Foreign Network,1616
MO99 Non-performing loans,1120
Policies - Intesa Sanpaolo Agents4You,1409
Monitoring Tools,1191
Cyphon,485
Finance Area,746
N600 Reservation of banknotes and coins remittance,1211
Target Counter Guide for operators,1749
Banknote dashboard L2 - L3,267
NU00 Introduction,1274
SOSCO Accounting management p.o. suspended,1636
Cash dispensers,392
Document archiving Archiving criteria Daily area,575
Wincor pouring equipment,1860
Payment equipment nr,1398
Sigma pouring equipment,1667
BVGT0 ATM Terminal Manager,257
Diebold pouring equipment,564
CREDE Generation of credentials for payments to affiliated customers,371
RDOC0 Tracking and monitoring service Documentation Copy art 119 TUB.,1448
DEBCO Customer debit accounting transactions,500
GETAB Printout Management,789
KQ00 Document Filing - Querying movements (13 CM Report),1034
KQ00 Document Filing - Settlements Query (25 CM Printout),1035
GEMP Management of Precious Metals,779
ARES External resources master data,141
Team,1755
Security incident management infrastructure,1659
LYRIC,1074
150145 - GIC-Credit Lending Management - Anti-Money Laundering Management,4
RdA DSI,1482
ISP Art,962
SAP Attendance and Absence Detection,1534
RU administrative dashboard,1479
External Database Portal Prejudicial News,685
Assign blocks and IJBL alerts,189
MOPLE Problem Loans,1136
SalesForce,1655
MIIR Collection installments,1116
GIC WEB TEG APR simulator,809
CMLT-Suspension of Web Loans,347
155104 GIC Application access,57
Web leasing,1855
MR00 Funct L Postponement of share capital Notice of ABI Municipality and lengthening of duration,1152
GF00 Trust,792
NPAF Advance Invoices - Management of advance invoices for outstanding portfolios - New PMI agreement 2015,1261
PEF Electronic Practice of Regulatory Corporate Credit,1347
PDFCreator,1343
SAP R3 REFX Real estate processes,1578
SAP R/3 Vendor invoices,1556
SAP R3 Contab Gen and Customers Customer master data,1564
Delphi,560
IDOC,911
Group Registry - Map of Groups,873
IJBL Current Accounts Blocks and Evidence,925
PUSP Segments and Portfolio Unified Procedure,1389
Register of Industrial Accounting and Service Contracts-OTI 2.0-Volumes Catalog,1491
Unique Registry of Industrial Accounting and Service Contracts-OTI 2.0-List,1785
Single Registry of Industrial Accounting and Service Contracts-OTI 2.0-Fees Catalog,1672
ONE Concession of Structured Finance Credit,1306
SPPI Test Tool - Credits,1639
OXERO,1313
A000 Order Management,99
Market HUB,1170
Restricted Instrument List Bonds,1510
ANTOT,136
Golden Source,865
Tbricks,1753
Current Accounts IY11 Exposure of movements,473
IRIS WEB Customer Risk Management,957
CrifGate Web Portal Crif EURISC Database,471
155043 TV0D - DTE data management,51
Ce - Report,394
Current Accounts IYA0/IYD0 Mass transactions,475
TaCo Stamp Duty Management,1738
DSO - Cont Ord PRMM,525
R4 Suitability,1441
CSD-RTCE,380
Swift Alliance,1698
ABACO POOL - Asset Collateralization Management,111
SCI New General Accounting for Traveling Items,1602
WEBCARD Questions,1826
PRICE Potential Relationships and MLT Potential Relationships,1383
CoRe Contract Remote Banking Contract Management,415
PowerPoint,1414
Single Registry of Industrial Accounting and Service Contracts-AU Catalogue,1671
SLM Parent Company,1628
Office and Post,1318
RISK - NET INF,1464
Staging Area IML - Liquidity Risk System,1689
Financial Engine (ERMAS),747
INSPIRE Intesa Sanpaolo Integrated Risk Analysis,948
EDWH,616
Orc Trader,1323
Credit lending management,464
Factoring,732
Trade and Export Finance,1768
Price,1416
UNITES,1776
Web tickets,1856
IML Area Reporting,934
Concession of mortgage loans to individuals,422
E-CAM Chamber of Commerce Multibank Information,585
DOCUM - Scanning of identity and corporate documents,510
JURWEB Engine of Decision Making RWA,1014
MOPR0 Mortgage Monitoring Dashboard,1146
GepeWeb,862
ASSPE Foreign currencies shipment of negotiated checks,151
VEPAD Signature management on PAD,1809
VALUC Foreign currencies buying and selling foreign currency,1798
REFERENCE STANDARD SETTLEMENT INSTRUCTION,1451
QS Interface Partitari,1432
Remember INVESTIGATION function,1496
Foreign Application System,751
Mark-It,1169
Telekurs,1756
Interactive Data,989
Euro TLX,675
Italian Stock Exchange,999
BanCs,261
150640 - A000-Securities Administration,22
Synths,1700
INTESAP HR,950
Offsite offer,1319
Athena,192
OGC0 Substitute tax for gross net payers - Forwarding of taxation,1302
SCI New General Accounting Dashboard,1600
TSO extension,1733
GEPSU Management of Succession Procedures,783
Document archiving Archiving criteria Other documentation area,577
A000 IPMS Average price inquiry for succession,90
IJBL Current Accounts and Deposits Operating Blocks,928
A000 GDSP Securities deposit management,73
ZAFI Lock Unlock Card,1893
Manager Dashboard,1168
Cerved,398
Credit Portal Proposal Resolution,457
Loan IQ,1080
Price range,1418
PST - Pricing Securities Tool,1386
Suppliers Portal. Suppliers Register,1695
Single Calendar,1668
Data Copy Request Management,546
Kosmos - DB Registry,1040
IJBL Current Accounts and Reporting Deposits,929
IJBL Current Accounts and Deposits Availability Blocks,926
GEAUT Authorization Event Management,767
SITCO Account Status,1623
GECOdoc Management of Documentation confirmations,773
WMT Web Management Tables,1840
ARF Register of Financial Reports,142
Welfare Hub,1859
FT01 Regulated derivatives,724
"A000 Loading, unloading and compensation management",96
SCI Integrated Accounting System,1596
MCT Target Accounting Model,1105
GEFLU Remote flow management sct,776
SAP R3 Accounting general Suppliers and Customers,1558
Unique Registry of Industrial Accounting and Service Contracts-Registers,1787
ROMO,1472
CAM,289
K-POS,1017
SL Security Lending,1626
System for connection with T2S and Monte Titoli,1701
Inbiz Products Trade,976
GreenTrade,867
FAX Server,694
DRM - Darwin,517
CRH Counterparty Risk Hub Counterparty Risk Management,375
"155021 - Confirmation management - SWIFT, E-MAIL and FAX channels",48
Check Dashboard,400
Monitoring service contracts,1192
IDM - Issuer Data Manager,910
SDM - Securities Data Manager,1605
MDM - Market Data Manager,1109
Request Manager,1508
NUMERIX,1280
Risk Middle Ware - Credit Spread / Counterparty Association Management,1522
Algo Risk Application,173
MatLab,1173
qlikview,1923
CNP Portal New Products Coordination,351
CNP Portal Coordination of New Banca IMI Products,350
VIACARD Card request,1812
VIACARD Revoke card,1815
VIACARD Position data changes,1813
VIACARD Refurbishment of deteriorated paper,1814
VIACARD Card heading change,1811
TELEPASS FAMILY Operations performed on cards,1716
ZAFI Batch reception management,1877
ZAFI Premise,1902
TELEPASS FAMILY Contract reissue,1713
TELEPASS FAMILY Device transfer from another organization,1714
TELEPASS FAMILY Telepass request,1717
Hedge Links,886
CRH Counterparty Risk Hub Counterparty Risk Management,375
NewTOn,1294
SAP FM Budget Availability Control Report,1545
PAV,1338
Credit Portal Post Resolution Functionality,456
CORE Small Business Improvement Credit Portal,355
Corporate Improvement Credit Portal,434
Credit Portal for Micro Business Improvement,458
RTCE,1478
FC - HUB Control panels,695
IFOX extension,916
Poker. Position Keeping Repository,1408
MCT Accounting Model Suspended Targets and PAV Validation,1101
BET0 - ETRE,206
UNE1 Archive management,1775
Engagement Portal,671
NID New Deployment Infrastructure,1234
Deal Tracker,558
155123 Light joint,60
CLS Continuous Linked Settlements,335
Payplus - payment/maintenance and positon keeping CLS,1399
FXM0 Cross border payments,729
NU00 Account management RICORA,1273
FinDB,744
CdG FIN,393
GDI Clients,763
Short Selling,1666
Corinth,432
remedy,1924
LITIT Change of ownership,1067
LIAGG Savings deposits update of the passbook,1056
LISOS Savings deposits replacement of the passbook,1062
WITHDRAW Withdrawal,1837
LIEST Savings deposits extinction,1058
FLAG Specific process for Savings Deposits,720
PAY Payment,1340
Plafond Financial Institution,1405
Salesforce CRM,1656
Group Overview,870
Credit workbench,467
O.Ma.R. Most important operations,1296
RicoRA Introduction,1521
R4A2 - Profiling - Insertion and Search of Questionnaires,1442
150649 - DYNG-Gestioni Patrimoniali Adequacy control management,23
GIANOS 3D Quick Guide,801
A000 STDA Storage print management,101
Archiving of MIFID branch service contracts,185
LIQUIDITY POLICY SYSTEM,1061
Group Management Reporting,869
REPORTING MLT - STAGING AREA,1457
Branch key register,276
VEATM Pouring on atm equipment,1806
Operator panel,1321
Batch LA - Italian Current Accounts - Accounting ledger of accounts in Euros,269
SHIP Notifications to customers and printing of bank details,1609
WEBCARD Utilities,1827
OXero Rating Models - Project Finance,1316
Group Rating Centralized and Override Ratings,871
GRC Assignments,840
Skipper,1675
ICBP extension,899
Analysis,180
Brambilla titles,274
Dealer Wizards,559
GPO Bond Loan Management,834
Help4U - Problem Management,890
Register of Industrial Accounting and Service Contracts - Export Clausematch,1490
BRB Business Requirement Book,239
ALM Application Lifecycle Management,132
WSRR WebSphere Service Registry and Repository,1844
MyAPM Application Portfolio Management,1197
EPM Enterprise Project Management - Project Site,629
PPNE Delivery and After Sales,1374
Installment postponement,984
RATIN Loans for collection of installments,1444
Credit portal,465
GIC - Anti-wear adjustments to data collection instructions for TEG calculation,805
WEB simulator TEG APR - SSA OF,1822
ATLAS,152
HP Service Manager,879
Table of types of signature commitments,1740
PRICE Procedure for Entering Economic Conditions,1384
S8 Customer card Online Credit Matching and Uses,1531
IF Signature Commitments,915
INTCO Value-added accounting operations,949
FINV Mutual Investment Funds Italian Law Foreign Law,708
N600 Introduction,1209
SSB web portal,1643
VERAS Checks check checks,1810
Document Filing CIB Practices,570
Small Business Retail Group rating,1679
153161 - LN00 Personal loans to private individuals Loans,43
CEBI Bilanci Agricultural Companies,315
150316 C CEBI Reclassification Schemes - Consolidated Financial Statements,7
150316 E CEBI Chart of Accounts,9
150316 J CEBI Non Profit,14
150316 H CEBI Management of Assets and Dedicated Loans,12
CEBI Bilanci Agricultural Society Inquiry,316
150316 F CEBI Control Manuals,10
CEBI System Tax Model Detection,320
CEBI System Chart of Accounts and Fiscal Model Reclassification Schemes,319
150316 D CEBI Reading Guide,8
Public Entity Group Rating,1429
150316 G CEBI Coding Manual,11
150316 A CEBI User Manual,5
150316 B CEBI Reclassification Schemes,6
Micro Business and Retail Group rating,1181
OXero LAF Leveraged & Acquisition Finance rating models,1315
Oxero Rating Models AF Asset Finance Model,1328
OXero CRE Commercial Real Estate rating models,1314
Price: Dashboard Corporate Conditions,1419
GCP Global Cash pooling international,761
CRB Contracts Remote Contract Management,365
Subscription Management,1693
SAP R3 Purchasing Goods receipt,1567
FXMonitor,730
ESTEROWEB Incoming wire transfers,641
CAUI Controls AUI AML - CFT,298
REMEMBER,1454
IJBL Introduction,930
ARIS,143
Communion,421
DRFM Loan Dashboard,516
Smart Office,1680
Pandora,1392
ISIDE Management of notified tax deeds,960
DUR Documentation Unit Reporting,534
BMC Remedy IT Service Management,226
Factoring applications,741
Near Banking,1283
Customer Activation Generation of codes,479
SPECI - Paper Specimen Scan,1637
E-Catalog,591
Factoring Proposals Portal,740
Services Portal,1660
Maximo - Asset Management for IBM SmartCloud,1176
IPAD - Iter Preparation Departmental Environments,954
NJ00 Manager name,1238
Visual Access Manager Access control and concierge management,1819
Rubicon FX,1528
ABC - Subscription and post-sale of the My Key contract,112
Retail Group Early Warning System,1511
CAMVA Exchange of securities and values,292
SAP Training Management,1583
Meganet Network structure monitoring,1177
GIC Management of complex incidents,808
ZAFI Merchant Management POS,1894
SAP R3 Real Estate,1580
Management Sal - document preparation,1164
ESVIB Value Management in White,652
ISIDORO - ORMA - Fields and main application controls,961
SIGMA,1611
Risk orbit,1525
MACS2 Application for CRMS adjustments,1092
PPM Project and Portfolio Management,1373
MailDocPRO Certified e-mail management,1161
FC-HUB,696
Exception and Investigations Interface,680
FXS0 Inquiry Cross border payments,731
Data Governance Portal,547
Collateralized Securities Suite (CSS),417
NSIL Actions for management of customers with insolvency,1272
LINQ - Interest Settlement,1060
CQD - Data Quality Control,359
NP00 Introduction and characteristics of the procedure,1258
ESTEROWEB Web environment,651
M0 - Advance Land Loans,1084
Retail Lending Open - Consumer Credit Loans,1513
KC0X Variation safe box contract management,1031
SCI New General Accounting Various Items,1601
PGR Retail Management Portal Part 1,1355
@gile,66
SharePoint directions,1665
GateWay,855
DIA Departmental Information System,504
M.U. 153116 - Management Information Portal,1082
SAP R3 RE Contracts Payable Lease Contracts,1572
155092 e-Catalog Economic Material,52
BORPE Management of Standing Transfer Orders,232
SAP R3 REFX Contract Master Data,1575
SAP R3 REFX Real Estate Registries,1577
Small Business Group Early Warning System,1678
MCB Management Control Bricks,1099
XPLAIN extension,1867
ALGO,128
risknet,1926
OWO,1312
BOD - Back Office Derivatives,227
Corinth MAF,433
MAF Manager,1093
harmony,1922
Clearing Hub,410
IceLink,973
Web Tool,1854
Bulk Action Tool,278
MarkitWire,1172
CAREFUL Collections collection certificate of conformity,296
Car Documents and Similar Collection service for Certificates of Conformity,385
BJD1 Authorization query handling,211
BJD1 Company contract management,214
NP00 Intervention management,1257
NG00-Operation Inquiry,1233
BJD1 Service execution mode,217
SCI New General Accounting DATAMART Dynamic query of balances,1599
BU00 Administrative operations Certificates of Deposit,245
BU00 Reversals and cancellations of Certificates of Deposit,250
BU00 Certificates of Deposit queries,247
XWEB Back Office Financial Institution,1872
TAX Manager Refund,1710
T2S - ECB Graphical User Interface,1702
SharePoint branches,1664
PAA,1331
HISBLE,878
GECAP - Booked check book management,771
Authorization functions Introduction,197
ACEMI Issue of securities (bank drafts),125
ABIMP management of unpaid checks Web Dematerialisation of Checks,120
GEURG Emergency Management,791
AAM1 Registry inquiry,106
AAPF Management of physical person,107
AAPG Client Management Legal Entity Management,108
Active invoicing,161
EFAT Electronic Invoicing,619
ECS extension,614
Trajan,1770
DTCC Portal,530
Rubicon ICS - Affirmation,1529
Trade Web,1767
LCH extension,1050
Rubicon ICS - Margin Calculator,1530
Legal Sign Web,1075
SOA Registry Entity,1634
CCWEB Procurement of Large Users,310
Informative ABC Showcase,983
Methodology portal,1180
ZAFI Credit Cards Corporate Credit Individual Billing,1888
ZAFI Credit Cards Company SmartControl Card,1885
ZAFI Credit Cards Credit Card Company,1889
ZAFI Credit Cards Card delivery company,1883
IDENT Infrastructural management of registry research,907
GESPA Match Management,786
SAP PA40 Data Management - Actions,1551
CRMS-SAS,377
GSS - System Services Management,842
SIT Management Tools,1622
GRES Enterprise Security Request Management,841
ABC CambiaBanca - Functionality for Centralized Structure,114
CrifGate WEB portal.,470
BJD1 SIA company data,216
FX4Sales,728
FTConsole,725
LOL,1070
Goliath,866
A000 Finance area access,71
GK00 Management of consultation modification of signature and guarantee commitments,823
GK00 Accounting verification of documents,817
YUBIK Collaborative Fulfillment Interpretative Risk Detection Process,1874
ETDFLOW,654
UTIL0 Use of checks GIC Customer position GIC,1778
SWIFT INTERFACE,1652
WM - Workflow management application,1839
Credit Portal Personal loans to Employees,455
SAP R3 Purchasing Purchase requisition,1570
GIANOS 3D Completion of this due diligence recall questionnaires,798
Bureau Van Dijk,279
PL PriceLab Workflow,1367
Suspension of WEB Loans,1697
N500 Single transfer entry,1202
Helpdesk,891
CMLT Section 1 Submission of new application and resolution,344
WMT Web Management Tables - Diagnostics,1841
Credit Risk system integration preprocessors,463
EPM Enterprise Project Management - Project Client,628
Exception and Investigations Disclaimer Processes,678
PRFR0 system,1376
DDGES Direct Debit Management,497
GEMOD – Management of supervisory models,778
BUY Document Management GELAV GEURG,251
NQ00 Introduction and Characteristics,1265
NP00 - Service execution mode - gest present - pres eff paper,1254
BUY Tracking,255
153307 - e-Catalog - Office Machines,46
153304 - e-Catalog - General Section,45
PRICE Insertion of a group derogation proposal,1380
MASS Massive operation of inserting bills of materials,1096
CRB Configuration Products Introduction,363
JK46 Management of Holding Cash Relationships,1012
Credit Portal Leasing functionality in PEF,451
CHIUF Branch closure,326
151405 - Credit desk for accounting transactions,36
Credit Management Portal,441
Sizing Tool,1674
EBAAS From ABC to emission processes Policies,606
GECEN Batch permissions,772
CRESE Management for simple credit use,372
PINC Wallet Collections,1362
PINC Presentation Management,1361
RBFIL Branch Remote Banking,1445
NP00 - Service execution mode - present management - pres collections reba discount mav,1255
ReDo Document Repository,1483
ARC,139
GeNo Regulatory Management,857
TRBAN – Banking Transparency,1731
Anti-fraud monitoring,181
BancaIdentity Service RAC USER GUIDE,264
DAPY Investments,490
AdG MdG Inquiry groups,164
Small Application Practice Establishment,1677
External Databases Portal Mortgage Surveys,686
Credit Rating Dashboard,459
N600 Civetta bribe management,1204
IDEA Corporate Regulatory Agreement,905
SALESFORCE Reference data completeness check,1533
FILESTORE,701
Payment cards - Intesa Sanpaolo Agents4You,1397
LAPE Web,1045
IJBL Current Accounts and Deposits Exhibition Research,927
MyKey Business,1198
P000 Inps pensions,1329
N500 Management of permanent transfers management of variations,1201
Document archiving Archiving criteria Extinct relationships area,576
ENRR Network foreign reporting requests,622
KC0X Query Lockbox Contract Management,1030
IJBL Bank Check Management,920
GIANOS 3D Compilation of this adequate verification occasional operation,795
150809 - EM00-Foreign Goods -New interface for foreign transactions,28
ESTEROWEB Foreign transfer transfer map,640
"A000 Management of loading, unloading and compensation Introduction",98
IJBL Bank Check Management Account evidence management,921
CMLT Section 5 Management Functions,345
FILE SHARING Target,700
LGD-EAD Departmental dashboard,1053
LGD-EAD Host System,1055
PD WEB laboratory,1342
SAP R3 Purchasing Purchase order,1569
PEACE,1344
CMLT Early repayment Web Mortgages,340
ACDUP Bank check duplication WEB,124
GHRX Banker's Checks and Wire Transfer Inquiry Management,794
J6TP Operational functions PASS,1003
RMW Risk Middleware,1467
PHS Portfolio Hierarchy Server,1356
ARPM extension,144
are,1917
aces,1916
PCRE Portfolio Credit Risk Engine,1341
LDM extension,1051
CEMS extension,321
N650 Introduction,1216
BOX Messaging HUB Branches Companies,235
STORA - Check History Search,1649
RICAS Title search grants,1463
P000 Inps temporary benefits,1330
ZAFI Partial refund,1899
QUANTUM,1433
Staging Bonds Preprocessor,1690
SAS-BRM,1591
Staging Allocation Engine,1688
SAS - MIP,1585
SAS RRM Calculation Engine for Credit Risk,1588
CDM Tagetik,312
FINV Operations in funds General notes,709
MOPLE Unlikely to Pay Access to the application,1141
TRIRESOLVE,1732
QDH Quadrature Flows,1430
LIST - LookOut Module MM Duty Violation,1065
LIST - Look Out - MM Reports module,1063
ION Trading,953
LIST - LookOut - MM Activity module,1064
MK Remuneration of foreign bank accounts,1117
SetWeb,1662
SAP BPM Workflow Accounts Payable,1537
SAP BPM Workflow Active Cycle Electronic Invoicing and Accounting Checks,1539
NK00 Termination of the contract,1251
NK00 Owner data consultation,1245
Securities Depositors,1658
GETI Payment message routing management,790
Payment Dashboard,1395
ALGO - Investment Bank Collateral Management,129
Web Adjustments,1850
Coope - BIA BCP,430
CRB Products Trade INBIZ,366
SmartTrade LiquidityFX,1683
SIRE Credit management of Collateral,1618
SAP BPM Workflow Active Cycle,1538
SAP R3 Accounts Payable,1559
SAP BPM Monitor closing accounts,1536
SAP BPM Accounting Assessments,1535
Mid and Large Corporate EVA simulators,1187
CPRU Loading of exit provisionals,358
CPRE Loading of entry provisionals,357
ITCC Query of current accounts totals,967
JERICHO Initial Access Map,1007
H2A0 - TESOENTI collateral applications and controls,876
VAEN Variation Entities,1796
Table of technical forms of assignment,1739
SIRE Assisted credit line loading and changes tracking,1617
Outsourcing process,1326
Passive surrogates,1393
SSF SAP SuccessFactors,1644
ZAFI Methods of execution of the contract management service pos,1895
Customer Journey POS Sale,481
SCANS Document Management Scan documents,1592
GELAV Provision processing,777
DESBO Destination Transfers,502
EBA IWS Interactive Workstation,601
Fast Trade,743
NK00 Channel or pin unblocking blocks,1239
N500 Bank Transfers Italy Introduction,1199
ZAFI Private credit card Card extinction,1908
Revolving Cards Coin management blocks unlocks,1520
ZAFI Products SETEFI paper extinction,1910
ZAFI Debit Cards Card Cancellation,1890
ZAFI Payment cards Carta Targa,1901
MTX MONTETITOLI,1157
IJBL Current Account and Deposit Management,924
ZAFI Card Information,1878
HR Infinity,880
SAP PY Loan Management,1552
Solidarity Fund Application for managing membership requests,1684
Solidarity Fund Consap web portal,1685
CMLT suspension of solidarity fund mortgage installments and authorized suspensions,346
SAS Tool for validation,1589
DIARY 231,505
*MA MdG Inquiry groups*,1
MOPLE Unlikely to Pay Batch request,1142
MOPLE Non-performing Batch request,1128
VDM - Mass variations,1803
BPoint,237
ACCIDENT Collective PASS,123
EBAAS After Sales Damage,604
Gianos 4D QAV Compilation Process,864
MV Clear agreements on the transfer of banking products,1158
AdG MdG Management of Connected Persons,165
New Bank Loan Offer,1288
Streeling,1691
155102 Business Object Info View,56
CCWEB Cash Management and Central Cash Transport,307
Moody's,1193
SPPI Test Tool - Titles,1640
N600 Shipping and Transport Materiality Management,1213
N650 Order accounts management,1225
NU00 UNITES Correspondent Banks,1279
Monetary basis,1190
Door,583
Gari 2000 Montetitoli in monetary base,852
KSO Kedrios Subscribers,1036
DSO - Diaries MT721,526
A000 Equity Operations,70
A000 IDEP Deposit registry inquiry,87
KCA extension,1032
DSO - MT-X fee calculation (for issuers),528
Intesa Sanpaolo Insider List,992
BIC Asset Management,209
EBASS,608
Centralized File Sharing - Data Normalization,396
Eikon,668
JERICHO Map for Authorizations by Authorization Role delegate and assist operat.,1010
Health Safety and Environment Portal,885
SAP HR PORTAL,1548
Customer Journey POS Sale - Intesa Sanpaolo Agents4You,482
Revenue engine and fee and KPI engine,1519
