controlCategory,controlType,controLPeriodocityEnglish,control,controlID
Other,Semi-automatic,Monthly,Check the correctness of the calculated values for the metrics,1248
Other,Semi-automatic,Weekly,Check the correctness of the calculated values for the metrics,1248
Other,Semi-automatic,Monthly,Verify the correctness/completeness of the input data,3813
Other,Semi-automatic,Weekly,Verify the correctness/completeness of the input data,3813
Other,Manual,Per event,Verify the correct assumption of the resolution,3250
Other,Missing,Missing,Verify the installment/income ratio and the absence of negative/prejudicial news,3920
Other,Manual,Per event,Check the data entered in the procedure,1352
Other,Manual,Per event,Verify the correctness of the data entered in the procedure,3664
Other,Manual,Per event,Verify completeness/correctness of documentation,2315
Other,Manual,Per event,Verify the correctness of the expenses for calculating the TEG set out in the procedure,3710
Other,Manual,Per event,Verify the correctness of the Declaration of expenses incurred,3579
Other,Manual,Per event,Verify completeness and correctness of the documentation,2305
Operational,Manual,Per event,Check loading locations,678
Other,Semi-automatic,Per event,Check the received file,1569
Other,Semi-automatic,Monthly,Verify the correctness of the creditworthiness delta,3657
Other,Automatic,Monthly,Check the consistency of prices for the instruments received,1089
Other,Manual,Monthly,Check the new assessment,1504
Other,Semi-automatic,Monthly,Verify the correctness of prices and accounting records,3575
Other,Manual,Quarterly,Verify the correctness of the amounts,3609
Other,Manual,Quarterly,Verify the complete communication of the ROs on FT 416,3004
Professional,Manual,Per event,Verify the proposed resolution out of autonomy,3984
Other,Manual,Quarterly,Verify the consistency of the provisions,3127
Other,Manual,Per event,Check the completeness/update of the supporting documentation,1063
Other,Manual,Per event,Verify the correct registration of resolutions in the system,3461
Other,Manual,Per event,Verify congruence of the repayment plan,2356
Other,Manual,Per event,Verify the correct identification of the Deliberating Body,3392
Other,Manual,Per event,Check the proposed provision or disbursement to the Provision for Risks and Miscellaneous Charges,1553
Other,Manual,Monthly,Verify the correct attribution,3251
Other,Manual,Monthly,Evaluate the adequacy of the amounts,1812
Other,Manual,Monthly,Check for tape waste,605
Other,Semi-automatic,Monthly,Check the reported anomalies,1597
Operational,Manual,Per event,Check,273
Operational,Manual,Per event,Oversee the risk of incorrect and/or incomplete accounting of commissions,1990
Operational,Manual,Per event,Check highlighted Black Listed callsign,646
Other,Semi-automatic,Daily,Monitor market parameters,1914
Other,Semi-automatic,Per event,Carry out quality controls,206
Other,Semi-automatic,Per event,Carry out technical checks,218
Operational,Manual,Per event,Verify decision-making powers,2575
Operational,Manual,Per event,Verify system evaluation correctness,2746
Operational,Manual,Per event,Check proposal out of autonomy,725
Operational,Manual,Per event,Validate the correction proposal,2159
Operational,Manual,Per event,Check the completeness/update of the supporting documentation,1063
Operational,Semi-automatic,Per event,Verify the correctness and adequacy of the covenant in the contract,3526
Other,Manual,Per event,Verify the correct acquisition of the contractual scheme and related signatures,3179
Other,Manual,Per event,Verify and certify the consistency of the economic conditions indicated in the Contract with what is present in the System,2248
Other,Manual,Per event,Check the acquired documentation,899
Other,Manual,Per event,Verify the correct inclusion of the covenants in the contract,3404
Other,Manual,Per event,Check draft contracts,468
Operational,Manual,Per event,Verify reports with cost items,2722
Operational,Manual,Per event,Check passage to loss,707
Professional,Manual,Per event,Verify the correctness of the authorization competence,3617
Operational,Manual,Per event,Check chargeback of costs,366
Operational,Manual,Per event,Verify correct transposition into the system,2500
Operational,Manual,Per event,Check list of positions for accrual of expenses,677
Other,Semi-automatic,Quarterly,Verify the correct import of data in the COREP-Tagetik Package,3399
Other,Manual,Quarterly,Verify the correct processing of flows,3442
Other,Manual,Half yearly,Verify the correctness and completeness of the Group Solvency data entered in the system,3532
Other,Manual,Quarterly,Verify the consistency of the GB/OV1 package with what is present in the COREP-Tagetik phase,3095
Other,Manual,Quarterly,Check that the data has been entered correctly,803
Other,Semi-automatic,Quarterly,Check the correctness of the data,1259
Other,Manual,Quarterly,Verify the correct compilation of Form 5B,3282
Other,Manual,Quarterly,Check the correctness of the entered data,1275
Other,Manual,Quarterly,Verify correct data integration,2442
Other,Semi-automatic,Quarterly,Check for evidence of processing,571
Other,Manual,Quarterly,Check that the data has been sent,805
Other,Manual,Quarterly,Verify the correctness and completeness of the Full Standard data entered in the system,3531
Other,Semi-automatic,Annualy,Check the correct compilation of Form 8,1169
Other,Manual,Quarterly,Verify the correct compilation of Form 5A,3281
Other,Manual,Quarterly,Verify the complete fulfillment of the reliefs,3005
Other,Semi-automatic,Quarterly,Check the data of the COREP-Tagetik Package,1361
Other,Semi-automatic,Quarterly,Verify the correctness of the Excess or shortfall data,3580
Other,Semi-automatic,Half yearly,Check the correctness of the IP Losses data,1239
Other,Semi-automatic,Quarterly,Verify the correctness of the Geographical Breakdown data,3582
Other,Manual,Quarterly,Check the data relating to Credit Value Adjustment for Companies with internal models,1368
Other,Semi-automatic,Quarterly,Verify that the Calendar Provisioning data is correct,2775
Other,Manual,Quarterly,Verify the correctness of the Own Funds data entered in the system,3586
Other,Manual,Half yearly,Check the correct compilation of the file required for Template C14,1174
Operational,Manual,Per event,Check the correctness of the data,1259
Operational,Manual,Per event,Cross reference aggregated data with accounting data,1785
Operational,Manual,Per event,Check the adequacy of the received data,914
Operational,Manual,Per event,Check the correctness of the payments,1290
Operational,Manual,Per event,Verify the correspondence of the amount,3825
Operational,Manual,Per event,Check the completeness of the prospectuses received,1053
Operational,Manual,Monthly,Verify correctness of invoices,2534
Operational,Manual,Per event,Carry out the fulfilments foreseen in terms of AML/CTF or Countering the Financing of Terrorism,231
Operational,Manual,Per event,Carry out checks on AML/CTF or Countering Terrorism Financing,145
Other,Manual,Per event,Check,273
Operational,Manual,Per event,Tick the entered data,2136
Other,Manual,Per event,Verify correct input of data,2470
Operational,Manual,Per event,Check the load of documentation,1482
Other,Missing,Missing,Check,273
Other,Manual,Per event,Verify the correspondence of the data,3827
Other,Semi-automatic,Per event,Check the conformity of the signature affixed,1078
Other,Semi-automatic,Per event,Check anomaly resolution,342
Other,Semi-automatic,Per event,Verify the results of the merit checks,4009
Operational,Manual,Per event,Check the data of the operation,1363
Other,Automatic,Quarterly,Check the completeness and consistency of the uploaded data,1000
Other,Semi-automatic,Quarterly,Verify the consistency of the reporting flow in ITS EBA format and carry out performance checks,3131
Other,Semi-automatic,Quarterly,Please check the submission for completeness and correctness,2026
Other,Semi-automatic,Quarterly,Verify the complete fulfillment of the reliefs,3005
Operational,Manual,Per event,Check data and automatic counts,430
Other,Manual,Per event,Verify the completeness and correctness of the manual printout,3028
Operational,Manual,Per event,Verify the completeness and correctness of the semi-automatic report,3031
Operational,Manual,Per event,Carry out accounting ledger reconciliation,131
Operational,Semi-automatic,Monthly,Verify the reconciliation between the procedure archive and the accounting ledger,3996
Operational,Semi-automatic,Per event,Check the amount of contributions collected,929
Operational,Semi-automatic,Monthly,Verify that the data in the procedure correspond to those present in the masters,2815
Other,Manual,Per event,Verify counterparty and if the transaction is of greater significance,2552
Other,Manual,Per event,Verify decision-making competence,2574
Other,Manual,Per event,Check the communication and the attached documentation,981
Other,Manual,Per event,Check the documentary evidence,1394
Other,Manual,Per event,Check the completeness and correctness of the documentation received,1008
Other,Manual,Per event,Check the documentation Doc. in support,1395
Other,Manual,Per event,Check the completeness and correctness of the documentation,1007
Other,Manual,Per event,Reconcile the payments of tax codes 1239 and 1241,2071
Other,Manual,Per event,Verify correct zeroing of masters,2513
Other,Manual,Per event,Verify correct accounting,2390
Other,Manual,Per event,Check the correctness of the payments,1290
Other,Manual,Per event,Balance the payments,100
Other,Missing,Missing,Verify the consistency of the Capital Plan projections with respect to the economic and financial projections,3093
Other,Missing,Missing,Verify the alignment of the capital indicators with the reporting data,2947
Other,Missing,Missing,Verify the consistency of the capital adequacy indicators with the RAF limits,3103
Professional,Semi-automatic,Per event,Check the compilation of the summary report,986
Operational,Manual,Per event,Verify and archive the documentation produced,2242
Professional,Semi-automatic,Per event,Verify the accounting of the collected contributions,2929
Other,Manual,Monthly,Verify accounting balances,2216
Operational,Semi-automatic,Monthly,Reconcile account balances,2059
Professional,Semi-automatic,Per event,Verify entry in accounting,2592
Operational,Manual,Monthly,Check balance of balances,347
Professional,Semi-automatic,Per event,Verify the correct accounting of the pending,3171
Other,Missing,Missing,Verify the concrete implementation of the precautions to which the favorable opinion is subject,3064
Other,Missing,Missing,Check registration in Limited Information List,733
Other,Missing,Missing,Verify Insider List subscription,2195
Other,Missing,Missing,Check Specify relevant information,295
Other,Missing,Missing,Check that the correct type of List has been identified,796
Other,Missing,Missing,Check the completeness of the names,1048
Other,Missing,Missing,Verify enrollment in Watch List,2591
Other,Missing,Missing,Verify subscription to the Insider List,2739
Other,Missing,Missing,Check identification of the correct type of List,647
Other,Missing,Missing,Verify Limited Information List entry,2196
Other,Missing,Missing,Verify identification of the correct type of List,2618
Other,Missing,Missing,Verify correct identification of the List,2462
Other,Manual,Per event,Verify the correct closure of PVs in contra entry to the Service Account,3276
Other,Manual,Per event,Check the correct closure of the PVs,1168
Other,Manual,Per event,Verify correct conversion into Euros,2435
Other,Manual,Per event,Verify the correct closing of the Service Account and of the Miscellaneous Items in exchange for the settlement current account,3275
Other,Manual,Per event,Verify the correct transfer of the Service Account and Miscellaneous Non-Performing Items,3488
Other,Missing,Missing,Monitor the operations carried out by the supervisee in financial instruments of OTC Derivatives,1951
Other,Manual,Per event,Check data availability,431
Other,Manual,Per event,Verify the report in the final format,4007
Other,Manual,Per event,Check the contributions prepared,1147
Other,Manual,Per event,Verify the formal correctness of the report,3904
Other,Manual,Per event,Verify the correctness of the contribution,3652
Other,Missing,Missing,Check the correctness and completeness of the documentation,1225
Operational,Manual,Per event,Verify correct accounting,2390
Other,Manual,Decadal,Monitor and check for unprocessed requests,1895
Operational,Manual,Per event,Check that the entered data is correct,816
Operational,Manual,Per event,Send emails to your structure mailbox for subsequent forwarding to the custodian,2098
Operational,Manual,Per event,Verify the congruence of the metal to be delivered,3071
Other,Manual,Per event,Check the completeness of the models to be sent to the EIB,1047
Professional,Manual,Quarterly,Check the amounts,934
Operational,Missing,Missing,Verify the implementation of the actions ordered and subsequently their effectiveness,3911
Operational,Missing,Missing,Check criteria for requesting assessment to GRe.CIM/Local CSIRT,418
Other,Missing,Missing,Verify correct management system alignment,2479
Other,Manual,Per event,Verify authorization based on the Management Autonomy Faculties,2281
Other,Missing,Missing,Carry out checks on the consistency of the assignment and on the applicant,152
Operational,Manual,Per event,Verify that the update has taken place,2878
Other,Manual,Per event,Check the contents of the confidentiality agreement,1136
Other,Manual,Per event,Verify that the installments have been collected,2834
Other,Manual,Per event,Verify the correct execution of the activities,3363
Operational,Manual,Per event,Check the correctness and consistency of the data entered,1236
Other,Manual,Per event,Check the actual income from commissions and expenses,905
Other,Manual,Per event,Verify the operation in the case of petroleum products and petrochemicals,3938
Other,Manual,Per event,Check the completeness and correctness of the data provided,1004
Other,Manual,Per event,Check the completeness/correctness of the data provided,1060
Operational,Semi-automatic,Annualy,Verify the correct compilation of the template for the part of your competence,3294
Operational,Manual,Annualy,Check the completeness and consistency of the template compilation,999
Other,Manual,Annualy,Check the success of sending the template to the Bank of Italy,1661
Other,Manual,Per event,Verify ownership of the property,2654
Other,Manual,Per event,Verify accounting data,2219
Other,Manual,Per event,Check formal requirements of the contract,641
Other,Manual,Per event,Verify correct insertion,2471
Other,Manual,Per event,Carry out checks for IFRS16 purposes,141
Other,Manual,Per event,Verify payment,2656
Other,Manual,Per event,Verify the complete and correct updating of the contract data in the system,3003
Other,Manual,Per event,Verify the adequacy of the rent compared to market values,2942
Other,Missing,Missing,Verify the correct representation of the wallets,3474
Other,Manual,Per event,Verify exact census/identification of the counterparty,2601
Other,Semi-automatic,Monthly,Verify the correctness and completeness of the Catalogue,3530
Professional,Semi-automatic,Monthly,Check price list deviations,722
Other,Semi-automatic,Monthly,Check for misalignments,577
Professional,Manual,Per event,Check the correct power supply of the tool for carrying out the SPPI Test,1205
Operational,Missing,Missing,Verify the correctness of the canceled order,3638
Other,Missing,Missing,Check for anomalies in the sending procedure - acquisition of the information flow concerned,500
Other,Manual,Monthly,Verify the quality of the data relating to the samples referred to the Funds and Securities Lending sections,3991
Other,Manual,Monthly,Verify the quality of the data relating to the samples examined,3990
Other,Manual,Half yearly,Verify the correctness of the amounts related to the charges,3612
Other,Manual,Half yearly,Verify the correct preparation of the accounting phase,3437
Other,Manual,Half yearly,Verify the correct processing of accounting flows,3441
Other,Manual,Per event,Verify correct accounting on accounting ledgers,2400
Other,Manual,Monthly,Verify the quality of the data relating to the documentation relating to securities and coupon maturities,3989
Other,Manual,Daily,Verify the data relating to the transactions subject to daily reporting,3848
Other,Automatic,Quarterly,Verify the data relating to the quarterly reporting of consistency letters and MiFID questionnaire,3847
Other,Manual,Per event,Validate the operations entered manually,2167
Other,Manual,Per event,Check match,686
Other,Automatic,Per event,Check the consistency of the amounts,1093
Operational,Missing,Missing,Check if you are in a false positive case,660
Operational,Missing,Missing,Check managed systems for indicators of compromise,682
Other,Manual,Per event,Verify the correct preparation of the text,3439
Other,Manual,Per event,Check that the form is filled in correctly,821
Other,Manual,Per event,Verify the correct registration of the guarantees,3466
Other,Manual,Per event,Verify the data and signatures required in the guarantee certification form,3838
Professional,Semi-automatic,Annualy,Perform consistency checks,2005
Other,Manual,Missing,Verify Contents of the Confidentiality Agreement in the case of a non-U.S. Issuer or not American,2192
Other,Manual,Per event,Verify correct accounting of commissions,2393
Other,Manual,Missing,Verify Contents of the Confidentiality Agreement in the case of a U.S. Issuer or American,2191
Other,Semi-automatic,Daily,Check the outcome of the processing phases of the Financial Engine,1522
Other,Semi-automatic,Daily,Check respect of the cut-off on receiving flows,741
Other,Semi-automatic,Daily,Check data acquisition deviations,425
Other,Semi-automatic,Daily,Verify correct receipt of flows,2486
Other,Semi-automatic,Daily,Verify the correct outcome of the processing term,3429
Other,Manual,Per event,Carry out checks for comparison between sessions,142
Other,Missing,Missing,Compare correspondence on asset stocks,1756
Other,Manual,Per event,Verify the reservation of decision-making powers,4008
Other,Manual,Per event,Check the appraisal and the preliminary notary report for the practices reported in the Monitoring Dashboard,940
Other,Manual,Per event,"Check correspondence, expert report and warranty data",411
Other,Manual,Per event,Check the practices reported in the Monitoring Dashboard,1538
Operational,Manual,Per event,Verify receipt of acknowledgment,2691
Other,Semi-automatic,Daily,Check that the system is powered correctly,852
Other,Semi-automatic,Daily,Check correct system power supply,406
Operational,Manual,Per event,Check the communications received at t+1,983
Other,Semi-automatic,Per event,Verify correct undo operation,2503
Other,Missing,Missing,Check acquisition of messages by the Bank of Italy,309
Other,Semi-automatic,Per event,Check lines of credit,673
Other,Semi-automatic,Per event,Verify correct entry of data into the system,2451
Other,Manual,Per event,Verify the correctness and completeness of the documentation prepared,3546
Other,Manual,Per event,Verify the correctness of the calculation of the level of funding for the pricing of the issue,3631
Other,Manual,Per event,Verify the correct manual census of perpetual bonds,3427
Other,Manual,Per event,Verify correct entry in Kondor,2446
Other,Manual,Per event,Verify correct data acquisition,2438
Other,Manual,Per event,Check the correct data acquisition in Market hub,1178
Other,Manual,Per event,Verify the correct census in Murex,3265
Other,Manual,Per event,Verify the correct census,3264
Other,Semi-automatic,Daily,Check for anomalies in the acquisition procedure from info providers,499
Other,Missing,Missing,Verify the correct identification of the subjects for which the cessation of the insurance distribution activity is envisaged,3395
Operational,Manual,Per event,Verify the absence of prejudicial information,2916
Other,Manual,Annualy,Verify the correctness of the electronic filing of the new entries in the register,3698
Other,Manual,Daily,Verify the correct quadrature,3452
Other,Manual,Daily,Check the correctness of the data,1259
Other,Manual,Per event,Check that the TEG respects the Wear Thresholds,777
Other,Semi-automatic,Per event,Check for missing prices,579
Operational,Semi-automatic,Monthly,Run price checks,2090
Other,Missing,Missing,Oversee the populating activities,1989
Other,Manual,Quarterly,Verify data quality,2570
Other,Semi-automatic,Quarterly,Develop and verify the final list,1790
Other,Manual,Quarterly,Check the BankIt diagnostic,866
Other,Manual,Quarterly,Verify stock data,2735
Other,Manual,Quarterly,Verify the correct feeding of the Own Funds table for LE,3380
Other,Missing,Missing,Check the data prepared for sending,1364
Other,Missing,Missing,Carry out massive checks on the annual SALDI flow,187
Other,Missing,Missing,Check the correctness of the data,1259
Other,Missing,Missing,Check for and report any supply rejects/anomalies,495
Other,Missing,Missing,Manage the Security Deposit,1882
Other,Missing,Missing,Check that the underlying has been settled on the value date,857
Other,Semi-automatic,Per event,Check that the underlying has been settled on the value date,857
Other,Manual,Per event,Check the warnings reported on the report,1715
Other,Manual,Per event,Check receipt of authorization emails,730
Other,Manual,Per event,Verify that there are no anomalous balances,2882
Other,Semi-automatic,Monthly,Carry out trend analyses,252
Other,Manual,Monthly, Reconcile payroll and accounting events and between them and the MCT Dashboard,22
Other,Manual,Per event,Verify the effective zeroing of the PV received,3867
Other,Manual,Per event,Verify the correspondence of what was done with what was received,3831
Other,Manual,Monthly,Check the accounting of the assessments,893
Other,Semi-automatic,Monthly,Check the correct preparation of the form,1206
Other,Manual,Per event,Verify correctness of manual entry into the system,2535
Other,Manual,Per event,Make adjustments to the sent flow,1864
Other,Manual,Quarterly,Check the receipt of the information base,1566
Other,Manual,Quarterly,Check the information on the Group reports and map,1460
Other,Manual,Quarterly,Verify the correctness of the signal flow,3790
Other,Manual,Per event,Verify the correct receipt of the deal,3455
Other,Manual,Per event,Check the data contained in the documentation received,1340
Other,Missing,Missing,Check signing powers,750
Other,Manual,Per event,Check data upload consistency with contractual documentation,446
Other,Missing,Missing,Check the proposed amount of the foreign exchange transaction,1551
Other,Manual,Per event,Verify consistency of data entered in the procedure with the contractual ones,2376
Other,Manual,Per event,Check signing powers in Commodity,751
Other,Missing,Missing,Check the signing powers on the Commodity Product Sheet,1641
Other,Manual,Per event,Verify that the data entered in the procedure are consistent with what is indicated in the contractual documentation,2809
Other,Manual,Per event,"Carry out a ""Blocking"" type check of consistency with the sales rules and the guides relating to the preliminary obligations for operations in Cambi",118
Other,Missing,Missing,Check the signing powers on the Change Confirmation,1640
Other,Manual,Per event,Check signing powers,750
Other,Manual,Per event,Verify consistency between the data entered in the procedure and those of the contractual documentation,2370
Other,Manual,Per event,Check the data entered in the Rates contract proposal,1346
Other,Missing,Missing,Verify signing powers,2730
Other,Manual,Per event,Verify signing powers for the transaction in Changes,2731
Other,Manual,Per event,Check that the data entered in the procedure are consistent with what is indicated in the documentation,799
Other,Missing,Missing,Carry out a consistency check with the sales rules and the guides relating to the preliminary obligations for operations in Cambi,120
Other,Semi-automatic,Per event,Check the calculation of Fair Value,951
Other,Semi-automatic,Per event,Check the revaluation values,1621
Other,Semi-automatic,Per event,Compare pricing with independent feedback/contributions,1760
Other,Semi-automatic,Quarterly,Analyze variances with previous evaluations,81
Other,Semi-automatic,Decadal,Verify the correctness of the signal flow,3790
Other,Semi-automatic,Decadal,Check the causes of the unusual deviations and take corrective actions,966
Other,Semi-automatic,Monthly,Monitor the output of the methodologies for sensitivity and initial margins,1955
Other,Semi-automatic,Per event,Check the deal entered,1378
Other,Semi-automatic,Per event,Check entry of the transaction and/or deposit.,481
Operational,Semi-automatic,Per event,Verify the correctness of the rate calculation made by the agent.,3772
Other,Manual,Per event,Check documentation,460
Other,Manual,Per event,Verify the consistency of the Bank's resolution with that of the Guarantee Fund and communicate the date of the resolution to the latter,3092
Other,Manual,Per event,Verify the correct payment of the commission to the Guarantee Fund,3433
Other,Manual,Per event,Check the correct and complete filing of the documentation,1160
Other,Manual,Per event,Verify the charge to the customer and the payment of the commission to the Central Guarantee Fund,2982
Other,Manual,Per event,Verify the consistency of the Bank's resolution with that of the Guarantee Fund and communicate the date of the resolution to the Guarantee Fund,3091
Other,Manual,Per event,Check documentation completeness,463
Other,Manual,Per event,Validate the request,2171
Other,Manual,Per event,Comprehensively verify the information collected through the Tool,1770
Operational,Semi-automatic,Daily,Check the reasons for the failure to send,1563
Other,Semi-automatic,Daily,Check the reasons for the failure to send,1563
Operational,Manual,Per event,Verify proper feeding of the sectional accounting system,2679
Operational,Manual,Per event,Check correct supply of sectional accounting system,405
Other,Semi-automatic,Per event,Verify complete and correct registration of incoming flows,2296
Other,Semi-automatic,Daily,Carry out the checks foreseen in the field of product master data,223
Other,Semi-automatic,Per event,Manage audit reports,1876
Professional,Manual,Per event,Verify that you have correctly fulfilled the necessary Regulatory Obligations and requested the required opinions,2888
Other,Manual,Monthly,Verify the perimeter of the Companies to be analysed,3961
Other,Semi-automatic,Monthly,Verify the correctness of the uploaded data,3799
Professional,Semi-automatic,Monthly,Verify the correctness of the uploaded data,3799
Other,Missing,Missing,Approve changes to the 'Branch Key Register',85
Other,Manual,Per event, Check the update rollout activities,18
Other,Manual,Per event,Verify the correct sending of the information,3479
Other,Missing,Missing,Carry out checks on the completeness of the minutes,151
Other,Missing,Missing,Carry out checks on the regular transmission of the reports to the AGCM,159
Other,Missing,Missing,Verify the completeness of the minutes,3052
Other,Missing,Missing,Carry out checks on the accuracy and completeness of documents,147
Other,Manual,Per event,Check for bug fixes,548
Other,Manual,Daily,Checking the netting rates and sending the file to the Front Offices,1745
Other,Manual,Daily,Check for HFT,490
Other,Manual,Daily,Verify the correct exemption of some operations,3377
Other,Manual,Per event,Check the correctness of the accounting,1243
Other,Manual,Per event,Verify the correct formalization of the operation,3384
Other,Manual,Per event,Check the coincidence of the processed data,978
Other,Manual,Per event,Check the correctness and consistency of the data entered,1236
Other,Semi-automatic,Per event,Verify and certify calculation of coupons and interest,2247
Other,Semi-automatic,Per event,Check the correct entry of data into the system,1182
Other,Automatic,Annualy,Check the correctness/completeness of the data,1305
Other,Semi-automatic,Annualy,Carry out formal control of the generated documents,181
Other,Manual,Per event,Carry out final checks,176
Other,Missing,Missing,Monitor the SACE Green practices being perfected,1932
Other,Manual,Per event,Carry out preliminary checks and check the documentation collected,202
Other,Missing,Missing,Monitor SACE Green practices in the process of being approved and perfected,1889
Other,Manual,Per event,Carry out final checks prior to signing and disbursement,177
Operational,Manual,Per event,Check the completion of the pledge confirmation form,1064
Professional,Manual,Per event,Check the Contract Proposal and the guarantee text to be attached,869
Professional,Manual,Per event,Check the contract or the commitment issue request,1140
Operational,Manual,Per event,Check the supplementary data of the guarantee,1665
Other,Manual,Per event,Check that the conditions entered are those contractualised,792
Operational,Manual,Per event,Validate the dispensing detection,2162
Other,Manual,Per event,Carry out investigations and processing of misdirected and/or non-received collections,183
Other,Manual,Per event,Verify correctness of the dispensing set and carry out the 'Release Cash Flow'.,2543
Other,Manual,Per event,Check that the application is powered correctly,787
Other,Semi-automatic,Per event,Verify and complete the Disbursement Arrangement,2251
Other,Manual,Per event,Verify delivery release,2577
Operational,Semi-automatic,Daily,Carry out the reconciliation of the technical and currency accounts,246
Other,Manual,Per event,Verify disbursement event on dedicated systems.,2580
Other,Manual,Per event,Check outcome on payment systems,702
Other,Manual,Per event,Check the conditions precedent,1075
Other,Manual,Per event,Check the consistency of the request with the contract,1122
Other,Manual,Per event,Verify the formal correctness of the disbursement request received,3901
Other,Manual,Per event,Check the conditions for the disbursement and call for funds,1074
Other,Manual,Per event,Check the completeness of the documentation sent,1035
Other,Semi-automatic,Quarterly,Carry out quantitative and qualitative controls,207
Other,Semi-automatic,Quarterly,Check the result of sending the report,1612
Other,Semi-automatic,Quarterly,Check that the flow has been generated,820
Other,Semi-automatic,Per event,Verify the correct registration of the payment,3470
Other,Semi-automatic,Per event,Check the correctness of the accounting,1243
Other,Manual,Per event,Verify the correctness of the provision and the action taken,3770
Other,Manual,Per event,Verify the correctness of the payment,3753
Other,Semi-automatic,Per event,Verify the correctness of the information entered in the archive,3731
Other,Semi-automatic,Monthly,Check for any anomalies during production and data transmission,504
Other,Semi-automatic,Monthly,Check the complete compilation of the template,989
Other,Automatic,Daily,Manage technical balances between applications,1881
Other,Manual,Per event,Verify the correctness and consistency of the quantitative analysis,3563
Other,Semi-automatic,Per event,Verify that management data is aligned with the nature of the operation,2770
Other,Manual,Per event,Verify the correctness and consistency of the qualitative analysis,3562
Other,Manual,Per event,Verify the correctness of the data relating to the recognition of credits,3674
Other,Manual,Per event,Check the consistency of the resolution with the proposed structured credit facility,1123
Other,Manual,Per event,"Verify that you have performed the SPPI Test for changes during the approval / improvement phase and, based on the outcome of the Test, carry out the necessary activities",2893
Other,Manual,Per event,Verify the exact allocation of credit,3873
Other,Manual,Per event,Verify the correct contractualisation of credit lines,3311
Other,Automatic,Per event,Verify the correct uploading of the operation to the system,3513
Other,Manual,Per event,Check TEG factoring,297
Other,Manual,Per event,Verify the correct acquisition/perfection/accounting of guarantees,3188
Other,Manual,Per event,Verify the correct loading of the Trade File and DTCC File extracts,3417
Other,Manual,Per event,Verify the correct loading of the trade file,3426
Other,Manual,Per event,Check that the trade file and DTCC file have been loaded correctly,856
Other,Missing,Missing,Check the NDG entered in the system,883
Other,Missing,Missing,Verify the identity of the applicant,3910
Other,Missing,Missing,Validate the list,2163
Other,Missing,Missing,Verify and validate the correct acquisition of the documentation,2268
Professional,Missing,Missing,Check the completeness of the analysis,1022
Other,Missing,Missing,Evaluate the impact of the defined scenarios,1816
Other,Missing,Missing,Verify the correctness of the calculation of the impacts of the adverse scenarios,3629
Other,Missing,Missing,Check the completeness of the documentation,1032
Operational,Manual,Per event,Check the correctness of the operation,1286
Other,Missing,Missing,Verify correctness of data,2531
Operational,Manual,Per event,Verify correctness of updating LGD grids,2548
Other,Manual,Per event,Verify the correctness of the calculation of value adjustments,3633
Operational,Missing,Missing,Verify consistency and updating of triage models,2363
