model,modelID
Estimate of an initiative with PSS methodology,1963
Protection Policies - Motor - Issue,608
Simple credit withdrawal management,2071
Update of the sectoral taxonomy,1236
Presentation management,199
Factoring - Factoring Management - SDD Collections,846
Issue or update of transparency documentation - Consumer credit products,1297
Management of the documentation accompanying the process regulations,858
Identification and Evaluation - Scenario Analysis,571
Historicization of information sheets and pre-contracts,1287
Corporate Remote Banking and Open Banking Service - Monitoring and fraud management,1694
Implementation and support of ICT Architectures and Standards,1170
Concession - Small Business investigation,808
"Creation and management of ""Mazzetta Civetta"" in the Branch",211
EMIR - DFA - Preliminary Contractual Fulfillments IMI CIB,1184
Debit and service cards - Distance Bidding - Intesa Sanpaolo Agents4You,93
Current Accounts - Definitive closure or transfer of a current account to a branch of the same bank,641
Model definition and estimation,1947
Bancaidentity - Certificate reactivation,1994
Management of active criminal proceedings,733
Purchasing Management - Stipulation of contracts with Suppliers,814
Clearing - Mandatory obligations towards central counterparties,358
Concession - Individuals - Personal Loans - Right of withdrawal,1229
Municipalities and Provinces below the threshold - Automatic rating assignment,925
Cashier's checks - report of theft-loss-destruction,1095
Funding - Management of Medium-Long Term Transactions from Financing Institutions,2096
Generic Position Risk - Application architecture supply,1734
Critical event classification,318
Documented remittances receipts export documents - Loading and Modification,885
Bank checks - report of theft-loss-destruction presented by the customer,386
Digital communication - Websites - Mobile - Social networks,2206
Pensions - Post activation management of the service,1800
"Third party securitizations - Execution, placement and underwriting of ABS and ABCP",1702
Enrollment in the Single Register of Financial Advisors,984
Change Service or Company Welfare Plan,2299
Management of application enabling codes,1112
Individuals - Mortgages sold through Third Party Networks - Poste Italiane SpA - Waiver,1809
Title staging calculation,192
«Bring Your Own Device (BYOD) management on Windows To Go» (WTG),1796
Prudential disclosure - Disclosure to the public Pillar III: preparation of contributions,2282
Administrative management activities,1736
Cost of Credit Monitoring - Data collection and forecast processing,1806
Regulated Derivatives - Management of daily liquidity on behalf of third parties,172
Collateral Management - Management of relevant disputes on OTC derivatives - Variation Margin,1237
Authorizations and encroachments - Operations to be managed - Our Employees,1248
Management of assets acquired at auction - Monitoring RAF limits and Business Plan,687
Closing period of disbursements to state of work progress - land credit - construction for income generation purposes and industrial credit - agricultural,2174
Bad Loan Management - Decision Management,1004
Group Counterparty Registry - Monitoring of supply flows from External Legal Entities,1264
Management of Exceptions to IT Security Rules,517
Own account finance - Securities - Verification of listing activities - IMI CIB Division,998
Clearing Custody and Settlement Services - Accounts Payable Billing Management,545
Abroad - Foreign exchange operations - Check pending deal in FO systems,1781
Remote Identification and Recognition Services - Multi-channel Contract - Extinguishment,1647
Collateral Management - Variation Margin Regulation,653
Management and finalization of the Framework Agreement for the issue of Signature Commitments,994
Management of requests for certification of passive and active interests,1937
Disaster Recovery test management (online and batch),952
Financial products and services - OTC derivatives - Transaction definition and conclusion - IMI CIB TOP customers,2163
Self-assessment process relating to the area of algorithmic trading,1060
General Accounting - Management of functional activities for accounting closures and assessments,607
Leasing Financing Administration - Remodulations,1115
Shift change entry,1350
Generic Position Risk - Review of the stressed VaR scenario,2038
Institutions Treasury - Operational Management - Management of the pool treasury service,629
Concession - Corporate - Credit lines for Italian-Related customers - Business customers - to be allocated to foreign branches,1190
Outsourcing monitoring and control,1441
Passive Surrogates - Request Management,1805
Definition and disbursement of annual Incentive System bonuses,775
POS sale and activation - First customer request for BdT Division - On-site offer - Off-site offer - Remote offer,1729
Advance invoices Italy - Management of advance payment,110
Outgoing foreign transfers - Message management,312
OTC market and Gray Market bond operations,2086
Fulfillments for facilitation purposes - Financing Bank - Rest in the South,612
Management of forced or coercive sales of securities held in managed deposits,2022
Management of forced or coercive sales of securities held in managed deposits,2023
Successions - Report block,1164
Data Quality Improvement Plans,370
Emissions certificates - census and Isin request and regulation management,1960
Country risk - Definition of country risk parameters and management of overdrafts,1358
Collateral management - Threshold monitoring pursuant to Article 31 and AANA ISP Singapore,1695
Foreclosures - Management for employees,52
Assignment TIT MLT in derogation - specific to be valid on the authorized limit,1599
Export Documentary Credits - Notification,351
Solidarity Fund - Request for suspension,1012
Study and research management - Suspension or interruption of coverage of the Issuer,1379
Operations related to Global Markets and Investment Banking of the IMI CIB Division,1429
Likely Default - Compensation,1853
Monitoring of offsetting agreements - Parent Company and Banca IMI,76
Communication,659
Management of subsidized interventions - Product specificity - Sustainable Growth Fund,598
Regulated Derivatives - Allocation of Third Party Account deals,1406
Procurement of economic material from the Electronic Catalogue,930
Correspondence sent to customers and not delivered,28
Concession - Financial Institutions ONE - Proposal,2195
Enforcement of Young Couples Loan guarantee DPCM 256 - 2010,454
Management of guarantees with Cassa di Compensazione e Garanzia,1560
Leasing Financing Administration - Management of the VAT regime applied to nautical leasing contracts,375
Management of unilateral changes to economic and regulatory conditions,266
Tax Consolidation - Definition and disclosure of the scope of consolidation,1917
Issue Internal Notes,1638
Protection Policies - Assets and People - After-sales,534
Subsidized loans to Intesa Sanpaolo Group employees - Improvement,615
Concession - Private individuals - Credit lines and other loans - Application,2105
Easy Invoice Service - Activation,329
Abroad - Operations in foreign exchange - Verification of currencies - operations in spot exchange rates,88
Quarterly reporting resulting from the acquisition of FHC status,1031
Featured - Promotion and sale of non-financial products and services by external partners within the Bank's premises,1394
Group Counterparty Registry - Management of Domain Tables,1474
Change or Termination of Service,1222
Clearing - Own Account Backloading,223
Generic Position Risk - Data Quality - Proxy and Risk Not In Model,1825
Management of Infrastructural Systemic Change,1005
Own Account Finance - Securities - Bond Trading - Proprietary Trading - IMI CIB Division,296
Catalog and master data management - Catalog consolidation,1634
Bank checks concerning the Suppliers,1775
Management of dividends regulated by Italy,176
Extra budget request,1657
Reporting Bad Loans - Internal diagnostics and user checks on reported data,609
Issuance of Covered Bank Bonds,2138
Withdrawal Management,1924
Foreign corporate operations,1725
Foreign corporate operations,1726
Securities Asset Leasing Management - Amicable recovery and transactions,1047
Database of Reports - Management of particular headers of the report,1996
Determination and contribution of the Euribor rate,728
Classification of customers for the purpose of applying stamp duty,480
Request for a leave of absence,166
Assessment of health and safety levels,1931
Management of assets acquired at auction - Analysis and promotion and investment in real estate auctions,661
Financial Products and Services - OTC Derivatives - Marketing Material - IMI CIB,1939
POS sale and activation - Out-of-office offer - Intesa Sanpaolo Agents4You,1662
Unlikely to pay - Calculation of joint management fees,1098
Management and publication of mandatory and optional pre-placement documentation,2049
Management and publication of mandatory and optional pre-placement documentation,2050
Individuals - Mortgages - Investigation,633
Management of events following the release of a Domestic Signature Commitment,1247
Proposal - Loans to Intesa Sanpaolo Group Employees,614
Mortgage guarantees - Mortgage restriction,2287
Management of Subsidized Interventions - Delivery,1370
Own Account Finance - OTC Derivatives - Confirmations - Transactions in Equity Derivatives,1619
Proactive Corporate and Small Business Management - Review positions,1711
Approval of operational continuity information flows for corporate bodies,781
Calculation of subsidized employee salaries,1154
Calculation of expected loss on bonds for accounting purposes,765
Mortgage guarantees - Acquisition and technical investigation,1714
feasibility analysis,1589
Third Party Security - Critical event monitoring activities involving a vendor,535
Determination of hedge fund fair value for accounting purposes,1037
VAT settlement by the participating companies,155
Management of duplicate keys and back up of main safe or vault combinations,2213
Debit and service cards - Issuance requested by Private Customers - Distance Offer,638
Criticality Assessment,1285
Counterparty Risk - SIMM Monitoring,1383
Concession - Corporate - Improvement,1886
Travel management,2005
Concession - Corporate - Application,1894
Publication and dissemination of Report on Corporate Governance and Ownership Structures,1953
Issuers Regulations - Restricted List Management - Operating Restrictions,1473
Staff with mixed employment contract - Management of billing and social security obligations,2113
Loans in GIC - Exercise of the interest rate option and revolving repayment renewal (ORR),1402
Transactions on omnibus relationships held in the name of trust companies,2075
Confirming - Variation of economic conditions Suppliers,1946
ICT asset list production,690
Individual financial reporting - VE basis,1497
Management of arrears Allowance for the family nucleus,842
Issue and management of hardening rules,380
Management of the release of the certificate of devolution to the fund and reimbursement of dormant debts extinguished by mistake already transferred to the fund,967
XME Salute - Sales Activation and After-Sales Management,836
Inbiz Start service activation,792
Termination of the ordinary deposit or as a guarantee for BdT and CIB_Global Corporate customers,2231
Accounting and Payment F24 in the field of human resources fees,198
Correspondence delivery,1516
Pledge Guarantees - Particularities for pledges on Policies,2108
Disposal of Impaired Loans and Portfolios of Non-Performing and Mixed Loans - Disposal of Portfolio and Single Name above and below the threshold - Finalization,666
Current Accounts - Opening of an account for specific operations,2256
VaR Calculation of Banking Book Financial Risks,888
VaR Calculation of Banking Book Financial Risks,889
"Management of cash in the event of claims, robberies, shortages and thefts on outsourced management systems",1443
Institutions Treasury - Operational Management - Controls and reports,908
MiFID-Transaction Reporting-reports to Consob,1414
Merit Campaign,476
Investigations on Property Taxation,1405
Financial Statements - Distribution plans Central Financial Statements,139
Corporate taxation - UNICO SC declaration and IRAP declaration - Declaration fulfillment and tax settlement,603
Successions - Starting practice,532
Withdrawal at the counter on report,1397
Concession - Private individuals - Credit lines and other loans - Preliminary investigation and proposal,1962
Direct transfer of securities between the parties,396
Institutions Treasury - Operational Management - Closure of the financial year or termination of service,1639
Accounting Suspended Management - Accounting adjustments on Corporate customer relationships,1713
Preparation and Startup,727
Request for funds for the implementation of the IT Security Plan,1086
Collection and certification of market data for the purpose of calculating risk measures,168
Exercise and evaluation of IT Security and Business Continuity controls,1071
ICT implementations in the field of anti-money laundering,2204
Financial Instruments Database - List or update of Issuers,424
Loans in GIC - Opening of the case,980
Restitution of premiums paid and not used on policies combined with loans repaid in advance,315
Activation of ICT Expenditure,1040
Covered Warrant Issues - Planning and direct listing,1801
Regulated Derivatives - Reconciliations with Clearing House-Broker for foreign markets,1262
On-Boarding of Third Party Distributors,613
Fee Reporting - Monthly data collection and CPC management,1077
Parent Company Funding coverage,55
Industrial Accounting - Collection and processing of costing data,395
Bad debt management Leasing - Management of takeovers,620
Cyber Physical Security incident management at the Territorial Network - Anomaly detected by central monitoring,100
Measurement,1149
Service contracts - Contract addenda management,2240
Import documentary credits - Opening,1696
Concession - Corporate - Resolution,2088
AnaCredit individual reporting to the Bank of Italy,493
Financial Products and Services - OTC Derivatives - Reconciliations - IMI CIB and BdT,144
Training - information and communication on occupational health and safety,465
Single Certification,1828
Protection Policies - Motor - Renewals,181
Confirming - Supplier onboarding contracts,1341
Threat Hunting,1242
Problem Task Management,91
Annual reporting to the Management Committee and the Board of Directors,2029
"Temporary exhibition of owned artistic assets in premises other than the Gallerie d'Italia, warehouses and high representative premises",1882
Collaborative Fulfillment with AdE - Consulting and Clearing,2064
Misdirected receipts management,1081
Real Estate Asset Leasing Management - Management and position analysis,1147
Bonds and certificates offer,2157
Fulfillments for facilitation purposes - Financing Bank - Finpiemonte,1918
Concession - Financial Institutions ONE - Improved,1550
Management of accounting records,623
