actorType,actor,actorID
Organizational unit,Middle Office and Parabanking Administrative Management,1577
Organizational unit,REOCO & Leasing Administrative Coordination,1915
Organizational unit,Asset Management - DC Real Estate and Logistics,109
Organizational unit,Operations Factoring,1667
Organizational unit,Corporate Administrative Liability,536
Organizational unit,Real Estate Advisory - DC Real Estate and Logistics,1931
Organizational unit,Bank 5 Administrative Fulfillments and Non-Banking Companies,163
Organizational unit,Investment Services,1400
Organizational unit,Audit Activities and Financial Risks,124
Organizational unit,Operations Finance,1668
Organizational unit,Finance and Capital Markets,959
Organizational unit,Audit of Government and Support Processes,135
Organizational unit,Legal Consulting Products and Commercial Services,1450
Organizational unit,Organization Division IMI CIB and other Sectors,1685
Organizational unit,Organization of Governance Functions,1692
Organizational unit,International Corporate & Financial Institutions Sales,1339
Organizational unit,Legal Advisory Capital Markets and Securities Finance,1441
Organizational unit,Governance and Process Development,1082
Organizational unit,Operations Investment Services,1669
Organizational unit,Cybersecurity and Business Continuity Strategy and Group Governance,676
Organizational unit,Finance & Payments,952
Organizational unit,Hybrid Data Centers & PaaS,1213
Organizational unit,Workspace & Endpoint Deployment,2336
Organizational unit,Architectures (Area Chapter Architecture),102
Organizational unit,Coordination of Infrastructural Transformations,527
Organizational unit,Infrastructures Specialist Systems,1305
Organizational unit,Domain IMI CIB,790
Organizational unit,BdT and Payment Systems,191
Organizational unit,Channels - DC Information Systems,353
Organizational unit,Data and Governance Areas (Chapter Data Management Area),718
Organizational unit,DevOps Services and Environments,754
Organizational unit,Technological Infrastructures (Area Chapter Infrastructure),2236
Organizational unit,Foreign Exchange and Derivatives,1005
Organizational unit,Technical Support - Regional Management,2232
Organizational unit,MLT funding,1507
Organizational unit,Savings Assistance and Advisory,2073
Organizational unit,Repo & Secured Financing,1995
Organizational unit,Banca dei Territori Division - Regional Management,160
Position,Regional Director,1966
Organizational unit,Risk Analytics,2045
Organizational unit,Market Conformity Controls,1548
Organizational unit,Compliance Coordination of Foreign Branches,446
Organizational unit,Proprietary Systems,1885
Organizational unit,Global Markets Securities Department - IMI CIB Division,1057
Organizational unit,Global Markets Trading London - IMI CIB Division,1062
Organizational unit,Securities Markets Regulation and Reporting,2087
Organizational unit,Compliance/AML - Foreign Branch,458
Organizational unit,CIB Risk Control Unit,272
Organizational unit,Operational Risk & Product Governance,1653
Organizational unit,IMI-CIB Foreign Network audit,1236
Organizational unit,Treasury Audit and Banking Book,2295
Organizational unit,Cost Management IMI CIB,580
Organizational unit,Audit Trading and Capital Markets,132
Organizational unit,Finance Support and Information Flow Coordination,957
Organizational unit,Securities,2086
Organizational unit,Product Control,1860
Organizational unit,Group Banking Book and Liquidity Risk,1096
Organizational unit,Market and Counterparty Internal Models,1556
Organizational unit,Market and Counterparty Risk Governance and Reporting,1557
Organizational unit,Special Regulations and Corporate Information,2119
Organizational unit,Investor Relations,1405
Organizational unit,Price-Sensitive Communication,1819
Organizational unit,Board Secretariat and Management Committee,202
Organizational unit,Board Committees Secretariat,201
Empty group,Structure responsible for the operation - SOP,2152
Organizational unit,Secretariat of the Management Control Committee and Supervisory Body 231/2001,2080
Empty group,Committee secretariats,398
Position,Digital Manager,763
Position,Remote Digital Commercial Coordinator,1988
Position,Digital Branch Manager,758
Position,Digital Sales Coordinator,769
Position,Remote Digital Manager,1989
Position,Remote Digital Branch Manager,1987
Position,ISPB - HNWI Branch Manager,1264
Position,ISPB - Global Relationship Manager,1263
Position,ISPB - Team Leader,1272
Empty group,OFS-enabled manager,1638
Position,ISPB - Agent,1260
Person,ISIA,1253
External Organizational unit,Intesa Sanpaolo Vita,1383
Position,Territorial Coordination Specialist for Products and Segments - Impact Department,2245
Organizational unit,Digital Payments and Services,766
Organizational unit,Banca dei Territori Division - Business Sales & Marketing Department,153
Organizational unit,Banca dei Territori Division - Impact Department,157
Organizational unit,Banca dei Territori Division - Sales & Marketing Wealth Management & Protection Department,161
Organizational unit,ESG & Reputational Risk,807
Organizational unit,Credits - Impact Management,644
Organizational unit,Credits - Regional Directorate,645
Organizational unit,Cybersecurity Operations Center,670
Organizational unit,Business Development Digital Retail,231
Organizational unit,Coordination of Marketing and Business Development Companies,528
Organizational unit,CIB Concession Central Management,264
Organizational unit,Group Rating Desk,1111
Organizational unit,BdT concession,194
Organizational unit,"Concession Structured Finance, Real Estate and Securitization BdT",476
Organizational unit,OtS Governance,1705
Position,Corporate Banker - Global Corporate Department,539
Organizational unit,Agency & Securities Services,58
Organizational unit,Credit Administration - Foreign Branch Hub,593
Organizational unit,Specialized Lending Portfolio Management,2125
Organizational unit,Corporate Loan Structuring,548
Organizational unit,Client Management Support,376
Position,Global Relationship Manager - Global Banking & Sovereign Institutions Department,1065
Position,Global Relationship Manager - International Management,1067
Position,Relationship Manager - International Management,1983
Position,Senior Corporate Banker - Global Corporate Management,2095
Organizational unit,HY DCM Origination,1138
Organizational unit,Project & Industry Specialized Lending,1875
Organizational unit,Real Estate,1930
Organizational unit,"Origination Corporate Finance BDT - North East, South Lombardy, Emilia Marche",1702
Organizational unit,Leveraged & Acquisitions Finance,1462
Organizational unit,Sovereign & Supranational Agencies DCM Origination,2115
Organizational unit,Debt Structuring BDT,724
Organizational unit,FIG DCM Origination,903
Organizational unit,Origination Corporate Finance BDT - Central South and Tuscany Umbria,1701
Organizational unit,Corporate DCM Origination,544
Organizational unit,Structured Finance Desk - Foreign Branch,2162
Organizational unit,"Origination Corporate Finance BDT - North West, North Lombardy and Milan",1703
Position,Global Relationship Manager - Global Corporate Department,1066
Organizational unit,Structured finance portfolio management,2168
Organizational unit,Desk Syndication - Foreign Branch Hub,753
Organizational unit,Loan Syndication,1472
Organizational unit,ECM Syndication,803
Organizational unit,Sign-Off Hold To Collect and Sell (HTCS) Group Committee,2107
Organizational unit,Specialist Credit Support,2120
Position,General Manager - Foreign Branch,1040
Position,General Manager - Foreign Branch Hub,1041
Organizational unit,Conflict Check and Clearing Sensitive Operations,479
Organizational unit,Group Credit Committee,1101
Organizational unit,Board of Directors,203
Organizational unit,Concession Industry Group 1,470
Organizational unit,Concession Structured Finance and Real Estate,475
Organizational unit,Structured Finance Concession,2161
Organizational unit,Concession Securitization & ABS,474
Organizational unit,Concession Financial Institutions,468
Organizational unit,Concession Financial Institutions & ABS,469
Organizational unit,Concession Industry Group 3 and Network Italy,472
Organizational unit,Credits International Network,646
Organizational unit,Concession Industry Group 2,471
Organizational unit,Corporate concession,570
Organizational unit,"Real Estate, Infrastructure & Logistics Concession",1937
Organizational unit,Compliance/AML - Foreign Branch Hub,459
Organizational unit,Group Financial Risks Committee,1105
Organizational unit,Management Support and Monitoring,1522
Organizational unit,Corporate and Physical Security Design,563
Organizational unit,Project and Facility Management,1877
Empty group,Business owners,249
Organizational unit,Managed savings,1516
Organizational unit,Solutions & Asset Disposals,2112
Organizational unit,Credit Analytics & Data,597
Organizational unit,ISB NPE management,1242
Organizational unit,Large-Mid Files,1434
Organizational unit,UTP Direct Management,2308
Organizational unit,Credit Value Monitoring DR - Regional Department,639
Organizational unit,Proactive Management of BdT Credit,1842
Organizational unit,Remediation,1985
Organizational unit,Oversight of BdT Credit Value,1719
Organizational unit,Control of CIB credit value,502
Organizational unit,Recovery Factoring,1953
Organizational unit,ISPB - Credits,1262
Organizational unit,ISB Credit Value Monitoring,1241
Organizational unit,Proactive Management of CIB Credit,1843
Organizational unit,Credits - Agribusiness Department,643
Organizational unit,Small Files,2109
Organizational unit,SME Retail Remediation - Regional Management,2064
Organizational unit,A.A. Delivery Factory,7
Organizational unit,Due Diligence & KYC Controls,794
Organizational unit,Structured credit and risk transfer,2167
Organizational unit,Operations Leasing and Factoring,1670
Organizational unit,Workout Management & Administration,2335
Organizational unit,Chief Risk Officer Governance Area,367
Organizational unit,Chief Lending Officer Governance Area,363
Organizational unit,Chief Financial Officer Governance Area,362
Organizational unit,International Subsidiary Banks Division,1352
Organizational unit,Governance Area Chief Governance Officer,1073
Organizational unit,IMI Corporate & Investment Banking Division,1234
Organizational unit,Chief Operating Officer Governance Area,364
Organizational unit,Reporting and Corporate Simplification,2005
Organizational unit,ISB Central Credit Department,1240
Organizational unit,Technical Management of Goods Guarantees,2230
Organizational unit,Privacy,1828
Organizational unit,NPE Monitoring & Optimization,1596
Organizational unit,CRA and Retail Faculty,283
Organizational unit,Regulatory Reporting and Credit Controls,1977
Organizational unit,CIB CRA and Credit Risk Analytics,261
Organizational unit,LGD and EAD Models,1428
Organizational unit,Credit Rating Models,616
Organizational unit,Central Management Active Credit Portfolio Steering,326
Organizational unit,UTP & NPL Management,2307
Organizational unit,Nearbanking,1605
Organizational unit,Corporate Lending,547
Organizational unit,Risk Management Systems,2052
Organizational unit,Credit Risk Infrastructure Management,618
Organizational unit,Governance Area Chief Institutional Affairs and External Communication Officer,1075
Organizational unit,Banca dei Territori Division,151
Organizational unit,Insurance Division,1313
Organizational unit,Chief Cost Management Officer Governance Area,359
Organizational unit,Private Banking Division,1831
Organizational unit,Chief Compliance Officer Governance Area,357
Organizational unit,"Governance Area Chief IT, Digital and Innovation Officer",1074
Organizational unit,Asset Management Division,111
Organizational unit,Pulse and Remediation,1900
Organizational unit,NPE Direct Management,1595
Organizational unit,BdT Concession Central Management,180
Organizational unit,Concession BdT Area 1,463
Organizational unit,Value Control and Proactive Management of BdT Credit,2320
Organizational unit,Concession BdT Area 3,465
Organizational unit,Concession - Regional Directorate,462
Position,Credit Manager - Regional Management,607
Organizational unit,Concession BdT Area 2,464
Organizational unit,Concession Employees,466
Organizational unit,Corporate and Physical Security Governance and Development,565
Organizational unit,Territorial Coordination of Personnel and Network Assistance - Regional Management,2247
Organizational unit,Insurance,1312
Organizational unit,Banca dei Territori Division - Planning and Management Control Department,159
Organizational unit,Banca dei Territori Division - Agribusiness Department,152
Organizational unit,Initiative Management and Division Support,1307
Organizational unit,BdT Credit Risk Audit,182
Organizational unit,Summary Controls,2186
Organizational unit,Tools & Analytics,2268
Organizational unit,BdT controls,195
Organizational unit,Audit Corporate Activities and Lending Transactions,127
Organizational unit,Credit Risk Reporting,624
Organizational unit,UTP partnerships,2309
Organizational unit,Value Control and Proactive Management of CIB Credit,2321
Organizational unit,Remuneration and HR Administrative Processes,1992
Organizational unit,People Planning and Management,1762
Organizational unit,Management and Development of Governance and Control Areas,1524
Organizational unit,COO Management and Development and other Governance Areas,280
Organizational unit,Personal Network Management,1772
Organizational unit,Intesa Sanpaolo Vita - Personnel and Organization,1388
Organizational unit,Personnel Management of Central BdT Structures,1775
Organizational unit,"HR Contracts, Data Analysis & Cost Management - International Subsidiary Banks Division",1131
Organizational unit,Domestic & International People Management - International Subsidiary Banks Division,792
Empty group,Society,2111
Organizational unit,Personnel and Training,1785
Empty group,Employee,819
Organizational unit,Operations Smart HR services,1671
Organizational unit,Industrial Relations,1293
Organizational unit,Ordinary Credit Specialist Support,1681
Organizational unit,Recovery Management and Ordinary Credit Outsourcing,1954
Organizational unit,Reporting and Information Assets,2006
Organizational unit,Administrative Accounting Treatments,43
Organizational unit,Intesa Sanpaolo Private Banking,1378
Organizational unit,Managing Director and CEO,1544
Organizational unit,Prestitalia – Consumer Credit (DC Operations),1816
Organizational unit,Liquidity & Euro Settlements,1464
Organizational unit,Pricing - IMI CIB Division,1821
Position,Area Coordinator - Global Corporate Management,104
Organizational unit,Investor Protection,1404
Position,Global Relationship Manager - Financial Institutions Department,1064
Position,General Manager of Foreign Branch,1042
Organizational unit,Data Quality Regulatory Reporting,710
Organizational unit,Supervisory and Accounting Systems,2198
Person,Bank of Italy,169
Organizational unit,Corporate Trade Finance and Cross-border Operations,559
Organizational unit,Banks,174
Organizational unit,emerging markets,2348
Organizational unit,"Internal Financial Intelligence Unit, Advisory and Clearing",1328
Organizational unit,Know Your Customer Advisory and Clearing,1422
Organizational unit,Market Data & IPV Controls,1549
Organizational unit,Collateral Management,386
Person,Counterpart,586
Organizational unit,IMA Counterparty Risk,1225
Organizational unit,Advanced Digital Solutions,56
Organizational unit,Forex & Non-Euro Money Markets,1016
Organizational unit,Factoring Concession,913
Organizational unit,Rating Desk Structured Finance,1925
Organizational unit,Large Corporate Rating Desk,1433
Organizational unit,Corporate Rating Desk,550
Position,Business Analyst - Global Corporate Management,222
Position,Business Analyst - Global Banking & Sovereign Institutions Department,221
Position,Assistant Relationship Manager - International Management,123
Organizational unit,Invoice Management and Accounts Payable,1407
Organizational unit,Intesa Sanpaolo Provis,1379
Organizational unit,Consolidated Supervision - Reports,487
Person,Administrative structure Bank / Subsidiary company,52
Organizational unit,Framework Management & Reporting,1018
Organizational unit,Credit Risk Regulatory Measurement,623
Organizational unit,Credit Risk Financial Measurement,617
Organizational unit,IMA Market Risk,1226
Organizational unit,Financial Engineering & Pricing Controls,965
Organizational unit,Validations and Reports,2319
Organizational unit,Enterprise Risk Analytics,831
Organizational unit,Corporate taxation,576
Organizational unit,Funding & Counterbalancing Capacity,1030
Organizational unit,Large Corporate Loans,1432
Organizational unit,Trade & Receivable Finance Products,2270
Empty group,Accounting structure and structure responsible for payment,31
Organizational unit,IMI CIB Budget and Cost Monitoring,1228
Organizational unit,Brokerage & Execution,216
Organizational unit,E-Commerce Distribution,795
Organizational unit,Financial Institutions Solutions London - IMI CIB Division,970
Organizational unit,Corporate Solutions,556
Organizational unit,Global Markets Sales London - IMI CIB Division,1056
Organizational unit,Equity Derivatives Sales,844
Organizational unit,Cash and Securities Reconciliations,305
Organizational unit,Investigations and AML Sanction Filtering,1391
Position,Foreign Specialist - Regional Management,1008
Position,Foreign Development Specialist,1004
Position,GTB Trade specialist,1038
Organizational unit,Servicing Bank,2104
Organizational unit,Territorial Consulting,2240
Organizational unit,Credit Legal Support,606
Organizational unit,Incident Management and Monitoring,1286
Organizational unit,Supply Chains and Application Management,2208
Organizational unit,ORMDs and Performance Management,1642
Organizational unit,Governance and Management Systems,1081
Empty group,Certification bodies,346
Organizational unit,Management Accounting Reconciliation,1517
Organizational unit,Division Reporting,785
Organizational unit,Operations Credits and Accounts,1666
Organizational unit,Bank services,170
Organizational unit,Transactional,2281
Organizational unit,Group Customer Database,1102
Organizational unit,Operations Transaction Banking and Financial Institutions,1673
Organizational unit,Operations coordination,1675
Empty group,Data Technology Owner,715
Organizational unit,Data Technology,713
Organizational unit,Data Control and Methodologies,693
Organizational unit,Data Center of Government and Data Quality,692
Organizational unit,Data Quality supervision,711
Organizational unit,Digital Branch,757
Organizational unit,Foreign Transactional,1009
Organizational unit,"Italian Accounts, Foreign Banks",1412
Organizational unit,Group Liquidity Risk,1107
Organizational unit,Economic and Asset Data Analysis,810
Organizational unit,Corporate Consulting and Parent Company Governance Processes,542
Organizational unit,Welfare,2331
Organizational unit,Governance Internal Board Committees and Supervisory Body 231/2001,1076
Empty group,Competent ISP structure by subject,427
Person,Subsidiary Company,2180
Organizational unit,integrated risk reporting,2355
Position,MLT/Leasing specialist,1512
Organizational unit,Registry and Financial Instruments Administration,1970
Organizational unit,Capital Management,295
Organizational unit,RAF & Risk Policies,1914
Organizational unit,ICAAP & ILAAP,1214
Organizational unit,"Planning, Capital Management & Recovery Plan",1800
Organizational unit,Funding Plan,1032
Empty group,Business structure,250
Position,Factoring specialist,917
Empty group,Head of Management,1165
Organizational unit,NPE Summary and Controls,1598
Organizational unit,Governance Systems and Processes & Business Conduct Advisory,1078
Person,Customer,655
Organizational unit,Management of OTC Derivative Confirmations,1530
Organizational unit,BDT Corporate Solutions,145
Empty group,The Supervisor,2257
Organizational unit,Regulatory Reporting,1976
Organizational unit,Finance and Data Governance,960
Organizational unit,Data Governance,694
Organizational unit,Recovery & Resolution Plan,1952
Organizational unit,Controller International Network,508
Organizational unit,ISBD Asset & Liability Management,1245
Person,Group company,1122
Organizational unit,Euro Money Market,857
Organizational unit,Securities Services,2088
Organizational unit,Financial Institutions Products,969
Organizational unit,Financial Institutions Cash Management Sales,968
Organizational unit,Support Subsidiaries and New Business,2211
Organizational unit,IT Regulatory Impact Analysis,1279
Empty group,Second level structure,2076
Organizational unit,Organization Other Governance Functions,1688
Organizational unit,"Finance Organization, Capital Markets and Synthesis Systems",956
Organizational unit,Organization of Control Functions,1691
Organizational unit,International Network Organization IMI CIB and other Sectors,1348
Organizational unit,Credit Organization,612
Organizational unit,BdT and Private organization,192
Organizational unit,ISBD Organization,1249
Organizational unit,Organization Head Office & Domestic Network IMI CIB,1687
Organizational unit,Central Management Group Supervisory Strategic Steering,327
Position,Intesa Sanpaolo Agents4You collaborator,1355
Organizational unit,Central Institutional Affairs Directorate,324
Organizational unit,International Public Affairs,1349
Empty group,GAF-ISP Life Regulatory Agenda,1034
Empty group,structure involved,2363
Organizational unit,Group Regulatory Evolution Agenda,1112
Empty group,Corporate bodies,568
Organizational unit,Data Center Service Execution,691
Organizational unit,Retail Finance,2035
Organizational unit,Integrated Management of Values,1318
Person,Counting room,589
Organizational unit,Financial Products Regulation,974
Organizational unit,CIB Commodity Solutions,263
Person,External custodian,883
Organizational unit,Vault,2322
Empty group,Branch with internal warehouse,215
Empty group,Manager,1534
Organizational unit,Supranational Agencies Origination,2213
Empty group,Project leader,1879
Empty group,Project team,1881
Empty group,Operational Representative,1652
Person,Supplier Operational Representative,2203
Empty group,Local Bank Operations Support,1474
Empty group,Local CSIRT/Local ISO,1475
Empty group,Global Resilience & Complex Incident Management (GRe.CIM),1068
Organizational unit,"Liquidity, Capital Measurement and Value Governance",1466
Organizational unit,TIT - DC Group Treasury and Finance,2216
Organizational unit,Strategic Asset & Liability Management,2131
Empty group,Purchasing body,1910
Person,Unit in Charge,2310
Organizational unit,Artistic heritage,106
Person,Body that owns the artistic assets,206
Person,Recipient of the goods,1942
Organizational unit,Real Estate Appraisals and Integrated Logistics,1934
Organizational unit,Special Regulations,2118
Empty group,Organizational unit manager,1698
Person,Society,2111
Organizational unit,Personnel and Network Assistance - Regional Management,1784
Empty group,CIB employee,275
Empty group,Central Management Structure,329
Empty group,Territorial structure,2250
Organizational unit,ECM Origination,802
Organizational unit,Engagement Committee - IMI CIB Division,826
Organizational unit,Corporate Finance BDT,545
Position,Head of Structured Finance - Investment Banking & Structured Finance Department,1175
Organizational unit,FICC Sales,901
Organizational unit,Financial Institution Solutions,966
Position,Head of Loan Syndication - Global Markets Solutions & Financing Department,1164
Organizational unit,Loan Agency & Portfolio Management,1468
Organizational unit,Loan Management and Advisory,1470
Organizational unit,Sovereign Wealth Funds,2116
Organizational unit,Financial Sponsor Group,977
Organizational unit,Legal - Foreign Branch Hub,1440
Organizational unit,Legal Advisory Structured Finance and OtS,1449
Organizational unit,Leasing improvement,1438
Organizational unit,Lending Support,1461
Organizational unit,Trade Finance GTB,2273
Organizational unit,Banks of the International Subsidiary Banks Division,178
Organizational unit,Intesa Sanpaolo Brasil S.A. - Multiple bank,1364
Organizational unit,Banca Intesa (Russian Federation),149
Organizational unit,Intesa Sanpaolo Bank Ireland Plc,1359
Organizational unit,Data Quality Accounting and Supervision and Operational Reporting,707
Organizational unit,Payments,1747
Organizational unit,Intesa Sanpaolo Bank Luxembourg S.A.,1361
Organizational unit,Payment systems,1746
Person,ISP Group Insurance Company,1254
Organizational unit,Accounting & Operations - Foreign Branch,24
Organizational unit,Accounting & Administration - Foreign Branch Hub,20
Organizational unit,Central Organization Directorate,333
Organizational unit,Network Management,1615
Organizational unit,Cash Products and Payment Management,304
Organizational unit,International Network - DBP Business Areas,1347
Organizational unit,Property Management,1884
Organizational unit,Administrative obligations of instrumental companies,48
Person,Supplier,2202
Organizational unit,"Asset, Advisory and Property Management",117
Organizational unit,Program Management,1873
Organizational unit,Analysis of the Territory and Positioning Strategies,72
Organizational unit,Global Markets Solutions & Financing Department - IMI CIB Division,1060
Organizational unit,Investment Banking & Structured Finance Department - IMI CIB Division,1394
Organizational unit,Financial Control & Daily P&L,964
Organizational unit,Internal Systems Market and Counterparty Risks,1331
Organizational unit,Derivatives,744
Organizational unit,Legacy Infrastructure Solutions,1439
Organizational unit,Domain Credits,789
Organizational unit,Industrial Accounting,1292
Organizational unit,Structured Finance Desk - Hong Kong,2164
Organizational unit,Desk Structured Finance - New York,752
Organizational unit,London Branch - International Structured Finance Desk - IMI CIB Division,1490
Position,Credit Officer International Network,610
Organizational unit,Concession Real Estate and Securitization BdT,473
Organizational unit,BdT Structured Finance Concession,190
Organizational unit,Credit Administration - New York,595
Organizational unit,Credit Administration - Hong Kong,594
Organizational unit,"Rating Desk Real Estate, International and Foreign Banks",1924
Organizational unit,North West Tuscany and Umbria Pricing Desk,1636
Organizational unit,Portfolio Analysis & Business Coordination,1804
Organizational unit,North East Center and South Pricing Desk,1633
Organizational unit,Capital Structure Trading,301
Organizational unit,Equity & Credit Synthetic Trading,840
Organizational unit,Securitized Products & Loans Trading,2092
Organizational unit,Global Markets Development,1054
Organizational unit,Structured Equity Risk Trading,2160
Organizational unit,Equity Volatility Trading,848
Organizational unit,Flow Credit Trading,992
Organizational unit,Global Markets Trading,1061
Person,Fideuram Intesa Sanpaolo Private Banking - Execution Desk,928
Organizational unit,Investment Strategies,1402
Person,Fideuram Intesa Sanpaolo Private Banking - Finance Middle Office,929
Organizational unit,Forex Money Market & Collateral Management,1017
Organizational unit,Domain Investments,791
Organizational unit,FI Network Management,898
Organizational unit,Logistics Services,1486
Organizational unit,GTB Support,1037
Organizational unit,Global Custody,1049
Empty group,Bank of Italy,169
Organizational unit,Parent Company Compliance,1734
Organizational unit,Funding Collateral Management and Monitoring,1031
Organizational unit,Cybersecurity Controls and Certifications,663
Organizational unit,ICT Compliance,1216
Organizational unit,Capital Measurement and Governance of Value,300
Organizational unit,Planning and Budgeting,1797
Organizational unit,Reyl Intesa Sanpaolo,2043
Organizational unit,country risk,2343
Organizational unit,Management Committee,1518
Organizational unit,Territorial Consulting Florence,2241
Organizational unit,Territorial Consulting Milan,2242
Organizational unit,Territorial Consulting Rome,2243
Organizational unit,Naples Territorial Consulting,1602
Organizational unit,Turin Territorial Consulting,2301
Organizational unit,"Credit, Trade Finance and Specialist Finance",641
Organizational unit,Padua Territorial Consulting,1732
Organizational unit,Legal Advisory IMI CIB loans,1446
Organizational unit,Structured Finance Desk - Hub London Branch,2165
Organizational unit,Risk Transfer & Financing,2054
Organizational unit,Operations - New York,1663
Organizational unit,Accounting & Operations - Shanghai,26
Organizational unit,Operations - Hong Kong,1661
Organizational unit,Warranty Management,2328
Position,Head of Accounting & Operations,1140
Organizational unit,Channels,352
Organizational unit,Marketing Coordination and Retail Financing,1565
Organizational unit,Savings products,2074
Organizational unit,Protection and Welfare,1889
Organizational unit,"Partnerships, Loyalty and Acquisition",1741
Organizational unit,Pricing - BdT Division,1820
Position,Territorial Coordination Specialist for Products and Segments - Regional Management,2246
Organizational unit,Service contracts,2100
Empty group,SLM users,2062
Empty group,ECM ISP IMI SEC,799
Organizational unit,Legal Advisory Corporate Finance,1442
Organizational unit,ECM London - IMI CIB Division,800
Organizational unit,London Branch - Legal - IMI CIB Division,1491
Organizational unit,ECM Transactions,804
Empty group,Compliance ISP IMI SEC,451
Organizational unit,Executive Management,868
Organizational unit,Equity Capital Markets,842
Organizational unit,Human Resources Management - IMI CIB Division,1211
Organizational unit,Work Transformation,2332
Organizational unit,Deal Advisory,723
Organizational unit,Titles,2267
Empty group,Legal ISP IMI SEC,1456
Empty group,Debt Syndication ISP IMI SEC,727
Organizational unit,Intesa Sanpaolo IMI Securities Corporation - Chief Executive Officer,1370
Empty group, ISP IMI SEC US Brokerage & Equity Sales,2
Organizational unit,Holdings,1205
