activityType,activityCategory,activity,activityID
process activity,Commercial,Inform the customer of the methods for forwarding the documentation pertaining to him,13081
process activity,Operational,Save the proposal and send it to the customer together with the pre-contractual documentation,21112
process activity,Commercial,"Deliver, have the COVIP Cost Form signed and attached",8997
process activity,Operational,Carry out any cancellation of the operation during the day,2879
process activity,Commercial,Complete the relevant parts of the documentation signed by the Company,7680
process activity,Commercial,Comply with the behavioral obligations established by law,7705
process activity,Commercial,Consult the summary of the offer and proceed with sending it to the Customer for acceptance or refusal,8112
process activity,Commercial,Support the Company in compiling and signing the Company Agreement and the Operating Agreement,23583
process activity,Operational,Check the customer's consent to receive remote offers,5629
process activity,Operational,Monitor the status of the submitted proposal,15206
process activity,Commercial,Carry out the preliminary activities in order to recontact the customer who wants to join the branch pension fund,3688
process activity,Commercial,Present the characteristics of the product to the employees of the Company,17091
process activity,Operational,Verify the customer's consent to the receipt of Remote Offers and the consequent delivery of the documentation exclusively in dematerialized format,26847
process activity,Operational,Send the form to the Company and file a copy in the branch,22103
process activity,Operational,Carry out the preliminary activities in the General Registry,3689
process activity,Commercial,Present the methods of signing the company agreement,17099
process activity,Commercial,Deliver the mandatory pre-contractual and contractual documentation,8965
process activity,Operational,"Deliver, have it signed and attached COVIP Cost Sheet",8996
process activity,Professional,Proceed - when the ONP does not hold a current account - to open it and fill in the Evaluation Form,17275
process activity,Professional,Retrieve information on the ONP and check if you meet the admission requirements,20873
process activity,Professional,Retrieve reputational risk information and carry out the analyzes within its competence,20879
process activity,Professional,"For Third Value, analyze the project file and start the social, project and credit investigations",11530
process activity,Professional,Draw up the relevant Overall Financial Judgment,9435
process activity,Professional,Issue the appropriate resolutions,13484
process activity,Professional,Carry out the actions resulting from the different types of projects,3321
process activity,Operational,Manage the loading of the relevant personal profile on the platform with the NPO,14621
process activity,Commercial,Communicate the continuation of the procedure to the ONP,7129
process activity,Operational,Generate and return the numeric key to be entered on the platform,11959
process activity,Professional,Conclude the credit investigation,7721
process activity,Professional,"Evaluate the information retrieved, manage the proposal process and sign the contractual documentation",10500
process activity,Professional,Retrieve information related to AML and financial data and make an overall financial opinion,20874
process activity,Professional,"Receive the Evaluation Form and check the completeness of the completed sections, then send it to the competent Structure for subsequent evaluation",19024
process activity,Professional,Finalize the analyzes related to the calculation of the operation rating,11384
process activity,Operational,Send the documentation for compliance and data quality safeguards,22013
process activity,Operational,Notify Sign-Off,15314
process activity,Operational,Enter the operation in the system,9983
process activity,Operational,"Submit the market due diligence on the quota ""to share"" (HTCS)",23366
process activity,Commercial,Include the clauses relating to the transferability / salability of the credit in the contractual documentation,12916
control activity,Other,Verify the updating of the data in the system in case of uncompleted operations,27280
process activity,Operational,Validate the operation in the system,24746
process activity,Operational,Upload and certify the HTC and HTCS quotas into the system and check related obligations,24453
process activity,Professional,Proceed with the Sign-Off of the HTCS shares,17351
process activity,Professional,Deliberate HTC share,8852
process activity,Professional,Carry out the relevant due diligence,3775
process activity,Professional,Start the deliberation process for the HTC share,22834
process activity,Professional,Approve the exceeding of the limits and/or sub-limits of the HTCS ceiling,1761
process activity,Professional,Check contractual clauses,4272
process activity,Professional,Proceed with sending and recording the Sign-Off approval,17347
control activity,Other,Check the data entered in the system,5654
process activity,Professional,Proceed with checks relating to compliance and data quality safeguards,17330
process activity,Professional,Mutual exchange of views,15243
process activity,Professional,Consider any changes to the proposed HTCS quota,7997
process activity,Operational,Send the OtS Technical Note,21852
control activity,Other,Verify the correct and complete compilation of the form,26194
process activity,Operational,Prepare reclassification of items to be disposed of,16578
process activity,Operational,Record accounting journal entries,19409
control activity,Other,Verify correct accounting entry of journal entries,25142
process activity,Operational,"Determine illiquid items on bank accounts, adjustments by settlement date and reconciliation of advances on installments due to the related credit report",9162
process activity,Operational,Configure new first or second level gate in the access control system,7765
process activity,Operational,Design and build a gate for access to a first or second level area,9024
process activity,Operational,Evaluate and authorize the request,10183
process activity,Operational,Request activation/deactivation of access gates to first or second level areas,20074
process activity,Operational,Contact the Client and check if the insured is alive,8138
process activity,Operational,Inform the person entitled of the need to request settlement for the claim,13096
process activity,Operational,Inform the Client of the need to request settlement by maturity,13004
process activity,Operational,Receive the list of expired policies,19157
process activity,Operational,Receive a list of prescription policies from the Companies,18434
process activity,Operational,Acquire from the Customer a written request for payment due to expiry,534
process activity,Professional,Prepare material for investors,16528
process activity,Professional,Analyze the impact of the transaction on the cost of credit,1505
process activity,Professional,Create any Data Room,8395
process activity,Professional,Initiate the credit transfer resolution process according to the current faculties,13142
process activity,Professional,Evaluate the need to classify performing positions as non-performing,10542
process activity,Professional,Define the investor to be proposed to the Deliberating Body,8731
process activity,Professional,Receive the final offers (Binding Offer) from Investors and manage any Negotiation Rounds,19136
process activity,Professional,Support the participants,23593
process activity,Professional,Provide contributions,17859
process activity,Professional,Acquire the evaluations and start the Binding Offer phase,631
process activity,Professional,Appoint Advisor,1713
process activity,Professional, Convene the Interfunctional Credit Transfer Table,71
process activity,Professional,Start the competitive auction process by contacting potential buyers,22819
process activity,Professional,Start the Binding Offer phase,22781
process activity,Professional,Gather contributions and direct them,11889
process activity,Professional,Request an appraisal of the buildings and/or movable assets,20087
process activity,Professional,Pre-alert the External Servicers who manage the positions,16131
process activity,Professional,Request the signing of the Non Disclosure Agreement (NDA),20703
process activity,Professional,Define the type of transfer,8823
process activity,Operational,Request operational support from the External Servicer for Non-Performing or Unlikely to Pay positions,20339
process activity,Professional,Define the final perimeter of the loan portfolio or Single Name above the threshold subject to transfer,8709
process activity,Professional,Review and evaluate the non-binding offers received and define shortlists for Binding Offers,20967
process activity,Professional,Evaluate the economic impacts of the sale of the loan portfolio and Single Name above the threshold in the light of the offers received,10447
process activity,Professional,Receive non-binding offers from Investors,18847
process activity,Professional,Structure the sale transaction in detail by identifying the positions subject to possible sale and the related transaction costs,22946
process activity,Professional,Define the list of investors to be invited to the auction,8740
process activity,Professional,Examine and evaluate the final offers (Binding Offer) received from investors,10790
process activity,Professional,Formulate opinion,11656
process activity,Professional,Consolidate the portfolio or the Single Name above the threshold on which to start the detailed analysis of the impact of the sale,8074
process activity,Professional,Request opening in the Insider List,20332
process activity,Professional,"Evaluate the transferability of the individual positions that make up the portfolio, or Single Name above the threshold, identified for the transfer",10718
process activity,Professional,Carry out an evaluation of the properties and furniture as collateral and send the evidence,2831
process activity,Professional,Identify potential investors,12390
process activity,Professional,"Draw up, according to the cases, the MOU",9441
process activity,Professional,Send the list of performing positions to verify the need for classification as non-performing,22154
process activity,Professional,Convene the Interfunctional Credit Transfer Table,8255
process activity,Professional,Create data rooms and functional information sets for the auction,8399
process activity,Professional,Prepare a datatape,16170
process activity,Professional,Provide support to auction participants,18116
process activity,Operational,Pay the deductions charged to the customer,15736
control activity,Other,Check the first note entered,5810
process activity,Operational,Complete the ISMEA reporting file,7601
control activity,Other,Check accounting ledgers,4126
process activity,Operational,Report to the ISMEA body,19954
control activity,Other,Verify the correct execution of the pre-processing,26360
process activity,Professional,Certify the calculated values,3957
control activity,Other,Check the correctness of the calculated values for the metrics,5535
control activity,Other,Verify the correctness/completeness of the input data,26817
process activity,Professional,Deliberate the practice,8871
control activity,Other,Verify the correct assumption of the resolution,26236
process activity,Professional,"For Mortgages to employees, request the authorisation/nulla osta in the foreseen cases",11520
control activity,Other,Verify the installment/income ratio and the absence of negative/prejudicial news,27004
process activity,Professional,Formalize the Proposal,11588
process activity,Professional,Explain the characteristics of the operation,10918
process activity,Professional,Finalize the renegotiation act and modify the spread in the procedure,11420
control activity,Other,Check the data entered in the procedure,5652
process activity,Professional,Finalize the renegotiation deed and have the declaration relating to the expenses incurred for the purpose of calculating the TEG signed,11422
control activity,Other,Verify the correctness of the data entered in the procedure,26664
process activity,Professional,Configure any insurance policies and combine them with financing,7762
process activity,Professional,Collect the signature of the renegotiation request and acquire the documentation,6728
control activity,Other,Verify completeness/correctness of documentation,25039
process activity,Professional,Request the spread waiver,20706
process activity,Professional,Prepare private writing,16567
process activity,Operational,Archive the documentation in the original and in electronic format,1892
process activity,Professional,Define the expenses for the purposes of calculating the TEG,8704
control activity,Other,Verify the correctness of the expenses for calculating the TEG set out in the procedure,26710
process activity,Professional,Define the expenses to determine TEG and collect the customer's signature on the Declaration,8705
control activity,Other,Verify the correctness of the Declaration of expenses incurred,26574
process activity,Professional,Settle expenses and interest in the case of mortgages with payment arrears,22433
process activity,Professional,Check if the customer is intercepted in a Retail Position Management process,4701
process activity,Professional,Acquire a copy of the Resolution,442
process activity,Professional,Carry out the investigation,3594
process activity,Professional,Print the Renegotiation Request and collect signatures,17202
control activity,Other,Verify completeness and correctness of the documentation,25029
process activity,Professional,Access the dedicated application and illustrate the characteristics of the operation,264
process activity,Professional,Start the renegotiation simulation,22892
common process activity,Operational,Identify and consequently register or update the personal data of the subject requesting the operation,12260
process activity,Operational,Facilitate the investigative activity of the FF.OO.,11082
process activity,Operational,Submit a formal complaint to the FF.OO.,22995
process activity,Operational,Send the documentation to the internal structures,22049
process activity,Operational,Promptly inform the internal structures,17742
process activity,Operational,Determine the extent of the damage suffered,9194
process activity,Professional,Send the initiative launch communication,22132
process activity,Professional,Make data available to control functions,13894
process activity,Professional,Evaluate positions flagged for inconsistent hesitation,10308
process activity,Professional,Structuring the initiative,22948
process activity,Professional,Reporting positions with inconsistent hesitation,19962
process activity,Professional,Work positions in assigned leads,27456
process activity,Professional,Report the processing to the territorial structures,19937
process activity,Professional,Trace the workings,23899
process activity,Professional,Update the processing statuses of the items,24361
process activity,Professional,Reporting,19961
process activity,Professional,Communicate the corrections to be made to the results of the positions in the initiative,7131
process activity,Professional,Make the list of lead positions visible,14026
control activity,Operational,Check loading locations,4760
process activity,Professional,Make the mandatory communication to the Bodies,14030
process activity,Professional,Fix errors,11465
process activity,Professional,Prepare and send the file for system update,16307
control activity,Other,Check the received file,6052
process activity,Professional,Accept the appointment as person in charge of data processing,213
process activity,Professional,Send the letters of communication of successful transfer of the company branch,22147
process activity,Professional,Integrate and send the file containing the serial numbers,13301
process activity,Professional,Carry out a load in simulation mode,2768
process activity,Operational,Submit the list of employees,23359
process activity,Operational,Upload file to system,24485
process activity,Professional,Request the correction of any errors,20520
process activity,Operational,Extract and send employee file,10983
process activity,Professional,Ask the managers for the monthly balancing,2097
process activity,Operational,Acknowledge the evidence regarding provisions for litigation,425
control activity,Other,Verify the correctness of the amounts,26608
process activity,Professional,Transmit value adjustments on non-performing loans with technical form 416,24044
control activity,Other,Verify the complete communication of the ROs on FT 416,25956
process activity,Professional,Evaluate the proposal exceeding the faculty of the Servicer,10636
process activity,Professional,Manage the haircut where present,14599
process activity,Professional,Make a proposal for the disbursement of the provision for risks and other charges,13816
process activity,Professional,Carry out the preliminary filter on the proposed resolution out of autonomy,3715
control activity,Professional,Verify the proposed resolution out of autonomy,27169
process activity,Professional,Report the allocation to the Provision for Risks and Miscellaneous Charges,19852
control activity,Other,Verify the consistency of the provisions,26106
process activity,Professional,Review documentation to determine position valuation,20979
control activity,Other,Check the completeness/update of the supporting documentation,5331
process activity,Professional,Approve/formulate a value adjustment opinion,1788
control activity,Other,Verify the correct registration of resolutions in the system,26453
process activity,Professional,Identify the analytical evaluations to be carried out,12444
process activity,Professional,Propose any provision/variation to the provision for risks and other charges,17757
process activity,Professional,"Carry out the analytical evaluation of the position, insert the return forecast and prepare the proposed resolution",3399
control activity,Other,Verify congruence of the repayment plan,25101
control activity,Other,Verify the correct identification of the Deliberating Body,26379
process activity,Professional,Carry out the preliminary filter and approve the proposal for allocation or disbursement to the Provision for Risks and Miscellaneous Charges,3713
control activity,Other,Check the proposed provision or disbursement to the Provision for Risks and Miscellaneous Charges,6029
process activity,Professional,Carry out the preliminary filter on the proposed resolution out of autonomy for positions in external management beyond the limits of the Servicer,3716
process activity,Professional,Start the approval process,22806
process activity,Professional,Record the credit risk provisions,19440
control activity,Other,Verify the correct attribution,26237
process activity,Commercial,Fulfill the fulfilments envisaged by the provisions on Transparency,11838
process activity,Professional,Verify compliance with anti-money laundering obligations,25047
process activity,Operational,Enter the data for starting the report,9843
process activity,Commercial,Define with the customer - for the operation that does not have to be agreed through the Agreed function - the rate to apply,8834
process activity,Operational,Archive the documentation produced,1893
process activity,Operational,Ascertain the Client's powers to perform the requested operation,2007
process activity,Commercial,"Verify, formalize and exchange the contractual documentation with the Customer",27319
process activity,Professional,Fulfill the fulfilments foreseen by the IGA and CRS regulations,11840
process activity,Professional,Verify the Client's position and the characteristics of the requested operation,25803
process activity,Operational,Carry out - for the operation that must be agreed through Agreed functionality - the foreseen activities,2681
process activity,Professional,Carry out - for operations with derogated conditions - the foreseen activities,2680
process activity,Operational,"Communicate any official revision of the ""law"" classification",6811
process activity,Professional,Check classification,4229
process activity,Operational,Print the official classification review notice,17242
process activity,Operational,Communicate the entitlement classification to the customer,7184
process activity,Operational,Print or reprint the classification letter,17186
process activity,Operational,Manage any consequences of a loss of Professional Client qualifications,14202
process activity,Operational,Remove anomalies,19690
control activity,Other,Evaluate the adequacy of the amounts,10362
process activity,Operational,Report the anomalies to be removed,19855
process activity,Operational,Generate Central Risk archives,11949
process activity,Operational,Request the regeneration of the historical archive,20678
control activity,Other,Check for tape waste,4577
process activity,Operational,Queue the flows relating to the foreign branches,18337
process activity,Operational,Request the generation of Central Risk archives,20577
process activity,Operational,Communicate the arrangements made,7061
process activity,Operational,Regenerate the Central Risk archives,19537
control activity,Other,Check the reported anomalies,6094
process activity,Operational,Make manual adjustments,13909
process activity,Operational,Prepare and transmit the flow,16367
process activity,Operational,Send confirmation email,21428
process activity,Operational,Archive the document,1886
process activity,Operational,Publish the document,18258
process activity,Operational,Receive the document,19107
process activity,Operational,Check the contents of the document,5417
process activity,Operational,Validate and authorize the communication of 'impossibility' to follow up on the request received,24645
