risk,riskID,riskType,financialDisclosureRisk
Incorrect valorisation of accounting masters,2030,Financial Information Risk (ex 262/2005),True
Incorrect data processing,1457,Other risks (operational),False
Incorrect calculation of credit risk metrics,1289,Other risks (operational),False
Incomplete and/or incorrect input data,815,Other risks (operational),False
Wrong adoption of the resolution,2944,Financial Information Risk (ex 262/2005),True
Installment amount exceeding the set limit,2121,Other risks (operational),False
Error in the variation of the spread,366,Financial Information Risk (ex 262/2005),True
Incorrect data entry in the procedure,1431,Financial Information Risk (ex 262/2005),True
Incorrect or incomplete documentation,1762,Financial Information Risk (ex 262/2005),True
Incorrect calculation of the TEG,1305,Financial Information Risk (ex 262/2005),True
Wrong/incomplete documentation,3227,Financial Information Risk (ex 262/2005),True
Incorrect loading of positions,1681,Other risks (operational),False
Incorrect compilation of the file,1376,Other risks (operational),False
Incorrect accounting of provisions,1110,Financial Information Risk (ex 262/2005),True
ROs not transmitted for accounting,2629,Financial Information Risk (ex 262/2005),True
Incorrect evaluation,1571,Financial Information Risk (ex 262/2005),True
Wrong provision,3161,Financial Information Risk (ex 262/2005),True
Incomplete/outdated documentation and verifications,941,Financial Information Risk (ex 262/2005),True
Incorrect registration of the resolution,1906,Financial Information Risk (ex 262/2005),True
Incorrect entry of the return plan,1564,Financial Information Risk (ex 262/2005),True
Resolution carried out without management faculties,2677,Financial Information Risk (ex 262/2005),True
Incorrect provision proposal,1878,Financial Information Risk (ex 262/2005),True
Incorrect allocation of provision,1170,Financial Information Risk (ex 262/2005),True
Incorrect waste management,2044,Financial Information Risk (ex 262/2005),True
Incorrect data,1413,Financial Information Risk (ex 262/2005),True
Activity performed incorrectly,87,Other risks (operational),False
Incorrect or incomplete accounting,1735,Financial Information Risk (ex 262/2005),True
Presence of names in the Black List,2566,Other risks (operational),False
EMIR/DFA default due to incorrect margin calculation,346,Financial Information Risk (ex 262/2005),True
Incorrect faculty application,1595,Financial Information Risk (ex 262/2005),True
Incorrect entry into the system of the resolution,1531,Financial Information Risk (ex 262/2005),True
Incorrect proposed resolution,1876,Financial Information Risk (ex 262/2005),True
Incorrect Covenant data,1053,Financial Information Risk (ex 262/2005),True
Inconsistency between the economic conditions indicated in the Contract and what is present in the System,964,Financial Information Risk (ex 262/2005),True
Incorrect identification of Subjects empowered to sign,1625,Financial Information Risk (ex 262/2005),True
Documentation acquired incomplete or inadequate,335,Other risks (operational),False
Contract drafts incorrectly completed,212,Financial Information Risk (ex 262/2005),True
Wrong inclusion of covenants in the contract,3094,Financial Information Risk (ex 262/2005),True
Incorrect determination of cost items,1488,Financial Information Risk (ex 262/2005),True
Incorrect system power supply,1980,Financial Information Risk (ex 262/2005),True
Incorrect decision-making authority,1474,Financial Information Risk (ex 262/2005),True
Incorrect entry into the system,1530,Financial Information Risk (ex 262/2005),True
Incorrect expense accrual,1588,Financial Information Risk (ex 262/2005),True
Incorrect flow capture and/or incorrect data,1614,Other risks (operational),False
Incomplete and/or incorrect acquisition of flows,797,Other risks (operational),False
Incomplete and/or incorrect data entry,806,Financial Information Risk (ex 262/2005),True
Incorrect data entry,1428,Financial Information Risk (ex 262/2005),True
Sending incorrect data,2768,Financial Information Risk (ex 262/2005),True
Incorrect data entry,1428,Other risks (operational),False
Incorrect compilation,1363,Financial Information Risk (ex 262/2005),True
Incorrect data entered,1423,Financial Information Risk (ex 262/2005),True
Incorrect integrated data,1654,Financial Information Risk (ex 262/2005),True
Incorrect preparation of the signage base,1854,Financial Information Risk (ex 262/2005),True
Wrong / failure to send the report,2915,Other risks (operational),False
Incomplete and/or incorrect COREP-Tagetik Package data,795,Financial Information Risk (ex 262/2005),True
Incomplete and/or incorrect acquisition,796,Other risks (operational),False
Inconsistent received data,1018,Other risks (operational),False
Incorrect data received,1459,Other risks (operational),False
Incorrect payment,1815,Other risks (operational),False
Incorrect accounting/imputation of data in the financial statements,1144,Financial Information Risk (ex 262/2005),True
Reports sent incomplete,2669,Other risks (operational),False
Wrong Invoice,2926,Financial Information Risk (ex 262/2005),True
Possible regulatory violation in terms of AML/CTF or countering the financing of terrorism,2513,Other risks (operational),False
Operation performed incorrectly,2428,Other risks (operational),False
Payment entered with errors,2460,Other risks (operational),False
Wrong data entered,3032,Financial Information Risk (ex 262/2005),True
Failure to upload documentation,691,Other risks (operational),False
Wrong data entered,3032,Other risks (operational),False
Unauthorized signatures,2850,Other risks (operational),False
Incorrect and/or incomplete rectified data,1218,Financial Information Risk (ex 262/2005),True
Data errors or anomalies,268,Financial Information Risk (ex 262/2005),True
Data errors and/or anomalies,267,Financial Information Risk (ex 262/2005),True
Incorrect data entered into the system,1425,Other risks (operational),False
Incomplete and/or inconsistent data,790,Financial Information Risk (ex 262/2005),True
Failure to send the reporting flow,668,Other risks (operational),False
Presence of outstanding reliefs,2571,Financial Information Risk (ex 262/2005),True
Incorrect automatic processing of the printout,1274,Financial Information Risk (ex 262/2005),True
Wrong manual and/or automatic processing of contributions,3116,Financial Information Risk (ex 262/2005),True
Incorrect manual processing of the contribution statement,1708,Financial Information Risk (ex 262/2005),True
Incorrect manual entry of credit for contributions.,1707,Financial Information Risk (ex 262/2005),True
 Incorrect registrations on accounting ledgers or missing contributions to be received,33,Financial Information Risk (ex 262/2005),True
Incorrect entries in the accounting ledgers or failure to collect contributions due by the Entity,1525,Financial Information Risk (ex 262/2005),True
Amount of contributions paid by the institution different from the amount requested,97,Financial Information Risk (ex 262/2005),True
Wrong identification,3091,Financial Information Risk (ex 262/2005),True
Incorrect decision-making process,1475,Financial Information Risk (ex 262/2005),True
Incorrect and/or incomplete communication/documentation,1197,Financial Information Risk (ex 262/2005),True
Incorrect and/or incomplete documentation,1203,Financial Information Risk (ex 262/2005),True
Wrong reconciliation of payments,3169,Financial Information Risk (ex 262/2005),True
Mastrini not correctly reset,2224,Financial Information Risk (ex 262/2005),True
Incorrect payments,1828,Financial Information Risk (ex 262/2005),True
Incorrect accounting,1078,Financial Information Risk (ex 262/2005),True
Incorrect balance of payments,1275,Financial Information Risk (ex 262/2005),True
Lack of consistency with multi-year forecasts,2157,Other risks (operational),False
Inaccuracy of processed data,754,Other risks (operational),False
Lack of consistency of the estimate of capital indicators with the RAF limits,2156,Other risks (operational),False
Incorrect compilation of the summary report,1380,Financial Information Risk (ex 262/2005),True
Incorrect calculation or accounting of the recovered or returned contribution,1320,Financial Information Risk (ex 262/2005),True
Incorrect accounting of collected contributions,1093,Financial Information Risk (ex 262/2005),True
Accounting squaring,75,Financial Information Risk (ex 262/2005),True
Squaring in account balances,2793,Financial Information Risk (ex 262/2005),True
Wrong entry in accounting,3062,Financial Information Risk (ex 262/2005),True
Possible squaring in sales,2519,Financial Information Risk (ex 262/2005),True
Wrong accounting suspended,2938,Financial Information Risk (ex 262/2005),True
Opinion not respected,2439,Legal and non-compliance,False
Validation of a List containing incorrect data,2893,Other risks (operational),False
Incomplete names,880,Other risks (operational),False
Incorrect closing of PVs against the Service Account,1356,Financial Information Risk (ex 262/2005),True
Wrong closing PV,3007,Financial Information Risk (ex 262/2005),True
Wrong currency/Euro conversion,3027,Financial Information Risk (ex 262/2005),True
"Maintain the correct management of the Service Account,",2209,Financial Information Risk (ex 262/2005),True
Operation not permitted,2426,Other risks (operational),False
Unavailable data and/or failure to transfer knowledge and/or delay in preparing data,2855,Financial Information Risk (ex 262/2005),True
Incorrect or incomplete data,1750,Financial Information Risk (ex 262/2005),True
Incorrect or inconsistent data,1787,Financial Information Risk (ex 262/2005),True
Formal errors in reporting,725,Financial Information Risk (ex 262/2005),True
Incorrect / incomplete data,1043,Financial Information Risk (ex 262/2005),True
Incomplete or incorrect documentation,887,Other risks (operational),False
Failure to comply with the maximum processing times,525,Other risks (operational),False
Incorrect entry of data,1535,Other risks (operational),False
Incorrect delivery order,1485,Other risks (operational),False
Wrong metal delivery,3120,Other risks (operational),False
Models to be sent to the EIB incomplete,2321,Financial Information Risk (ex 262/2005),True
Wrong amounts,2953,Financial Information Risk (ex 262/2005),True
Organization still exposed to the type of threat detected,2440,Other risks (operational),False
Incorrect classification (and consequent management) of the event,1348,Other risks (operational),False
Incorrect / incomplete data entry,1044,Other risks (operational),False
Existence or occurrence of unauthorized operations,406,Other risks (operational),False
Incompatible loan request,773,Other risks (operational),False
Missed or incorrect update,2292,Other risks (operational),False
Check the contents of the confidentiality agreement,185,Other risks (operational),False
Failure to collect installments,492,Financial Information Risk (ex 262/2005),True
Wrong operation,3123,Financial Information Risk (ex 262/2005),True
Possible regulatory violation in terms of Embargoes/AML/CTF or fight against the financing of terrorism,2514,Other risks (operational),False
Check the correctness of the entered data,188,Financial Information Risk (ex 262/2005),True
Check the correctness and consistency of the data entered,186,Financial Information Risk (ex 262/2005),True
Missed or incorrectly charged fees or expenses,2294,Financial Information Risk (ex 262/2005),True
Check the correctness of the entered data,188,Other risks (operational),False
Possible violation of restrictions on petroleum and petrochemical products,2523,Other risks (operational),False
Verify correctness of entered data to authorize,2900,Financial Information Risk (ex 262/2005),True
Sending incomplete/correct data,2766,Other,False
Sending incorrect and incomplete data,2767,Other,False
Incorrect loading of accounting data,1671,Other,False
Incomplete/inconsistent upload of accounting data,936,Other,False
Sending incomplete and/or incorrect template,2764,Other,False
Invalid powers of representation of the Public Body,2127,Other risks (operational),False
Incorrect billing count,1279,Financial Information Risk (ex 262/2005),True
Incorrect/incomplete compilation and signing of the contract,2061,Other risks (operational),False
Incorrect/incomplete entry of data into the system,2080,Financial Information Risk (ex 262/2005),True
Incorrect/incomplete data for IFRS16 purposes,2075,Financial Information Risk (ex 262/2005),True
Wrong payment made,3145,Financial Information Risk (ex 262/2005),True
Risk of incorrect and/or incomplete updating of contracts,2716,Financial Information Risk (ex 262/2005),True
Rent not congruent with the market,2654,Other risks (operational),False
Deal representation on Front Office system incorrect,303,Other risks (operational),False
Incorrect census/counterparty identification,1340,Financial Information Risk (ex 262/2005),True
Incorrect entry of data into the system,1540,Financial Information Risk (ex 262/2005),True
Incorrect and/or incomplete catalogue,1196,Other risks (operational),False
Price list inconsistent with Catalogue,2600,Other risks (operational),False
Qualitative and/or quantitative mismatches,2625,Other risks (operational),False
Wrong execution of SPPI Test,3078,Financial Information Risk (ex 262/2005),True
Wrong order cancellation,3139,Other risks (operational),False
Wrong census,2996,Other risks (operational),False
Presence of errors in the documentation object of reporting on a monthly basis,2551,Other risks (operational),False
Incorrect accounting of the amounts relating to Banca Fideuram,1116,Financial Information Risk (ex 262/2005),True
Incorrect preparation of the accounting phase,1852,Financial Information Risk (ex 262/2005),True
Incorrect processing of accounting flows,1863,Financial Information Risk (ex 262/2005),True
Incorrect accounting on accounting ledgers,1139,Financial Information Risk (ex 262/2005),True
Presence of errors in the deadline communication letters,2550,Other risks (operational),False
Presence of errors in the documentation relating to the daily securities reporting,2552,Other risks (operational),False
Presence of errors in consistency letters and MiFID questionnaires,2547,Other risks (operational),False
Incorrect data,1413,,False
Mismatch,2261,Financial Information Risk (ex 262/2005),True
Incorrect amounts entered,1175,Financial Information Risk (ex 262/2005),True
Spread of malware infections at the perimeter of managed systems,2788,Other risks (operational),False
Permanence of compromised machines within the perimeter of the managed systems,2469,Other risks (operational),False
Wrong preparation of the text,3156,Financial Information Risk (ex 262/2005),True
Incorrect completion of forms,1382,Financial Information Risk (ex 262/2005),True
Incorrect registration of guarantees,1898,Financial Information Risk (ex 262/2005),True
Warranty certification signatures are missing,2911,Financial Information Risk (ex 262/2005),True
Wrong data upload,3039,Other risks (operational),False
Confidentiality commitment not compliant with company policies,203,Other risks (operational),False
Wrong commission accounting,3009,Financial Information Risk (ex 262/2005),True
Incomplete or incorrect Financial Engine power supply,883,Other risks (operational),False
Failure to meet cut-off,594,Financial Information Risk (ex 262/2005),True
You have encountered anomalies on the flows received,3251,Other risks (operational),False
Rejects found in data acquisition,2648,Financial Information Risk (ex 262/2005),True
Detected error reports at the end of processing,316,Financial Information Risk (ex 262/2005),True
Differences between input data and product reporting,321,Other risks (operational),False
Asset stock mismatch,130,Other risks (operational),False
Incorrect appraisal and/or warranty data not reported correctly in the system,1248,Financial Information Risk (ex 262/2005),True
Incorrect calculation of the competent Deliberating Body,1309,Financial Information Risk (ex 262/2005),True
Incorrect appraisal and/or preliminary notary report,1247,Financial Information Risk (ex 262/2005),True
Files processed by the Service that are incomplete or incorrect,709,Financial Information Risk (ex 262/2005),True
Failure to arrive,462,Financial Information Risk (ex 262/2005),True
Incorrect power supply,1841,Financial Information Risk (ex 262/2005),True
Failure to communicate,493,Financial Information Risk (ex 262/2005),True
Failure to cancel the operation,476,Financial Information Risk (ex 262/2005),True
Message not received by Banca d'Italia,2225,Other risks (operational),False
Incorrect census of perpetual bonds,1337,Financial Information Risk (ex 262/2005),True
Wrong census,2996,Financial Information Risk (ex 262/2005),True
Wrong census/lack of information,2999,Financial Information Risk (ex 262/2005),True
Anomalies in the data acquisition procedure,104,Financial Information Risk (ex 262/2005),True
Situations involving the termination of the insurance distribution activities not correctly identified,2786,Other risks (operational),False
Presence of prejudicial news,2578,Other risks (operational),False
Incorrect filing of documents,1604,Financial Information Risk (ex 262/2005),True
Presence of squares,2584,Financial Information Risk (ex 262/2005),True
Possible error in the calculation of the TEG,2486,Financial Information Risk (ex 262/2005),True
Prices perimeter not complete,2602,Financial Information Risk (ex 262/2005),True
Inconsistent prices,1014,Financial Information Risk (ex 262/2005),True
Database of test environments not aligned with the production environment and data breach.,298,Information and Communication Technology risk,False
Incorrect or not compliant data,1808,Other,False
Incorrect date,1469,Other,False
Signature or powers not correct,2781,Other,False
Incomplete and incorrect data,784,Financial Information Risk (ex 262/2005),True
Incomplete and inconsistent data,781,Financial Information Risk (ex 262/2005),True
Incorrect table feeding,1983,Financial Information Risk (ex 262/2005),True
Processing anomalies,2610,Other risks (operational),False
Failure to establish security deposit,557,Other risks (operational),False
Non-execution of orders and misalignment of positions with the market,2389,Other risks (operational),False
Position misalignment,2480,Other risks (operational),False
Reporting errors,2664,Other risks (operational),False
No authorization,2332,Financial Information Risk (ex 262/2005),True
Inconsistent monthly data,1009,Financial Information Risk (ex 262/2005),True
Inconsistent balances,984,Financial Information Risk (ex 262/2005),True
Incorrect / incomplete accounting (provisional),1036,Financial Information Risk (ex 262/2005),True
"Incorrect integration registration, arrangement and provision of non-autom. credits.",1656,Financial Information Risk (ex 262/2005),True
Wrong loading of investigations,3108,Financial Information Risk (ex 262/2005),True
Incorrect completion of the form,1384,Financial Information Risk (ex 262/2005),True
Errors in calculation,370,Financial Information Risk (ex 262/2005),True
Incorrect order entry,1810,Other risks (operational),False
Incomplete and/or incorrect submission of the report,823,Other risks (operational),False
Inconsistent information on reports,1007,Other risks (operational),False
Deal entered incorrectly,300,Financial Information Risk (ex 262/2005),True
Wrong indication of data,3098,Financial Information Risk (ex 262/2005),True
Incorrect signature powers for Confirmation signed by Customer,1949,Other risks (operational),False
Incorrect attribution of data with respect to the contractual documentation,1267,Financial Information Risk (ex 262/2005),True
Amount of the transaction higher than the one that can be proposed,99,Other risks (operational),False
Incorrect signatory powers on the Commodity proposal,1947,Other risks (operational),False
Incorrect attribution of the data entered with respect to the contractual ones,1270,Financial Information Risk (ex 262/2005),True
Incorrect signing powers on Commodity,1955,Other risks (operational),False
Check for consistency,182,Other risks (operational),False
Incorrect data entry with respect to the contractual conditions,1439,Financial Information Risk (ex 262/2005),True
Powers of signature on the contractual kit referring to the transaction concluded in Incorrect exchange rates,2527,Other risks (operational),False
Incorrect powers of signature on the Exchange Proposal to the Client,1847,Other risks (operational),False
Incorrect powers of signature formulated on the proposal in Changes directly to the Customer,1846,Other risks (operational),False
Incorrect data entry with respect to what is set out in the contractual documentation,1440,Financial Information Risk (ex 262/2005),True
Incorrect attribution of the economic conditions agreed with the customer,1271,Financial Information Risk (ex 262/2005),True
Powers of signature on the pre-contractual kit of incorrect rates,2528,Other risks (operational),False
Incorrect signing powers in the foreign exchange transaction,1954,Other risks (operational),False
Wrong imputation on uploaded data,3093,Financial Information Risk (ex 262/2005),True
Verify the consistency between the operation and the sales rules and/or that all the preliminary activities have been completed,2904,Other risks (operational),False
Powers of signature on the confirmation operation in Incorrect changes,2526,Other risks (operational),False
Wrong calculation of Fair Value (first validation),2976,Financial Information Risk (ex 262/2005),True
Wrong calculation of Fair Value (already validated),2975,Financial Information Risk (ex 262/2005),True
Reporting flow with incorrect and/or inconsistent data,2665,Financial Information Risk (ex 262/2005),True
Stream not updated,2800,Other risks (operational),False
Outdated or non-performing models,2444,Financial Information Risk (ex 262/2005),True
Incorrect location loading,1697,Financial Information Risk (ex 262/2005),True
 Risk of missing or incorrect entry of the transaction and/or deposit.,47,Financial Information Risk (ex 262/2005),True
Wrong calculation of the rate by agent,2989,Financial Information Risk (ex 262/2005),True
Wrong/incomplete acquisition of documentation,3221,Financial Information Risk (ex 262/2005),True
Risk that the resolution is not consistent with the Fund Regulations,2749,Financial Information Risk (ex 262/2005),True
Incorrect payment of the commission to the Guarantee Fund,1822,Financial Information Risk (ex 262/2005),True
Incorrect and incomplete filing of documentation,1185,Financial Information Risk (ex 262/2005),True
Wrong charge to the customer of the commission due to the Fdg,3004,Financial Information Risk (ex 262/2005),True
Resolution inconsistent with the Regulation of the Guarantee Fund,2678,Other risks (operational),False
Incomplete documentation,856,Financial Information Risk (ex 262/2005),True
Incorrect accounting of the transfer,1137,Financial Information Risk (ex 262/2005),True
Request format not completed correctly,2673,Other risks (operational),False
Disclosure format not completed correctly,325,Other risks (operational),False
Sending failed,2762,Other risks (operational),False
Verify correct feeding of the Sectional Accounting system,2899,Financial Information Risk (ex 262/2005),True
Wrong Accounting,2918,Financial Information Risk (ex 262/2005),True
Operational and Registry Anomalies,2429,Other risks (operational),False
 Failure to fulfill regulatory obligations / request for necessary opinions or unauthorized operation,6,Financial Information Risk (ex 262/2005),True
Incorrect definition of the perimeter of the companies,1482,Financial Information Risk (ex 262/2005),True
Incorrect entry of data in the consolidation file,1538,Financial Information Risk (ex 262/2005),True
Incorrect entry of data in the consolidation application,1537,Financial Information Risk (ex 262/2005),True
Incorrect data entry in the consolidation application,1429,Financial Information Risk (ex 262/2005),True
Operation blocks,2421,Other risks (operational),False
Loss/duplication with consequent incremental risk of carrying out fraudulent and/or criminal actions,2208,Other risks (operational),False
Errors in testing activities,375,Other risks (operational),False
No update request received,2359,Other risks (operational),False
"Verification not carried out, incorrect or incomplete reports",2897,Other risks (operational),False
Reports not sent to the AGCM,2668,Other risks (operational),False
Final reports not complete and/or not sent to the competent authorities,712,Other risks (operational),False
Forms that are incomplete and/or contain incorrect declarations,730,Other risks (operational),False
Incorrect/incomplete data,2072,Financial Information Risk (ex 262/2005),True
Wrong data,3029,Financial Information Risk (ex 262/2005),True
Wrong formalization of the transaction,3088,Financial Information Risk (ex 262/2005),True
Incorrectness/inconsistency of the data reported in the system and/or of the opinion of the Product Desk,2110,Financial Information Risk (ex 262/2005),True
Incorrect calculation of values,1319,Financial Information Risk (ex 262/2005),True
Errors/Anomalies in Catalogues,386,Other risks (operational),False
Presence of errors/anomalies of a formal nature,2556,Other risks (operational),False
Data Errors/Anomalies,253,Other risks (operational),False
Absence of eligibility requirements and incomplete or outdated documentation to support the control performed.,60,Financial Information Risk (ex 262/2005),True
SACE Green - Failure to comply with the terms for the disbursement of the loan and relative communication to SACE.,2753,Other risks (operational),False
SACE Green - Failure to comply with the deadlines for assuming the credit resolution and notifying SACE of the disbursement of the loan.,2752,Other risks (operational),False
Non-compliant loan request and/or absence of eligibility requirements.,2382,Financial Information Risk (ex 262/2005),True
Rating downgrading and failure to comply with repayment obligations.,2633,Financial Information Risk (ex 262/2005),True
Incorrect completion of the pledge confirmation form,1385,Financial Information Risk (ex 262/2005),True
Wrong Contract Proposal,2922,Financial Information Risk (ex 262/2005),True
Wrong contract proposal,3020,Financial Information Risk (ex 262/2005),True
Wrong or missing references,3135,Financial Information Risk (ex 262/2005),True
Non-compliance of the data entered with respect to the contractual conditions,2365,Financial Information Risk (ex 262/2005),True
Possible incorrect data feeding,2496,Financial Information Risk (ex 262/2005),True
Incorrect setting and correctness of the operation,1936,Financial Information Risk (ex 262/2005),True
Incorrect dispensing arrangement,1512,Financial Information Risk (ex 262/2005),True
Possible incorrect accounting,2490,Financial Information Risk (ex 262/2005),True
Request not consistent with the contract,2674,Financial Information Risk (ex 262/2005),True
Message not received from the bank of Italy,2226,Other risks (operational),False
Report failed to load,2658,Other risks (operational),False
Incomplete flow generation,864,Financial Information Risk (ex 262/2005),True
Incorrect payment entry,1818,Financial Information Risk (ex 262/2005),True
Incorrect determination of the provision,1506,Financial Information Risk (ex 262/2005),True
Wrong and/or incomplete census,2956,Financial Information Risk (ex 262/2005),True
Data reported incomplete,289,Legal and non-compliance,False
Incomplete data,841,Legal and non-compliance,False
Data anomalies feeding the DB,255,Legal and non-compliance,False
Incorrect execution of the quantitative analysis,1586,Financial Information Risk (ex 262/2005),True
Incorrect management data or not aligned with the nature of the operation,1701,Financial Information Risk (ex 262/2005),True
Incorrect execution of the qualitative analysis,1585,Financial Information Risk (ex 262/2005),True
Incorrect assessment of the transaction following changes to the resolution,1256,Financial Information Risk (ex 262/2005),True
SPPI Test failed,2755,Financial Information Risk (ex 262/2005),True
Incorrect credit allocation,1404,Financial Information Risk (ex 262/2005),True
Contracts acquired incomplete or inadequate,214,Financial Information Risk (ex 262/2005),True
Inconsistent census of factoring operations with respect to contractual provisions,987,Financial Information Risk (ex 262/2005),True
Incorrect acquisition/processing and accounting of guarantees,1151,Financial Information Risk (ex 262/2005),True
Failed to load Trade File and DTCC File extracts,422,Financial Information Risk (ex 262/2005),True
Failed to upload the trade file,425,Financial Information Risk (ex 262/2005),True
Trade file and DTCC file failed to load,2833,Financial Information Risk (ex 262/2005),True
Wrong cancellation of the proxy,2993,Other risks (operational),False
Access by unauthorized third parties with criminal and/or fraudulent intent,69,Other risks (operational),False
Failure or incorrect acquisition of documentation,435,Other risks (operational),False
Risk assessment not complete,2685,Other risks (operational),False
inadequate scenarios,3253,Other risks (operational),False
Incomplete documentation,856,Other risks (operational),False
Presence of incorrect or incomplete data,2561,Other risks (operational),False
Incorrect adjustment of evaluation grids,1158,Financial Information Risk (ex 262/2005),True
Incorrect grid application,1624,Financial Information Risk (ex 262/2005),True
Wrong/Failed to escalate the incident,3210,Other risks (operational),False
Wrong/Late engagement of GReCIM,3213,Other risks (operational),False
Failure to track the event,680,Other risks (operational),False
Incorrect tit,1994,Financial Information Risk (ex 262/2005),True
Failure to update Pending,683,Financial Information Risk (ex 262/2005),True
Incorrect agreed,1163,Financial Information Risk (ex 262/2005),True
Irregularities in communication,2138,Other risks (operational),False
Wrong loading,3106,Financial Information Risk (ex 262/2005),True
Incorrectly modeled masses,2105,Other risks (operational),False
Modeling not adequate for exogenous components,2320,Other risks (operational),False
Statistical tests failed,2798,Financial Information Risk (ex 262/2005),True
Incompetent masses,774,Financial Information Risk (ex 262/2005),True
Impacts of exogenous components not detected,743,Other risks (operational),False
Inconsistent contributions,992,Other risks (operational),False
User profiling inconsistent with the principle of least privilege,2892,Other risks (operational),False
Changes not implemented,176,Financial Information Risk (ex 262/2005),True
Progress missing or incorrectly done,2615,Other risks (operational),False
Risk of incomplete loading Mitigation Actions,2703,Other risks (operational),False
Incorrect calculation of the threshold,1318,Financial Information Risk (ex 262/2005),True
Threshold exceeded,2827,Financial Information Risk (ex 262/2005),True
Physical delivery,2472,Other risks (operational),False
Tests not consistent with expected results,2822,Other risks (operational),False
Incomplete and/or incorrect census,802,Other risks (operational),False
Domestic carrier insurance coverage to check,343,Other risks (operational),False
Wrong Warehouse Stock,2934,Financial Information Risk (ex 262/2005),True
Check Data,179,Other risks (operational),False
Metal to be delivered not corresponding to order,2227,Other risks (operational),False
Failure to communicate to customers,494,Legal and non-compliance,False
Miscommunication to customers,2258,Legal and non-compliance,False
"""Eligibility Criteria"" not met",54,Other risks (operational),False
Regulatory requirements not met,2645,Other risks (operational),False
Incomplete agreement,779,Other risks (operational),False
Non-compliance with Faculty Levels (LIFA),2366,Financial Information Risk (ex 262/2005),True
Incorrect pricing,1858,Other risks (operational),False
Acquisition of consent not occurred,82,Other risks (operational),False
BdT Incorrect pricing,149,Other risks (operational),False
BdT incorrect determination of the price in the preparation of the contracts,151,Other risks (operational),False
BdT - Incorrect pricing,147,Legal and non-compliance,False
BdT Offer price not suitable,150,Other risks (operational),False
"Incongruity of the economic terms of the transaction (so-called ""Fairness Opinion"")",957,Legal and non-compliance,False
Presence of any obligations or prohibitions placed on ISP and/or ISP Group structures,2539,Other risks (operational),False
 Presence of any obligations or prohibitions placed on ISP and/or ISP Group structures,40,Other risks (operational),False
Incorrect determination of the price in the preparation of the contracts,1505,Other risks (operational),False
 Insertion of conflicts of interest text in the mandate is incorrect,36,Other risks (operational),False
"BdT Incongruity of the economic terms of the transaction (so-called ""Fairness Opinion"")",148,Legal and non-compliance,False
Incorrect offer price,1723,Other risks (operational),False
 Incorrect insertion of conflicts of interest text in the mandate - BdT,27,Other risks (operational),False
Incorrect pricing,1858,Legal and non-compliance,False
Incorrect accounting of the tax credit,1134,Financial Information Risk (ex 262/2005),True
Failure to produce the transfer agreement,624,Legal and non-compliance,False
Wrong acquisition of contracts/documentation,2940,Legal and non-compliance,False
Unmanaged broken covenant,2871,Other,False
Incorrect data entered,1423,Other,False
Unverified covenant,2884,Other,False
